round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_ece,fed_f1_best,fed_brier,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6406874051154812,0.4329489034345576,40.27056,40.27056,1.0,0.28224029282687674,0.11424435072700947,0.3529720730207756,0.31585952231046915,0.2235140394778049,0.5564501586671425,0.6765703657928454,0.25258945982961245,2.2412981427657526,0.6584196480441001,0.2137608423352679,1.8768069714358984,0.2729983434566538,0.2771100607697502,0.5390180349349976,0.35210002987423433,0.22512567614246431,0.11389601892395189,0.00746277950239354,1.4938823149095697,0.005915832222571074,0.008867340499480791,0.0049961164611239004
12.0,0.6371742935093191,0.4349861651180647,43.93152,43.93152,1.0,0.28454870457327514,0.11424435072700947,0.3458214957069373,0.31528581889937574,0.21777925406530263,0.5572744780657701,0.6781173731017396,0.253017186313098,2.2386200519107944,0.65761649568206,0.2134337230564645,1.8739348844051669,0.274287066619335,0.2758790263093189,0.5072728991508484,0.34468739364472245,0.21927816587080268,0.11389601892395189,0.006999830996454328,1.4860453921119188,0.005449448284142569,0.008434348460268198,0.005998106581552633
13.0,0.637545616514756,0.48989852409673845,47.59248,47.59248,1.0,0.2841068482314888,0.11424435072700947,0.34022548855806733,0.3175167857210502,0.2153486902673043,0.566289076448995,0.6787656033575327,0.2570712349666233,2.2752818417216076,0.6553607066325208,0.21056959197256836,1.8487879906774018,0.2718984420080785,0.2757757757757758,0.5169004201889038,0.3387451365663593,0.21704549860176015,0.11389601892395189,0.00684010910155704,1.5365327550143775,0.005237268152679995,0.008363164855518287,0.005305314293347928
14.0,0.6366157099714561,0.5269497581631691,51.25344,51.25344,1.0,0.2859437131658082,0.11424435072700947,0.314961313397769,0.3194902427098764,0.20066702965418037,0.5419127080265236,0.6797985095062284,0.2597934516507849,2.2984770391941223,0.6549174348980877,0.2109196749634742,1.8518616976797475,0.27311801547341275,0.2750255362614913,0.5080358386039734,0.31323111689112776,0.20261179881328342,0.11389601892395189,0.007275195515714449,1.727828600705834,0.005388677767125451,0.009094780631801231,0.006206642345739512
15.0,0.6404019574758408,0.6835400284581467,54.9144,54.9144,1.0,0.2829091584234188,0.11424435072700947,0.3432672979700458,0.32167786844824015,0.2176268045813841,0.5638233383745469,0.6835285799668285,0.26208108387947315,2.332342007948013,0.6558636259110839,0.21119185159090553,1.854251391630447,0.2724747194132681,0.27814897302647856,0.5215430855751038,0.34217707135787856,0.2202334331067111,0.11389601892395189,0.006443972540585366,1.624945807052427,0.004795961762959858,0.008063244857929312,0.004832764999625887
16.0,0.6352087755311753,0.6084982952877322,58.57536,58.57536,1.0,0.2888330643857123,0.11424435072700947,0.330900138518265,0.32485496828856636,0.20932074902060607,0.5606963242823131,0.6845214814866114,0.26488733829263333,2.350466019796848,0.6547450305300552,0.20878508874137836,1.8331201627054559,0.2724508886810103,0.2778406946017365,0.5135889649391174,0.32968867480540365,0.2121901327118697,0.11389601892395189,0.0068085382066809174,1.8057724421723833,0.004572183110147323,0.009047330455594346,0.0049501594750661375
17.0,0.6424305798995589,0.7523121948260336,62.23632,62.23632,1.0,0.28766895925314,0.11424435072700947,0.32499030713807253,0.32275694460903986,0.20624737005125734,0.5614512529060718,0.6849061871495851,0.267080831521029,2.3659096017252366,0.6526405502201701,0.20761387677423976,1.822836994090751,0.27112717099895095,0.2761755485893417,0.558861494064331,0.32397429912219683,0.20969473586335283,0.11389601892395189,0.006127401470535288,1.7141448917718662,0.004013497192302875,0.00826990904500301,0.005328707613535651
18.0,0.6393481057991061,0.757461611475691,65.89728,65.89728,1.0,0.28830939067692835,0.11424435072700947,0.3392779186579964,0.3241471845821178,0.21338796528960652,0.5640045287322162,0.6867521195103243,0.26820098154602623,2.374611970117336,0.6539264423423722,0.20896082405209876,1.8346631078617543,0.2743824654992462,0.27649769585253453,0.5218724012374878,0.3381427928536862,0.21648459370393425,0.11389601892395189,0.005340383703740965,1.5705423310027982,0.0037244069219143205,0.006999965571563025,0.004989641832467009
19.0,0.6384794548162593,0.6627521768895732,69.55824,69.55824,1.0,0.2835987540020471,0.11424435072700947,0.3368755106717421,0.32530623519754615,0.21336052541080236,0.5656663604944057,0.6888242420408001,0.27184914165781093,2.404426887869576,0.6523905902403716,0.2049974727634188,1.7998651287390048,0.27046799354491663,0.27457716701902746,0.5361353158950806,0.33569384257228185,0.217035370564729,0.11389601892395189,0.0049686909001551574,1.5303130399224756,0.0034003385448512454,0.0066083525854782835,0.004396499263965493
20.0,0.6384589601316359,0.8127974688336541,73.2192,73.2192,1.0,0.28668366433969744,0.11424435072700947,0.31625060188891374,0.3240605335537305,0.20107473939219198,0.5553521102386595,0.6891852484869762,0.2722659131337132,2.4057134458400355,0.6522749846909238,0.2047891991004226,1.7980364988627027,0.27327887981330223,0.27464430894308944,0.5136047601699829,0.3145630704487908,0.2046958947870411,0.11389601892395189,0.005043049205755814,1.6303029902119306,0.0033334271135314186,0.006848757566192757,0.005561410338903346
