round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
13.0,9.661826564911546,556.508820690656,25.55392,25.55392,0.9971592150692714,0.38313006552878437,0.10991501416430595,2.07988602673913,0.24125446594687597,0.30250020896238133,0.2759469370655501,0.5889898205332535,0.22335711045156392,0.6776628279444291,0.39154742470441906,0.08656407626556697,0.7600272343440345,0.20455572629485674,0.20467942323388047,0.5025918483734131,0.40134755344232237,0.26249037943981934,0.11389601892395189,0.008336751206462633,1.2108788995537907,0.006657007498186779,0.00960554637387923
14.0,9.458969073058633,508.5253582847431,25.55392,25.55392,0.0,0.37514055118757406,0.10991501416430595,2.1704274385239177,0.23451612287727897,0.31335274608381664,0.2842460477952149,0.5443329067266997,0.2313835585299774,0.6831558620615513,0.39154742470441906,0.08656407626556697,0.7600272343440345,0.20455572629485674,0.20467942323388047,0.5025918483734131,0.40134755344232237,0.26249037943981934,0.11389601892395189,0.0,0.0,,
15.0,9.026399307220787,548.9556564342179,25.55392,25.55392,0.0,0.37722685516049437,0.10991501416430595,2.257180209351431,0.23540457851825372,0.3253436326616553,0.2918258992452882,0.5927311240219642,0.23941627674409371,0.6924466407729067,0.39154742470441906,0.08656407626556697,0.7600272343440345,0.20455572629485674,0.20467942323388047,0.5025918483734131,0.40134755344232237,0.26249037943981934,0.11389601892395189,0.0,0.0,,
16.0,8.770032819808034,591.7560745843273,25.55392,25.55392,0.0,0.37757520022015545,0.10991501416430595,2.3451805996584087,0.23527639742290365,0.33370210040131704,0.30055819772289094,0.5911065158564075,0.24709942840045804,0.6995907103703113,0.39154742470441906,0.08656407626556697,0.7600272343440345,0.20455572629485674,0.20467942323388047,0.5025918483734131,0.40134755344232237,0.26249037943981934,0.11389601892395189,0.0,0.0,,
17.0,9.522929648558325,608.6124407152125,29.20448,29.20448,0.9971592150692714,0.37237251457419074,0.10991501416430595,2.1002832962567664,0.23281180508299693,0.3049110416122182,0.28004373800990673,0.5762871730147499,0.22495460731517922,0.67934424399557,0.3676137503639968,0.08360544501837443,0.7340506350287589,0.20387378375920706,0.20452488687782802,0.4984394907951355,0.39712898019899795,0.2591373063292027,0.11389601892395189,0.008660995581304901,1.3201963608153164,0.006886341087735748,0.010020069936327697
18.0,9.493644798126699,548.1903113892729,29.20448,29.20448,0.0,0.3762643454676721,0.10991501416430595,2.1359980436809916,0.23567274718786976,0.3118868508991808,0.285931460259207,0.5550587895121408,0.2277653101789453,0.6850034502197839,0.3676137503639968,0.08360544501837443,0.7340506350287589,0.20387378375920706,0.20452488687782802,0.4984394907951355,0.39712898019899795,0.2591373063292027,0.11389601892395189,0.0,0.0,,
19.0,9.020495571921398,668.6217230281758,29.20448,29.20448,0.0,0.3803723036192257,0.10991501416430595,2.251013554397741,0.2380632051749657,0.32019456198024726,0.2915223568064534,0.5992625433429818,0.23796049148599077,0.690020690066578,0.3676137503639968,0.08360544501837443,0.7340506350287589,0.20387378375920706,0.20452488687782802,0.4984394907951355,0.39712898019899795,0.2591373063292027,0.11389601892395189,0.0,0.0,,
20.0,8.618627550580506,531.5443608036111,29.20448,29.20448,0.0,0.3887320438701851,0.10991501416430595,2.342018498377421,0.24454426464123874,0.3325405288148326,0.2913328741009727,0.6011499039174478,0.24711025438300208,0.7014068670237641,0.3676137503639968,0.08360544501837443,0.7340506350287589,0.20387378375920706,0.20452488687782802,0.4984394907951355,0.39712898019899795,0.2591373063292027,0.11389601892395189,0.0,0.0,,
21.0,9.5212712668589,604.9801911338659,32.85504,32.85504,0.9971592150692714,0.3805617112651125,0.10991501416430595,2.0874186762717635,0.23899871534761144,0.30466323392032635,0.2795458679509995,0.5929958929758911,0.2242418883616808,0.679901188193256,0.42518225192281445,0.0961451960674856,0.8441488734709993,0.2042518471510811,0.20460612641961903,0.4989280104637146,0.39823153061219746,0.259801739204516,0.11389601892395189,0.008460080124796019,1.3599024739814922,0.0063166176062844125,0.010110492602018248
22.0,9.39998340685706,596.1743287206353,32.85504,32.85504,0.0,0.37759524257745164,0.10991501416430595,2.139779607379257,0.23620266871798354,0.31394468964236016,0.291956917265046,0.5382209840776186,0.22844690714053995,0.6833445731070329,0.42518225192281445,0.0961451960674856,0.8441488734709993,0.2042518471510811,0.20460612641961903,0.4989280104637146,0.39823153061219746,0.259801739204516,0.11389601892395189,0.0,0.0,,
