round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_ece,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6389587498850309,0.47128265176597095,40.27056,40.27056,1.0,0.3165325586226047,0.22151799250243703,0.2784397980362226,0.5597559578420382,0.685242387285323,2.232024839154567,0.35152986582203544,0.25113026116202364,0.11373363544813696,0.6731319224971963,0.22774686166065966,1.9996033558708115,0.27524834437086093,0.29225614296351454,0.5886185765266418,0.35010714586652636,0.22203378167521953,0.11389601892395189,0.0075583353021659765,1.5206469350505358,0.006179148170565931,0.00882460042571493,0.00618808642059134
12.0,0.6439509984973004,0.48234543022466864,43.93152,43.93152,1.0,0.31703396599697636,0.22035824952152577,0.28164581048095644,0.5577177312731564,0.6869911761353089,2.267370337983965,0.3487522215512089,0.2544698646456447,0.11373363544813696,0.6738689517980075,0.23026380699299734,2.021701980178464,0.2769423558897243,0.29117995598442525,0.5828825831413269,0.34718237586071576,0.22086352805388684,0.11389601892395189,0.007050401554186123,1.5136949633288168,0.005621696963027873,0.008408152714595732,0.004453404936707739
13.0,0.6430926289942991,0.4602985260054472,47.59248,47.59248,1.0,0.32408395933973133,0.20177135853165865,0.29109655572155935,0.5523986764390993,0.6893084233960319,2.3072406469285824,0.3194188100252064,0.25970688223473465,0.11373363544813696,0.6745220252666646,0.22787420937212957,2.0007214608991792,0.28141530504290585,0.28996809641970933,0.5759194493293762,0.317736077404801,0.2027950400490443,0.11389601892395189,0.006553004438352054,1.4944651694149798,0.00481261484037651,0.008243757441139846,0.005647425111975946
14.0,0.6404337727104703,0.6342818762471326,51.25344,51.25344,1.0,0.32135409989321134,0.21312555638677322,0.2942473941187445,0.5527851337178687,0.6910744466023893,2.358657432451574,0.34049959264860713,0.26503503785630217,0.11373363544813696,0.6723771608210736,0.22754745510468447,1.9978525786455923,0.27998144282069126,0.2865810135617416,0.5746743679046631,0.33886639199368374,0.21430130318854707,0.11389601892395189,0.007157373794938108,1.728848110564286,0.005173488859640242,0.009118563916569454,0.006428213132727526
15.0,0.6433230575559031,0.6497755102648377,54.9144,54.9144,1.0,0.3268066140998906,0.217933933035554,0.29234226264876684,0.5874921292242897,0.6951877984219439,2.361906646152235,0.3459561022166407,0.2657914165529369,0.11373363544813696,0.672060839340463,0.22783403719421225,2.000368751662308,0.27455621301775146,0.28661559260928343,0.5689408183097839,0.34433140501029735,0.2197929821588492,0.11389601892395189,0.006432334183334194,1.6510394209435617,0.004247181924872446,0.008634180604333193,0.004942210525781103
16.0,0.6423580638148323,0.8967138239103283,58.57536,58.57536,1.0,0.32923505116642515,0.1974143101375909,0.2996980917530598,0.5479425949129874,0.6945958727016289,2.360572390783094,0.3158898327906671,0.2654638611403576,0.11373363544813696,0.6708306918828992,0.22710710902760514,1.9939863673307496,0.2832014072119613,0.28613138686131384,0.544953465461731,0.3141778955365729,0.19922427176878532,0.11389601892395189,0.005786375533710498,1.5681178526647273,0.004135795911849284,0.007474375080229225,0.004179810734959287
17.0,0.6414286783127282,0.675939053167705,62.23632,62.23632,1.0,0.33585345867037686,0.20421449045355394,0.29847316822494707,0.5600748690274758,0.6990191912728406,2.4111586596580246,0.32554179134667066,0.2716564285155123,0.11373363544813696,0.6704430267691351,0.22652115904978332,1.9888417627751411,0.27697262479871176,0.28743200687088466,0.5396861433982849,0.3240803046121715,0.20662186951330455,0.11389601892395189,0.005566353571502127,1.5874351311358623,0.0038911454223074017,0.0073092149829204105,0.004202627966736954
18.0,0.6432067623991053,0.7661874829493174,65.89728,65.89728,1.0,0.33380710707430483,0.2155801870944728,0.29178678360696575,0.5858275624008967,0.6995666011018647,2.4337406277625,0.34180317333198845,0.2737194647016584,0.11373363544813696,0.6704010865014132,0.22684115754625403,1.9916513297775171,0.27716636392777005,0.2904496225795865,0.5853406190872192,0.3401210069561875,0.2181614009086323,0.11389601892395189,0.005333850011512769,1.5985957920584042,0.0037646708926036055,0.006996556948715759,0.004595834034888372
19.0,0.6407724933537146,0.8419503906177743,69.55824,69.55824,1.0,0.33299303534499713,0.20186445939834707,0.30389990067061545,0.5627158615186675,0.7005230105318847,2.4530913904724754,0.3229675203785,0.2762163867488998,0.11373363544813696,0.6710394143642731,0.2270853863213346,1.9937956433135646,0.27960126428397764,0.28676133760879524,0.5445134043693542,0.32138047979647677,0.2046318973333224,0.11389601892395189,0.005473694461889186,1.7250354289935785,0.0034788595316432693,0.007626033260575101,0.005272656893035515
20.0,0.6447695588191904,0.7901541956953062,73.2192,73.2192,1.0,0.337426857651524,0.20249291541802525,0.30306317932071836,0.5502036113314488,0.703376112319102,2.486139444284946,0.32416120854235464,0.2801035383668384,0.11373363544813696,0.6703407612868891,0.22609853361008764,1.9851311375602436,0.27913567127169675,0.28763308763308765,0.5600639581680298,0.3222965464606034,0.2055206474857183,0.11389601892395189,0.00524353946446443,1.737122954118604,0.003173170182447451,0.00749939461890346,0.0046985453681336765
