round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auroc,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6400224634358305,0.38508933191857153,24.82176,24.82176,0.5412350858791136,0.34636670950207243,0.30398455493332677,0.6787023471795749,0.2854794405582276,0.21825392543421177,0.23740100667396602,0.11416703379696647,0.5353103128570587,2.084651325749865,0.3473909363542507,0.08165904017506793,0.7169613209184378,0.2045002711006687,0.2045002711006687,0.503434956073761,0.42287735189895476,0.2817617389233157,0.11389601892395189,0.006721588392607846,0.6588493268936872,,0.006721588392607846
12.0,0.6205044312405781,0.4528914845331299,26.8032,26.8032,0.5412350858791136,0.3292300500460071,0.31361538771605213,0.6918830872971107,0.2954003477864049,0.20862763263552578,0.25031520997540163,0.11416703379696647,0.537954439513821,2.206191682277705,0.3436802140675439,0.08130785716648745,0.7138779558289611,0.20112543111272463,0.2045002711006687,0.4707472324371338,0.4262647555512075,0.2854940201594766,0.11389601892395189,0.006888281358764363,0.7004734362708405,,0.006888281358764363
13.0,0.6115166489493051,0.6494281548841665,28.78464,28.78464,0.5412350858791136,0.3472280868236673,0.32524167961142864,0.7009868712582583,0.2974184839103981,0.21870397781098241,0.2628739610957392,0.11416703379696647,0.5826901951635362,2.3256210675599682,0.35398662700303685,0.08236581064000849,0.7231667218764156,0.2044283777677361,0.20450951154489178,0.4995650053024292,0.4263079911897896,0.2850007733605617,0.11389601892395189,0.008802608485438726,0.9350168806267902,,0.008802608485438726
14.0,0.5960865442165559,1.110621122278762,30.76608,30.76608,0.5412350858791136,0.32747187879070405,0.3394122919902797,0.7146310658483077,0.31368415081942486,0.2041118340885378,0.2844960162054022,0.11416703379696647,0.571806909383165,2.524746005891502,0.34929871655753075,0.08189015994862137,0.7189905382320627,0.2042753197451078,0.2045002711006687,0.4874950647354126,0.430170190640908,0.28884697593029496,0.11389601892395189,0.008651427428870675,0.9701233381638303,,0.008651427428870675
15.0,0.6371331717870305,0.755146969034125,32.4352,32.4352,0.4559241291901578,0.3166810752673545,0.2993743680960107,0.6700846045670595,0.2811050089509356,0.2011419100445365,0.23078641168537936,0.11416703379696647,0.5010435284759605,2.0201894951322172,0.34618153314041644,0.08148647571390664,0.7154462156251044,0.20412222021334298,0.2045002711006687,0.48677968978881836,0.43171227614426866,0.2903839503749671,0.11389601892395189,0.011628781276036839,0.6314039090648293,0.011628781276036839,
16.0,0.6356515066830335,0.7224065604205333,34.41664,34.41664,0.5412350858791136,0.3539473781168398,0.3097895269595379,0.6859118479617198,0.2865176794152346,0.2227870658896701,0.245438799989259,0.11416703379696647,0.5485399076217478,2.1533182778625717,0.3547485042182974,0.08237218965318946,0.7232227292175083,0.2044283777677361,0.2045002711006687,0.4951576590538025,0.42928059605894797,0.28786910230006546,0.11389601892395189,0.006729489846162149,0.7824338804930449,,0.006729489846162149
17.0,0.6183156303705407,0.5757512679169795,36.39808,36.39808,0.5412350858791136,0.34048180176774323,0.32389088064515387,0.6990935926223975,0.30054575036471887,0.21416452854752993,0.26040189210861103,0.11416703379696647,0.5607818042296387,2.288965783133222,0.3695266758424911,0.08396385477048307,0.7371974504793319,0.2045002711006687,0.2046237533998187,0.5171446204185486,0.4323239016859285,0.29049407976566716,0.11389601892395189,0.0067406806137241485,0.8127895306097344,,0.0067406806137241485
18.0,0.6090337876524081,0.9292900313356501,38.37952,38.37952,0.5412350858791136,0.34693826939196737,0.3326375466880949,0.7085536689921091,0.3022444541184006,0.21888813031036464,0.27368903299549263,0.11416703379696647,0.57964926594019,2.4207697964636004,0.3765247144635795,0.08479749710740926,0.744516778624443,0.2045002711006687,0.2046195652173913,0.5175988674163818,0.43859313378978904,0.29642671213093474,0.11389601892395189,0.007782462147318737,0.9770478721475229,,0.007782462147318737
19.0,0.5900954973739222,0.8490535731723658,40.36096,40.36096,0.5412350858791136,0.2954506000309708,0.3380799812989193,0.713530076686218,0.3146145198929714,0.18638773786031287,0.283044357581282,0.11416703379696647,0.5547599182141512,2.507356301952659,0.36176821574254425,0.08312041455429134,0.729792097560413,0.2045002711006687,0.20452799493876814,0.51434725522995,0.44987559165548524,0.30808862213899196,0.11389601892395189,0.007902870277603722,1.0424638576805592,,0.007902870277603722
20.0,0.6424477747358616,1.187076186788535,44.01152,44.01152,0.9971592150692714,0.34861267064453916,0.30292148108098377,0.6731147087660452,0.2828427157955555,0.22015431818861944,0.23487453468117422,0.11416703379696647,0.5459580367653898,2.0489100452850892,0.3560609635298375,0.08255578288989476,0.7248346664778255,0.2045002711006687,0.20452799493876814,0.5114481449127197,0.435198646017959,0.29377901165392195,0.11389601892395189,0.007585996166279861,1.4885801000054926,0.01008782293700388,0.006512222240069593
