round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_f1,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6422334012696566,0.3246018527693226,36.81792,36.81792,0.5412350858791136,0.3129113381907384,0.23705441493340007,0.2886490473376419,0.10928548945546113,2.1904815077681192,0.21627948864066934,0.5507110664969839,0.3475679989900648,0.6930649693810788,0.5366090598307159,0.18188225441980166,1.596914941699973,0.205556831228473,0.24271621931635698,0.5269486904144287,0.4015612378232738,0.26097821843312935,0.11389601892395189,0.009259908474987755,0.9538548799464479,,0.009259908474987755
12.0,0.628663139957863,0.40158114231206643,38.79936,38.79936,0.5412350858791136,0.32534568450225837,0.25072997840465194,0.2981230954887236,0.10928548945546113,2.3348719918373497,0.21407729006372622,0.5517713184547304,0.34450492377096575,0.7054570247587536,0.5326273823314462,0.17693920311704633,1.553515257062569,0.20484460694698356,0.225711481844946,0.5296226739883423,0.4044783933469637,0.26340720975715015,0.11389601892395189,0.008958748613073195,0.9737862264737487,,0.008958748613073195
13.0,0.6109174475639971,0.49379375456835717,40.7808,40.7808,0.5412350858791136,0.3332197011099283,0.26495624645340404,0.3011742223742983,0.10928548945546113,2.47466787654006,0.21564626309246132,0.5738199172922002,0.348581674153517,0.7166346090287069,0.5141303689252684,0.16252282209744617,1.426940323576738,0.20485370832388297,0.2053640544601794,0.5012998580932617,0.408287244518592,0.26688582095011265,0.11389601892395189,0.008357543559377201,0.964504256262444,,0.008357543559377201
14.0,0.59753711725614,0.7248971853502246,42.76224,42.76224,0.5412350858791136,0.3445696390705977,0.2796216700391525,0.3121619211022691,0.10928548945546113,2.626502441194274,0.19843916383674914,0.5955103523914343,0.3198760030367276,0.7251008036288054,0.5271026116965207,0.16863900654007108,1.480640044606572,0.20487039940964855,0.2062639821029083,0.540877103805542,0.40695795927861783,0.26559396891165016,0.11389601892395189,0.008903540684527537,1.0808756444603205,,0.008903540684527537
15.0,0.6410691164893604,0.5931655617839747,44.43136,44.43136,0.4559241291901578,0.30472930588700015,0.23216006685146606,0.2804579838896328,0.10928548945546113,2.136196345289153,0.21542870663730537,0.5445202191314271,0.3455705482851588,0.6861495113798671,0.5125676107987329,0.1608293217986468,1.4120714957213052,0.20498436637851755,0.2054982190154352,0.49886974692344666,0.40542118414892236,0.2645894677720762,0.11389601892395189,0.007519974527884538,0.6303425054065883,0.007519974527884538,
16.0,0.6370152720301224,0.5237131387840903,46.4128,46.4128,0.5412350858791136,0.31595314347718584,0.2464222734743182,0.29213587895374005,0.10928548945546113,2.276137733930844,0.21366633763971504,0.5393560177262263,0.34406112226996743,0.6995997015400159,0.5202677912447897,0.1652215363017308,1.4506348673349931,0.20546438067296233,0.2056040590574576,0.49957412481307983,0.40557574993039275,0.2645587340349363,0.11389601892395189,0.006097746472862652,0.7783661897992715,,0.006097746472862652
17.0,0.6198960622908694,0.6032241259034642,48.39424,48.39424,0.5412350858791136,0.3311230639969997,0.25950203572736136,0.3079710172828756,0.10928548945546113,2.4118679165366887,0.208102728205793,0.5669432754275706,0.33772072769422407,0.7130191508313368,0.5165032192606576,0.16386124507626343,1.4386915945295087,0.20140285476038652,0.20562889622295563,0.49637001752853394,0.4010037647723264,0.2609333688976949,0.11389601892395189,0.006660646981405256,0.8837379714241251,,0.006660646981405256
18.0,0.6037991002866281,0.781303677915144,50.37568,50.37568,0.5412350858791136,0.34561624783216494,0.2799040579599281,0.30933168700110625,0.10928548945546113,2.619579502053809,0.20336152828172585,0.5731574786977645,0.3292469457140135,0.7240836788637006,0.5037189798259532,0.14975170743654698,1.314810726936258,0.20059435364041606,0.2056005895357406,0.49612441658973694,0.4016241935666336,0.2617915276592861,0.11389601892395189,0.007715703319317607,1.077446070034057,,0.007715703319317607
19.0,0.5807578113058074,0.8386828112662645,52.35712,52.35712,0.5412350858791136,0.36004709005059937,0.29297914564979277,0.3175365798633496,0.10928548945546113,2.7475575616102654,0.19551064779821328,0.5882798306702592,0.3184418136528923,0.7311590463762703,0.49739454557657176,0.14516384402145593,1.2745295699789252,0.2036940809674524,0.20548825256975034,0.4973292648792267,0.4045421336973203,0.26423861346761257,0.11389601892395189,0.00837517173130394,1.2372767589986324,,0.00837517173130394
20.0,0.6473332283423399,1.0174646610217688,56.00768,56.00768,0.9971592150692714,0.30557725794880997,0.23237315429338973,0.27627173064522603,0.10928548945546113,2.131571385951902,0.2208520395784613,0.5753942691795775,0.3529578798154746,0.6851517744935249,0.5002241583070167,0.14089515654501228,1.237050758017167,0.20461411700082394,0.20491132332878584,0.4980235993862152,0.40547508761797474,0.26505528612159474,0.11389601892395189,0.0061635806795446325,1.5004525791155174,0.006796948625474755,0.005794030929313077
21.0,0.6405640425654487,0.6753600196310395,57.98912,57.98912,0.5412350858791136,0.3209096162200486,0.2504241012594093,0.29659183121691685,0.10928548945546113,2.3140353818047794,0.21900566969018476,0.5425891077289575,0.35444159444103757,0.7030018386107798,0.5215192978692186,0.15815971447238786,1.3886325085514248,0.2042740127213655,0.20516779437809363,0.4958856701850891,0.40525717725450916,0.26447498559079197,0.11389601892395189,0.00518716990673149,0.8166773786069825,,0.00518716990673149
22.0,0.6182197973458432,0.6227313714415239,59.97056,59.97056,0.5412350858791136,0.3345581610991724,0.26846046620510583,0.3069045289497024,0.10928548945546113,2.497295393981612,0.20529837579142587,0.5536895237236907,0.33335082667627947,0.7163037037597643,0.5102369642695523,0.14696912414074884,1.2903798177430572,0.20419593260799707,0.20506064598191978,0.49583083391189575,0.4054201215474101,0.26485802430426736,0.11389601892395189,0.005213551390650167,0.8475990102160722,,0.005213551390650167
23.0,0.6001261217047921,0.8142818335324383,61.952,61.952,0.5412350858791136,0.3478457442740644,0.28629536253215737,0.3048108834029247,0.10928548945546113,2.6723233965896274,0.2125554624020812,0.5867271294712383,0.34487865345284635,0.7265643621892103,0.5220013976073415,0.15185408588848148,1.3332694796810598,0.20501387688247874,0.2052175507771308,0.5028617978096008,0.40687089990169173,0.26591197335213956,0.11389601892395189,0.0060433084923169605,1.0212054124567658,,0.0060433084923169605
24.0,0.5783457758097759,0.9250368967974196,63.93344,63.93344,0.5412350858791136,0.3561696629784093,0.3001226520746105,0.3165845272437592,0.10928548945546113,2.8233438422068446,0.20550475754497052,0.5924369270616933,0.3335254970503966,0.737288357228637,0.5314066093143335,0.1573161424753188,1.3812259986045556,0.2047994138120535,0.20514927417145987,0.49897491931915283,0.40503936300874566,0.2642854145932057,0.11389601892395189,0.006721720432026611,1.1875534092541784,,0.006721720432026611
25.0,0.644032761023077,1.0946823387184155,65.60256,65.60256,0.4559241291901578,0.3073079895896636,0.24095482619874892,0.28164739572370756,0.10928548945546113,2.210805982972919,0.21864005612089452,0.5592045935794248,0.351163634392622,0.6902173263892212,0.5425181699746937,0.16622867912160416,1.4594775189868108,0.20515885787852314,0.2082547663943013,0.5295493006706238,0.4023342859544633,0.2619597011452718,0.11389601892395189,0.005792914766603626,0.5563637958839536,0.005792914766603626,
26.0,0.6352473684465256,0.8605199573028811,67.584,67.584,0.5412350858791136,0.32244069574181117,0.2564379070331385,0.298385149615578,0.10928548945546113,2.36879445805903,0.20910313981481987,0.5489555000564682,0.33810528191847183,0.7069349698543659,0.5442494170403183,0.17001758541493517,1.492743881842398,0.2046761922434589,0.21677369137964583,0.5294126868247986,0.4027631810500545,0.2621573464677312,0.11389601892395189,0.005277721679854172,0.9703168283449486,,0.005277721679854172
27.0,0.6129422882995935,0.7518288065318834,69.56544,69.56544,0.5412350858791136,0.33991788932178896,0.27620115988522737,0.3091869561545799,0.10928548945546113,2.5673751084098666,0.20893822392275446,0.5984417163166265,0.3391886936045121,0.722479938334798,0.533336074970224,0.16382078135343997,1.438336325546398,0.20504833020294105,0.20622222222222222,0.5296769738197327,0.4053286097359181,0.2643863045513189,0.11389601892395189,0.004692368788590909,0.8926738406298682,,0.004692368788590909
28.0,0.5912940597216657,1.002274485880787,71.54688,71.54688,0.5412350858791136,0.35595426106914335,0.29477841440686603,0.31983609002148067,0.10928548945546113,2.76400380659465,0.19330539170776784,0.5711337665848136,0.3133738869068593,0.7323571750116067,0.5244112437264663,0.16301840433719056,1.4312915049826067,0.20459538630538265,0.2050792785425469,0.4958367347717285,0.40777979220811933,0.2664131056599453,0.11389601892395189,0.005874567907397106,1.1579485225956887,,0.005874567907397106
29.0,0.5741290788199124,1.2896413154520185,73.52832,73.52832,0.5412350858791136,0.36194354418843067,0.31337893905443004,0.328613696364895,0.10928548945546113,2.9420505444129663,0.19343511574896174,0.578689737337957,0.31575405725997924,0.7441873501041532,0.5159974136081937,0.15255010894009755,1.339380519014935,0.20327535159141377,0.2051212079865375,0.4936872720718384,0.4052777677838927,0.264600480044872,0.11389601892395189,0.005885211269208513,1.2122345162788406,,0.005885211269208513
30.0,0.6440127618649261,1.2757852020404357,77.17888,77.17888,0.9971592150692714,0.3059121760560709,0.24344266806701315,0.2855509048767447,0.10928548945546113,2.235321288128498,0.20537813701425905,0.5282211787170834,0.33122588957715304,0.690236668048344,0.4989976376410063,0.15103178308456938,1.3260497119342947,0.20285261489698891,0.2050629459619143,0.4922075569629669,0.4026038490269179,0.26254910626716854,0.11389601892395189,0.00487603836891348,1.5350572464521974,0.005421553089125902,0.004612868658677741
31.0,0.6444906810222545,1.1758553096829616,79.16032,79.16032,0.5412350858791136,0.3232699277479269,0.26157070594748144,0.2902628517907625,0.10928548945546113,2.4213928365976716,0.21273202589024465,0.5650182484867516,0.34285502492816317,0.7092421118821417,0.505851106578026,0.15066637397868832,1.3228414425906134,0.20264931443179177,0.20512352994803534,0.49305641651153564,0.4036711847150959,0.2634084175922246,0.11389601892395189,0.004226771600199675,0.9133357903920114,,0.004226771600199675
