round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_auroc,fed_brier,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6403923627705191,0.43388113374429527,40.27056,40.27056,1.0,0.2889184856787878,2.1575285210624253,0.6804356279251599,0.21275514597361814,0.5440384680287446,0.3087958851995593,0.33925488241477814,0.24599793926107136,0.11429290704260811,0.6640136414548349,0.22514787475447703,1.9767844116202846,0.2754036087369421,0.285672514619883,0.5301042795181274,0.33926857038121194,0.2143220468430279,0.11389601892395189,0.007000032262471655,1.4354981222313654,0.005554162272402565,0.008376634385424103,0.0057948032843211355
12.0,0.6349728004807846,0.4626579600835042,43.93152,43.93152,1.0,0.2905996215299071,2.1710842653316664,0.6822490413474184,0.20755682211143006,0.5550638054674497,0.31168392632052394,0.3278984859627027,0.2476724740377275,0.11429290704260811,0.6639673465273584,0.22526471409106566,1.9778102537672928,0.27546026567233745,0.2848101265822785,0.528634786605835,0.3279769264997429,0.20955245142039217,0.11389601892395189,0.006717380862353756,1.4672277469708206,0.005147794183638101,0.008251723255961836,0.004968011887846059
13.0,0.6398326299816831,0.6330394642854902,47.59248,47.59248,1.0,0.2927839972699219,2.1814859550639922,0.6833380518849782,0.2158257422727437,0.5744486119832843,0.31054361203851266,0.3409748458080718,0.24900480731563782,0.11429290704260811,0.6642096262426906,0.22650450751449994,1.9886955633254968,0.27361711814249945,0.28768699654775604,0.5456355214118958,0.3412284802881122,0.21804241397874902,0.11389601892395189,0.006628573294997058,1.5337170089096617,0.004790740966603218,0.008464312438323492,0.00487758893012473
14.0,0.636998769112071,0.6442269875322707,51.25344,51.25344,1.0,0.2913130930507449,2.2141494574398943,0.6854116984392593,0.2096129292204598,0.5477454784653383,0.31191403326629413,0.33151896909114675,0.25260216352050496,0.11429290704260811,0.6630271918006501,0.22521188238061554,1.9773463946179628,0.2738203266787659,0.28197064989517817,0.5256902575492859,0.3318414395396918,0.21217617688907947,0.11389601892395189,0.006662373412417889,1.630860017622581,0.004676669375963003,0.008686148556312329,0.00531984798198644
15.0,0.6386846178872463,0.7098138418475133,54.9144,54.9144,1.0,0.2934971338959811,2.259193915206913,0.6880057597932719,0.20834296136584607,0.5484287571191294,0.31362233536212486,0.33053802868316284,0.25742167159752316,0.11429290704260811,0.6627519446755914,0.2240337369984048,1.967002351047859,0.2724929709465792,0.28,0.5363742113113403,0.33097742591142315,0.2113641142791205,0.11389601892395189,0.006445702465735022,1.6703296395025973,0.004423257968782539,0.00854540619557318,0.004022129401214006
16.0,0.64125359840136,0.7714360413427224,58.57536,58.57536,1.0,0.291820533385785,2.283014378955908,0.690468298014645,0.22058644995454446,0.5703788778672952,0.32019814119853224,0.350171825363721,0.26017696501533166,0.11429290704260811,0.6610562753056557,0.22367667944118347,1.9638674077847433,0.27157061905271035,0.2794416243654822,0.5259961485862732,0.35074904022114084,0.22371324465070191,0.11389601892395189,0.006500759026090835,1.7761966706057137,0.004093390402292752,0.009045767056535526,0.004559393848589866
17.0,0.63496587942211,0.761937873033627,62.23632,62.23632,1.0,0.2936633683981137,2.29759714859746,0.691768889685123,0.21514078498602296,0.5531568171915876,0.3234412822923813,0.341591703499226,0.26185314138408555,0.11429290704260811,0.661244303741107,0.2238209838811113,1.965134391839947,0.2720604099244876,0.2791897819636176,0.5283343195915222,0.34145477292429716,0.21843838043765942,0.11389601892395189,0.005530538256393434,1.594363749731201,0.0035659739233064617,0.007635627493219535,0.004216673656085915
18.0,0.6353745134441009,0.8710254582512705,65.89728,65.89728,1.0,0.29450075563521455,2.316381913864931,0.6944495874621673,0.2138170249267457,0.5567199498521906,0.3260197342285608,0.3386765576304,0.2641562564683799,0.11429290704260811,0.6597389091584844,0.22113152522829105,1.9415211112509565,0.2706750596917734,0.2801390002673082,0.5340834856033325,0.338683713859548,0.21792627706321596,0.11389601892395189,0.005422246199169323,1.6440984857581498,0.0034892951181522986,0.007520347311266942,0.004466576886053976
19.0,0.6336727505660477,0.9961553416883213,69.55824,69.55824,1.0,0.29963488438249475,2.3220532907274225,0.6958860058041642,0.19496340773677576,0.5270521768059707,0.32479349213711617,0.30850115661753813,0.2651851776184062,0.11429290704260811,0.6580622647573897,0.2195287728866128,1.9274490448449446,0.2731635289774825,0.276378896882494,0.5316209197044373,0.30809126052223795,0.19914137797805287,0.11389601892395189,0.005290801714515326,1.6819177777142613,0.0034432503223626233,0.0073183810321472325,0.00524197341302913
20.0,0.6431893325932145,1.1795124236559207,73.2192,73.2192,1.0,0.2975575435516889,2.3496873789144637,0.6979364133721555,0.2092052512413615,0.5286800391731512,0.3248644922851417,0.3339921022872076,0.26755481027955097,0.11429290704260811,0.6571130744254271,0.22195369744682786,1.9487397324662052,0.26981067906133094,0.2761931657723807,0.5298615097999573,0.334020222585077,0.21323640945618255,0.11389601892395189,0.0054139866927947625,1.8065861343420693,0.003375160479016801,0.007697408392954815,0.003635067672151424
