round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_auprc,fed_auroc,fed_brier,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
41.0,0.6480820105372889,0.39430804858035085,7.37793,51.10784,0.9971592150692714,0.11436304128902317,0.3327846198524691,0.24030606019630518,0.6641771197178683,0.2089857442749178,0.30323952862436254,0.28280757365246434,0.5232544736720974,2.1114447663356812,0.38872276900741215,0.09228012553736353,0.8102137933282705,0.0,0.20451875282422052,0.4310939610004425,0.36071335348115063,0.23158013785684287,0.11389601892395189,0.007407951025271808,0.5055370587215293,0.004477046398791731,0.011230340775965854
42.0,0.6417874570485491,0.34704400164506416,7.37793,51.10784,0.0,0.11436304128902317,0.34184712082408336,0.2552786113971901,0.6780986371949538,0.21600292126915308,0.31395178185772893,0.2823454754447823,0.550098633412403,2.253881230520442,0.38872276900741215,0.09228012553736353,0.8102137933282705,0.0,0.20451875282422052,0.4310939610004425,0.36071335348115063,0.23158013785684287,0.11389601892395189,0.0,0.0,,
43.0,0.6380296253990967,0.46237808373821193,7.37793,51.10784,0.0,0.11436304128902317,0.3394520533623311,0.26274654206786774,0.6861517039270184,0.21375072080171434,0.32020320739012664,0.2937867748146626,0.5706761281389634,2.327946053358282,0.38872276900741215,0.09228012553736353,0.8102137933282705,0.0,0.20451875282422052,0.4310939610004425,0.36071335348115063,0.23158013785684287,0.11389601892395189,0.0,0.0,,
44.0,0.6231448968910901,0.4717624771877107,7.37793,51.10784,0.0,0.11436304128902317,0.34221231976705946,0.27326815181440356,0.6942747927169479,0.21565385971191395,0.3250041929049339,0.29010108960474773,0.5539354713894389,2.4310090243189593,0.38872276900741215,0.09228012553736353,0.8102137933282705,0.0,0.20451875282422052,0.4310939610004425,0.36071335348115063,0.23158013785684287,0.11389601892395189,0.0,0.0,,
45.0,0.6496614874642433,0.46544766369236007,7.904925,54.7584,0.9971592150692714,0.11436304128902317,0.33178559915478684,0.24109250660031706,0.6645585170467008,0.20840569819926008,0.3042132782910293,0.28125069991181423,0.5211302389738723,2.1198969583266516,0.33530551313980306,0.0802019883804683,0.7041684963020436,0.0,0.20452799493876814,0.4388625919818878,0.36299448625671465,0.23332848406478982,0.11389601892395189,0.007220076820606532,0.5245035540574463,0.005099215666769827,0.010050597864240382
46.0,0.6473648030815322,0.47812041893075036,7.904925,54.7584,0.0,0.11436304128902317,0.36040377072532254,0.2553564574752628,0.6769251135603107,0.2279029797438777,0.31170436205686497,0.2773834093164843,0.5656713250825653,2.2566054200006787,0.33530551313980306,0.0802019883804683,0.7041684963020436,0.0,0.20452799493876814,0.4388625919818878,0.36299448625671465,0.23332848406478982,0.11389601892395189,0.0,0.0,,
47.0,0.6338223766024172,0.3826978189916688,7.904925,54.7584,0.0,0.11436304128902317,0.34930276802308624,0.26558978604978667,0.6858355459811576,0.2201298214821044,0.31923956937316356,0.2888245655647912,0.5776949921399656,2.3552069956658435,0.33530551313980306,0.0802019883804683,0.7041684963020436,0.0,0.20452799493876814,0.4388625919818878,0.36299448625671465,0.23332848406478982,0.11389601892395189,0.0,0.0,,
48.0,0.6179561911037568,0.39620344473528474,7.904925,54.7584,0.0,0.11436304128902317,0.34235957978445236,0.2717537892732558,0.6938164446711907,0.21643777317099328,0.32506542187762355,0.29313179693839475,0.5671716517987329,2.414402581474601,0.33530551313980306,0.0802019883804683,0.7041684963020436,0.0,0.20452799493876814,0.4388625919818878,0.36299448625671465,0.23332848406478982,0.11389601892395189,0.0,0.0,,
49.0,0.649295267279867,0.4309423793025455,8.43192,58.40896,0.9971592150692714,0.11436304128902317,0.3304358306017302,0.2410436570342269,0.6646195789308104,0.2079570746520839,0.30527358654682674,0.27965082833548777,0.5235962600438797,2.120392144786986,0.3367938404680564,0.08045313887765831,0.7063735821300013,0.0,0.20452799493876814,0.44105657935142517,0.3624752305046446,0.2329003779978902,0.11389601892395189,0.00756753354139601,0.5877806590142427,0.004718875855898935,0.011490614383078513
50.0,0.6398085333423633,0.385146375950039,8.43192,58.40896,0.0,0.11436304128902317,0.3348869552773921,0.2535355196707921,0.6780092294726594,0.21101212864854857,0.31221560178431174,0.2896003518939221,0.5520359626807053,2.239732234841517,0.3367938404680564,0.08045313887765831,0.7063735821300013,0.0,0.20452799493876814,0.44105657935142517,0.3624752305046446,0.2329003779978902,0.11389601892395189,0.0,0.0,,
51.0,0.6292007056888741,0.40935293213858415,8.43192,58.40896,0.0,0.11436304128902317,0.34961338294060357,0.2609928211888719,0.6839831856660952,0.221351204358834,0.31568287311297644,0.2848668148342865,0.5746443701602242,2.3138564463344333,0.3367938404680564,0.08045313887765831,0.7063735821300013,0.0,0.20452799493876814,0.44105657935142517,0.3624752305046446,0.2329003779978902,0.11389601892395189,0.0,0.0,,
52.0,0.6145137364321877,0.42247292698007904,8.43192,58.40896,0.0,0.11436304128902317,0.33859112116176177,0.2703737259543281,0.692367868236468,0.21334020104382687,0.3238884555996567,0.29375031248792977,0.5580169830493786,2.4020767905178175,0.3367938404680564,0.08045313887765831,0.7063735821300013,0.0,0.20452799493876814,0.44105657935142517,0.3624752305046446,0.2329003779978902,0.11389601892395189,0.0,0.0,,
53.0,0.6473918020170178,0.48842309811918677,8.958915,62.05952,0.9971592150692714,0.11436304128902317,0.32960758674636575,0.24198412061962415,0.6649540275296036,0.20778393599472,0.3065636236813281,0.2828026912192718,0.5298280398354821,2.1295619608796996,0.3423442621823426,0.0812970439335239,0.7137830163124994,0.0,0.20452799493876814,0.4352026879787445,0.36194112679127854,0.23256612478985633,0.11389601892395189,0.006809325937319348,0.5634752481491887,0.0038544613096903524,0.010992872195663665
54.0,0.643194647422449,0.41063536212048135,8.958915,62.05952,0.0,0.11436304128902317,0.350441839931906,0.2550712499233045,0.6768328727079385,0.2216035751139675,0.3106255868200857,0.2759210269528206,0.5446940537050652,2.253739419777313,0.3423442621823426,0.0812970439335239,0.7137830163124994,0.0,0.20452799493876814,0.4352026879787445,0.36194112679127854,0.23256612478985633,0.11389601892395189,0.0,0.0,,
55.0,0.6310897043843153,0.4377495165032646,8.958915,62.05952,0.0,0.11436304128902317,0.3449097123608548,0.26079918907361904,0.6852822490415611,0.21791387002970194,0.31975793245095974,0.28952197988239275,0.551523602534787,2.3131568982530215,0.3423442621823426,0.0812970439335239,0.7137830163124994,0.0,0.20452799493876814,0.4352026879787445,0.36194112679127854,0.23256612478985633,0.11389601892395189,0.0,0.0,,
56.0,0.6158844423071483,0.4572716402533448,8.958915,62.05952,0.0,0.11436304128902317,0.34045661764145774,0.27212966364977015,0.6939971986470225,0.21521027570392656,0.3309227514341497,0.2927228193539056,0.5643809769801563,2.421531839542981,0.3423442621823426,0.0812970439335239,0.7137830163124994,0.0,0.20452799493876814,0.4352026879787445,0.36194112679127854,0.23256612478985633,0.11389601892395189,0.0,0.0,,
57.0,0.6476044158522772,0.5424199496906745,9.48591,65.71008,0.9971592150692714,0.11436304128902317,0.3378832797657732,0.2423916521577373,0.6650565818169102,0.21321118799663577,0.3045195542532996,0.279661821821667,0.5304787911621015,2.1314991392802147,0.3366910479088372,0.08043130580913982,0.706181889139107,0.0,0.20451875282422052,0.4178256094455719,0.36386674445770645,0.23400601946686647,0.11389601892395189,0.0053776767546983035,0.47326047014212236,0.003252751800503393,0.008451875260404279
58.0,0.6466000650396484,0.4817834378982053,9.48591,65.71008,0.0,0.11436304128902317,0.34499017070521193,0.257291334547417,0.6786197070121047,0.21723294731781645,0.3144595085174872,0.2857660470950669,0.552249297222042,2.274152166031521,0.3366910479088372,0.08043130580913982,0.706181889139107,0.0,0.20451875282422052,0.4178256094455719,0.36386674445770645,0.23400601946686647,0.11389601892395189,0.0,0.0,,
59.0,0.6297478282050093,0.429736845060417,9.48591,65.71008,0.0,0.11436304128902317,0.32680811576098806,0.26334214439510994,0.6863684138146926,0.20596545049545179,0.3189660634230647,0.2949789003786742,0.5307814919212525,2.340210489273362,0.3366910479088372,0.08043130580913982,0.706181889139107,0.0,0.20451875282422052,0.4178256094455719,0.36386674445770645,0.23400601946686647,0.11389601892395189,0.0,0.0,,
60.0,0.6189160300985794,0.5294196066898629,9.48591,65.71008,0.0,0.11436304128902317,0.33332719567219177,0.27301377263284193,0.6924876114269595,0.2091154428214451,0.3265068033239095,0.2976265731514305,0.561464965154022,2.4390932813056496,0.3366910479088372,0.08043130580913982,0.706181889139107,0.0,0.20451875282422052,0.4178256094455719,0.36386674445770645,0.23400601946686647,0.11389601892395189,0.0,0.0,,
