round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_f1,fed_auprc_lift,fed_brier,fed_prevalence,fed_f1_best,fed_auroc,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6441056470825803,0.8336602043232121,32.4352,32.4352,0.4559241291901578,0.5594803672734074,0.34587227670857557,0.2784802915177793,2.192785648373062,0.21943958180208872,0.11436304128902317,0.3144699356697174,0.673533650773925,0.2502798947452211,0.6389941885496895,0.2106850460600813,1.8498016704232236,0.11178247734138973,0.2692307692307692,0.48385536670684814,0.3692036719157571,0.23656654839153332,0.11389601892395189,0.01136790778750726,0.6182337803766131,0.01136790778750726,
16.0,0.6416025179601621,0.5450359280040639,34.41664,34.41664,0.5412350858791136,0.5704560140175942,0.36634513465284335,0.28073618517968035,2.337234589808599,0.23147304494483587,0.11436304128902317,0.3227179351438993,0.6911441401371649,0.2661152054841812,0.6146889625915402,0.19782277821298305,1.736871754447088,0.06356968215158924,0.24916147580258746,0.4838240444660187,0.36929621914383554,0.2368917523832602,0.11389601892395189,0.0062865364396372785,0.7382385914679617,,0.0062865364396372785
17.0,0.6229325830668453,0.5378029998346959,36.39808,36.39808,0.5412350858791136,0.5525468251942718,0.3348144116946979,0.3030584740190961,2.4742573683585984,0.2092083147635525,0.11436304128902317,0.3309555040100731,0.7035502593072358,0.28113322799594875,0.5366258635465986,0.15955365069812705,1.4008711823778552,0.07194244604316546,0.2079064528241163,0.4823658764362335,0.3717678973056679,0.23890567002377242,0.11389601892395189,0.006369059404155918,0.7739724979619496,,0.006369059404155918
18.0,0.6006544895062637,0.7335351624425261,38.37952,38.37952,0.5412350858791136,0.5599483360479185,0.3311193862426178,0.3121414334534233,2.5785218687295988,0.20668039629774185,0.11436304128902317,0.34580180462328336,0.7133655402529819,0.2914011075675893,0.5908324673793317,0.19202269133092792,1.68594735044375,0.10558530986993114,0.23803967327887984,0.48895907402038574,0.37148141062093476,0.23847371247650198,0.11389601892395189,0.006639075848256911,0.8382784143323079,,0.006639075848256911
19.0,0.5878253569077279,0.8218809079032319,40.36096,40.36096,0.5412350858791136,0.5682077854027652,0.3177562056169452,0.31725348700300304,2.699541563943543,0.19969655477735315,0.11436304128902317,0.35127426862053734,0.7248748984979346,0.30374398728840457,0.601885924078126,0.19678649426501252,1.7277732454933865,0.13078034682080925,0.24605543710021324,0.4893682301044464,0.37110423707711243,0.23805859816937033,0.11389601892395189,0.007300008765203014,0.9609454965684563,,0.007300008765203014
20.0,0.6443568530837456,0.957420709653929,44.01152,44.01152,0.9971592150692714,0.5797912506377259,0.3513079864992445,0.2788636235201254,2.226504313926319,0.22188157250787893,0.11436304128902317,0.3127100762041509,0.6754156965486353,0.2541816413947067,0.6556669509033822,0.2184393690286319,1.9178841463676035,0.1559792027729636,0.2726077812828601,0.48494952917099,0.3684083446369083,0.23571228372115804,0.11389601892395189,0.007027159560867213,1.369077042909339,0.010005146323619346,0.005748158328191616
21.0,0.6410102366135185,0.6886876676239209,45.99296,45.99296,0.5412350858791136,0.5554057430524721,0.3275627054788514,0.29895520854663366,2.38220415843687,0.20549787081307616,0.11436304128902317,0.32510197688258635,0.6927633281377135,0.27094510931523635,0.6605315952777717,0.219336950875198,1.9257648594517494,0.1131788834029624,0.27511030365948613,0.48395466804504395,0.3657530990725789,0.23366912633763207,0.11389601892395189,0.004430416463241268,0.6157661258475855,,0.004430416463241268
22.0,0.6206799863782058,0.7117303897139304,47.9744,47.9744,0.5412350858791136,0.5505873398463291,0.3277571189292536,0.30620061481788197,2.51994295424175,0.20507548774031598,0.11436304128902317,0.3358780335367418,0.7063656388986569,0.28589945373244574,0.6582959982960855,0.2173145260659273,1.9080080947432212,0.08009611533840609,0.2712351743141248,0.48293495178222656,0.36471133767685543,0.23304441960242375,0.11389601892395189,0.005325774124623536,0.7600046128500253,,0.005325774124623536
23.0,0.6023323714269085,1.0905516432098894,49.95584,49.95584,0.5412350858791136,0.5818421749392484,0.33232669092927924,0.3087664620678582,2.628076933244344,0.20812123803697608,0.11436304128902317,0.3475086719524273,0.718212455433053,0.29701156129496964,0.6502152055281439,0.20915147876985202,1.8363370444888156,0.018229166666666668,0.2637301879837818,0.47980639338493347,0.3638690058718486,0.23270559609433994,0.11389601892395189,0.00611667174395305,0.9059588756645098,,0.00611667174395305
24.0,0.5829492212651596,1.0033023860552983,51.93728,51.93728,0.5412350858791136,0.5954045803330217,0.3440682776934973,0.3068497996649458,2.7368822161110797,0.21533798049049735,0.11436304128902317,0.3550688806149258,0.7275379301563976,0.30819429580833335,0.6614149511858957,0.2195703997090337,1.9278145257705657,0.0832,0.2785185185185185,0.4798959791660309,0.3601401405201518,0.22947564245265553,0.11389601892395189,0.007038469090894863,1.086436590179801,,0.007038469090894863
