round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auroc,fed_brier,fed_f1,fed_f1_best,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.16275922790431016,0.04204676563739895,24.82176,24.82176,0.5412350858791136,0.5169193967914232,0.3663016851946396,0.1151183282980866,0.6875433119817003,0.2312434087453864,0.294294299867051,0.31235894666997177,0.24982820136236075,2.185382478034783,0.6533029730303749,0.20270877822982622,1.7797705323236488,0.26793467025015505,0.26821022436225794,0.4998873472213745,0.37943402607089727,0.24389321644047257,0.11389601892395189,0.006684448995147165,0.6283055495005101,,0.006684448995147165
12.0,0.15829979196323904,0.03969562508933906,26.8032,26.8032,0.5412350858791136,0.5154961828791423,0.3722388218461806,0.1151183282980866,0.696940916720049,0.2344678462328796,0.29616645009059045,0.3212906138019046,0.26391619533023847,2.322585887836973,0.6287969056465454,0.16197573538839102,1.4221369361166334,0.212056151940545,0.2539076068079194,0.49683573842048645,0.37949022615470085,0.24430697481715036,0.11389601892395189,0.007265878307396354,0.705143706756644,,0.007265878307396354
13.0,0.1548637024974235,0.04722686126334641,28.78464,28.78464,0.5412350858791136,0.5257797510009578,0.3664198228770497,0.1151183282980866,0.7087278063799072,0.22964879305843872,0.30721125766372953,0.33439329879970864,0.2833167462578469,2.5106414748713344,0.6396860649231328,0.17049461808422767,1.4969321991672644,0.23092653767500393,0.26109183859777246,0.495893269777298,0.37455611110237563,0.24017438333874402,0.11389601892395189,0.00751434540961986,0.7564877890981734,,0.00751434540961986
14.0,0.15079288911879365,0.05185794472222405,30.76608,30.76608,0.5412350858791136,0.5190678179913087,0.3672497616471181,0.1151183282980866,0.721695940929888,0.22941468061167591,0.31814998336732003,0.34385468823933085,0.301241420668224,2.6714102361960728,0.6288721270602874,0.1581891006562473,1.3888905174277408,0.23007695317594887,0.25742574257425743,0.49633145332336426,0.37528894195421525,0.24075442871631986,0.11389601892395189,0.00804939447935429,0.8431170324329287,,0.00804939447935429
15.0,0.1627807420824789,0.06383672256508824,32.4352,32.4352,0.4559241291901578,0.5266870518945616,0.3773294957795472,0.1151183282980866,0.674959473440232,0.2395180333029024,0.27745862033672947,0.3020404272152652,0.24331533947174352,2.1209795761037995,0.6212710496346376,0.15429127744005405,1.3546678707275448,0.23923545473639993,0.2544396815676669,0.4946720600128174,0.3775925312859284,0.2425891610004891,0.11389601892395189,0.010253323715292122,0.5468774125911295,0.010253323715292122,
16.0,0.16178779392116668,0.04681157066309295,34.41664,34.41664,0.5412350858791136,0.5284801904235902,0.3741614835548767,0.1151183282980866,0.689969186780746,0.2363838289960015,0.29161253226859235,0.3150954022153883,0.2577644474801343,2.2483805588368484,0.6397702968432256,0.17626480823753085,1.5475941117417147,0.25443786982248523,0.26129769650079127,0.49695295095443726,0.3759894794990963,0.24119975051675502,0.11389601892395189,0.005419001712927294,0.5892378885764629,,0.005419001712927294
17.0,0.15673255759617225,0.054956867200949965,36.39808,36.39808,0.5412350858791136,0.5355064220884055,0.37864008342822836,0.1151183282980866,0.7026512686141847,0.2391816018811239,0.29220707977273086,0.32851441068652193,0.2790962756672639,2.4553096966960615,0.6397145145302321,0.18093321811140436,1.5885824616241684,0.24132376629081856,0.25984053713806127,0.4956381618976593,0.3742439976032633,0.23984729012877629,0.11389601892395189,0.006815456352068934,0.7626278683310375,,0.006815456352068934
18.0,0.154180320218895,0.055388757092846574,38.37952,38.37952,0.5412350858791136,0.5243131814286308,0.3666622740904025,0.1151183282980866,0.7128010547138067,0.22922199629423046,0.30514853870443787,0.33654336962040743,0.2904529965100269,2.5667440358405886,0.6118011078555603,0.1467006445694725,1.2880225837166808,0.05164992826398852,0.2500186358553858,0.48832449316978455,0.3691421987573144,0.23611071052060642,0.11389601892395189,0.007873455504679452,0.9128835522569716,,0.007873455504679452
19.0,0.1485610066896838,0.07035372110822743,40.36096,40.36096,0.5412350858791136,0.5245240342888647,0.37160859173135646,0.1151183282980866,0.7247297489206914,0.23204178077889012,0.3185111032913176,0.3503688107532069,0.31432435358544625,2.778001540894605,0.611293131147945,0.14631277059393596,1.2846170742072087,0.13449740443605473,0.24986993682645858,0.48824068903923035,0.3701817266407932,0.23685761746828607,0.11389601892395189,0.00946840261696126,1.148455749033019,,0.00946840261696126
20.0,0.16320680238333102,0.07179092100711487,44.01152,44.01152,0.9971592150692714,0.5248106531048529,0.3777713707375292,0.1151183282980866,0.6760786535178066,0.24010375470824408,0.2813768919282798,0.3034622486939623,0.24157758381702266,2.1001733702929375,0.5998007448250202,0.13860805939243348,1.2169701865082903,0.08004926108374384,0.24500866420553,0.490851491689682,0.3715500272801085,0.23803848337349232,0.11389601892395189,0.006886818738270747,1.260384445078671,0.009737216749414284,0.00559107792839346
21.0,0.16214999873907796,0.05264780131362171,45.99296,45.99296,0.5412350858791136,0.5287299262770534,0.3756056923835659,0.1151183282980866,0.6908562489224662,0.23748714115728028,0.2882107866223531,0.320938349747694,0.25824048878374034,2.2587928488373494,0.5884901875083861,0.13403262154148537,1.1767981252354276,0.09343832020997375,0.2384775498067202,0.48963770270347595,0.3713620841965125,0.23794794946528067,0.11389601892395189,0.00511764598421705,0.6562637626193464,,0.00511764598421705
22.0,0.1567496374993458,0.06650611484213462,47.9744,47.9744,0.5412350858791136,0.5308670428059132,0.3726748428434088,0.1151183282980866,0.7056139412854071,0.23407049609158387,0.3004301700771399,0.3330709171578711,0.2816067045553265,2.4691615949353336,0.5678038218501917,0.12766149334875157,1.1208600138516769,0.07236431690580163,0.229126213592233,0.4841281473636627,0.3700180170676316,0.23711855908265891,0.11389601892395189,0.005660408473093848,0.7453041552798823,,0.005660408473093848
23.0,0.1526877916510701,0.06250764790285399,49.95584,49.95584,0.5412350858791136,0.5299350789861617,0.3735996937953229,0.1151183282980866,0.7195243788242196,0.2343005882063617,0.3097146120624448,0.3446179043078631,0.3016859573589568,2.663885607166641,0.540124725988996,0.1212205132921987,1.064308607424965,0.1044776119402985,0.21888363718208417,0.4794341027736664,0.37315690590322653,0.23978422378231337,0.11389601892395189,0.007956835473046132,1.0807210283819586,,0.007956835473046132
24.0,0.1505337595063942,0.07804141874965603,51.93728,51.93728,0.5412350858791136,0.5310664048487805,0.36603073254396457,0.1151183282980866,0.7269950267203825,0.2275439035020995,0.3204433562986613,0.3510176215549636,0.3153038663347127,2.785969333631162,0.5681831541279991,0.12738887577188723,1.1184664483922349,0.12339219533464138,0.23086086902000125,0.48196151852607727,0.37079012266456457,0.2376587995991115,0.11389601892395189,0.008592724662889191,1.2176127881975845,,0.008592724662889191
25.0,0.1643249768830311,0.10954740310196742,53.6064,53.6064,0.4559241291901578,0.5296345776376528,0.37893100406258007,0.1151183282980866,0.680471258070819,0.2403630178652059,0.28479268432643706,0.3089280809461619,0.24888457744257175,2.166686868456044,0.5472433773907772,0.12161349021212799,1.067758920470513,0.1228959643074427,0.2251007484168106,0.48167741298675537,0.3737635760426948,0.24010278447946132,0.11389601892395189,0.008392422135760101,0.517134175170213,0.008392422135760101,
