round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc_lift,fed_ece,fed_f1_best,fed_prevalence,fed_f1,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
12.0,0.642676942489362,0.42683666357405564,43.93152,43.93152,1.0,0.21216647550672016,2.1931130075939596,0.3344122633035037,0.3113575392046471,0.1148036253776435,0.29249701312041737,0.2494401266039368,0.5410844392057842,0.685404567002089,0.6638991904549473,0.22200625968036858,1.9492012256249418,0.274969474969475,0.282652186338954,0.5413492321968079,0.3340649200278348,0.21403395914922366,0.11389601892395189,0.006722599545304628,1.4063736757670995,0.005511832525154745,0.007874559763917753,0.004934009228594997
13.0,0.641814157822554,0.4747084487598553,47.59248,47.59248,1.0,0.20567414123740066,2.2237871296176825,0.3264341872004455,0.31622231204233486,0.1148036253776435,0.2939731195409913,0.2530522864256942,0.5266791073397207,0.688106449582672,0.6621818356324012,0.21975231399578732,1.929411721954175,0.2720677146311971,0.27681113571654536,0.548789918422699,0.32589986701965384,0.2076812461776364,0.11389601892395189,0.006668805926560129,1.476708171700011,0.005293653451294958,0.007997431689328384,0.005563257079813923
14.0,0.6421190947424315,0.46433361646522925,51.25344,51.25344,1.0,0.2097115218801245,2.2772978805487156,0.33365629984803064,0.31619174078370665,0.1148036253776435,0.2910177573880622,0.25894972247707965,0.5431529399127608,0.6908305273131955,0.661948654269582,0.22088067587063354,1.9393186694094642,0.2706126209120221,0.2820473171486006,0.5491689443588257,0.3329579976271404,0.21174659631749523,0.11389601892395189,0.0064532026653225235,1.5100943140496383,0.0048821418140469084,0.008004529054402786,0.0038598265372657356
15.0,0.6409841093457733,0.5125139332524237,54.9144,54.9144,1.0,0.21729477679847786,2.284645838745487,0.3428312363618871,0.3205014179550081,0.1148036253776435,0.29174330814304594,0.26077050837015814,0.5582187539632437,0.6929985107591031,0.6619622453258186,0.22171160748028582,1.946614197536809,0.2711900232508983,0.2799021107372285,0.5706908106803894,0.34212010910244134,0.21984469217528754,0.11389601892395189,0.006117671641077005,1.5121430875096848,0.004564614794844126,0.007684091489361606,0.004347234169293645
16.0,0.6417109089828182,0.5886782391841816,58.57536,58.57536,1.0,0.21641788393584885,2.318419004435644,0.3429566805883079,0.3210409587830584,0.1148036253776435,0.29235747941246465,0.26466100599955883,0.5535592786772674,0.6932384209116152,0.6615042405350403,0.22086967528390444,1.9392220849385318,0.2709354241533268,0.2836832534303191,0.5726894736289978,0.34203110617037585,0.21886502244847938,0.11389601892395189,0.005999341362886243,1.5723819540708064,0.004257749736397221,0.007781134238371457,0.003600765814522916
17.0,0.6415193421362899,0.6165344977918219,62.23632,62.23632,1.0,0.21976426114432118,2.3364425403912503,0.34937795704654595,0.32374725932566734,0.1148036253776435,0.29382125030416834,0.2671761370012363,0.5461408692671872,0.6954029760370807,0.6598555186640717,0.21954230991177753,1.9275678990884257,0.27039226222461044,0.2796324655436447,0.5538368821144104,0.34877249982300446,0.22255574215010415,0.11389601892395189,0.005917597441551785,1.6350507641527656,0.0041136366028531645,0.007785765981660264,0.004485358522741669
18.0,0.6392305013058617,0.594118335724648,65.89728,65.89728,1.0,0.20344030220677622,2.3341011313048896,0.3202184529947858,0.3252997904531806,0.1148036253776435,0.29821532140176993,0.26714275718703223,0.5637333233224572,0.6968267841497096,0.6598513647955451,0.22020528351691027,1.9333887663267741,0.27398213664308085,0.2821587988637901,0.5292544364929199,0.3189131277817006,0.20688471222240856,0.11389601892395189,0.005609969675093252,1.6341303596655052,0.0037790765328441778,0.0075244917723501495,0.004688410760538216
19.0,0.642971516186281,0.840099688308789,69.55824,69.55824,1.0,0.20875983518539476,2.3866241300662447,0.3323217039010586,0.3258252307036407,0.1148036253776435,0.29928367871465233,0.27265255083047646,0.5517196225608284,0.6994685827987038,0.6593272871413448,0.22002172057557895,1.9317770950579665,0.2732604945370903,0.28209102437649713,0.5340292453765869,0.3314786918069088,0.21211640786807978,0.11389601892395189,0.00521364342561294,1.6028282809602388,0.0036030793405510565,0.006910164332821803,0.004319287941685052
20.0,0.6377031912396638,0.706579297525993,73.2192,73.2192,1.0,0.21771137800289608,2.3700489980833717,0.34564450191927576,0.32474157455404123,0.1148036253776435,0.2979447020268347,0.2719811408045706,0.5669922827848974,0.7004010966161816,0.6589369238954563,0.22123129955411736,1.9423971236591946,0.2728742321370837,0.28172817281728174,0.5567059516906738,0.3450437386375041,0.22124272197838193,0.11389601892395189,0.0052980071830163915,1.7028836247136496,0.003599596627238722,0.007112700066512143,0.0036127183960275545
21.0,0.6410311435194633,0.7445856179976713,76.88016,76.88016,1.0,0.21275550693604053,2.3848369522144846,0.33841251932501454,0.32872229794897867,0.1148036253776435,0.30225265225885306,0.27373814474954006,0.5592280240975178,0.7026661737101862,0.6593907497188044,0.2219315807261774,1.9485455490271404,0.27215922240222173,0.2828920290849225,0.5336456894874573,0.3375101313602432,0.21657303792427443,0.11389601892395189,0.005411862673012443,1.8196112661407824,0.003274054340515022,0.007715541049549984,0.00381968377897698
