round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_ece,fed_f1_best_threshold,fed_auprc,fed_f1,fed_prevalence,fed_f1_best,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6240541239706509,0.37457704790094093,25.55392,25.55392,0.0,0.22108371198050147,0.3475427811253327,0.563687756786099,0.26799219725107304,0.29217393031826877,0.11506262982312578,0.3269916991892539,2.38579775272223,0.6938667106151308,0.6583381268055838,0.21366500492971363,1.8759655249440919,0.21690862510674638,0.2755211117049706,0.5342126488685608,0.40970635918853593,0.266781943935331,0.11389601892395189,0.0,0.0,,
16.0,0.6071548507313773,0.5297249123752192,25.55392,25.55392,0.0,0.2092582580974937,0.32859434391192927,0.5674495457976355,0.2810684791772253,0.30364749518911205,0.11506262982312578,0.3373251006101265,2.505347573862059,0.7017491352056773,0.6583381268055838,0.21366500492971363,1.8759655249440919,0.21690862510674638,0.2755211117049706,0.5342126488685608,0.40970635918853593,0.266781943935331,0.11389601892395189,0.0,0.0,,
17.0,0.6452475787448189,0.3541646429527213,29.20448,29.20448,0.9971592150692714,0.21258403428723247,0.3340409430555327,0.5549610705618635,0.24112871296868787,0.2851099889674928,0.11506262982312578,0.31104467983903417,2.1234636006002092,0.6699173212418006,0.6579164652270505,0.21241857770080608,1.8650219709842315,0.22508283091630005,0.27217163527504057,0.5312337875366211,0.4044122263009958,0.2626455165593605,0.11389601892395189,0.008293587982122848,1.3575432959478348,0.006313216326455477,0.00988904998932501
18.0,0.6346211024679971,0.38402630009154437,29.20448,29.20448,0.0,0.21682744461182984,0.3429352534179713,0.553613164823786,0.25673860741822174,0.293171233291139,0.11506262982312578,0.3227011286064505,2.2699996116096193,0.6818077110766629,0.6579164652270505,0.21241857770080608,1.8650219709842315,0.22508283091630005,0.27217163527504057,0.5312337875366211,0.4044122263009958,0.2626455165593605,0.11389601892395189,0.0,0.0,,
19.0,0.6212096365507223,0.43445602763265195,29.20448,29.20448,0.0,0.20714891302119123,0.32644620892137627,0.5696218088817931,0.27380113794619887,0.29715898169955457,0.11506262982312578,0.32831940154828737,2.4343145902761325,0.692898378655656,0.6579164652270505,0.21241857770080608,1.8650219709842315,0.22508283091630005,0.27217163527504057,0.5312337875366211,0.4044122263009958,0.2626455165593605,0.11389601892395189,0.0,0.0,,
20.0,0.6034695087118104,0.519970037181946,29.20448,29.20448,0.0,0.19493345222792235,0.3053583635483816,0.5529560220581458,0.2901009621548294,0.31253096293859045,0.11506262982312578,0.33868664396556036,2.5856180299476006,0.7056443793797551,0.6579164652270505,0.21241857770080608,1.8650219709842315,0.22508283091630005,0.27217163527504057,0.5312337875366211,0.4044122263009958,0.2626455165593605,0.11389601892395189,0.0,0.0,,
21.0,0.6391377913015187,0.42660667643545463,32.85504,32.85504,0.9971592150692714,0.20396022391359078,0.32201725864692526,0.5460102281873127,0.24618129423485138,0.28458936937895457,0.11506262982312578,0.31390752610089384,2.1684095094534723,0.6716923770636535,0.6567214813332678,0.20873763222922076,1.8327034974645988,0.23346440518809788,0.27330063069376315,0.5269913077354431,0.39869359982194297,0.2580346166317442,0.11389601892395189,0.008266006695577609,1.4313654309371486,0.006212676702518866,0.009946783350416037
22.0,0.6390405447631955,0.4510699218682748,32.85504,32.85504,0.0,0.21174358996131817,0.3341248679854307,0.5705790055693301,0.26414034344555803,0.2925045292729543,0.11506262982312578,0.3225627343120737,2.3409496920426927,0.6867434905026223,0.6567214813332678,0.20873763222922076,1.8327034974645988,0.23346440518809788,0.27330063069376315,0.5269913077354431,0.39869359982194297,0.2580346166317442,0.11389601892395189,0.0,0.0,,
23.0,0.6192728837792473,0.46634259880763357,32.85504,32.85504,0.0,0.2062666116029989,0.3282673800592292,0.5485802867203666,0.2786908603697124,0.29945171499251183,0.11506262982312578,0.33042869798950186,2.481227945811403,0.6986522205355806,0.6567214813332678,0.20873763222922076,1.8327034974645988,0.23346440518809788,0.27330063069376315,0.5269913077354431,0.39869359982194297,0.2580346166317442,0.11389601892395189,0.0,0.0,,
24.0,0.6025619609224935,0.5777229305738543,32.85504,32.85504,0.0,0.2025989976968873,0.31734424372699993,0.5883986909739012,0.2957203636856955,0.3077840358123243,0.11506262982312578,0.34273214855921547,2.651948163046362,0.707975092394417,0.6567214813332678,0.20873763222922076,1.8327034974645988,0.23346440518809788,0.27330063069376315,0.5269913077354431,0.39869359982194297,0.2580346166317442,0.11389601892395189,0.0,0.0,,
25.0,0.6377721007985471,0.4421036565985957,36.5056,36.5056,0.9971592150692714,0.2105128655704279,0.3327691802500463,0.5375398980961156,0.2505759067200199,0.2824819610582119,0.11506262982312578,0.31410981610461025,2.2096902973357007,0.6745382238597216,0.6573299540504335,0.21009485321738205,1.8446198137764753,0.23101964887803744,0.2728909465020576,0.5320665836334229,0.40091541914372547,0.2595649582023572,0.11389601892395189,0.007212165006078548,1.3242928821127862,0.005569489196479466,0.008585126986605244
26.0,0.6347233641826207,0.446092822191159,36.5056,36.5056,0.0,0.20193674564184672,0.3193717742974352,0.5426101937553329,0.2670035374526094,0.2981944569229027,0.11506262982312578,0.32496500483067403,2.363534338723037,0.6871496069330613,0.6573299540504335,0.21009485321738205,1.8446198137764753,0.23101964887803744,0.2728909465020576,0.5320665836334229,0.40091541914372547,0.2595649582023572,0.11389601892395189,0.0,0.0,,
27.0,0.6182406701730914,0.6033521170579275,36.5056,36.5056,0.0,0.20670138474703514,0.32856515962492155,0.5734398285651693,0.2831732707096492,0.2989247608332806,0.11506262982312578,0.3346413612185195,2.5148855045558265,0.6961746605873589,0.6573299540504335,0.21009485321738205,1.8446198137764753,0.23101964887803744,0.2728909465020576,0.5320665836334229,0.40091541914372547,0.2595649582023572,0.11389601892395189,0.0,0.0,,
28.0,0.5965665741594334,0.6268273099328361,36.5056,36.5056,0.0,0.19499165276419533,0.31005234691758476,0.5531120812130551,0.3028184994415279,0.31487867031982714,0.11506262982312578,0.3481826760670553,2.7050466796136043,0.7146407633146699,0.6573299540504335,0.21009485321738205,1.8446198137764753,0.23101964887803744,0.2728909465020576,0.5320665836334229,0.40091541914372547,0.2595649582023572,0.11389601892395189,0.0,0.0,,
29.0,0.638769699075274,0.5117042226737425,40.15616,40.15616,0.9971592150692714,0.21139847095074668,0.3329536361980822,0.538020971551178,0.25590700242204983,0.28370925796387136,0.11506262982312578,0.31234157664227935,2.2567228950178126,0.6771101894097158,0.6595896208805608,0.2112182343922121,1.8544830309937526,0.23201964682493276,0.2757825370675453,0.5392244458198547,0.4023416747075033,0.26051441506083395,0.11389601892395189,0.007034547321713411,1.365118657820858,0.005562459094377362,0.008290425814540984
30.0,0.6325525486281516,0.5870176006753823,40.15616,40.15616,0.0,0.20989229944724205,0.32885994064279445,0.5658529138819431,0.27434685873588294,0.2952153753055664,0.11506262982312578,0.32518349593987395,2.443599877761132,0.6885234286967898,0.6595896208805608,0.2112182343922121,1.8544830309937526,0.23201964682493276,0.2757825370675453,0.5392244458198547,0.4023416747075033,0.26051441506083395,0.11389601892395189,0.0,0.0,,
31.0,0.6114845387063318,0.5815269156635723,40.15616,40.15616,0.0,0.20828761439591037,0.32921802602332456,0.5701701232869545,0.29301112089352926,0.30861628129794827,0.11506262982312578,0.3394968516059509,2.6321893721688703,0.7048007512461376,0.6595896208805608,0.2112182343922121,1.8544830309937526,0.23201964682493276,0.2757825370675453,0.5392244458198547,0.4023416747075033,0.26051441506083395,0.11389601892395189,0.0,0.0,,
32.0,0.5910305628102901,0.6471984669253855,40.15616,40.15616,0.0,0.2010215405186015,0.3204031577062682,0.5481458324996461,0.30530853672675395,0.31806439534347264,0.11506262982312578,0.3510881908707555,2.744092251984438,0.7164697462829751,0.6595896208805608,0.2112182343922121,1.8544830309937526,0.23201964682493276,0.2757825370675453,0.5392244458198547,0.4023416747075033,0.26051441506083395,0.11389601892395189,0.0,0.0,,
33.0,0.6353046505724199,0.5963888000073977,43.80672,43.80672,0.9971592150692714,0.2098610648298088,0.331901459112813,0.562461446751925,0.25559051925553733,0.2887138028080225,0.11506262982312578,0.31423176025589794,2.2533955459842225,0.6795301331353635,0.6579751339139446,0.2116972326432751,1.8586886060049639,0.22465873581492243,0.2773794002607562,0.539216160774231,0.40551232004976817,0.26325044002437026,0.11389601892395189,0.006891365069602555,1.4135079201078042,0.005142574353212706,0.00841968947695859
34.0,0.635753979254218,0.6477436947573111,43.80672,43.80672,0.0,0.20548410692661026,0.32483286274075435,0.5778998531808696,0.275637273359966,0.29834592309889096,0.11506262982312578,0.33205525727896973,2.4585788039035585,0.6960420391093315,0.6579751339139446,0.2116972326432751,1.8586886060049639,0.22465873581492243,0.2773794002607562,0.539216160774231,0.40551232004976817,0.26325044002437026,0.11389601892395189,0.0,0.0,,
35.0,0.6145929014280485,0.8003194523628899,43.80672,43.80672,0.0,0.21438516301224736,0.34097812226207574,0.5764584975346312,0.2976636569418589,0.3060850993575797,0.11506262982312578,0.3449786774011848,2.6643516073996403,0.7107345144186931,0.6579751339139446,0.2116972326432751,1.8586886060049639,0.22465873581492243,0.2773794002607562,0.539216160774231,0.40551232004976817,0.26325044002437026,0.11389601892395189,0.0,0.0,,
36.0,0.5926350403733488,0.7349037929024156,43.80672,43.80672,0.0,0.1985060158816608,0.31693844395890913,0.5855894744032285,0.31312156136438185,0.32341769523188335,0.11506262982312578,0.3526567251252922,2.8155702130893334,0.7201466415350185,0.6579751339139446,0.2116972326432751,1.8586886060049639,0.22465873581492243,0.2773794002607562,0.539216160774231,0.40551232004976817,0.26325044002437026,0.11389601892395189,0.0,0.0,,
37.0,0.642617788446211,0.7296334700568853,47.45728,47.45728,0.9971592150692714,0.2159644598674014,0.3411324676040653,0.5680810184444091,0.25858226283258434,0.28492730851052667,0.11506262982312578,0.3175971256052439,2.2779500085732054,0.6812693606552459,0.6561694058522312,0.2096288005724473,1.8405279003861932,0.21917247029905776,0.27144508670520234,0.5320572257041931,0.40784121534503864,0.2654247242165561,0.11389601892395189,0.006283860694618763,1.3608424323610961,0.004454255993951997,0.007912763016819402
38.0,0.6336650515059941,0.6936927019710044,47.45728,47.45728,0.0,0.21035485912602456,0.3340362608116212,0.559751066447895,0.28584528874937837,0.30012620882644286,0.11506262982312578,0.33551346304084106,2.5365776352395795,0.6995503039562159,0.6561694058522312,0.2096288005724473,1.8405279003861932,0.21917247029905776,0.27144508670520234,0.5320572257041931,0.40784121534503864,0.2654247242165561,0.11389601892395189,0.0,0.0,,
39.0,0.6075919385483523,0.6232559486037708,47.45728,47.45728,0.0,0.21135767702795646,0.33695666404791424,0.5503330728687618,0.3007050823369673,0.3085339022016312,0.11506262982312578,0.34512706057701503,2.698407444964444,0.7127151940291797,0.6561694058522312,0.2096288005724473,1.8405279003861932,0.21917247029905776,0.27144508670520234,0.5320572257041931,0.40784121534503864,0.2654247242165561,0.11389601892395189,0.0,0.0,,
40.0,0.5846183504925574,0.7511932615771848,47.45728,47.45728,0.0,0.20558234964453245,0.32631415880004205,0.5878016159005001,0.3185019643436287,0.3137013291932017,0.11506262982312578,0.3601522919588022,2.862040384259998,0.725100465915651,0.6561694058522312,0.2096288005724473,1.8405279003861932,0.21917247029905776,0.27144508670520234,0.5320572257041931,0.40784121534503864,0.2654247242165561,0.11389601892395189,0.0,0.0,,
41.0,0.6355719370853842,0.7260227940959707,51.10784,51.10784,0.9971592150692714,0.21451892891207558,0.339358023324149,0.56229250961526,0.259391552083402,0.2876481019423919,0.11506262982312578,0.31924213929407863,2.283973116547311,0.6826880040156617,0.6548427405613189,0.20973810397385823,1.8414875774885502,0.21835443037974683,0.27126883811375785,0.5322343111038208,0.4076137731582146,0.26517120459439764,0.11389601892395189,0.007118763064819794,1.6218865916598588,0.004690960098483784,0.009322932774587954
42.0,0.6353838776922649,0.714104694948724,51.10784,51.10784,0.0,0.2285899889396938,0.3590908212225658,0.5770466077629369,0.2832708172613143,0.2917141705991381,0.11506262982312578,0.3347830475022988,2.5155147063457695,0.7036428758385637,0.6548427405613189,0.20973810397385823,1.8414875774885502,0.21835443037974683,0.27126883811375785,0.5322343111038208,0.4076137731582146,0.26517120459439764,0.11389601892395189,0.0,0.0,,
