round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_ece,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6417863409507193,0.37280585782634057,80.54112,40.27056,1.0,0.25308938062012526,0.21452382331682238,0.3389808244915988,0.6855087027905903,0.2984663909090412,0.5565492515842067,2.197778679305429,0.32030370007650655,0.11569935792521717,0.6634684556228044,0.2251003241098969,1.976366919902581,0.2757064575051037,0.2826344156697778,0.5356988906860352,0.34270283502466903,0.21829187318697055,0.11389601892395189,0.006638812600612224,1.3294851486098196,0.005532188299654394,0.007662388758674133,0.003733569048640813
12.0,0.6390239176929893,0.4624575389506006,87.86304,43.93152,1.0,0.2556286786905971,0.2140129193795009,0.33805482238474827,0.6860707957563302,0.2940222724706581,0.5488852086226886,2.220982750805525,0.32373605874759515,0.11569935792521717,0.6642450156966033,0.22709097471319578,1.9938447090483813,0.2775377969762419,0.28555320648343907,0.5405444502830505,0.341270326712713,0.2173199417223819,0.11389601892395189,0.007296343752360884,1.546276583548206,0.005529629253672333,0.008944436380902473,0.004661387408967508
13.0,0.6391419356567155,0.4719887034402396,95.18496,47.59248,1.0,0.25780795372488297,0.22544017972544603,0.35189785739615886,0.6880730648746337,0.28743572745016666,0.585078710659421,2.2404729559600005,0.3285668707086122,0.11569935792521717,0.6625800171867251,0.22637848539588995,1.987589096920432,0.2674684994272623,0.28207171314741036,0.5900594592094421,0.3557608490977135,0.23014816443287586,0.11389601892395189,0.0073522527019634016,1.6519559570042475,0.005250953580143282,0.009349347030930022,0.004361175183806655
14.0,0.6414416337309555,0.5918857794965422,102.50688,51.25344,1.0,0.2587187883589916,0.2091447345905841,0.3276786129364968,0.6876028483237331,0.29755392570848016,0.5672164351202057,2.2460698305915394,0.32764081271357914,0.11569935792521717,0.6639060424555985,0.22802969932294492,2.002086653047986,0.2776321537789428,0.2851609058402861,0.5590492486953735,0.3314053383879666,0.2134866899640768,0.11389601892395189,0.006838767973528252,1.63074736809358,0.004980684024169447,0.00862360978474107,0.005094092296965356
15.0,0.6416538459146883,0.6242305303473967,109.8288,54.9144,1.0,0.26093315827539487,0.21322683954664073,0.33846296232564693,0.6903491842968503,0.29958522312074726,0.5560065733122763,2.262648751094149,0.3299444807750039,0.11569935792521717,0.6636267669565306,0.22705685954963065,1.9935451800228066,0.2776011402258524,0.2846832397754611,0.5293581485748291,0.3420812312874138,0.21729569744624694,0.11389601892395189,0.006371025561343138,1.6032129426785104,0.004573489695649086,0.008130429313448402,0.004511246619972903
16.0,0.6371534475809644,0.5447789530806622,117.15072,58.57536,1.0,0.26503669736466196,0.2143595539194665,0.3374805898881298,0.69118947510518,0.2939680021721268,0.578375901756277,2.299934277095694,0.3318265674373309,0.11569935792521717,0.662951882540746,0.22905733526519417,2.0111092330464615,0.27628437986507526,0.2861441663247161,0.5543637275695801,0.3411833364605556,0.21907165201097178,0.11389601892395189,0.005728266078148996,1.518702631132328,0.004044175665347421,0.007415589909168959,0.0039604418002782
17.0,0.6394237886511368,0.6552983055885997,124.47264,62.23632,1.0,0.26873025417208324,0.2156138911285934,0.34164647780519186,0.6954760098343451,0.29792008868582315,0.5658016090734952,2.332448370882715,0.3337226424394873,0.11569935792521717,0.6628426019149761,0.22726240737191397,1.995349877186283,0.27399524744291764,0.2855948732237392,0.5512357950210571,0.34540508782329943,0.22032980523795478,0.11389601892395189,0.006024339594475791,1.679435330323031,0.004101692012702491,0.007979370220695217,0.00301696965685113
18.0,0.6391598263401722,0.6152306064035373,131.79456,65.89728,1.0,0.2693484243258887,0.21274195895524015,0.33432156693701076,0.6967210428264392,0.2979043415621932,0.5829390134579376,2.3358076355227957,0.3393601215004984,0.11569935792521717,0.661342678893313,0.22459932535867233,1.9719681818610078,0.27261513157894735,0.2827337167313093,0.5471272468566895,0.33833727684188664,0.21850165727697518,0.11389601892395189,0.005761572988821612,1.6892244251212105,0.0038526607295047964,0.007721765451496228,0.0032662289487035063
19.0,0.6420158616200455,0.8168375736689866,139.11648,69.55824,1.0,0.2693949628029318,0.21287510659128284,0.33787512131941444,0.6964056484760609,0.2989532608552907,0.5666947219472501,2.3334731563611055,0.3349177695244129,0.11569935792521717,0.6615909697960297,0.22330484487058955,1.9606027232583931,0.27342934669171365,0.2857142857142857,0.5482234954833984,0.34174080822764746,0.2178996937834759,0.11389601892395189,0.005895820581217737,1.8162683191876567,0.003673254442756597,0.008199531824346455,0.0030843266637615918
20.0,0.6359303501385188,0.6419588071362846,146.4384,73.2192,1.0,0.27196066014682646,0.21027767832600844,0.33039797694438366,0.697625179313309,0.3000767430097191,0.585473084423879,2.3552171444109216,0.33473703509750397,0.11569935792521717,0.66223210873608,0.2274405194494642,1.9969136902083093,0.2746745065098698,0.2853598014888338,0.5750541090965271,0.3344937130066172,0.21612737256143086,0.11389601892395189,0.005391780289386232,1.7404970498137118,0.0033897670164108407,0.007485876654025908,0.0035317291206609694
21.0,0.6420189786256754,0.9174479636495562,153.76032,76.88016,1.0,0.2751870361778666,0.2051668451150651,0.32482834660800936,0.7009587694346588,0.30347345027345407,0.55852462642104,2.383416587538752,0.3353144523975966,0.11569935792521717,0.6608037552377019,0.22704819679012178,1.9934691215302385,0.2783013637875596,0.28502024291497974,0.5670557022094727,0.3285987553297288,0.21099047464140538,0.11389601892395189,0.0052268570876167625,1.769578105864639,0.0032779753241378566,0.0072798400586434634,0.003956404978927944
22.0,0.6416104356885453,0.9008227595862769,161.08224,80.54112,1.0,0.27490628462433486,0.2117832482136856,0.3353179921721447,0.7015243694123713,0.29843807597251315,0.5783319670454194,2.380674149716848,0.33824196897448344,0.11569935792521717,0.6599603191355696,0.2252643431707887,1.977806997110208,0.2727558395307426,0.2841392345251221,0.5676103830337524,0.33894683844808543,0.21758497491555473,0.11389601892395189,0.005145873517245483,1.827824103722378,0.0030760741255247692,0.007325549204939905,0.004199025260574752
23.0,0.6422207209236108,0.8059353730199534,168.40416,84.20208,1.0,0.2791271652144651,0.20800647369034947,0.3299187207783287,0.7040313476590403,0.30535577449425394,0.5606596911961315,2.418193762405782,0.3388869562770181,0.11569935792521717,0.6604066027384209,0.22684238299775258,1.991662089165862,0.2762577228596646,0.2836468885672938,0.5680029392242432,0.3336328924983236,0.21426138508278883,0.11389601892395189,0.004680780061148434,1.7342085711115942,0.002818225602497142,0.0066627234401246795,0.003969317801038316
24.0,0.6388559927126167,1.0289560923326921,175.72608,87.86304,1.0,0.2843559933854268,0.20920845803781915,0.33202419545908096,0.7055851231837406,0.3029752689325335,0.578328551779192,2.4599373190842773,0.34478656489431425,0.11569935792521717,0.6587451933717411,0.22231682102944894,1.9519279350570573,0.2762345679012346,0.28145853193517634,0.5140500664710999,0.33520325240745413,0.21586297129122212,0.11389601892395189,0.004775626144625016,1.846689928563137,0.002673207142684951,0.007021643924492728,0.0039933024104452375
25.0,0.6427141981729597,1.032547583407437,183.048,91.524,1.0,0.28521964920111226,0.20551145021973521,0.32749815578455793,0.7062617247629305,0.30716908045734426,0.5655177401386489,2.465252508548297,0.3431953686541427,0.11569935792521717,0.6564157013921207,0.2211806267108367,1.9419522192300547,0.2744830720290843,0.28131543293509054,0.5119182467460632,0.3309048344617863,0.2119058055985013,0.11389601892395189,0.004805384523197194,1.9356897849556844,0.002678653427167517,0.007080039593570119,0.004805862672512122
26.0,0.6422415376754349,1.2213931765256842,190.36992,95.18496,1.0,0.28657450589823824,0.20336495445333472,0.3222879846161447,0.7078619124936744,0.30582625879119063,0.5661751693094705,2.4766401201186112,0.34293549759481823,0.11569935792521717,0.6574312783237989,0.2252155273172461,1.9773783969360859,0.27104858210595734,0.2824222250672129,0.5249443054199219,0.3252652287526866,0.21031740367098334,0.11389601892395189,0.004059924934701769,1.6996234211237606,0.002386598799540272,0.005865061814475914,0.003663005122412804
27.0,0.6434601497953223,1.3701940556183965,197.69184,98.84592,1.0,0.2889189173028109,0.1955380593245995,0.3090402020639388,0.7109425793827767,0.3128044823004709,0.548230964890711,2.497514694907832,0.3416869822153763,0.11569935792521717,0.6567861486580947,0.2229824938942662,1.9577725016284466,0.2772503717259522,0.283495145631068,0.5291033387184143,0.31200254945231753,0.20264869910853636,0.11389601892395189,0.004204901548679272,1.8303143568136875,0.0023856939196222325,0.006171185970959223,0.0038886999480611914
28.0,0.6448553015265067,1.3362614749838493,205.01376,102.50688,1.0,0.2869189288702567,0.20738222324885808,0.32829313063056637,0.7092347504283812,0.3021384482338604,0.5858960922187902,2.4820137992589655,0.344434469068457,0.11569935792521717,0.6579874072777483,0.222675627391809,1.9550782327211014,0.2718673610373047,0.2823695345557123,0.5411802530288696,0.33163371896170507,0.2145554877481419,0.11389601892395189,0.003701328235061509,1.6756458561167165,0.002155594581113758,0.005372480366400994,0.003048039401850679
29.0,0.643307267969343,1.3783528357313681,212.33568,106.16784,1.0,0.288161180119219,0.19773435595887665,0.3128428106240795,0.7116971146216732,0.3101389336961125,0.5675850953748719,2.493706952442295,0.3474214462327189,0.11569935792521717,0.6575181958265643,0.2242424458315947,1.96883480169154,0.27830133798720186,0.28439726218745637,0.530047595500946,0.3160857262670803,0.2052587109418512,0.11389601892395189,0.003455313451698633,1.6210726717745274,0.0020253725196036952,0.005000823468108578,0.0037691134682705384
30.0,0.6443107278031668,1.2429133505481496,219.6576,109.8288,1.0,0.2942599798983245,0.20044030633335716,0.3155907321768494,0.7136180069069797,0.31223945668287956,0.6041941740276321,2.5478942240492115,0.3514273941752517,0.11569935792521717,0.6547116364389696,0.2220473409114898,1.9495619162927047,0.27318757192174914,0.28207437910178873,0.523685097694397,0.3186317108144488,0.2092922756664824,0.11389601892395189,0.003392581578880795,1.6495506056908198,0.001902983069946076,0.0050079565489505986,0.0044134334349001944
31.0,0.6496224588247588,1.732872506965045,226.97952,113.48976,1.0,0.2930679431870713,0.20351738914818937,0.3236097431347532,0.7162997098198073,0.31033529043061436,0.5866895120843718,2.5347796240120126,0.35023753864388324,0.11569935792521717,0.6547615958063546,0.22395986192721645,1.9663537324930904,0.27139552814186585,0.28258887876025524,0.5550893545150757,0.32653293912000797,0.21152077410180536,0.11389601892395189,0.0034624892912256157,1.741771313625577,0.0019267594108425476,0.005130073602622819,0.004671823233389809
32.0,0.6455741195760802,1.450594399042094,234.30144,117.15072,1.0,0.2948560768137212,0.19724402838629623,0.3124174888180181,0.7160231282820699,0.3130469763496171,0.5680704722360356,2.548292428975193,0.34868828369915966,0.11569935792521717,0.6535947728822813,0.21858496803304844,1.9191624966189302,0.27574487368301803,0.28223718280683585,0.5237155556678772,0.3154726060627525,0.20570232318997025,0.11389601892395189,0.0032292956962926564,1.6792681190099756,0.0018013156739693525,0.004782026071983572,0.0033505007654038156
33.0,0.654462884092389,1.8975616014209415,241.62336,120.81168,1.0,0.29557354047159295,0.19582335949046853,0.3082738963990549,0.7173152365627208,0.31160118400644327,0.5889406392368849,2.5569853023363485,0.35097704899046395,0.11569935792521717,0.6544651903056591,0.2219941833326698,1.949095196039247,0.274020117932709,0.28327695249301366,0.5437831282615662,0.3115531608607131,0.2048589989948728,0.11389601892395189,0.003248413805261941,1.7443722319967492,0.0018088989814013013,0.004811085448449975,0.004573631600917401
34.0,0.6477910148065493,1.8281792415466853,248.94528,124.47264,1.0,0.2960956073146919,0.20566807713145546,0.32438574240051593,0.7162897637997727,0.310124673861881,0.5862408426457654,2.560389941293669,0.3495054268952343,0.11569935792521717,0.6532779243246977,0.2208031092374891,1.938637639169099,0.27020636285468613,0.2786643026004728,0.5592893958091736,0.32795879977878584,0.21493933467199186,0.11389601892395189,0.0031261761467781656,1.73653137360634,0.001701630653588856,0.004670806796247227,0.0033794059009867178
