round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
19.0,0.6249843815082403,0.5702318600873151,29.20448,29.20448,0.0,0.3257083438404075,2.402213810901839,0.332134411770582,0.11381806735914382,0.302590810210929,0.5313868201600705,0.27086472362280123,0.208995343277553,0.7011818615936711,0.622286475972895,0.15356686626116559,1.348307585392443,0.24579589956231282,0.2553150367220719,0.4966217279434204,0.3673188960979999,0.2343932224711301,0.11389601892395189,0.0,0.0,,
20.0,0.6071314600093315,0.6276726405540773,29.20448,29.20448,0.0,0.3404876202618041,2.499976184896366,0.3210423047143965,0.11381806735914382,0.31150765773099937,0.5465577851536516,0.28183487163816945,0.2020754191237109,0.7107997395325957,0.622286475972895,0.15356686626116559,1.348307585392443,0.24579589956231282,0.2553150367220719,0.4966217279434204,0.3673188960979999,0.2343932224711301,0.11389601892395189,0.0,0.0,,
21.0,0.6393335584664166,0.4934649802654758,32.85504,32.85504,0.9971592150692714,0.297658739154558,2.0886882385563097,0.35098618805305287,0.11381806735914382,0.2725032572282377,0.5742998649836113,0.23909398786513308,0.22276361729599958,0.6711658686600409,0.633417061602096,0.16024271383302297,1.4069211140735012,0.25713287527658085,0.26436433404018983,0.4963664412498474,0.36501374475950804,0.23248806589242374,0.11389601892395189,0.00807658933886053,1.4344151080586016,0.005800039143373669,0.009892382190249656
22.0,0.6461656401449041,0.5986871279679641,32.85504,32.85504,0.0,0.31510095627640683,2.2833539736970994,0.3592990260905427,0.11381806735914382,0.2863719784847195,0.5820928243972388,0.25912595979434455,0.22783199426578038,0.6895549308061376,0.633417061602096,0.16024271383302297,1.4069211140735012,0.25713287527658085,0.26436433404018983,0.4963664412498474,0.36501374475950804,0.23248806589242374,0.11389601892395189,0.0,0.0,,
23.0,0.619626467463734,0.6220799554541038,32.85504,32.85504,0.0,0.33125865369300483,2.418223302068932,0.32327768192232265,0.11381806735914382,0.30970455697790417,0.5404960764816508,0.2738860928994757,0.202224192929684,0.7022837618045228,0.633417061602096,0.16024271383302297,1.4069211140735012,0.25713287527658085,0.26436433404018983,0.4963664412498474,0.36501374475950804,0.23248806589242374,0.11389601892395189,0.0,0.0,,
24.0,0.5985218147823201,0.6725036296450768,32.85504,32.85504,0.0,0.34179178029721646,2.512740394426085,0.33067299244438164,0.11381806735914382,0.31053989588395225,0.5695688691010145,0.28493425167659636,0.20721032258989344,0.7155277969502988,0.633417061602096,0.16024271383302297,1.4069211140735012,0.25713287527658085,0.26436433404018983,0.4963664412498474,0.36501374475950804,0.23248806589242374,0.11389601892395189,0.0,0.0,,
25.0,0.6438976156412951,0.8396774474534482,36.5056,36.5056,0.9971592150692714,0.30007442611239443,2.1196293847590284,0.31441993135601265,0.11381806735914382,0.280425047860115,0.5298128444123351,0.24234923769271957,0.20053421626863238,0.6733391870846515,0.6402325684475962,0.16545068144175415,1.452646747488384,0.2563267351540967,0.26951456310679606,0.49274158477783203,0.3575678155267897,0.22691897171085615,0.11389601892395189,0.007253121857610624,1.365833807270974,0.0053314988037820345,0.008807873629853533
26.0,0.6422490013766987,0.7230143954109869,36.5056,36.5056,0.0,0.3159392170292147,2.3109683030674595,0.346309899743019,0.11381806735914382,0.28598175652304675,0.5523120952864509,0.2629616040537329,0.218521214812048,0.692338395914316,0.6402325684475962,0.16545068144175415,1.452646747488384,0.2563267351540967,0.26951456310679606,0.49274158477783203,0.3575678155267897,0.22691897171085615,0.11389601892395189,0.0,0.0,,
27.0,0.6176493132323946,0.5684626940036634,36.5056,36.5056,0.0,0.3285775065334878,2.494723716371469,0.3237058549027727,0.11381806735914382,0.2974966803164099,0.5541448103732421,0.2812222148525415,0.20515117299633187,0.7042481290774611,0.6402325684475962,0.16545068144175415,1.452646747488384,0.2563267351540967,0.26951456310679606,0.49274158477783203,0.3575678155267897,0.22691897171085615,0.11389601892395189,0.0,0.0,,
28.0,0.6109463155183155,1.2216888454003154,36.5056,36.5056,0.0,0.34249879613814477,2.587920148784759,0.3177330160269916,0.11381806735914382,0.30953744106130227,0.578066138775423,0.29117590375125363,0.20057641738675983,0.7158536387277232,0.6402325684475962,0.16545068144175415,1.452646747488384,0.2563267351540967,0.26951456310679606,0.49274158477783203,0.3575678155267897,0.22691897171085615,0.11389601892395189,0.0,0.0,,
29.0,0.6399193194380881,0.7570417768245185,40.15616,40.15616,0.9971592150692714,0.3008171800011047,2.124721565131167,0.3274031463258852,0.11381806735914382,0.2762223037602434,0.5259223822437444,0.24369746785721114,0.20814392475515667,0.6747575214558569,0.6348805159169967,0.16032979843404035,1.4076857114829642,0.25194976867151353,0.26366824840107284,0.49402281641960144,0.3587859282556469,0.22790719740540755,0.11389601892395189,0.006521409608677572,1.2980603380128741,0.004877973713422785,0.007872753770388268
30.0,0.645148255343205,0.7131182925804731,40.15616,40.15616,0.0,0.3198862360667948,2.3260290335737746,0.3433481722420535,0.11381806735914382,0.29501291469036983,0.5679192731130562,0.26525180458704567,0.21613231904166116,0.6956022881140007,0.6348805159169967,0.16032979843404035,1.4076857114829642,0.25194976867151353,0.26366824840107284,0.49402281641960144,0.3587859282556469,0.22790719740540755,0.11389601892395189,0.0,0.0,,
31.0,0.6228509671801449,0.6748641211817834,40.15616,40.15616,0.0,0.332908494399107,2.445207628864306,0.33324334885049134,0.11381806735914382,0.29774996076178345,0.5627961320212174,0.2779660425481687,0.20997928247902714,0.7058809323604759,0.6348805159169967,0.16032979843404035,1.4076857114829642,0.25194976867151353,0.26366824840107284,0.49402281641960144,0.3587859282556469,0.22790719740540755,0.11389601892395189,0.0,0.0,,
32.0,0.5982212732059112,0.6810985286327937,40.15616,40.15616,0.0,0.3473186763095159,2.6063485971902454,0.30392827466276834,0.11381806735914382,0.3128886923023863,0.5793834068619834,0.2962140364741335,0.194228744471922,0.7220702005518032,0.6348805159169967,0.16032979843404035,1.4076857114829642,0.25194976867151353,0.26366824840107284,0.49402281641960144,0.3587859282556469,0.22790719740540755,0.11389601892395189,0.0,0.0,,
33.0,0.6430524555057883,0.8066267856749262,43.80672,43.80672,0.9971592150692714,0.30519128105042775,2.164443757737983,0.34002247973549543,0.11381806735914382,0.2820528376682669,0.5366402215990663,0.24849878239144302,0.21472328755028244,0.6795214328466269,0.6315833231640943,0.16129432621428888,1.416154205723246,0.25721153846153844,0.26117673032343525,0.4980885684490204,0.366719597949734,0.23388800166064783,0.11389601892395189,0.006372731867143348,1.3345717887859792,0.00472002100526736,0.00776649974466131
34.0,0.6364236310865157,0.7981930844737953,43.80672,43.80672,0.0,0.3204991503256319,2.312592468622614,0.33392656149848626,0.11381806735914382,0.28929299822136184,0.5510583928838105,0.2639107009775255,0.21114717290819415,0.6960279526085928,0.6315833231640943,0.16129432621428888,1.416154205723246,0.25721153846153844,0.26117673032343525,0.4980885684490204,0.366719597949734,0.23388800166064783,0.11389601892395189,0.0,0.0,,
35.0,0.6146923698545288,0.7177509877710342,43.80672,43.80672,0.0,0.3346184666596561,2.4661320619150056,0.33243641528422013,0.11381806735914382,0.29918020180217225,0.5828612945122579,0.2806945989301684,0.2086396168885575,0.7086139485644123,0.6315833231640943,0.16129432621428888,1.416154205723246,0.25721153846153844,0.26117673032343525,0.4980885684490204,0.366719597949734,0.23388800166064783,0.11389601892395189,0.0,0.0,,
36.0,0.5902551756823275,0.6965396344851815,43.80672,43.80672,0.0,0.34623157603777127,2.6414198343028663,0.3077180535459541,0.11381806735914382,0.3182327618302657,0.5699581509271356,0.3002866525128989,0.19283343589407584,0.7211886747377665,0.6315833231640943,0.16129432621428888,1.416154205723246,0.25721153846153844,0.26117673032343525,0.4980885684490204,0.366719597949734,0.23388800166064783,0.11389601892395189,0.0,0.0,,
37.0,0.6391764272608319,0.7628883750313797,47.45728,47.45728,0.9971592150692714,0.3061209601084069,2.1903175955425085,0.3353266238268063,0.11381806735914382,0.2844200442499785,0.5435286838846234,0.25120764429256276,0.2116667420023412,0.6814485438768192,0.6375981624389989,0.166524488416718,1.4620747062977328,0.26905047421781314,0.27048087767866297,0.498180627822876,0.3692657445240132,0.23557090408405035,0.11389601892395189,0.006128918494932212,1.3522847961867228,0.004535944955959736,0.007499431437060785
38.0,0.6347056639193415,0.7358611107965614,47.45728,47.45728,0.0,0.3180400817380424,2.3551071696799286,0.3459484755174428,0.11381806735914382,0.29080289057239694,0.5598781800285091,0.2684361232187715,0.21784531142464225,0.6978836102306849,0.6375981624389989,0.166524488416718,1.4620747062977328,0.26905047421781314,0.27048087767866297,0.498180627822876,0.3692657445240132,0.23557090408405035,0.11389601892395189,0.0,0.0,,
39.0,0.6110272579131875,0.8627205912128847,47.45728,47.45728,0.0,0.3403324016004001,2.5074778906568156,0.3162605885184098,0.11381806735914382,0.3149848109403393,0.5749094932455291,0.28506541146738607,0.19913862875920826,0.7153085235321971,0.6375981624389989,0.166524488416718,1.4620747062977328,0.26905047421781314,0.27048087767866297,0.498180627822876,0.3692657445240132,0.23557090408405035,0.11389601892395189,0.0,0.0,,
40.0,0.5906741590429144,0.9260902421130186,47.45728,47.45728,0.0,0.35077376786312514,2.644014509633394,0.3039831168619523,0.11381806735914382,0.3192325151227837,0.5597460558120282,0.29956814669178533,0.19130784689276112,0.7268367904458416,0.6375981624389989,0.166524488416718,1.4620747062977328,0.26905047421781314,0.27048087767866297,0.498180627822876,0.3692657445240132,0.23557090408405035,0.11389601892395189,0.0,0.0,,
41.0,0.6383150429831241,0.9770308484568984,51.10784,51.10784,0.9971592150692714,0.3094054948695947,2.202165421499312,0.35126046779904674,0.11381806735914382,0.277832215424203,0.5674673784612146,0.25251424472309986,0.22365169063007434,0.6825793397166909,0.6205761613927763,0.15431757692775913,1.3548987786025832,0.24336080586080586,0.256769035071779,0.4936532974243164,0.3692174022157165,0.23590180277353098,0.11389601892395189,0.005880058600428826,1.3633117037825286,0.004374579349008522,0.0072018034744183255
