round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_auprc_lift,fed_auprc,fed_brier,fed_f1_best_threshold,fed_ece,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
27.0,0.5549163647268598,0.601231277883188,57.56928,57.56928,0.5412350858791136,0.11372647743722075,0.7042443576142843,2.4321300153078895,0.2748464626471171,0.10680620072881702,0.24607800026977258,0.07496117315059862,0.10640612230805818,0.327107410495307,0.3393894184729636,0.08087776670672814,0.7101017881997266,0.2045002711006687,0.20454648167397296,0.523935079574585,0.4667813637019152,0.3234125349060598,0.11389601892395189,0.006618106837969601,0.9863446021918207,,0.006618106837969601
28.0,0.5447604067008867,1.1210026336177374,59.55072,59.55072,0.5412350858791136,0.11372647743722075,0.715545941373775,2.6097267470788768,0.2937664511363801,0.10534620452828869,0.2529284250061751,0.07399068768883243,0.11591906345600299,0.33969982090425455,0.33999515540964953,0.08091990115085969,0.7104717260125635,0.2045002711006687,0.2045002711006687,0.5216588377952576,0.47134544484130186,0.32843546826260095,0.11389601892395189,0.0055949669130337925,0.8673266230616719,,0.0055949669130337925
29.0,0.5250959205487769,1.0303982966412017,61.53216,61.53216,0.5412350858791136,0.11372647743722075,0.7260666073448003,2.7428829915830004,0.30743213148576826,0.10233364259053596,0.23913501072936413,0.06898228507770901,0.12998519398970823,0.34845616775217825,0.33975829705746985,0.08087494521356631,0.7100770156643168,0.2045002711006687,0.20457421804375336,0.5284755825996399,0.47868195518261053,0.3359457594617274,0.11389601892395189,0.006411410886578689,1.0291978017194197,,0.006411410886578689
30.0,0.5813370176803826,1.149112002249158,65.18272,65.18272,0.9971592150692714,0.11372647743722075,0.675794534289533,2.1610732634558687,0.24551359081100377,0.11080814979389875,0.24917316458994124,0.08679041567285091,0.0889230846062916,0.30572727105440156,0.3402405222901103,0.08090781838800624,0.7103656401022077,0.2045002711006687,0.2045649717514124,0.5280296802520752,0.46748062898206855,0.3241960836485989,0.11389601892395189,0.006008170729604001,1.3957419679500163,0.008132136389891596,0.005138958241086234
31.0,0.5740514223432956,0.9154445063486767,67.16416,67.16416,0.5412350858791136,0.11372647743722075,0.6953232264447333,2.309264571218515,0.2612873446299925,0.10755192495723327,0.26299481537945435,0.07481542460370004,0.08878779909963175,0.32096316124642843,0.34109738630560654,0.08097792446910038,0.7109811671571168,0.2045002711006687,0.20458346517199294,0.5275428891181946,0.4676252879159993,0.3241313387729379,0.11389601892395189,0.004225534900663496,0.7088368794647977,,0.004225534900663496
32.0,0.5583508189179682,0.9246387384615502,69.1456,69.1456,0.5412350858791136,0.11372647743722075,0.707078524999587,2.4846055737017005,0.27981188618982356,0.10513759582839222,0.260946389461443,0.0686377253524014,0.09816362084122644,0.32903841458905203,0.34118706468775534,0.08098643379625829,0.7110558785231357,0.2045002711006687,0.2045649717514124,0.5263530611991882,0.4595878798400422,0.31609731651471684,0.11389601892395189,0.004231174076564859,0.7256885117385536,,0.004231174076564859
33.0,0.5290533592665868,0.767849112713482,71.12704,71.12704,0.5412350858791136,0.11372647743722075,0.7197966321714836,2.6047576171133056,0.293133111011665,0.10429212417541163,0.25365645675375137,0.06715157903344368,0.133392956574904,0.344573479501707,0.34339372263372436,0.08123925475721407,0.7132756309196139,0.2045002711006687,0.20458346517199294,0.5268737077713013,0.4579727911578373,0.3143363637151942,0.11389601892395189,0.005133696023884848,0.9078526038210839,,0.005133696023884848
34.0,0.5199393052521333,1.1656337797742349,73.10848,73.10848,0.5412350858791136,0.11372647743722075,0.7279302880295259,2.7633611075691538,0.31045021800440314,0.10224670099650959,0.2661616073025579,0.06763398219042986,0.13659784951280493,0.35566978125482906,0.34353479102075685,0.0812372863608709,0.7132583485214953,0.2045002711006687,0.20468523878437048,0.5270644426345825,0.46323115000745674,0.3198951206971809,0.11389601892395189,0.006418875504296368,1.1772282680030912,,0.006418875504296368
35.0,0.5820033100798327,1.4170821705706838,74.7776,74.7776,0.4559241291901578,0.11372647743722075,0.6813559834995092,2.2345546584491403,0.2530640828052626,0.10965962463387877,0.24007628333468037,0.0821075617112475,0.09190085570789547,0.30952974401734806,0.34369395571720146,0.08126232225710747,0.7134781621416122,0.2045002711006687,0.2046019619366213,0.5271118879318237,0.4615116726110792,0.31806131253399744,0.11389601892395189,0.007460335795692728,0.542099331272766,0.007460335795692728,
36.0,0.5744148386547722,0.9816684621891026,76.75904,76.75904,0.5412350858791136,0.11372647743722075,0.6999166474384428,2.385391704778806,0.2692777047931333,0.10780573017530318,0.24413094077200925,0.07685375808675399,0.10186288309848883,0.3250665388328644,0.34572774496542347,0.08148320989168449,0.7154175419080332,0.2045002711006687,0.20453723788864786,0.5215979814529419,0.45291625108852795,0.30944580325653903,0.11389601892395189,0.004008259865712027,0.7537506885128096,,0.004008259865712027
37.0,0.5502901514070013,0.8688896059764042,78.74048,78.74048,0.5412350858791136,0.11372647743722075,0.7113758618800194,2.536501945516224,0.2860197558756825,0.10703517879537104,0.26358393576485944,0.07912711191197251,0.1073948051699047,0.3379952525693841,0.3439708217215348,0.08129937598023693,0.7138034915383683,0.2045002711006687,0.20452799493876814,0.5232791900634766,0.45588918727359456,0.3125905974522245,0.11389601892395189,0.0044631590457988365,0.8579270297195762,,0.0044631590457988365
38.0,0.533293251986674,1.0594570257845388,80.72192,80.72192,0.5412350858791136,0.11372647743722075,0.7236547930590728,2.669079577615511,0.2996620801254206,0.10408805155994802,0.2544096781664074,0.07261393568181057,0.11330614010344195,0.34714889606402094,0.3441584485745304,0.08133390504811924,0.7141066546182417,0.2045002711006687,0.20451875282422052,0.5192701816558838,0.4545429711031311,0.3112785440501974,0.11389601892395189,0.004749933208829968,0.9410623600706458,,0.004749933208829968
