round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auprc,fed_auprc_lift,fed_ece,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6400900148646704,0.8563582655787702,40.27056,40.27056,1.0,0.10997796663519041,0.09584654176706826,0.24089641843591872,2.2228089635216755,0.060297685453998315,0.058565455250460224,0.21481918000390704,0.3133783624893654,0.68933009632238,0.6720692976709373,0.2244199670126252,1.9703934266786787,0.05068550062318238,0.285295554469956,0.20470887422561646,0.05412582553941129,0.0994665390789853,0.11389601892395189,0.007379687299759482,1.3922334187664092,0.006021975673109709,0.008653429657217968,0.003928436158925165
12.0,0.649925958392726,0.9783753264438708,43.93152,43.93152,1.0,0.10997796663519041,0.09612752003618544,0.24310608533537792,2.245059180897046,0.06312931655528864,0.050647953252836574,0.21202834584932864,0.3122554475321179,0.6908094368489205,0.6711784371906717,0.22212888759725213,1.95027789114883,0.046063651591289785,0.28421181362357834,0.18411266803741455,0.057602141994259816,0.09993591219549819,0.11389601892395189,0.006949037879161013,1.3839439164148644,0.005713555353531521,0.008133557399777306,0.003982216580936496
13.0,0.6419066519758905,0.9781253270659434,47.59248,47.59248,1.0,0.10997796663519041,0.09599303482272661,0.24664659123580068,2.2743350973821275,0.06352264686532466,0.07792425441701731,0.2141722165997913,0.31543946320820654,0.6928491940195977,0.6710496923652499,0.22347330005060295,1.9620817493174678,0.07186112232539363,0.28499305818503096,0.18073567748069763,0.056901206384045507,0.09994196547518039,0.11389601892395189,0.007000722585829065,1.4700510950060561,0.005415749039975195,0.008554009811550925,0.0032244242006998582
14.0,0.6420798150088717,1.0966370349405754,51.25344,51.25344,1.0,0.10997796663519041,0.09481594540695307,0.24991727161939833,2.303273943717227,0.05501752256922633,0.05191541653573431,0.20863944270305373,0.31576197552341073,0.6935720931753965,0.670902851230416,0.22326611026392817,1.9602626358082142,0.04294736842105263,0.28687934756536343,0.17207063734531403,0.048247458654077535,0.09906334904230858,0.11389601892395189,0.006834937293995355,1.5195029513852205,0.005094990085461526,0.008549002876707996,0.004522532130783054
15.0,0.6491354384050053,1.0814633464405665,54.9144,54.9144,1.0,0.10997796663519041,0.09546034703555037,0.25508442658956915,2.3504713732241393,0.0616734878857452,0.07036845035701106,0.21741657021344363,0.31842673550382167,0.6954298651394234,0.6689795975531381,0.22313875343759587,1.9591444507519187,0.07238714924766165,0.28266805356910674,0.1820448786020279,0.056485352229903134,0.09991408198018949,0.11389601892395189,0.005868788011093421,1.374085634452058,0.0045750350431473606,0.007167327552964846,0.004056263790428938
16.0,0.6378459747757846,1.1468801042622645,58.57536,58.57536,1.0,0.10997796663519041,0.09604871110162289,0.25531111171311055,2.3532673956517174,0.06578254845564399,0.08450623418467945,0.2351881761060483,0.31723988210691595,0.6941470363466226,0.6678723343270323,0.22218618476934232,1.9507809567751049,0.07139959432048681,0.280958564514225,0.1769869327545166,0.059973805688043724,0.10062450516653762,0.11389601892395189,0.0061099068276372626,1.5021001323329983,0.004364447155964953,0.007889894139460828,0.004337165355413166
17.0,0.6352133984522037,1.1176711332048275,62.23632,62.23632,1.0,0.10997796663519041,0.09461322918160849,0.259790155605707,2.377343620067769,0.05826423904059123,0.08850074153308267,0.22110666869701284,0.3233101372884466,0.6977764130519275,0.6692590863928854,0.22360931658073407,1.9632759660373862,0.07980652962515115,0.2827049670855775,0.16781394183635712,0.05091534131665694,0.09940448159578837,0.11389601892395189,0.005821452549781605,1.510099627164891,0.004066532613690854,0.007626242479888299,0.004440113827852108
18.0,0.6439222729199631,1.2777530863862738,65.89728,65.89728,1.0,0.10997796663519041,0.09436443375303172,0.26399337895860026,2.408398390448224,0.059705349647428,0.07982007869942473,0.21838161999000333,0.3274232314549701,0.6992711987254824,0.6680711803898854,0.22243544477452787,1.9529694442002183,0.07023274806043282,0.28352799033427306,0.18184693157672882,0.05160656159232656,0.09946393031683226,0.11389601892395189,0.00597601274903236,1.6308255169715267,0.004107812105265545,0.007922302181621014,0.003939346116118036
19.0,0.6405610538904669,1.3283575336984468,69.55824,69.55824,1.0,0.10997796663519041,0.09392128982694053,0.2657210507001967,2.4190367786938687,0.055168223272344205,0.0706502054263485,0.206778140677984,0.32082662760053793,0.6991089343359949,0.6666389365614672,0.21950831000626525,1.9272693820214246,0.06260296540362438,0.28266965787997755,0.16422802209854126,0.04757531189389114,0.09923766069328138,0.11389601892395189,0.005933437805486901,1.7006053680961486,0.0037242411932763304,0.008266741910031,0.0031622135626228997
20.0,0.6493846913151954,1.3392780394466095,73.2192,73.2192,1.0,0.10997796663519041,0.09509158697885162,0.2692164542724293,2.4723648145662325,0.0662139921132821,0.07433211194506137,0.2244608689450152,0.32201851823661093,0.7005800935440698,0.6665676682250241,0.21792552505540275,1.9133726280714967,0.05544062887877534,0.2816827802456232,0.19086827337741852,0.05897037447954938,0.10048827489134898,0.11389601892395189,0.005414282677627657,1.630188097959035,0.0034831402784998924,0.007459316503468963,0.0036287269036797717
21.0,0.6412726319571587,1.260824268817954,76.88016,76.88016,1.0,0.10997796663519041,0.09566365676529802,0.27313724736019757,2.5123779124443963,0.07076837333962252,0.10242203448844994,0.23862454891955287,0.3264253758491304,0.7025443757143063,0.6668836006726305,0.22014960821545274,1.9328999406243175,0.0857823669579031,0.2836737250971056,0.18941271305084229,0.06326445628684492,0.10122851279785999,0.11389601892395189,0.005118088580729645,1.6189498728926992,0.0032540609874995964,0.007103614543888607,0.002723627650951498
22.0,0.6407038307796581,1.3784527358854655,80.54112,80.54112,1.0,0.10997796663519041,0.09395848714933268,0.27558180348055966,2.531097410719668,0.05874511739406189,0.09971791435794912,0.21765848703079713,0.326915889185528,0.7032639098810677,0.6653091841054266,0.21850831913262644,1.9184895240150925,0.08609007572738142,0.28567674113009195,0.1827147901058197,0.051412697521099435,0.09985268108796534,0.11389601892395189,0.004865846584322523,1.6062238177692052,0.00300152210641068,0.006859795653705844,0.003186591174217132
23.0,0.6541360233880608,1.6951263149511135,84.20208,84.20208,1.0,0.10997796663519041,0.09425148321671507,0.27881588203912056,2.5573330622337886,0.06202324137228243,0.10522352471771967,0.22246153234103436,0.32925726300713104,0.7049280439954966,0.66503899440942,0.2175082244316948,1.9097087544115527,0.08399366085578447,0.2806677957899831,0.179509699344635,0.05415930464795156,0.10025901284523278,0.11389601892395189,0.0045922042386097334,1.5846829245128902,0.0028737831189288715,0.006435603378414117,0.002727228292271895
24.0,0.6460173260321647,1.6579599803134726,87.86304,87.86304,1.0,0.10997796663519041,0.09325439901879612,0.2812989473979068,2.5787815471332247,0.05675762390570119,0.1085499784971711,0.2182329022813076,0.32604598605782953,0.7037807828533771,0.6665405614092613,0.21746267041493075,1.9093087929625536,0.07472880674969867,0.2820661636680209,0.19048857688903809,0.047262607678933005,0.09936723525656067,0.11389601892395189,0.004548037951033279,1.6381087271292927,0.002697901025984448,0.006525383661154627,0.002953169028095349
25.0,0.6676251463707116,1.5648719754823852,91.524,91.524,1.0,0.10997796663519041,0.09403036818906346,0.28388741720266963,2.6020804664498156,0.06478105229353442,0.09894342731069367,0.21930893302564167,0.32942019890912,0.7065256256818103,0.6630207037340994,0.2130304163266918,1.8703938762682455,0.06252537555826228,0.28280746941403734,0.18914955854415894,0.05532129605381488,0.10041312892995938,0.11389601892395189,0.0042743600394679225,1.6036011354080983,0.0025823581308468875,0.006078448482390188,0.0029469367124202407
26.0,0.6506147598134698,1.7307962835060529,95.18496,95.18496,1.0,0.10997796663519041,0.09212352209479557,0.2876735714540616,2.6337478417762554,0.04786048924475955,0.1173649316538279,0.22095498806994254,0.33480485658898823,0.7073157490491242,0.6619821236573781,0.2157099944387787,1.8939204063208546,0.08316831683168317,0.28378187966746515,0.17884302139282227,0.03767446494581634,0.09908067789725225,0.11389601892395189,0.004135767079995493,1.6172020554804476,0.0025139210746130945,0.00585575497107129,0.0032477921341500515
27.0,0.6627027888230679,2.2451785568145524,98.84592,98.84592,1.0,0.10997796663519041,0.09357604517176686,0.2906042948412916,2.660287255202296,0.062241635446137415,0.12792970084891658,0.2592828636021032,0.33221314931456275,0.7093735678130778,0.6630504208358248,0.21598152635791407,1.8963044397726003,0.08458498023715415,0.28450742607984736,0.18865422904491425,0.05371985003875082,0.10044902139816261,0.11389601892395189,0.004003067575709697,1.6286315004399512,0.00236875379359284,0.005735377794445167,0.0026730600851440477
28.0,0.6572475205341936,1.7419451265686097,102.50688,102.50688,1.0,0.10997796663519041,0.09267102525967545,0.2926513173809457,2.6655343340192847,0.05525769585531604,0.13668163769084882,0.22220600628987927,0.3349827155705478,0.7089429017847748,0.6623133538866581,0.21392351059177875,1.8782351886646274,0.08421881149153876,0.28377601471771874,0.16322356462478638,0.046136901965569646,0.0999529136374111,0.11389601892395189,0.004043132294393986,1.7098885503655765,0.002382835242796242,0.005799803305977454,0.002792697843098466
29.0,0.66515880204717,2.178521966976672,106.16784,106.16784,1.0,0.10997796663519041,0.0925709059703249,0.29437923713184233,2.6988290559351387,0.053760138027185884,0.1396088094416107,0.24446634862233074,0.332738380116904,0.7096707459485762,0.6612712725129007,0.21292248887491022,1.8694462799185112,0.08590394377196407,0.2838241016993125,0.17796830832958221,0.045325970723492884,0.10010751865147051,0.11389601892395189,0.0038005191269506124,1.6735028099938063,0.002173797105959342,0.005508433200275264,0.0032283345053612652
30.0,0.6621424747675896,2.158901347580197,109.8288,109.8288,1.0,0.10997796663519041,0.09245709249765616,0.2961984711135679,2.709397592399623,0.05536940733075927,0.1395355226502614,0.23541436990618067,0.33602706593709886,0.7109234952096298,0.6595280783692179,0.21225677527837145,1.863601355725127,0.08323517864153906,0.2816547214887464,0.17305883765220642,0.04638424514625007,0.10005820236469476,0.11389601892395189,0.0037593842582906906,1.7134645467886003,0.0021780024551399813,0.005423081147711748,0.002443371511066719
31.0,0.6701654975820518,2.0805460402484792,113.48976,113.48976,1.0,0.10997796663519041,0.09343328637544751,0.29925360366707027,2.739150243680862,0.06428240388172315,0.14612148776300138,0.2506781128927864,0.33707988059059235,0.7120383060668871,0.6628610245101335,0.21203906610998338,1.8616898826952097,0.08916218293620293,0.28658536585365857,0.18301236629486084,0.054813586260047786,0.10114698469425082,0.11389601892395189,0.0036857372954318523,1.7381425079074688,0.0020519166818559814,0.005405948714099933,0.002045724557533061
