round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auroc,fed_ece,fed_f1_best,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6451017744303538,0.411988428068007,32.85504,32.85504,0.9971592150692714,2.188497420507256,0.28361310623327435,0.679677495349855,0.34899157183601215,0.31723091352122423,0.24915356669848304,0.11455186304128903,0.5763860082615837,0.22019267761837158,0.3249245313620588,0.0787220578861774,0.6911747981177457,0.11266757041723151,0.2045002711006687,0.3355352282524109,0.3860113441455141,0.2525056422322715,0.11389601892395189,0.008489750964966018,1.4619117203401402,0.005879120753213612,0.010723377959369486
22.0,0.6403236039953862,0.4448165283847499,32.85504,32.85504,0.0,2.3427694245467223,0.29527341669167556,0.693941061618676,0.3418019080491434,0.32651649041210656,0.2656644610072539,0.11455186304128903,0.5696306937155646,0.2156819530099992,0.3249245313620588,0.0787220578861774,0.6911747981177457,0.11266757041723151,0.2045002711006687,0.3355352282524109,0.3860113441455141,0.2525056422322715,0.11389601892395189,0.0,0.0,,
23.0,0.6244251510690251,0.5124557289876494,32.85504,32.85504,0.0,2.4612340417210787,0.3039637247898139,0.7075765717357461,0.3464350652586,0.3402594497210291,0.27862856710248984,0.11455186304128903,0.6034313595374485,0.2191879744614874,0.3249245313620588,0.0787220578861774,0.6911747981177457,0.11266757041723151,0.2045002711006687,0.3355352282524109,0.3860113441455141,0.2525056422322715,0.11389601892395189,0.0,0.0,,
24.0,0.6070145978620686,0.5570405466882272,32.85504,32.85504,0.0,2.5920593820614957,0.314615489346506,0.7178136315017561,0.33135546883697126,0.350072964527425,0.2925860551984432,0.11455186304128903,0.5841660987105585,0.20875268972460798,0.3249245313620588,0.0787220578861774,0.6911747981177457,0.11266757041723151,0.2045002711006687,0.3355352282524109,0.3860113441455141,0.2525056422322715,0.11389601892395189,0.0,0.0,,
25.0,0.6451125605054144,0.5345003658596595,36.5056,36.5056,0.9971592150692714,2.2168056295049663,0.2894146363649127,0.6808489547557918,0.3335046453728769,0.3188495118143654,0.2524841002559505,0.11455186304128903,0.559014728759891,0.2099478495236547,0.32559043037039603,0.07879163021058921,0.6917856388220048,0.12373824074709881,0.2045002711006687,0.3522653877735138,0.38825984578546857,0.25408836893678405,0.11389601892395189,0.007510694137558988,1.372046711621806,0.005467331131213028,0.009291356687827436
26.0,0.6424734703149382,0.4959456156784456,36.5056,36.5056,0.0,2.3831709879375187,0.30670059195465843,0.6949570214366223,0.32399621508215537,0.3299550743043303,0.2707180816569913,0.11455186304128903,0.5394377882563305,0.20299713703293557,0.32559043037039603,0.07879163021058921,0.6917856388220048,0.12373824074709881,0.2045002711006687,0.3522653877735138,0.38825984578546857,0.25408836893678405,0.11389601892395189,0.0,0.0,,
27.0,0.6272688551734921,0.5708401627324486,36.5056,36.5056,0.0,2.479875422338771,0.31254534787562593,0.7059263199817866,0.32564186863343286,0.34242782104858027,0.2810853272992317,0.11455186304128903,0.5506907240107791,0.20308049691184993,0.32559043037039603,0.07879163021058921,0.6917856388220048,0.12373824074709881,0.2045002711006687,0.3522653877735138,0.38825984578546857,0.25408836893678405,0.11389601892395189,0.0,0.0,,
28.0,0.6139671877099098,1.1846819723765163,36.5056,36.5056,0.0,2.608082754842437,0.30619653605968744,0.718626336571674,0.3390701783751583,0.35669780899801645,0.29513745291199395,0.11455186304128903,0.6025507264026823,0.21451782574528572,0.32559043037039603,0.07879163021058921,0.6917856388220048,0.12373824074709881,0.2045002711006687,0.3522653877735138,0.38825984578546857,0.25408836893678405,0.11389601892395189,0.0,0.0,,
29.0,0.6423839086178347,0.558388507213819,40.15616,40.15616,0.9971592150692714,2.2306960843790073,0.29350737206806726,0.6833109299292127,0.3386157861060097,0.319501684944613,0.25429011683283465,0.11455186304128903,0.5467945792283656,0.2127046477309928,0.32551953851750515,0.07878996447972421,0.6917710138080602,0.11861471861471862,0.2045002711006687,0.34808507561683655,0.38514594996879653,0.25148287503972994,0.11389601892395189,0.00703321584121583,1.3598056356422603,0.005404755307503158,0.00847281441677218
30.0,0.6477382230371158,0.5594701139312142,40.15616,40.15616,0.0,2.3862445369199947,0.3032168278226686,0.6994677724733968,0.3382016891449003,0.3359944365275527,0.2711819253904014,0.11455186304128903,0.5689656521697329,0.21330471762948502,0.32551953851750515,0.07878996447972421,0.6917710138080602,0.11861471861471862,0.2045002711006687,0.34808507561683655,0.38514594996879653,0.25148287503972994,0.11389601892395189,0.0,0.0,,
