round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
15.0,0.6393727020908436,0.6990126004374793,54.9144,54.9144,1.0,0.26515902348356435,0.32767626475428024,0.11398539778449145,0.6911121000350395,0.5444619854741466,0.29396315828501773,2.3276578191655175,0.33553617847154865,0.2113778329055024,0.6630864252128726,0.21845441858105702,1.918016280506859,0.2749073468497929,0.28391356542617047,0.546883225440979,0.3368702906961664,0.21545667166443483,0.11389601892395189,0.006774410966857838,1.7057082263418124,0.004901224886610151,0.008577216341378884,0.004080299102286458
16.0,0.6408212712503488,0.6240052910017393,58.57536,58.57536,1.0,0.266756158231079,0.3251141441697629,0.11398539778449145,0.6912666678627014,0.5709456593916196,0.285189508677099,2.3398583043782764,0.35885256308263164,0.2268753993295089,0.6639513836247425,0.21978648819220795,1.929711769284569,0.2702859350850077,0.28367376089130125,0.5614928603172302,0.3601333283379541,0.2310855109250854,0.11389601892395189,0.006607022883135998,1.7585664423313574,0.004718785901719888,0.008447126368955907,0.004225318304791571
17.0,0.6387151718993905,0.7649406522468951,62.23632,62.23632,1.0,0.271137692510249,0.32870410018837143,0.11398539778449145,0.693113067107667,0.5592505906512519,0.2923981076625204,2.377459686826368,0.33226807445568135,0.20958601061047644,0.6638652943857919,0.2213350942010126,1.9433084342377018,0.2745183887915937,0.2814337720526463,0.5399137139320374,0.3333583795675286,0.2139655221726783,0.11389601892395189,0.006235851704800274,1.7477463604191144,0.004145432830213949,0.008301822043381063,0.00426390935709075
18.0,0.634452349885679,0.78769279833724,65.89728,65.89728,1.0,0.2729554018350312,0.33134674911779666,0.11398539778449145,0.6962313642288518,0.566531654541106,0.29807624610587097,2.3970310739902336,0.3308396596723674,0.20844075902667586,0.6617974961233489,0.21870701371732823,1.9202340501765773,0.27375415282392024,0.2783925451368666,0.5432804822921753,0.33185111134117534,0.21318540206997655,0.11389601892395189,0.006135690511373092,1.8180864782916615,0.00398041952450379,0.008277351070761432,0.004108846713703335
19.0,0.6398588301606516,0.8332228360853409,69.55824,69.55824,1.0,0.2759226987111341,0.3312917500182152,0.11398539778449145,0.6982107796352791,0.5541820040991209,0.30231513516353625,2.4230337693365933,0.31582927414261125,0.19969594435522317,0.662156008860716,0.2195784403954969,1.9278851225002773,0.2753142044107185,0.28036790358388836,0.552969217300415,0.3170081072362395,0.20492306375567879,0.11389601892395189,0.0057238827704435965,1.784338970988756,0.003770292951918967,0.007685669271601374,0.003358651912011012
20.0,0.6388075637845542,1.0728240361886578,73.2192,73.2192,1.0,0.2783701286066112,0.33619988561696595,0.11398539778449145,0.7004584449193829,0.5782907036436048,0.2909526848357035,2.4464274976275626,0.34197190800125554,0.21561546087588054,0.6589806587347773,0.22094204403150214,1.9398574780653628,0.2704066189082837,0.28140531276778064,0.5797457098960876,0.3431239590033603,0.22092764964890985,0.11389601892395189,0.0056967802633764155,1.862039837109478,0.003521399460676369,0.007898107604208508,0.003992189093784944
21.0,0.6411129301268726,0.9660486990561244,76.88016,76.88016,1.0,0.2781103540995124,0.33764318866443505,0.11398539778449145,0.7011439184389427,0.5820804360244809,0.3041809790379287,2.439669342270056,0.3217754180889909,0.20339881087671555,0.6600358166372499,0.21965822568275636,1.9285856323865163,0.2738380723992235,0.279039243995275,0.5258841514587402,0.32298098006302833,0.20922141677514086,0.11389601892395189,0.005343530298876364,1.8303485801698116,0.0034191105644336894,0.0073043577812649365,0.004296233805959454
22.0,0.6390303882776021,1.1767017379333682,80.54112,80.54112,1.0,0.28295018620859574,0.34179355996322186,0.11398539778449145,0.7046081347732156,0.5745659572881723,0.3062965640575161,2.4854887353917072,0.315781496261919,0.19980293672892147,0.6597449077964171,0.21581295046469734,1.8948243538590681,0.2753519446432832,0.2764227642276423,0.5061542987823486,0.3172652738556852,0.20628497416586286,0.11389601892395189,0.005129804188404433,1.8438041051813343,0.0032291084173054945,0.0070763411322012065,0.005355898899922208
23.0,0.6409729754386463,1.4712785237861365,84.20208,84.20208,1.0,0.2843486287631205,0.3418186046987097,0.11398539778449145,0.7074258287513775,0.5708140154000586,0.3027744867742525,2.4987861270135725,0.3275546314640178,0.20637298843521182,0.6583434728720259,0.21548217994812469,1.8919202091866059,0.2734271887373515,0.27655200767438676,0.5369265675544739,0.3294634734166107,0.21303156033766468,0.11389601892395189,0.00503908126916908,1.894123788264551,0.0031309876105876386,0.007011590666395407,0.005843709374774229
24.0,0.6363843710673586,1.2585020896857864,87.86304,87.86304,1.0,0.2865689363374801,0.3407319444172946,0.11398539778449145,0.7070139341549273,0.5849057747593218,0.29431232549438263,2.5156130595428783,0.33809297523314275,0.21391962050166125,0.6574557748535994,0.21692067411125754,1.9045500989467856,0.26571282575370464,0.2783766645529486,0.581008791923523,0.3395123781440521,0.22056946115132098,0.11389601892395189,0.004651150467941212,1.8232210340929669,0.002687151446880415,0.006701136287967728,0.004625376291124212
25.0,0.6381206111146611,1.3683563651101598,91.524,91.524,1.0,0.2882048110085255,0.34457480765803633,0.11398539778449145,0.7088982886558884,0.5923160607537324,0.29916290319499983,2.5304736927676306,0.33199701505686025,0.21076097313933653,0.6557083389952276,0.21553394877067775,1.8923747362459549,0.2652997175436761,0.27518080790262833,0.599153995513916,0.33362326768966966,0.21821613778527332,0.11389601892395189,0.0044325119883996825,1.8037160571857385,0.002638271323883586,0.0063130229505855145,0.005707044225867133
26.0,0.6430985233322307,1.7457378072263068,95.18496,95.18496,1.0,0.2905374993855717,0.34588391611402375,0.11398539778449145,0.7093627923484767,0.5923114423147681,0.29613462125347706,2.5484488743067293,0.34208351512280577,0.21585058755264175,0.6557158310179176,0.213230317563266,1.8721489967585205,0.2674514663362247,0.27355769230769234,0.5265107750892639,0.3432410331636217,0.22279271996940075,0.11389601892395189,0.004097786299415073,1.7372719300437893,0.0024871971525086494,0.005792429166241784,0.004260579574521924
27.0,0.638496534661792,1.33224539369454,98.84592,98.84592,1.0,0.292635215116883,0.34694289403351053,0.11398539778449145,0.7102872568173189,0.5618174650817959,0.3114251090726323,2.5665571936259126,0.32136228977285075,0.20140277811622362,0.6511635550468398,0.21112143870908529,1.853633170884143,0.2667753960857409,0.271296657562752,0.5178578495979309,0.3222866835518551,0.20859483440620527,0.11389601892395189,0.003928309182620897,1.7255652118437865,0.0023330713840128453,0.005621408897607301,0.004385679575825476
28.0,0.6417226576986296,1.437290505723583,102.50688,102.50688,1.0,0.2944441962924518,0.3457411120344948,0.11398539778449145,0.711798216116882,0.5930156671579961,0.3002167887242015,2.581769983361758,0.3348298463477812,0.21218512750416305,0.6527589040995495,0.21469794083215202,1.8850346382651473,0.2663358147229115,0.27644272934572883,0.5988390445709229,0.3366385063223234,0.22022228936414798,0.11389601892395189,0.0038589305992678077,1.7595187895376512,0.002139367855347227,0.005688740897238508,0.004228980417393703
