round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_auroc,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6415369718891275,0.25149376722906636,3.16197,21.90336,0.0,0.23944594346743117,0.2168347030919866,0.678900952668977,0.30443779916607056,0.11454465353389139,0.5526548575853055,0.28268568066163813,0.3425458251498699,2.0999442648854942,0.4192083364100406,0.10041992216394999,0.8816807041429616,0.2045002711006687,0.2047030039418241,0.5224524736404419,0.42037302563418333,0.27811697093584575,0.11389601892395189,0.0,0.0,,
12.0,0.6220095545534798,0.38794109935988924,3.16197,21.90336,0.0,0.2461462160252709,0.20613688191319243,0.6882938606154632,0.31160339550800586,0.11454465353389139,0.5723093720089086,0.2943813647452356,0.322337706726115,2.1656917087561824,0.4192083364100406,0.10041992216394999,0.8816807041429616,0.2045002711006687,0.2047030039418241,0.5224524736404419,0.42037302563418333,0.27811697093584575,0.11389601892395189,0.0,0.0,,
13.0,0.6573573894218702,0.18060766192606123,3.688965,25.55392,0.9971592150692714,0.2204045160010952,0.21742432536929468,0.6574934116736935,0.2897901946921136,0.11454465353389139,0.4937433809355212,0.2699379147043069,0.34666089397056254,1.9256447245345967,0.45134006559548234,0.11774210256824358,1.0337683764597576,0.2045002711006687,0.20465073613722884,0.5239190459251404,0.42208888864738003,0.27933247631915314,0.11389601892395189,0.01533832954973859,0.6156955272017512,0.010977457206275163,0.020390340360714784
14.0,0.6535778884703498,0.23077895773621715,3.688965,25.55392,0.0,0.23159287763577366,0.20877036062177495,0.6689134128727874,0.29941588709750994,0.11454465353389139,0.5183388496148249,0.28080878006036036,0.330356896233098,2.0279482915474016,0.45134006559548234,0.11774210256824358,1.0337683764597576,0.2045002711006687,0.20465073613722884,0.5239190459251404,0.42208888864738003,0.27933247631915314,0.11389601892395189,0.0,0.0,,
15.0,0.6360295452793776,0.35374710578096724,3.688965,25.55392,0.0,0.24030471071191972,0.20080356842517597,0.6792160270593166,0.3061664664793583,0.11454465353389139,0.5504866041281997,0.28777718003462716,0.3156507567754776,2.1079902613896673,0.45134006559548234,0.11774210256824358,1.0337683764597576,0.2045002711006687,0.20465073613722884,0.5239190459251404,0.42208888864738003,0.27933247631915314,0.11389601892395189,0.0,0.0,,
16.0,0.6198902892081439,0.3932671942973921,3.688965,25.55392,0.0,0.24791696703460156,0.2227203039381685,0.6885507769089234,0.31371579090671514,0.11454465353389139,0.5467108938484527,0.29134908299745116,0.35062734850805594,2.1764863541005846,0.45134006559548234,0.11774210256824358,1.0337683764597576,0.2045002711006687,0.20465073613722884,0.5239190459251404,0.42208888864738003,0.27933247631915314,0.11389601892395189,0.0,0.0,,
17.0,0.6523245994598116,0.23731391610874275,4.21596,29.20448,0.9971592150692714,0.22141816189631755,0.21470077195846216,0.6576998991903302,0.29035741385465563,0.11454465353389139,0.5002112512535534,0.2693234377917514,0.34271765602577314,1.9350402905160842,0.4729744419371755,0.13398820432806668,1.1764081448494728,0.2045002711006687,0.2047423620611035,0.5235777497291565,0.4242735859360066,0.2809966637427877,0.11389601892395189,0.013819304395341582,0.6200344777898863,0.009492252018522909,0.019017286720957295
18.0,0.6560678697502966,0.2935103684633742,4.21596,29.20448,0.0,0.2322486123414253,0.22192839811992082,0.669656915588081,0.2981748269373593,0.11454465353389139,0.5602940565760692,0.28091517671778304,0.34674987025065185,2.034444076972607,0.4729744419371755,0.13398820432806668,1.1764081448494728,0.2045002711006687,0.2047423620611035,0.5235777497291565,0.4242735859360066,0.2809966637427877,0.11389601892395189,0.0,0.0,,
19.0,0.6346473325369811,0.35035142981878864,4.21596,29.20448,0.0,0.24050750586007466,0.19801119832318315,0.6778574585648307,0.3045726207490506,0.11454465353389139,0.515153551405166,0.28256167426858914,0.31045820037980004,2.1138463641728467,0.4729744419371755,0.13398820432806668,1.1764081448494728,0.2045002711006687,0.2047423620611035,0.5235777497291565,0.4242735859360066,0.2809966637427877,0.11389601892395189,0.0,0.0,,
20.0,0.61865492226529,0.4780587074178266,4.21596,29.20448,0.0,0.25062338705755316,0.21594119502712777,0.6861163013733159,0.31326087762591465,0.11454465353389139,0.5454566320367484,0.289696501090992,0.34081806068123616,2.206619979479261,0.4729744419371755,0.13398820432806668,1.1764081448494728,0.2045002711006687,0.2047423620611035,0.5235777497291565,0.4242735859360066,0.2809966637427877,0.11389601892395189,0.0,0.0,,
21.0,0.6521343314345734,0.2609310898261183,4.742955,32.85504,0.9971592150692714,0.22145775761187658,0.2130986932010126,0.6579169144616402,0.2902440516462373,0.11454465353389139,0.4886628080925398,0.2715509618352075,0.34002292823672214,1.9351170665959272,0.4495831925494006,0.11327376000364275,0.9945366051755978,0.2045002711006687,0.20461029844662834,0.5233347415924072,0.4266879529584378,0.28345316661332765,0.11389601892395189,0.014227428424962158,0.6999432651791722,0.008698149602109132,0.021027616257881986
22.0,0.6498713241768062,0.3077994799762951,4.742955,32.85504,0.0,0.2323717154652531,0.22494304141858293,0.6708885039792781,0.2991738797919839,0.11454465353389139,0.5439392661716723,0.2813323408478148,0.35428878293121296,2.0344359161180643,0.4495831925494006,0.11327376000364275,0.9945366051755978,0.2045002711006687,0.20461029844662834,0.5233347415924072,0.4266879529584378,0.28345316661332765,0.11389601892395189,0.0,0.0,,
23.0,0.6325744942250451,0.33845939318429524,4.742955,32.85504,0.0,0.24167437332607297,0.21970094740674784,0.6803738668414423,0.30845285507640935,0.11454465353389139,0.5604169556722293,0.28467582208772296,0.34496062701775865,2.12159115990168,0.4495831925494006,0.11327376000364275,0.9945366051755978,0.2045002711006687,0.20461029844662834,0.5233347415924072,0.4266879529584378,0.28345316661332765,0.11389601892395189,0.0,0.0,,
24.0,0.6229354385447696,0.5546811153276017,4.742955,32.85504,0.0,0.25078704683736297,0.20784519409439303,0.6883577688587462,0.3168421128394004,0.11454465353389139,0.5505613136118195,0.29259940283186125,0.32750791265322154,2.203782373023425,0.4495831925494006,0.11327376000364275,0.9945366051755978,0.2045002711006687,0.20461029844662834,0.5233347415924072,0.4266879529584378,0.28345316661332765,0.11389601892395189,0.0,0.0,,
25.0,0.6466345134728242,0.29026718607667373,5.26995,36.5056,0.9971592150692714,0.22168897776191704,0.20907460246891543,0.6583575180558704,0.2902323511368688,0.11454465353389139,0.4873206031387001,0.2740285764795906,0.33316489744647065,1.9372720370033785,0.4568717886266729,0.11798672930017148,1.0359161840323055,0.2045002711006687,0.2046892783974505,0.5241448879241943,0.4261568245965034,0.28285499741473086,0.11389601892395189,0.01136835371607217,0.6126160204294138,0.007632679752589924,0.016122029480837904
26.0,0.6449385992708256,0.3340974638463422,5.26995,36.5056,0.0,0.23196527497635042,0.2028641740311307,0.6692499129087401,0.29752851713112727,0.11454465353389139,0.5216854411874908,0.28783895474356685,0.31778417108935086,2.0323633404989994,0.4568717886266729,0.11798672930017148,1.0359161840323055,0.2045002711006687,0.2046892783974505,0.5241448879241943,0.4261568245965034,0.28285499741473086,0.11389601892395189,0.0,0.0,,
27.0,0.6295696293449679,0.38599919451604003,5.26995,36.5056,0.0,0.24297926562444147,0.2133777162744319,0.6801923770747381,0.3070920417950263,0.11454465353389139,0.5584645976886118,0.28736631024138354,0.33455652964319404,2.1330254147043424,0.4568717886266729,0.11798672930017148,1.0359161840323055,0.2045002711006687,0.2046892783974505,0.5241448879241943,0.4261568245965034,0.28285499741473086,0.11389601892395189,0.0,0.0,,
28.0,0.6228919709303685,0.5443081559342261,5.26995,36.5056,0.0,0.2511536057684714,0.2115467845564613,0.6883673936761507,0.3152652050411962,0.11454465353389139,0.5629706730029456,0.29479684522705996,0.3339548087166855,2.2068408458232707,0.4568717886266729,0.11798672930017148,1.0359161840323055,0.2045002711006687,0.2046892783974505,0.5241448879241943,0.4261568245965034,0.28285499741473086,0.11389601892395189,0.0,0.0,,
29.0,0.6447099233599166,0.33809727629115793,5.796945,40.15616,0.9971592150692714,0.22329394937219288,0.20698476592798995,0.6589620979834401,0.289993843135368,0.11454465353389139,0.48427084674843607,0.2740799266019878,0.32956676259407114,1.951930708832332,0.4528160191643179,0.11387723825130586,0.99983510685603,0.2045002711006687,0.2048638043527855,0.5239896774291992,0.4271651585950808,0.2838263940448062,0.11389601892395189,0.008746857807398358,0.5125201731862035,0.005733125784544737,0.012736455121648947
30.0,0.6426846018143735,0.3721389297598632,5.796945,40.15616,0.0,0.2331322204080808,0.21509636607877827,0.6695571838560305,0.29904706374850504,0.11454465353389139,0.551337789964763,0.28143838347655487,0.3369731959570977,2.0446055495572657,0.4528160191643179,0.11387723825130586,0.99983510685603,0.2045002711006687,0.2048638043527855,0.5239896774291992,0.4271651585950808,0.2838263940448062,0.11389601892395189,0.0,0.0,,
31.0,0.632984678424859,0.4359892951818491,5.796945,40.15616,0.0,0.24508371433357937,0.21465664343168903,0.6827527995954155,0.30873373873369225,0.11454465353389139,0.5385067451610928,0.2885498597953089,0.3375869906256622,2.1539736811554224,0.4528160191643179,0.11387723825130586,0.99983510685603,0.2045002711006687,0.2048638043527855,0.5239896774291992,0.4271651585950808,0.2838263940448062,0.11389601892395189,0.0,0.0,,
32.0,0.6194783370323151,0.627443671802833,5.796945,40.15616,0.0,0.2523750321243161,0.2081135146115047,0.6897738982637058,0.3157599497469608,0.11454465353389139,0.5623672803211742,0.29420161615003426,0.3264552077998396,2.2227617298574582,0.4528160191643179,0.11387723825130586,0.99983510685603,0.2045002711006687,0.2048638043527855,0.5239896774291992,0.4271651585950808,0.2838263940448062,0.11389601892395189,0.0,0.0,,
33.0,0.6395379024864574,0.4121743578992514,6.32394,43.80672,0.9971592150692714,0.22361279035841042,0.20859066610211507,0.6593163013037979,0.29102611915689075,0.11454465353389139,0.48545060851056415,0.2770213858044632,0.3313638174842953,1.9540049509325579,0.44876493064746287,0.10890481115722056,0.9561775045880757,0.2045002711006687,0.20476883873316346,0.5233990550041199,0.43027459435748777,0.286747183277939,0.11389601892395189,0.008287810255302593,0.5209283721196698,0.005571474859143601,0.012021615553932021
34.0,0.6404892539430491,0.3785431924921572,6.32394,43.80672,0.0,0.23389890668194013,0.204861652188785,0.671072703104924,0.29882932183326394,0.11454465353389139,0.5138118134319044,0.28070154214561266,0.3235144485237166,2.046235654500712,0.44876493064746287,0.10890481115722056,0.9561775045880757,0.2045002711006687,0.20476883873316346,0.5233990550041199,0.43027459435748777,0.286747183277939,0.11389601892395189,0.0,0.0,,
35.0,0.627680618201297,0.49817784123357517,6.32394,43.80672,0.0,0.24245049847786854,0.2233078739092778,0.6800613368108128,0.30548850430472224,0.11454465353389139,0.5829202086924457,0.2792106244021151,0.34848861688352595,2.1255660456741072,0.44876493064746287,0.10890481115722056,0.9561775045880757,0.2045002711006687,0.20476883873316346,0.5233990550041199,0.43027459435748777,0.286747183277939,0.11389601892395189,0.0,0.0,,
36.0,0.621827920723098,0.5373653206809843,6.32394,43.80672,0.0,0.2510206949110345,0.21293336644647634,0.6870966978606491,0.315278480688397,0.11454465353389139,0.5829240782189321,0.29076591286214815,0.332934732908374,2.2041169550017305,0.44876493064746287,0.10890481115722056,0.9561775045880757,0.2045002711006687,0.20476883873316346,0.5233990550041199,0.43027459435748777,0.286747183277939,0.11389601892395189,0.0,0.0,,
37.0,0.6488439985252299,0.43464695763289,6.850935,47.45728,0.9971592150692714,0.22345688944426628,0.20943103393661675,0.6595420146459389,0.2911188293220224,0.11454465353389139,0.48530198137840735,0.2753324334033948,0.33291038865747197,1.9524181167278136,0.45402242305918594,0.11313320524280865,0.9933025430708639,0.2045002711006687,0.20451659713404682,0.5229411721229553,0.42855660928214245,0.2851270544517402,0.11389601892395189,0.008405709012752954,0.5654919702283223,0.0056128563265752576,0.012382682288681914
38.0,0.6436940763946347,0.414368618948986,6.850935,47.45728,0.0,0.23484844824190354,0.21441773333112454,0.6712968442922633,0.29932730414483455,0.11454465353389139,0.5298532301393463,0.281052503201804,0.338310984678581,2.059088845347146,0.45402242305918594,0.11313320524280865,0.9933025430708639,0.2045002711006687,0.20451659713404682,0.5229411721229553,0.42855660928214245,0.2851270544517402,0.11389601892395189,0.0,0.0,,
