round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_f1,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
15.0,0.6478553777382062,0.3771453346362331,4.6482075,32.4352,0.4559241291901578,0.6562859029223039,0.28472438938401534,0.22772565677352555,2.005996590925668,0.33846119849007206,0.21341550022064898,0.2639644357591117,0.11388101983002831,0.4980590957964146,0.649949019107243,0.17313375890524593,1.5201036923059352,0.2695861049519586,0.28100565379526043,0.5085709691047668,0.38012385360847467,0.2439677071624144,0.11389601892395189,0.028263076217347242,0.36915516218869016,0.028263076217347242,
16.0,0.6545401168924034,0.5037811137269917,4.930455,34.41664,0.5412350858791136,0.6694309811459068,0.29559253334761176,0.24061317466210044,2.121065892334782,0.3461408865078463,0.21637774841654311,0.27461068363035246,0.11388101983002831,0.5091997539036524,0.6495890004356667,0.17298486966032173,1.5187964539465013,0.27037735849056604,0.2810392205845616,0.5099926590919495,0.3783484218965822,0.24246880249211095,0.11389601892395189,0.00917378463405742,0.27919353160541505,,0.00917378463405742
17.0,0.6343057393026454,0.4623568497185736,5.2127025,36.39808,0.5412350858791136,0.6778795889503547,0.30557373114521436,0.24966557911068113,2.2028610646221756,0.3573186810000873,0.22386680990535032,0.28293447447532105,0.11388101983002831,0.5261288017325331,0.6539991664152175,0.18158596871026797,1.594313571499918,0.27001687605475344,0.2824742268041237,0.5113210082054138,0.3779321306649605,0.2420953887892039,0.11389601892395189,0.007808900273237709,0.24807028035866097,,0.007808900273237709
18.0,0.6262435462456264,0.6086632592379744,5.49495,38.37952,0.5412350858791136,0.6874023736707627,0.3119339147330011,0.25914478030190974,2.2936274269458115,0.35546792004378225,0.22199955729965176,0.2923819864425833,0.11388101983002831,0.5374352024042048,0.6429244132968168,0.1650825597680654,1.4494146619671637,0.2698353293413174,0.27573076492328363,0.5070597529411316,0.37776315632533153,0.24207841848594144,0.11389601892395189,0.007982712031788918,0.2667273615661543,,0.007982712031788918
19.0,0.6147141260675064,0.730322853721402,5.7771975,40.36096,0.5412350858791136,0.6943051181070808,0.3189660778026204,0.26598833522989873,2.3550818106962432,0.3494581490398617,0.2180217927539385,0.2972728844258536,0.11388101983002831,0.533568898566609,0.6438970083562783,0.16603115406297025,1.4577432611918497,0.2714529266906611,0.27672530446549387,0.5068463683128357,0.3769946024035572,0.2414483033844894,0.11389601892395189,0.009669651917142136,0.33996850020776037,,0.009669651917142136
20.0,0.6521063506256088,0.5048955070118795,6.3041925,44.01152,0.9971592150692714,0.6554836763119798,0.2839286004783802,0.22816414641972332,2.007971861067096,0.33265822832131103,0.20900266107834747,0.267067017539677,0.11388101983002831,0.4960994704774539,0.6439819681445721,0.16595852120159515,1.4571055491623923,0.27062769525634883,0.27659339445487685,0.5064820647239685,0.37548645410919784,0.24021459326728825,0.11389601892395189,0.011288863546433589,0.5839089132059598,0.0207007517994175,0.007384176258598745
21.0,0.6463724224539447,0.4407243934108907,6.58644,45.99296,0.5412350858791136,0.669464666302238,0.3006102147847811,0.24335922477073949,2.147356963171317,0.34559600033079396,0.21708514953786184,0.2824500370958768,0.11388101983002831,0.5190415319572428,0.6496955578304087,0.17320068470349895,1.5206912966742467,0.27094647013188516,0.28055588549708993,0.5087805390357971,0.37454501541681173,0.2394089561350251,0.11389601892395189,0.006477919277731221,0.24238102137314854,,0.006477919277731221
22.0,0.6357858739049558,0.5517166382277223,6.8686875,47.9744,0.5412350858791136,0.6816839594228179,0.3114906109788557,0.25354607077425106,2.238823519469788,0.35725104897735926,0.2241989790053614,0.28897136341818713,0.11388101983002831,0.5299429746592687,0.6573977336392923,0.19934019035240313,1.7501945391568263,0.271523178807947,0.281303602058319,0.5112436413764954,0.37443465676003607,0.23924492420659726,0.11389601892395189,0.005978100952273101,0.23136547144531505,,0.005978100952273101
23.0,0.6197157486781618,0.6600242202338122,7.150935,49.95584,0.5412350858791136,0.688112438480982,0.3162033499666809,0.26224606829887065,2.3133357129376435,0.34310523155756556,0.21384024743748942,0.29870530733800554,0.11388101983002831,0.5310645131896717,0.6574578706120403,0.19637465474374843,1.7241573199750497,0.2745294353223869,0.28167898627243926,0.5104264616966248,0.3724332875913616,0.23766856951784954,0.11389601892395189,0.00654386560534947,0.2626878928786027,,0.00654386560534947
24.0,0.6054587726562989,0.7070734343512182,7.4331825,51.93728,0.5412350858791136,0.6953874468318545,0.3243374354451078,0.2708823210521741,2.3889630829884916,0.3454600259929023,0.21544038652491865,0.30094646931453184,0.11388101983002831,0.5387424207311552,0.6589345520490769,0.20419006910921306,1.7927761746049289,0.2740249296340973,0.28259980923831585,0.5116667151451111,0.3714894845049025,0.23685946904437832,0.11389601892395189,0.007231447869578565,0.304096095776913,,0.007231447869578565
25.0,0.6518581343646839,0.7003466446472848,7.67793,53.6064,0.4559241291901578,0.6577921668539526,0.2853169287301147,0.2305847444966823,2.0308961408327444,0.30686613212113567,0.1957574837301978,0.27021781949636386,0.11388101983002831,0.49724833526099527,0.6593394099117278,0.20483297544439247,1.7984208524545444,0.27348706071896084,0.28270099986303243,0.5118452310562134,0.3709213378187142,0.23640099798673642,0.11389601892395189,0.017178230720044263,0.29942805564496666,0.017178230720044263,
26.0,0.6470011304303188,0.5682310718079677,7.9601775,55.58784,0.5412350858791136,0.6712151458551026,0.29878923647755606,0.2432339690432313,2.144067511019311,0.35148679806088967,0.22126132719879021,0.2822399649138841,0.11388101983002831,0.5190990508972266,0.6615625829361892,0.21031026603275094,1.8465111249689474,0.2729700326377213,0.28245951139171016,0.5125342011451721,0.3719379046514786,0.23714977669881843,0.11389601892395189,0.005684172453269807,0.2452343260665657,,0.005684172453269807
27.0,0.6296628585753683,0.5458364280847977,8.242425,57.56928,0.5412350858791136,0.6805043407436685,0.3090374556756497,0.25354411702628643,2.236939425483343,0.34214569986907795,0.21422191107107424,0.2872616331469599,0.11388101983002831,0.5375449976982618,0.6615151460086043,0.2095759017337792,1.8400634518552625,0.27340711935387374,0.2816901408450704,0.5122782588005066,0.3707662513958165,0.23624103527749454,0.11389601892395189,0.004848843499894166,0.21471095060405787,,0.004848843499894166
