round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best,fed_ece,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6398554509071667,0.34704970403586466,28.00736,28.00736,0.005594161094357764,0.5426694364676184,0.20399138646913442,2.220302507236121,0.25159898889950977,0.31590291213956817,0.3237340331916047,0.690081962688908,0.11492950654582076,0.29420670368937774,0.6637763187729406,0.221862495212591,1.9479389824918119,0.2726406101048618,0.2824509955240006,0.558735191822052,0.35416768468919047,0.22483643316582444,0.11389601892395189,0.009439971754729801,0.006863715825602412,0.00909593850696128,0.009873628998602646,
12.0,0.6421895456689658,0.3363098097713141,31.65792,31.65792,0.9971592150692714,0.5450961077876562,0.21354127598323316,2.0733479531010333,0.23734042960198984,0.30199992339040777,0.33578838006483547,0.6759053786849335,0.11492950654582076,0.2857620162335002,0.663042075450416,0.22100740721660855,1.9404313627869179,0.2739368020907579,0.2811545933943935,0.5359468460083008,0.3409132656877873,0.21727844154159806,0.11389601892395189,0.007277567504819842,1.1788763306103647,0.006544348036967314,0.0078890676308973,
13.0,0.6408757522047572,0.3831299259155107,31.6784,31.6784,0.005594161094357764,0.5131068182930966,0.2036815335949285,2.230130967968077,0.2542384616686828,0.3171726528025756,0.32248317324092163,0.6900266437117898,0.11492950654582076,0.30007224611261035,0.663137689723239,0.22101796846260502,1.9405240898733978,0.2737775703115883,0.2813405047579644,0.5363538265228271,0.3428293507981357,0.21842586188998805,0.11389601892395189,0.009164626930279047,0.007145170820876956,0.00829424792327067,0.010228036720885533,
14.0,0.6376136109705278,0.3573604160423467,34.66848,34.66848,0.8167475197762336,0.5362339379943059,0.21443457096917443,2.1231510510913907,0.24344786086264883,0.30594104853297055,0.3399742618296952,0.6791716093763412,0.11492950654582076,0.29102167460365036,0.663417241310245,0.22122758780751323,1.942364534753637,0.2736586978076457,0.2821065599014475,0.5527200698852539,0.34659078429318135,0.21994895529176953,0.11389601892395189,0.007510059190482297,1.0747374654747546,0.006144304313724187,0.00919431364756827,
15.0,0.6407265789400516,0.37742981950420296,34.68896,34.68896,0.005594161094357764,0.5764877581734432,0.22090684548200712,2.2690783693718046,0.2593651838950823,0.3189344491801085,0.34740287141404547,0.6929414927723905,0.11492950654582076,0.28905422091998617,0.6634519530937637,0.22114391023856328,1.9416298508749508,0.2747976254722072,0.2816067653276956,0.544630765914917,0.34949092776508733,0.2221078126883639,0.11389601892395189,0.007672848216160558,0.0064885602332651615,0.006876573709347511,0.00872554684404589,
16.0,0.6442564561912802,0.33447193138984826,38.34992,38.34992,1.0,0.550247802797701,0.22215267604667285,2.1482339153808425,0.24575855966136625,0.3079884070158437,0.3512575112073143,0.6813211124562093,0.11492950654582076,0.2866573946465278,0.6634096112435859,0.221370247780537,1.9436170804911574,0.2731901704671242,0.28239296852849444,0.5455611944198608,0.3510899160212363,0.22353984824581039,0.11389601892395189,0.007054230230979387,1.2796368748622626,0.005822836965147689,0.008167012751714562,0.003493749416776854
17.0,0.6430028269670587,0.4211963567086152,38.3704,38.3704,0.005594161094357764,0.5600398930553104,0.21608179335270458,2.295537541363563,0.2624506614948196,0.3259192011106487,0.3440579123825982,0.6961489026061117,0.11492950654582076,0.29965209516363983,0.6633670686021802,0.22136378733164525,1.9435603581495622,0.2734400883489785,0.2819194515852614,0.5455493330955505,0.3518278421859891,0.22390576640159301,0.11389601892395189,0.007983305754938684,0.007376518566161394,0.007593977261551167,0.008481903622665876,
18.0,0.6236889717899876,0.41531685562027354,39.70672,39.70672,0.3650190114068441,0.5660175417980399,0.19803165042056717,2.3910571942360104,0.2726121471082445,0.3336140613809774,0.3123776551343319,0.7059867706820964,0.11492950654582076,0.310339449173066,0.663259168416102,0.2215334773998699,1.9450502264507357,0.2740379157679646,0.2822458270106222,0.5556139349937439,0.3454015453371525,0.22016093861002853,0.11389601892395189,0.010572670200985654,0.7579988150391728,0.006101823648934669,0.010606586140755953,
19.0,0.6093427838698331,0.5027696545449785,39.7272,39.7272,0.005594161094357764,0.5700793488013061,0.20704486765790844,2.5879978489881736,0.293827890033425,0.34803483877815,0.3322356631105352,0.719926950971277,0.11492950654582076,0.3185873412149973,0.6631694774845016,0.22139955795759952,1.9438744220324988,0.2733295901179113,0.28165447383230163,0.5412636995315552,0.34709224207177236,0.22119546578697208,0.11389601892395189,0.007442670086639557,0.007556261727586389,0.006029415234376652,0.009210052588328268,
20.0,0.643392399686486,0.4723555784874078,43.37776,43.37776,0.9971592150692714,0.5603859964964494,0.22116577078673477,2.139261077741065,0.2461460076272336,0.3137042333495195,0.3494418513443422,0.6837132724206998,0.11492950654582076,0.28693255603999557,0.6640348751271824,0.22279650779305343,1.956139555165788,0.27192139271600985,0.28492673726969386,0.5527406930923462,0.35246678285656596,0.22421826429295705,0.11389601892395189,0.006254743144768767,1.2296419995836914,0.0054538677865149775,0.006947423170953998,
