round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_auprc_lift,fed_f1,fed_auroc,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6431209868751855,0.43406450858573215,10.08172,40.27056,1.0,0.3047558135308016,0.2321911717490436,2.1232481889438093,0.28099476797294837,0.6851836609512052,0.5572447144079028,0.3460907735969422,0.10972615675165248,0.21588699526462649,0.6718167776029834,0.2234470495529936,1.9618512715724392,0.2794251824817518,0.2823332869274676,0.5389661192893982,0.34294035291523567,0.217938984584851,0.11389601892395189,0.0075484075949764605,1.4843208416459674,0.006093081597098842,0.008838133245648703,0.005351664692715859
12.0,0.6442761300442404,0.45265344546705,10.99824,43.93152,1.0,0.3079618729568987,0.23456191071330837,2.145557997163312,0.2820957371121853,0.6859470340967431,0.563929654371262,0.347051179523471,0.10972615675165248,0.21659362355741119,0.6701619566984681,0.22168045636206546,1.9463406926459914,0.2787696278769628,0.282077654924145,0.5342579483985901,0.3440435020252781,0.21909505427389445,0.11389601892395189,0.007374413460952419,1.5327914150693687,0.0059618504315471065,0.008654341257138196,0.004420807863677479
13.0,0.6402633899149126,0.4765573294804721,11.91476,47.59248,1.0,0.31128472101009746,0.23895921582082644,2.1836426885813793,0.28294094299365746,0.6892481706843925,0.5674176118970106,0.3469446503613255,0.10972615675165248,0.2165641707418676,0.6712594439016667,0.2230353012851241,1.9582361472532614,0.28062662008339906,0.28658008658008655,0.554718554019928,0.34358926920863464,0.2191605678524082,0.11389601892395189,0.007161768382258019,1.57501001577657,0.005598021411963585,0.008610136212532704,0.004180765333237298
14.0,0.6452647360166883,0.5604877289814019,12.83128,51.25344,1.0,0.309514308288908,0.2422896854004394,2.211364333193468,0.28866025238978776,0.6908564144012682,0.5631539010630113,0.3165650705318237,0.10972615675165248,0.19753204258278692,0.6711077837773639,0.22215821453027218,1.9505353798064418,0.27995602784902895,0.2845849802371542,0.5528739094734192,0.3128159472557498,0.20057116034138678,0.11389601892395189,0.007260355331326618,1.6869121469608217,0.005433969498822308,0.008974264908880718,0.004832786877068579
15.0,0.6438615585296933,0.6587069947591138,13.7478,54.9144,1.0,0.3134481979501317,0.24548007915962994,2.239941897164783,0.2873215441845875,0.6916672708668768,0.5664621864169659,0.3466858136834947,0.10972615675165248,0.21574078720363404,0.6700936876809913,0.222818053194283,1.9563287224556822,0.2802350072054096,0.2853478679063802,0.5636644959449768,0.3433666640516796,0.21864426629044273,0.11389601892395189,0.0065655282763479724,1.6149299661174155,0.004815489810105137,0.008235641568878014,0.003982863686076333
16.0,0.6415271277379666,0.5393093871435183,14.66432,58.57536,1.0,0.315530220474733,0.24576047099580448,2.2365793424438842,0.2852654712681713,0.692799846690146,0.5575141613123963,0.3406580490438601,0.10972615675165248,0.21215285731772332,0.6701710174026259,0.22282472023566596,1.9563872586665696,0.2759306307301447,0.2866390936881856,0.5841662883758545,0.3373551989141363,0.21544332727482923,0.11389601892395189,0.005898642335965841,1.5274014515744057,0.004545193406533525,0.007210655886839043,0.003550574570468406
17.0,0.641135919773366,0.7757290558153006,15.58084,62.23632,1.0,0.31562211106049903,0.24896907486965672,2.266264310369956,0.29053600641796135,0.6960427769686949,0.5401760364933362,0.33407653044929164,0.10972615675165248,0.20616257770542226,0.6697717565954523,0.22411779689004288,1.9677403916960945,0.2814870073355713,0.2867262607522348,0.5532966256141663,0.33052270872304396,0.2095558644555162,0.11389601892395189,0.006433571594207232,1.7510307721549907,0.004510721743370841,0.008323423613337317,0.0042592144324528295
18.0,0.640486471789249,0.6780323690339201,16.49736,65.89728,1.0,0.3185805532551174,0.2508279150045542,2.286391253022442,0.2918427712301989,0.697396336418392,0.5705152805042146,0.3394035961272574,0.10972615675165248,0.21063963332419453,0.6693767877007742,0.22334246082819584,1.9609329890390734,0.2795152914021927,0.2886913882929819,0.5496038198471069,0.33583180345675506,0.21424353433258583,0.11389601892395189,0.006426770683843199,1.842682716645868,0.004350755512756054,0.00847679058504805,0.003662431164294194
19.0,0.6411406176910848,0.7797295457234548,17.41388,69.55824,1.0,0.3226648155574526,0.25499645286065287,2.327040047554261,0.29205922202139273,0.697848832358674,0.5722073044197566,0.32801543261655325,0.10972615675165248,0.20379769269822257,0.668602298286513,0.22361829539399933,1.963354799462383,0.2787991622061904,0.28814123917388407,0.5627346038818359,0.3244319827227358,0.20768701604860082,0.11389601892395189,0.005830353962508382,1.7677720616284205,0.004051063368707344,0.007606494931712944,0.003228013974772635
20.0,0.6441668828939099,0.8341797506251506,18.3304,73.2192,1.0,0.31938819938087465,0.2559973194174631,2.3343663747833,0.2872569839699329,0.6987302799421943,0.5586470371527908,0.34448764798127945,0.10972615675165248,0.21428588650224378,0.6677305129728953,0.22047178027368328,1.9357285913644777,0.2781212712875583,0.28662930344275417,0.5676261782646179,0.34135953429069227,0.21843497474994264,0.11389601892395189,0.005657848004523177,1.8006115754196799,0.0038279251614994395,0.007502466402015373,0.003194548138380619
