round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_f1_best,fed_auprc,fed_ece,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.6568604171253672,0.5056358794900534,1.5666,67.16416,0.5412350858791136,0.2720478607077476,0.21865483952234288,0.2964959358107141,0.22980414582992453,0.34910087392094263,0.11373363544813696,0.518172493099431,2.0521685987871057,0.6647921601519169,0.47438791178578754,0.14698674521169194,1.290534529655814,0.06206040546131568,0.20454648167397296,0.4842031002044678,0.3748026844887472,0.2413297701973711,0.11389601892395189,0.011829731708009762,0.23126006871461868,,0.011829731708009762
32.0,0.642444588239396,0.5230846817518596,1.61212,69.1456,0.5412350858791136,0.2884134639962759,0.21582338125760533,0.3057278727697761,0.23991033063007422,0.34562023254514695,0.11373363544813696,0.5211465293982358,2.148576893438391,0.6759103928249671,0.4777180593989646,0.14907799354334916,1.3088955606331438,0.06661184210526316,0.20453928926666065,0.48430582880973816,0.37482373486096043,0.24133254570171728,0.11389601892395189,0.009708327908693365,0.1947700544842519,,0.009708327908693365
33.0,0.6246534062609463,0.62817742556998,1.65764,71.12704,0.5412350858791136,0.2948644058318787,0.21300939435799165,0.3177172902004546,0.2493946326640648,0.34206954506671383,0.11373363544813696,0.5213704117163941,2.2390649370232123,0.6842475551152906,0.47811782218420795,0.1494534414898665,1.312191970376561,0.0724755700325733,0.20453723788864786,0.48415207862854004,0.37498581768540157,0.24144879088746624,0.11389601892395189,0.006908695974684312,0.1435600730292208,,0.006908695974684312
34.0,0.6129786237318553,0.6564622498741143,1.70316,73.10848,0.5412350858791136,0.29879438293131527,0.21624345602590547,0.32425965221880937,0.2558319284291978,0.3468509579423443,0.11373363544813696,0.547611482043761,2.2971018906111063,0.6898711891989664,0.4740407312033433,0.14655538703902632,1.286747231585689,0.07626774847870182,0.20452799493876814,0.48387426137924194,0.37502857080654994,0.24149453728729578,0.11389601892395189,0.009779750622509334,0.21189938175666612,,0.009779750622509334
35.0,0.6533854301236514,0.5677299827079162,1.74488,74.7776,0.4559241291901578,0.26230093580589,0.20038788908866345,0.28335749818500816,0.21635589356320753,0.3171217819996562,0.11373363544813696,0.4956934936644747,1.9279309344691853,0.6508909437711414,0.47188302866862014,0.1451940412796381,1.2747947000376179,0.07542579075425791,0.20452799493876814,0.483824223279953,0.3752039823113201,0.2416400562327759,0.11389601892395189,0.024161862759049385,0.2833453376078978,0.024161862759049385,
36.0,0.6537358139144278,0.5201850896687132,1.7904,76.75904,0.5412350858791136,0.2743027993314458,0.21270766122410426,0.2951218020062721,0.23008733115213126,0.33942278234751405,0.11373363544813696,0.5205918762378943,2.058643487612777,0.6648707819073252,0.4735203305385035,0.14683602982397526,1.289211257875636,0.07605177993527508,0.20452799493876814,0.4839983880519867,0.37538386765481047,0.24176550568010147,0.11389601892395189,0.005450243592087772,0.12063766505161766,,0.005450243592087772
37.0,0.6382562295811154,0.6048206635227046,1.83592,78.74048,0.5412350858791136,0.2864916236091588,0.21794281623700631,0.3096849237344872,0.24084906932920502,0.3484991441864411,0.11373363544813696,0.5287238193107515,2.159411404051837,0.6758690817690898,0.46925896340825846,0.1445107974869935,1.2687958618069262,0.08566853482786228,0.20453723788864786,0.4845501184463501,0.3759882776070879,0.2422306542745794,0.11389601892395189,0.005701682720225043,0.12978822243167087,,0.005701682720225043
38.0,0.6231576667664142,0.6405926655836294,1.88144,80.72192,0.5412350858791136,0.2916690031526538,0.21247867705657572,0.31203103139142685,0.24879892513634824,0.3409867168236279,0.11373363544813696,0.5095586272412377,2.234600609635272,0.6841760774942228,0.48138124436247254,0.15209592162370306,1.3353927824751903,0.09116131589377725,0.20452799493876814,0.4846664369106293,0.37581578700590085,0.24205268030534877,0.11389601892395189,0.005586191900346967,0.13056926272111014,,0.005586191900346967
39.0,0.6174643989052204,0.8555853302130092,1.92696,82.70336,0.5412350858791136,0.2980755000147897,0.21266337057734072,0.32305185555957466,0.2558989163303383,0.34144149503782245,0.11373363544813696,0.5379121248448063,2.3006935801227777,0.6902867708652554,0.49136762117963945,0.15831557373517985,1.3900009432365392,0.10760953112990007,0.20453723788864786,0.48496583104133606,0.37615079255695405,0.24223059254537566,0.11389601892395189,0.008670745047857895,0.210581440362148,,0.008670745047857895
40.0,0.6524527402398009,0.6564010908035016,2.0142,86.35392,0.9971592150692714,0.26100974659890913,0.20014583679539444,0.2825493247527626,0.21458245884323393,0.31683988999134577,0.11373363544813696,0.4844997898813372,1.9123508512323204,0.6490235804817135,0.49316686117480235,0.15853512280653254,1.3919285705006605,0.12665684830633284,0.20453309156844968,0.4860522150993347,0.3771137300303349,0.2428340704616522,0.11389601892395189,0.011041750439574493,0.4198120521614328,0.020195594225268728,0.00621828364794094
