round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,fed_ece,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
28.0,0.07230804444528943,3.3732992465219267,127.129728,127.129728,0.0,,,,,,,,,,0.2819205463609796,0.9432471301548787,0.9753535306655657,0.0,0.9832657200811359,0.4830884337425232,0.48393659123458765,0.26602941362956384,0.9670822942643391,0.0,0.0,,
29.0,0.05200984397435726,4.004436696828131,127.581696,127.581696,0.035646615445478584,,,,,,,,,,0.29062934658602524,0.9488357998293329,0.9811324283949523,0.0,0.9832657200811359,0.48307982087135315,0.4839345402253833,0.2660274542241638,0.9670822942643391,0.00036247988843517474,0.03114668304715451,0.00036247988843517474,
30.0,0.15501843420172579,11.381832984153165,139.797504,139.797504,0.9634580548441501,,,,,,,,,,0.4824339318924157,0.969356735054886,1.0023518585791884,0.0,0.9832657200811359,0.4831313490867615,0.48389118619987787,0.2659848966061689,0.9670822942643391,0.0005997435595646363,0.3131410890075017,,0.0005997435595646363
31.0,0.1299621995775255,8.940312957308912,140.249472,140.249472,0.035646615445478584,,,,,,,,,,0.5908231359494898,0.9786523715073778,1.011963901429754,0.0,0.9832657200811359,0.48308566212654114,0.4839399649169379,0.2660317241062804,0.9670822942643391,3.96712098701913e-05,0.0034102650687941605,3.96712098701913e-05,
32.0,0.0954127726830524,9.925021569582027,140.249472,140.249472,0.0,,,,,,,,,,0.5908231359494898,0.9786523715073778,1.011963901429754,0.0,0.9832657200811359,0.48308566212654114,0.4839399649169379,0.2660317241062804,0.9670822942643391,0.0,0.0,,
33.0,0.05782075142621457,4.762494253796606,140.249472,140.249472,0.0,,,,,,,,,,0.5908231359494898,0.9786523715073778,1.011963901429754,0.0,0.9832657200811359,0.48308566212654114,0.4839399649169379,0.2660317241062804,0.9670822942643391,0.0,0.0,,
34.0,0.154035470857459,11.790474819296408,152.46528,152.46528,0.9634580548441501,,,,,,,,,,0.7303631987747512,0.9875586857061722,1.0211733702119006,0.0,0.9832657200811359,0.48308128118515015,0.4839311586205204,0.2660226364530184,0.9670822942643391,0.00036068237236676413,0.18852495749769105,,0.00036068237236676413
35.0,0.15427145636474132,14.634846287068438,152.917248,152.917248,0.035646615445478584,,,,,,,,,,0.7334575773203932,0.9881760311437265,1.0218117289547044,0.0,0.9832657200811359,0.4828876852989197,0.4840244702121563,0.26611153999545073,0.9670822942643391,0.0003337427602078951,0.02869636128161801,0.0003337427602078951,
36.0,0.06860810867652978,3.2195747262086054,152.917248,152.917248,0.0,,,,,,,,,,0.7334575773203932,0.9881760311437265,1.0218117289547044,0.0,0.9832657200811359,0.4828876852989197,0.4840244702121563,0.26611153999545073,0.9670822942643391,0.0,0.0,,
37.0,0.052974748512374076,4.560207101000507,153.369216,153.369216,0.035646615445478584,,,,,,,,,,0.7250535264975698,0.9878528926685642,1.0214775914391292,0.0,0.9832657200811359,0.48284533619880676,0.4839991724550575,0.26608707868751197,0.9670822942643391,0.0002323156275179697,0.019989354620975064,0.0002323156275179697,
