round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_f1,fed_ece,fed_f1_best,fed_brier,fed_prevalence,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.5993044687225043,0.4428606980057828,24.82176,24.82176,0.5412350858791136,0.6759555397035574,0.23805686853983613,0.04739666077654463,0.08286008834550466,0.30260668066032226,0.11055949965147421,0.11411127895266868,0.23752216378987398,2.098978880525199,0.4215315285648864,0.0986878455278554,0.8664731784325933,0.07070981778623878,0.20451875282422052,0.4779948592185974,0.3784184414128231,0.24442461004532198,0.11389601892395189,0.007057359391548101,0.6461202157661319,,0.007057359391548101
12.0,0.5856760550799817,0.399229703833064,26.8032,26.8032,0.5412350858791136,0.6887193242437034,0.24086564504386704,0.06234084049975843,0.09158730628236203,0.3133258341723057,0.11107915649988435,0.11411127895266868,0.25357031283486164,2.2431428602842804,0.46563223460206116,0.14293191067271557,1.2549333332550534,0.06754530477759473,0.2045002711006687,0.47480568289756775,0.3724088825747041,0.23960204189866613,0.11389601892395189,0.007051684068289509,0.6640301001025364,,0.007051684068289509
13.0,0.5745647660768471,0.4417747324506376,28.78464,28.78464,0.5412350858791136,0.6960940295122896,0.23386480402171397,0.07760493057155797,0.07926762328365458,0.32028794815717165,0.10757753084533625,0.11411127895266868,0.2656767980841012,2.354264895660594,0.4678239210521019,0.1381534088676398,1.212978383027457,0.0927404028886355,0.2045002711006687,0.4768298864364624,0.37502566925070235,0.24159120841099846,0.11389601892395189,0.00869815809805619,0.8497613614890724,,0.00869815809805619
14.0,0.5595610383859253,0.48964956865571524,30.76608,30.76608,0.5412350858791136,0.7037390112297254,0.2573898859689723,0.08369947531581183,0.06734638802098974,0.3315161390307292,0.1056884821519522,0.11411127895266868,0.2807910158086972,2.4943871770289916,0.4823612435984619,0.15697321671334366,1.378215131629441,0.1209162598573038,0.2045002711006687,0.47753942012786865,0.37382083249425685,0.24054284120946215,0.11389601892395189,0.008615155269458953,0.8861365288030356,,0.008615155269458953
15.0,0.595695151362128,0.5935060563990193,32.4352,32.4352,0.4559241291901578,0.6655279382361584,0.2196909802237081,0.05565508694920754,0.0819130627683918,0.28958845837353686,0.11023781602395782,0.11411127895266868,0.2311094674425573,2.0382315381638403,0.5190682142516694,0.1743551857880758,1.5308277447738745,0.13719185423365488,0.22093541202672604,0.4939262866973877,0.3742552667854716,0.2407346907322818,0.11389601892395189,0.011355588775591133,0.6125426380895078,0.011355588775591133,
16.0,0.5843971521261764,0.4601897343635127,34.41664,34.41664,0.5412350858791136,0.6804540974488251,0.23267845250478567,0.0719028717542388,0.0769865819483279,0.30683322165824756,0.11048258841159622,0.11411127895266868,0.24952574156189547,2.203646959204149,0.5476921206861699,0.18832159250116248,1.6534519316860792,0.185,0.2514537798275516,0.4935823678970337,0.3746703401762152,0.2408906051882619,0.11389601892395189,0.0060451163658235925,0.6451756739988923,,0.0060451163658235925
17.0,0.5722090844417858,0.466836706926285,36.39808,36.39808,0.5412350858791136,0.6915657906701848,0.2342530151440838,0.08411079307977609,0.07571243028513326,0.31373150090606605,0.10898083563270132,0.11411127895266868,0.2631754559604015,2.3255717841815997,0.5567028278281985,0.1905125706462547,1.6726885842556052,0.17079530638852672,0.2631126397248495,0.49318376183509827,0.3727586977830668,0.23938669449461006,0.11389601892395189,0.006583298773791413,0.7235013449098915,,0.006583298773791413
18.0,0.552830238561073,0.5519771004242776,38.37952,38.37952,0.5412350858791136,0.7033168345804265,0.23717858914139586,0.10387907733425045,0.07515433692969599,0.32852251442284736,0.10713175332740982,0.11411127895266868,0.27597419122726036,2.4477044112055735,0.533637914383524,0.17688712029422887,1.553057973100324,0.18598959926583053,0.24512534818941506,0.4963001608848572,0.3754859787194824,0.2416052855035927,0.11389601892395189,0.006789288402326371,0.7775201234035194,,0.006789288402326371
19.0,0.5383791513178489,0.7295382949020992,40.36096,40.36096,0.5412350858791136,0.7149229061417817,0.2551735284666026,0.13298474946885658,0.07726741922371091,0.34364156951010916,0.1057962899373554,0.11411127895266868,0.29380142399882797,2.608164811101399,0.6286658266230997,0.20465380590763416,1.7968477550060906,0.15906040268456376,0.2775672261324671,0.48739105463027954,0.36923344879315023,0.23651882148549522,0.11389601892395189,0.007144065752545963,0.8538152138935402,,0.007144065752545963
20.0,0.593419105629495,0.8182563220556549,44.01152,44.01152,0.9971592150692714,0.6673306274487882,0.2164765740646291,0.0720453487149581,0.0733204071355134,0.29099355459630943,0.108578978511118,0.11411127895266868,0.2334601139153882,2.0522662960312648,0.638920159333863,0.21021695858347728,1.8456918913367697,0.15050847457627117,0.279401530967293,0.4881596267223358,0.3676420128128298,0.23518954420395263,0.11389601892395189,0.00787450867107041,1.42770036123693,0.010642426109843832,0.006553772557680855
