round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_auroc,fed_f1,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6364317129743035,0.3583619579125331,21.90336,21.90336,0.0,0.11467774420946626,0.3220278625528593,0.5611117392091863,0.34490246755237,2.2850525371595416,0.6906990025460318,0.28808513845560313,0.25869071617903255,0.2174358005549698,0.608727659277767,0.20932003743441985,1.8378169791358763,0.26034900012737233,0.2760917838638046,0.5072650909423828,0.3856976226514404,0.2481412579898535,0.11389601892395189,0.0,0.0,,
12.0,0.6217943984968934,0.44232087090518135,21.90336,21.90336,0.0,0.11467774420946626,0.33132120720745295,0.5807820137999089,0.3422628710203975,2.3946741975292727,0.7020650346113702,0.29673644261141935,0.27050929552931663,0.2150682003050165,0.608727659277767,0.20932003743441985,1.8378169791358763,0.26034900012737233,0.2760917838638046,0.5072650909423828,0.3856976226514404,0.2481412579898535,0.11389601892395189,0.0,0.0,,
13.0,0.6439724532831159,0.30461955987741435,25.55392,25.55392,0.9971592150692714,0.11467774420946626,0.2998304309011974,0.5278946501779681,0.33936812906138675,2.0383146158930394,0.6669270484050726,0.271177972164068,0.23238389511803342,0.21521311416853392,0.6322969477374065,0.21592916931230022,1.8958447481511678,0.27200902934537247,0.280576527110501,0.5035231709480286,0.3859341126952463,0.24819631672179138,0.11389601892395189,0.008393943152242189,1.3118703626096249,0.00657317703550319,0.0098930326323843
14.0,0.6497204955290846,0.41037682612300747,25.55392,25.55392,0.0,0.11467774420946626,0.30858105506099637,0.5207592210725834,0.30388895185286324,2.1677547034389506,0.6784782662847368,0.28518845199824977,0.2461540203045707,0.19330876053721577,0.6322969477374065,0.21592916931230022,1.8958447481511678,0.27200902934537247,0.280576527110501,0.5035231709480286,0.3859341126952463,0.24819631672179138,0.11389601892395189,0.0,0.0,,
15.0,0.6320968972377693,0.35525735196228747,25.55392,25.55392,0.0,0.11467774420946626,0.3202840047627782,0.5640946864230185,0.3365523891138008,2.309787378931094,0.6924995138590866,0.29057468661269337,0.26183667259820453,0.21213784149959058,0.6322969477374065,0.21592916931230022,1.8958447481511678,0.27200902934537247,0.280576527110501,0.5035231709480286,0.3859341126952463,0.24819631672179138,0.11389601892395189,0.0,0.0,,
16.0,0.6147297577984855,0.43166681501113774,25.55392,25.55392,0.0,0.11467774420946626,0.33539659020500195,0.5902014915200189,0.3203226074764894,2.466558662294365,0.7016935272085547,0.2990532625896342,0.2782001638320108,0.20278633408211266,0.6322969477374065,0.21592916931230022,1.8958447481511678,0.27200902934537247,0.280576527110501,0.5035231709480286,0.3859341126952463,0.24819631672179138,0.11389601892395189,0.0,0.0,,
17.0,0.6450681712283266,0.3769620034245877,29.20448,29.20448,0.9971592150692714,0.11467774420946626,0.2981979108345499,0.5583300118438698,0.3380658648268499,2.05713866707452,0.6697806294971923,0.27650588765397843,0.2346938198257313,0.21548179201546397,0.6687686287199022,0.2198325017331873,1.93011576532775,0.2791939791211459,0.2822194199243379,0.5015275478363037,0.38033663159174164,0.24347850798164822,0.11389601892395189,0.007597544233927687,1.2581953533226624,0.006139062533385414,0.008824282933108324
18.0,0.6414522376286289,0.4181128508924442,29.20448,29.20448,0.0,0.11467774420946626,0.3130589592183912,0.5621571811075508,0.33247542183861245,2.207062636967044,0.6842757060706791,0.29305071723562975,0.2508641557232346,0.20964383627955072,0.6687686287199022,0.2198325017331873,1.93011576532775,0.2791939791211459,0.2822194199243379,0.5015275478363037,0.38033663159174164,0.24347850798164822,0.11389601892395189,0.0,0.0,,
19.0,0.6252562802508587,0.40224550556687066,29.20448,29.20448,0.0,0.11467774420946626,0.3259381089744061,0.5626119652205903,0.3365737761507768,2.3523959570377677,0.694932200061884,0.29919954314986935,0.26697113955369717,0.2132178611872372,0.6687686287199022,0.2198325017331873,1.93011576532775,0.2791939791211459,0.2822194199243379,0.5015275478363037,0.38033663159174164,0.24347850798164822,0.11389601892395189,0.0,0.0,,
20.0,0.6110382162307986,0.5060004831816863,29.20448,29.20448,0.0,0.11467774420946626,0.33112183348992125,0.5680183736815645,0.3262067927992064,2.482281393293134,0.7037167906991882,0.2986951191874363,0.2804165529058684,0.2056429465034369,0.6687686287199022,0.2198325017331873,1.93011576532775,0.2791939791211459,0.2822194199243379,0.5015275478363037,0.38033663159174164,0.24347850798164822,0.11389601892395189,0.0,0.0,,
