round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_f1_best,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
12.0,0.6362968190737449,0.3515545541804725,27.53536,27.53536,0.5412350858791136,0.11418140618115437,0.3465724611456618,0.3162162129049582,0.6793931876324943,0.2187163476090892,2.256267941607675,0.2902851822179628,0.5406033780528725,0.2525461500725372,0.6595420208101033,0.2130345132094698,1.8704298466455835,0.2160956017255913,0.27568984891996506,0.5322185754776001,0.40863011877072036,0.2661783365201438,0.11389601892395189,0.007981932896372867,0.7416284300852567,,0.007981932896372867
13.0,0.6365770785235209,0.415858447505223,29.20448,29.20448,0.4559241291901578,0.11418140618115437,0.3415411346750111,0.3096635961289236,0.6709490279936516,0.21667453271592577,2.173822647472773,0.282431237504286,0.5643731590566516,0.2443146750147451,0.6587232694795476,0.21154828614222063,1.8573808649402481,0.2144753663093716,0.27590435315757206,0.531586766242981,0.40857566091607417,0.2661892535599689,0.11389601892395189,0.007278693593679911,0.5341637479141355,0.007278693593679911,
14.0,0.6343535343370899,0.44769673826759737,29.20448,29.20448,0.0,0.11418140618115437,0.3101748666233806,0.31981647368932925,0.683453194510039,0.19898477084922137,2.3136226105550173,0.2887861324813658,0.5499646035128846,0.25879061289989735,0.6587232694795476,0.21154828614222063,1.8573808649402481,0.2144753663093716,0.27590435315757206,0.531586766242981,0.40857566091607417,0.2661892535599689,0.11389601892395189,0.0,0.0,,
15.0,0.6305601552171155,0.47667601392832115,30.8736,30.8736,0.4559241291901578,0.11418140618115437,0.3469158185285649,0.31463559909245564,0.6789549772181886,0.22034918979344653,2.267601251398257,0.28054718172680215,0.5598633683762555,0.25453595373035387,0.6585077577447812,0.2124038377528187,1.864892555152786,0.21421225329350116,0.27502876869965476,0.5343157649040222,0.4091270683042008,0.2666356400220232,0.11389601892395189,0.006957438826601902,0.5503839575685561,0.006957438826601902,
16.0,0.6360349386337779,0.38821766605643127,32.85504,32.85504,0.5412350858791136,0.11418140618115437,0.3348769207415904,0.3200772204193269,0.6835067719341722,0.21213742985003745,2.3229043133509033,0.2885050181439328,0.5630884912804582,0.25903442764028756,0.6592952358415956,0.21399747621726645,1.878884602280542,0.2135647764396119,0.2759103641456583,0.5362768769264221,0.4112931270098145,0.2682783978532216,0.11389601892395189,0.010365394064470531,1.0025385031476617,,0.010365394064470531
17.0,0.6244994561676964,0.5759739377758339,32.85504,32.85504,0.0,0.11418140618115437,0.32362881550510125,0.33368488008011143,0.6992851068946089,0.2054099469514146,2.4910033165509664,0.3024334825135644,0.5605574715780537,0.27629211626663513,0.6592952358415956,0.21399747621726645,1.878884602280542,0.2135647764396119,0.2759103641456583,0.5362768769264221,0.4112931270098145,0.2682783978532216,0.11389601892395189,0.0,0.0,,
18.0,0.6011016721946645,0.5156494914029699,34.83648,34.83648,0.5412350858791136,0.11418140618115437,0.33113724589272797,0.34046931254968704,0.7061507207899972,0.20691019096459562,2.619031374991992,0.30874509573189346,0.5477779087774507,0.2899767954705093,0.6586493783076903,0.212108537851596,1.8622998402887145,0.21524752475247524,0.2758620689655173,0.5343263745307922,0.4107407621915197,0.267658927048708,0.11389601892395189,0.01039589134359169,1.0806612723972648,,0.01039589134359169
19.0,0.6386122244397028,0.5657648551296652,36.5056,36.5056,0.4559241291901578,0.11418140618115437,0.33724380560960726,0.31665328925681047,0.6768097577578567,0.2146471813896411,2.272317388643107,0.2797849915244839,0.5531231231732823,0.2552859803768185,0.6582917063835898,0.2118697404517047,1.8602032138908178,0.21612742658038825,0.27431558673820333,0.5363916158676147,0.4102688040135281,0.2673059713570098,0.11389601892395189,0.006563331045732969,0.5583413899876177,0.006563331045732969,
20.0,0.6350079202673627,0.5266775726992776,38.48704,38.48704,0.5412350858791136,0.11418140618115437,0.3244916893801624,0.32563561658075046,0.6878787143486766,0.2055147166175427,2.415793429268249,0.2925125615941146,0.5530831609246052,0.26923745165209384,0.6588126717737581,0.21088114365664434,1.8515233951895123,0.22165981229568701,0.27594972461516737,0.5374186038970947,0.4080053768533424,0.26539524896405225,0.11389601892395189,0.008424346957438277,0.9255691919242963,,0.008424346957438277
21.0,0.6139221386357058,0.5490661101301618,38.48704,38.48704,0.0,0.11418140618115437,0.3100804916068947,0.3344246265712722,0.7006301925418876,0.19573583908527542,2.5436436646020755,0.3031745333426012,0.561398400116531,0.2829791714367378,0.6588126717737581,0.21088114365664434,1.8515233951895123,0.22165981229568701,0.27594972461516737,0.5374186038970947,0.4080053768533424,0.26539524896405225,0.11389601892395189,0.0,0.0,,
22.0,0.600675906664757,0.6938696457973711,40.46848,40.46848,0.5412350858791136,0.11418140618115437,0.3194611038411622,0.34241718671532223,0.7130310123021332,0.20046594221553404,2.69546337659284,0.30525235178860666,0.5651526499921591,0.298791577875662,0.6584894606441413,0.20868155544753803,1.8322111467906022,0.22112193837239927,0.27319970304380103,0.5319885611534119,0.40884699767594296,0.26595040180680024,0.11389601892395189,0.009665161011509521,1.122148149064742,,0.009665161011509521
