round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6400310067463664,0.39364833765162804,40.27056,40.27056,1.0,0.6784623942732319,0.24390267974679283,0.3091422577248892,0.34333299524110056,0.5200607465170157,0.11366354081439993,2.152504538594019,0.28709283739130126,0.21554190419012398,0.6638407476581845,0.22489829664621963,1.9745931312698797,0.27582200534448703,0.28682402151180164,0.5363621711730957,0.34276590647683175,0.2168765677766657,0.11389601892395189,0.006925918486020983,1.4050269687541004,0.005643250436799524,0.008156224452772871,0.004512330360299033
12.0,0.6347169705546281,0.4568529383802393,43.93152,43.93152,1.0,0.6806789408097972,0.24589269002000644,0.3126931502364206,0.33329967448292225,0.5619196024199281,0.11366354081439993,2.166291401548736,0.2903988244893008,0.2111940986596337,0.6653249713157181,0.22552952811023985,1.9801353044729808,0.2755869614770914,0.28515420805018293,0.5256645679473877,0.3323017042056173,0.2128486483441333,0.11389601892395189,0.0066950290166613805,1.4486899122148316,0.005129110347149831,0.008233516483784184,0.003637436634997855
13.0,0.6410893988807749,0.6717164970484995,47.59248,47.59248,1.0,0.6814723058519194,0.24739175648202585,0.31408289928578864,0.3379262236354147,0.5550302251375332,0.11366354081439993,2.177095416066254,0.28982897386867884,0.21337976517532087,0.6637410673629973,0.22620600175681604,1.9860747012400255,0.27575686458577797,0.2842833996170275,0.546664834022522,0.3371295829542756,0.2153669843625834,0.11389601892395189,0.006491881587327903,1.484952749180593,0.004930388882068652,0.008058108329225797,0.0045954678024349715
14.0,0.6435747536818325,0.6609777123226113,51.25344,51.25344,1.0,0.6833628344339349,0.25033629098945104,0.3174099467359019,0.3326534775319443,0.5417049201948018,0.11366354081439993,2.206246109871909,0.2888660221126366,0.20973364870267833,0.6647948950235851,0.22547000123398236,1.9796126621820571,0.2768523836875359,0.2850094325932375,0.5437465310096741,0.3321873050126247,0.21180272537533257,0.11389601892395189,0.006332600951262372,1.532036238890214,0.0045135131384053655,0.008200268397888965,0.004574289245579591
15.0,0.6345449551745245,0.5585837064088188,54.9144,54.9144,1.0,0.6871900609483494,0.254580478317672,0.32121033379911673,0.3280882178617324,0.5485880112410176,0.11366354081439993,2.2376812652316866,0.29369247262843673,0.20646084855518285,0.6652057640736203,0.22467663224839643,1.9726469315702115,0.27896892315104793,0.28608733497751343,0.5373122692108154,0.327517418435046,0.20915103210173466,0.11389601892395189,0.006077562989091515,1.5567895885287726,0.00426878532886476,0.00797096682291662,0.0038332139160417575
16.0,0.6374341271458391,0.8776422373937427,58.57536,58.57536,1.0,0.6887709392764504,0.25727323667785,0.3212086433600411,0.35281309222890334,0.5678797116404296,0.11366354081439993,2.2622562940578863,0.28853497111320475,0.22178504881896857,0.6638897156188819,0.22532053092238913,1.9783003220932167,0.26904887020493956,0.2828854314002829,0.5464058518409729,0.3522387662828133,0.22429514118685032,0.11389601892395189,0.006447590236061366,1.7446687977208057,0.004181363517673465,0.00886179884309659,0.003753205293994155
17.0,0.6357555029409725,0.657071414636184,62.23632,62.23632,1.0,0.690425715569046,0.2582779150846326,0.3243783393762634,0.34073981967211836,0.5537388253443806,0.11366354081439993,2.277791163039398,0.2904506929643451,0.21435782555000227,0.6633858676808899,0.22546109545127066,1.9795344699608026,0.27250821467688935,0.2818731117824773,0.5525287389755249,0.3401610498625527,0.21733512096953062,0.11389601892395189,0.005707007828711276,1.6305239107350644,0.0035638852047421626,0.00801129783695353,0.004418599416773266
18.0,0.6377099135358433,0.9318247527559761,65.89728,65.89728,1.0,0.6927931727791685,0.25986807151877606,0.3215330709479962,0.3471543573790752,0.5751516756503338,0.11366354081439993,2.295560322324202,0.28883393541302155,0.2191686417310134,0.6624591283180938,0.22256834204831608,1.954136274042418,0.27182275105138987,0.2793942487663774,0.5836177468299866,0.34661410111333774,0.2223809399032812,0.11389601892395189,0.005787781410787242,1.7445061181824713,0.0036425185538010436,0.008113244932958414,0.0047973563942654614
19.0,0.6371316140141345,1.0294153336889957,69.55824,69.55824,1.0,0.6958840600490902,0.26417504593800717,0.325476897981994,0.3083868923855703,0.5403685955735988,0.11366354081439993,2.3335783465789146,0.3002205514330785,0.19403790127126133,0.6627456072024617,0.22285113179232324,1.9566191505000752,0.27861079072151734,0.2815656565656566,0.49785420298576355,0.3074559400733613,0.1977512031748543,0.11389601892395189,0.005575808742041153,1.7685203153760085,0.0034178834565023446,0.007935222171556308,0.004808874992295636
20.0,0.6387994948868516,0.9620618938597234,73.2192,73.2192,1.0,0.6986492347941695,0.26756829813376787,0.3267555762941835,0.33586242115205367,0.5458335130121961,0.11366354081439993,2.3584378185822548,0.30131503762581024,0.2096648554749972,0.6594537354170978,0.22063676021512502,1.9371771050438882,0.2719553332557869,0.2777857245029323,0.5295472741127014,0.3353959622820696,0.21369488972375672,0.11389601892395189,0.005105140867770865,1.6976833372846158,0.0032156348409975197,0.0071959051026601936,0.004673605289587773
21.0,0.6418140497139718,0.8972688458731106,76.88016,76.88016,1.0,0.6984814185599257,0.2679105750917985,0.328643201163883,0.3342975822450103,0.5870966338246276,0.11366354081439993,2.359994193246384,0.29864621504457506,0.21098647976511387,0.661285804778018,0.22256448811463558,1.9541024367431261,0.2712765957446808,0.2793819260184174,0.564218282699585,0.3336207226604617,0.21546560123142355,0.11389601892395189,0.004756382544032495,1.6507602936399053,0.0029408606361991155,0.006794782236474017,0.004400161329383939
