round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_brier,fed_auprc_lift,fed_f1_best,fed_ece,fed_prevalence,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.23633532917285643,19.252114248681814,253.35552,253.35552,0.9991046702896288,0.3892264579921834,0.9583276379785686,0.11424797229289702,1.5256900947582541,0.9557943066180352,0.2552924972294755,0.8860759493670884,0.9478075048839117,0.7970939785797841,0.5996843108756467,0.9802026879042995,1.013566987750449,0.0,0.9832657200811359,0.4856055974960327,0.4813253861561677,0.2635073475623645,0.9670822942643391,0.00029713147158689335,0.17945624521723857,8.813157019976158e-05,0.000331586604995607
12.0,0.2218106520450359,15.203785189330537,276.38784,276.38784,0.9991046702896288,0.35419267466299637,0.9602834898861874,0.10879606488775408,1.5284517783316636,0.9568614246633693,0.23510459612441967,0.8860759493670884,0.9464914510362124,0.7871939909089055,0.6050604028943378,0.9810883361318448,1.0144827818176116,0.0,0.9832657200811359,0.4855554699897766,0.48138279430289516,0.26356245224903313,0.9670822942643391,0.00032249066885427317,0.19486714859056065,8.571850477841807e-05,0.000361507052317688
13.0,0.20609513504820098,21.487569337009333,299.42016,299.42016,0.9991046702896288,0.28439117018683546,0.9615010482692767,0.1171125850542028,1.530184040495288,0.962136284594777,0.25515938943196953,0.8860759493670884,0.944401233626489,0.8036147559466855,0.6118781940081579,0.9814617271621672,1.014868882393061,0.0,0.9832657200811359,0.4854162931442261,0.4815175340062662,0.2636921341260797,0.9670822942643391,0.0002606098961862061,0.15755986031177827,7.64814039465689e-05,0.0002909360227756512
14.0,0.23351953587179394,20.53691991561801,322.45248,322.45248,0.9991046702896288,0.2961773546687661,0.9624923795398916,0.13291310243868354,1.5314865886533156,0.9625527209051511,0.2798081862146844,0.8860759493670884,0.9551964942349264,0.789678675754625,0.6016925312954194,0.9806249599928026,1.014003633205554,0.0,0.9832657200811359,0.4852689206600189,0.48168035021743866,0.26384914729493125,0.9670822942643391,0.00026640768190999985,0.16115133873626064,7.765248028367367e-05,0.0002974796051843479
15.0,0.20239750947858628,17.089077292064555,345.4848,345.4848,0.9991046702896288,0.26379730140609575,0.9616559175865561,0.14982463165468127,1.5302756555070096,0.9625527209051511,0.30631003035271714,0.8860759493670884,0.9594930656925469,0.7613036047765944,0.6173246128119774,0.9819594615184908,1.0153835587130347,0.0,0.9832657200811359,0.48507511615753174,0.48187978270642473,0.26404094725903593,0.9670822942643391,0.00039269427118857194,0.2376771596315166,0.0001161098262004845,0.00043819990002624685
16.0,0.2078462338474182,19.960990681111557,368.51712,368.51712,0.9991046702896288,0.23943432813455276,0.9971944265320355,0.15075964989801546,2.07301865158134,0.9850562370795535,0.3029614773732197,0.8860759493670884,0.945368877559666,0.7889225137922864,0.6165236688702392,0.9816785739502732,1.0150931102477039,0.0,0.9832657200811359,0.484904408454895,0.482038901556757,0.2641942741332234,0.9670822942643391,0.000324686548614086,0.19664124643236391,0.00012097812727105823,0.0003581845051136675
17.0,0.18320892308326528,13.21368746867985,391.54944,391.54944,0.9991046702896288,0.3372871485943532,0.9648452265214053,0.0869631594710748,1.534818877604642,0.9659831682250083,0.2202216931284731,0.8860759493670884,0.9509808976714572,0.8882599447758092,0.6065528935565037,0.9808785082199114,1.0142658117487997,0.0,0.9832657200811359,0.4846934676170349,0.4822171916242252,0.2643663517357112,0.9670822942643391,0.0002686636748642953,0.1628129705230208,8.526189818410555e-05,0.0002988080679622152
18.0,0.187109885893389,18.618219678896963,414.58176,414.58176,0.9991046702896288,0.4023531778452265,0.9956778223563578,0.07259232649488126,2.071048863777063,0.9850562370795535,0.175720142915782,0.8860759493670884,0.9273742952521358,0.8838392632207266,0.6308507978183069,0.9824629567435927,1.0159041919911829,0.0,0.9832657200811359,0.48446124792099,0.48248950745399455,0.26462905642297363,0.9670822942643391,0.00028852468950441924,0.17496477454744763,9.284103042478768e-05,0.0003206686504484459
19.0,0.16182217020400896,11.849283578527805,437.61408,437.61408,0.9991046702896288,0.5119048871320008,0.9968364636108278,0.05634099625592586,2.0725584745822885,0.9850562370795535,0.13214383220873802,0.8860759493670884,0.9403407481644479,0.9122555480602906,0.6123353181114914,0.9806768916050159,1.0140573324745008,0.0,0.9832657200811359,0.4843437075614929,0.48265183383687177,0.26478634635646076,0.9670822942643391,0.0002537430976014817,0.15396643795048703,9.397905836460995e-05,0.00027997318534567976
20.0,0.18087757136911042,24.181934989520908,460.6464,460.6464,0.9991046702896288,0.3260232913720456,0.9982787153471421,0.06437146662993293,2.0743542537445783,0.9906087212178774,0.16260323381122152,0.8860759493670884,0.9662384922450501,0.887574302964043,0.6377232875427821,0.9822222650818857,1.0156553076272208,0.0,0.9832657200811359,0.48417142033576965,0.4828252385530685,0.2649536014404725,0.9670822942643391,0.0002583551998586883,0.15685535198537082,0.00011313060069842009,0.0002821875407985114
