round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_f1,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6253103177509314,0.4045220923975359,5.4816,21.90336,0.0,0.11337740006295247,2.3596521086158813,0.3190861787389401,0.6954000926205343,0.26419049028767466,0.5208982825579417,0.2978631482714568,0.20840746189072426,0.3320047507186262,0.5850288479266976,0.1398803022835852,1.228140400385574,0.20593144177686482,0.23171584393791078,0.4761732816696167,0.3639009182133608,0.2324182544256439,0.11389601892395189,0.0,0.0,,
12.0,0.6163095889690788,0.5637422546633827,5.4816,21.90336,0.0,0.11337740006295247,2.4134325054383874,0.3240742475812694,0.7021497087223688,0.2708946336451401,0.5445717428853987,0.2993869764037075,0.20990142593137573,0.33308031522206605,0.5850288479266976,0.1398803022835852,1.228140400385574,0.20593144177686482,0.23171584393791078,0.4761732816696167,0.3639009182133608,0.2324182544256439,0.11389601892395189,0.0,0.0,,
13.0,0.6438390967538536,0.4476693251736833,6.3952,25.55392,0.9971592150692714,0.11337740006295247,2.1141454549179652,0.2979588495344231,0.6687035446099148,0.23774080313239873,0.5116438843542049,0.2718041291585009,0.2131848577564908,0.337370245516075,0.6044918051829136,0.14515808355037357,1.2744789933991925,0.20561291260724152,0.24100994644223414,0.47881364822387695,0.35952705379172945,0.2288423820211725,0.11389601892395189,0.008482264395574203,1.3395678310189396,0.006854000777007692,0.009740465059851686
14.0,0.6407943358962107,0.4041103573358865,6.3952,25.55392,0.0,0.11337740006295247,2.2535809884899605,0.307333048709843,0.6829622866217143,0.25301031234594007,0.5621350670858941,0.28413421461436755,0.22099592627598624,0.3490118384774016,0.6044918051829136,0.14515808355037357,1.2744789933991925,0.20561291260724152,0.24100994644223414,0.47881364822387695,0.35952705379172945,0.2288423820211725,0.11389601892395189,0.0,0.0,,
15.0,0.6233155015897519,0.4445861131432426,6.3952,25.55392,0.0,0.11337740006295247,2.3852259317659903,0.32434966043909913,0.6982059518346858,0.26750528566865833,0.5507667213293753,0.29751771771755453,0.21176412650331078,0.3376058399248113,0.6044918051829136,0.14515808355037357,1.2744789933991925,0.20561291260724152,0.24100994644223414,0.47881364822387695,0.35952705379172945,0.2288423820211725,0.11389601892395189,0.0,0.0,,
16.0,0.6041071766873525,0.4877001810311551,6.3952,25.55392,0.0,0.11337740006295247,2.4981801944348785,0.3298314817275158,0.709971483700959,0.27990713678968204,0.5490904433812815,0.3081582157420373,0.2027238471778629,0.32423036489530177,0.6044918051829136,0.14515808355037357,1.2744789933991925,0.20561291260724152,0.24100994644223414,0.47881364822387695,0.35952705379172945,0.2288423820211725,0.11389601892395189,0.0,0.0,,
17.0,0.6450592565754517,0.5870147244681304,7.3088,29.20448,0.9971592150692714,0.11337740006295247,2.11609302094456,0.2972362048444368,0.6723317791252603,0.2393569437089777,0.5379136207421169,0.2746178717284989,0.2248022416734185,0.3552387533419193,0.5925700644675376,0.14103145291477953,1.2382474317117784,0.20703991130820398,0.2350181275325229,0.47909659147262573,0.36307718336051203,0.23165117909343105,0.11389601892395189,0.008217143599771728,1.3729034799616784,0.006764122594068894,0.009355418330291205
18.0,0.636524148682942,0.41482628710387115,7.3088,29.20448,0.0,0.11337740006295247,2.253008122404385,0.3095675389850286,0.6854486534384676,0.25336633295827066,0.5492628827086027,0.28772238007928547,0.21558767562625478,0.3428132460454669,0.5925700644675376,0.14103145291477953,1.2382474317117784,0.20703991130820398,0.2350181275325229,0.47909659147262573,0.36307718336051203,0.23165117909343105,0.11389601892395189,0.0,0.0,,
19.0,0.6198252177934205,0.4768893787082452,7.3088,29.20448,0.0,0.11337740006295247,2.381276640227285,0.3224834293637775,0.7003507789813052,0.2677378800319468,0.525263539561694,0.30188144253126936,0.209525882906493,0.33354126078363644,0.5925700644675376,0.14103145291477953,1.2382474317117784,0.20703991130820398,0.2350181275325229,0.47909659147262573,0.36307718336051203,0.23165117909343105,0.11389601892395189,0.0,0.0,,
20.0,0.6034635927633601,0.5928346167372659,7.3088,29.20448,0.0,0.11337740006295247,2.5013457409855877,0.3372548942678412,0.7105843920567332,0.28106693730466925,0.5397461869411211,0.3112134581308691,0.2014144611284371,0.3210857975745482,0.5925700644675376,0.14103145291477953,1.2382474317117784,0.20703991130820398,0.2350181275325229,0.47909659147262573,0.36307718336051203,0.23165117909343105,0.11389601892395189,0.0,0.0,,
21.0,0.6397846373692512,0.5595953790109165,8.2224,32.85504,0.9971592150692714,0.11337740006295247,2.1196301319335924,0.3005271637979183,0.6741195315877819,0.24034548482551293,0.5462829474499288,0.2755436539052561,0.22065725919715606,0.3486589002658971,0.5987020654239061,0.1434489049972785,1.259472511440975,0.20263929618768328,0.2371380886728104,0.4777269959449768,0.36060893799303595,0.2297624307670284,0.11389601892395189,0.008159901931661327,1.4409380193101242,0.006287190627979065,0.009657564099863387
22.0,0.6376141858917659,0.5916753028064632,8.2224,32.85504,0.0,0.11337740006295247,2.30529230353964,0.3223617467141286,0.6920690180737071,0.26006782771545517,0.5735671928103779,0.28823984578310646,0.22726376934386597,0.35923133382036104,0.5987020654239061,0.1434489049972785,1.259472511440975,0.20263929618768328,0.2371380886728104,0.4777269959449768,0.36060893799303595,0.2297624307670284,0.11389601892395189,0.0,0.0,,
23.0,0.6169468864755918,0.594986925768247,8.2224,32.85504,0.0,0.11337740006295247,2.457734650530115,0.3362863077326125,0.7021894138738658,0.2754733777437726,0.5489517736930234,0.3062369836322161,0.20359549574322328,0.32610942028723205,0.5987020654239061,0.1434489049972785,1.259472511440975,0.20263929618768328,0.2371380886728104,0.4777269959449768,0.36060893799303595,0.2297624307670284,0.11389601892395189,0.0,0.0,,
24.0,0.5976399163004353,0.7538029972472396,8.2224,32.85504,0.0,0.11337740006295247,2.5516217764218645,0.34138555848599283,0.7152797384940291,0.2867734243298519,0.5693751015601611,0.31139546637665116,0.20718822876919352,0.33180678802104724,0.5987020654239061,0.1434489049972785,1.259472511440975,0.20263929618768328,0.2371380886728104,0.4777269959449768,0.36060893799303595,0.2297624307670284,0.11389601892395189,0.0,0.0,,
25.0,0.6371838966977684,0.5926113270644545,9.136,36.5056,0.9971592150692714,0.11337740006295247,2.1561482217261267,0.3059209730820602,0.6771880286478188,0.24394561218016478,0.541137363834129,0.28410755675450516,0.2009562148633725,0.3163467741391082,0.6082793050153783,0.1456934691626848,1.2791796459537712,0.18473895582329317,0.24484117783445397,0.4775233268737793,0.3524134904071198,0.22369419527230572,0.11389601892395189,0.008073682518488445,1.5126226987922564,0.005872528812119075,0.00986110042265929
