round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_brier,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6369298145593929,2.493024099449423,53.5296,53.5296,0.17123005746085582,0.34873297312629875,0.5366081940338451,0.652625307532152,0.11398539778449143,1.9093330461215143,0.2890454066489949,0.22320615670337668,0.264065721085928,0.214583272661214,0.34081143449821194,0.08065124583673404,0.7081129489748424,0.12112303395560782,0.2045002711006687,0.3777681589126587,0.3891552422446726,0.2640434985876888,0.11389601892395189,0.02009946084820232,0.21863944514188915,0.02009946084820232,
12.0,0.6389003573392592,2.0709748690798984,53.5296,53.5296,0.0,0.3633575906596275,0.5588370696205387,0.6615570993676456,0.11398539778449143,2.0358548314247034,0.29748695026906297,0.23263561558530602,0.2620681149664413,0.22601602536739737,0.34081143449821194,0.08065124583673404,0.7081129489748424,0.12112303395560782,0.2045002711006687,0.3777681589126587,0.3891552422446726,0.2640434985876888,0.11389601892395189,0.0,0.0,,
13.0,0.6599043758155771,1.745456027317339,63.23712,63.23712,0.9989298121408696,0.3591079211550927,0.505337591887961,0.639937651174338,0.11398539778449143,1.8092133092596727,0.28268995036405603,0.2282336213352227,0.25365794693693816,0.20501144740505745,0.3503471981516766,0.08300520941410883,0.7287806035567513,0.0870790113971059,0.20450230539734202,0.3696227967739105,0.3511572167059095,0.2315992485809264,0.11389601892395189,0.0034439172357350963,3.5144333053322043,0.017772388084780422,0.003273067510943112
14.0,0.6610416155452487,1.8621360789075552,63.23712,63.23712,0.0,0.32029468759665525,0.5165950282245184,0.6521150104132429,0.11398539778449143,1.883871045414632,0.2870386591303137,0.20543465685359077,0.2691934165673538,0.2128519873148754,0.3503471981516766,0.08300520941410883,0.7287806035567513,0.0870790113971059,0.20450230539734202,0.3696227967739105,0.3511572167059095,0.2315992485809264,0.11389601892395189,0.0,0.0,,
15.0,0.6563463311004728,1.9400830205286161,64.90112,64.90112,0.17123005746085582,0.34319484423778474,0.5378094695035784,0.6505246894941152,0.11398539778449143,1.8508169460988546,0.28745201515953933,0.2208181583197781,0.262622144655459,0.20873427438192027,0.3625487163441901,0.08333678574383169,0.7316918232188209,0.0688821752265861,0.20457421804375336,0.3619653880596161,0.33878746419369565,0.22513697396103066,0.11389601892395189,0.015132346200335427,0.20510967395966873,0.015132346200335427,
16.0,0.6478742141443987,1.419275536287543,64.90112,64.90112,0.0,0.33544041035970723,0.5387341771518657,0.6553502221095175,0.11398539778449143,1.9410750018398752,0.29455441028657076,0.2184176473122562,0.2651788617207171,0.217542413538898,0.3625487163441901,0.08333678574383169,0.7316918232188209,0.0688821752265861,0.20457421804375336,0.3619653880596161,0.33878746419369565,0.22513697396103066,0.11389601892395189,0.0,0.0,,
17.0,0.6408078547486658,1.4070896932388006,66.56512,66.56512,0.17123005746085582,0.32195080228971484,0.5229491832415684,0.6540603828197084,0.11398539778449143,1.9202985752684008,0.29426180967565335,0.20894016559810155,0.27126334249214906,0.21405974884821005,0.35774665608563827,0.08261606392012819,0.7253639301940021,0.08038976857490865,0.2045002711006687,0.3688550889492035,0.3466303857156162,0.2312776202289764,0.11389601892395189,0.010994647819474318,0.16566458280431107,0.010994647819474318,
18.0,0.6383709876716548,1.4333254445860724,66.56512,66.56512,0.0,0.33550831864232505,0.5311956985742003,0.6591441391513074,0.11398539778449143,1.9743781137321592,0.2976527106876933,0.2165988977734808,0.27434218336588045,0.21986012822085096,0.35774665608563827,0.08261606392012819,0.7253639301940021,0.08038976857490865,0.2045002711006687,0.3688550889492035,0.3466303857156162,0.2312776202289764,0.11389601892395189,0.0,0.0,,
19.0,0.6403346217170374,1.5955224111753772,68.22912,68.22912,0.17123005746085582,0.34327425987648225,0.5482070624138053,0.6571581039794891,0.11398539778449143,1.9577540910060607,0.29577250180863135,0.22244602025331986,0.2654458359631471,0.21774383946673853,0.36755043837995816,0.08384874567237616,0.7361867997191524,0.08155146693187469,0.20451875282422052,0.3666064441204071,0.3438171487571765,0.22920583263101912,0.11389601892395189,0.013462416623456736,0.21996765863150358,0.013462416623456736,
20.0,0.6380435390172824,1.6806100146789955,68.22912,68.22912,0.0,0.32314888672028125,0.5286068776538003,0.6592781531051928,0.11398539778449143,2.005302404641346,0.2993603217689177,0.20698056894574873,0.2726374201012397,0.22264144212971448,0.36755043837995816,0.08384874567237616,0.7361867997191524,0.08155146693187469,0.20451875282422052,0.3666064441204071,0.3438171487571765,0.22920583263101912,0.11389601892395189,0.0,0.0,,
