round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6399761718208583,0.6340197436974151,36.5056,36.5056,0.0,0.29564110923964637,0.2560902545535707,0.11429290704260812,2.238553983410565,0.2171657642110318,0.3171969069112564,0.34544735280302774,0.5462357634691966,0.6942743966748374,0.3853507940715788,0.08595950593226939,0.7547191442192932,0.2045002711006687,0.204578488372093,0.5195821523666382,0.4420213820326039,0.299612950354085,0.11389601892395189,0.0,0.0,,
17.0,0.6365535186174559,0.4770493321135925,40.15616,40.15616,0.9971592150692714,0.29164803877616396,0.24128630492127118,0.11429290704260812,2.102258716587924,0.21549595422987017,0.3068931630391563,0.3411688167024825,0.537284303487259,0.6778613873179011,0.4052321500488751,0.08874946242176723,0.7792147895970363,0.2045002711006687,0.2045002711006687,0.510408341884613,0.4400577296235852,0.29708170733694156,0.11389601892395189,0.00769251371269001,1.5378833630820736,0.005726970202806418,0.009453656062108443
18.0,0.6397184796084094,0.5910572579897428,40.15616,40.15616,0.0,0.30026177245512736,0.2624262075867892,0.11429290704260812,2.3013695978016133,0.21750838630669136,0.3216559793808722,0.3429899339554943,0.5698429517144562,0.6968914086195791,0.4052321500488751,0.08874946242176723,0.7792147895970363,0.2045002711006687,0.2045002711006687,0.510408341884613,0.4400577296235852,0.29708170733694156,0.11389601892395189,0.0,0.0,,
19.0,0.6351498486433131,0.4974716049351363,43.80672,43.80672,0.9971592150692714,0.29625487312835397,0.24591102592957878,0.11429290704260812,2.1433626814504567,0.19874331924947283,0.3056224666123587,0.3138934879171795,0.5059295719085838,0.6801488889489343,0.3762285599519185,0.08472973975220914,0.74392187323758,0.2045002711006687,0.2045433975925423,0.5179120302200317,0.4491206487133852,0.30720545117968223,0.11389601892395189,0.006635591072608797,1.4064780045300722,0.0055493683262969875,0.007626601315722327
20.0,0.6365168207056014,0.7293007236040178,43.80672,43.80672,0.0,0.30299173946036473,0.2625899562244407,0.11429290704260812,2.3033492600142367,0.20995261756599276,0.3238475499743812,0.33479171367176336,0.5549702785828993,0.6989958839844509,0.3762285599519185,0.08472973975220914,0.74392187323758,0.2045002711006687,0.2045433975925423,0.5179120302200317,0.4491206487133852,0.30720545117968223,0.11389601892395189,0.0,0.0,,
21.0,0.6392681417503162,0.6446973820227233,47.45728,47.45728,0.9971592150692714,0.2925934333856679,0.2467024905300791,0.11429290704260812,2.1479827834817233,0.21242236632913677,0.30893405700562043,0.3342705965058527,0.5539402790783533,0.6813823115389585,0.3960125196342447,0.08717783746283321,0.7654160196858298,0.2045002711006687,0.20455572629485672,0.5105767846107483,0.4451370128202201,0.30307009294645654,0.11389601892395189,0.0065678693031551265,1.4715301505057141,0.005005020020280925,0.008023110093998746
22.0,0.6353358710174554,0.6733075194692768,47.45728,47.45728,0.0,0.29764986824147704,0.2694670888826543,0.11429290704260812,2.3596795284847207,0.21476558733679185,0.3333098119908509,0.3418452154388512,0.55450205657479,0.7047090214996162,0.3960125196342447,0.08717783746283321,0.7654160196858298,0.2045002711006687,0.20455572629485672,0.5105767846107483,0.4451370128202201,0.30307009294645654,0.11389601892395189,0.0,0.0,,
23.0,0.6358430669139805,0.6378325954653924,51.10784,51.10784,0.9971592150692714,0.2917370652291069,0.24775842869599912,0.11429290704260812,2.1574666526370416,0.21491860245666386,0.310598680062643,0.3392180841453869,0.5529969380856072,0.6826013474622529,0.39468702144234463,0.08690572190671153,0.7630268619374508,0.2045002711006687,0.20455059483421542,0.5155173540115356,0.4442813143803841,0.30227259632048475,0.11389601892395189,0.005992164955476236,1.4201074480079114,0.004587140411748258,0.007315914415655514
24.0,0.636543860944815,0.6535896609764453,51.10784,51.10784,0.0,0.3051450387969325,0.2681908729190289,0.11429290704260812,2.350585629064625,0.20872945456075181,0.3277527807336269,0.3310010218926595,0.5546062417500449,0.7016369635425915,0.39468702144234463,0.08690572190671153,0.7630268619374508,0.2045002711006687,0.20455059483421542,0.5155173540115356,0.4442813143803841,0.30227259632048475,0.11389601892395189,0.0,0.0,,
25.0,0.6355689238668581,0.8429816972357942,54.7584,54.7584,0.9971592150692714,0.29165287824119207,0.2510150889798693,0.11429290704260812,2.1873842374012464,0.2107729894983405,0.31353841829744744,0.3329792077987739,0.554036828641272,0.6857285087768863,0.41340685036420266,0.08972404863871711,0.787771596289293,0.2045002711006687,0.20454648167397296,0.514337420463562,0.44193610443827236,0.29933955093566655,0.11389601892395189,0.005832046183791426,1.4555223303614184,0.004329427759587161,0.007278125541682102
