round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_brier,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auprc_lift,fed_f1,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,9.645037976304378,684.0135308123837,24.82176,24.82176,0.5412350858791136,0.3037842559973619,0.11379657603222558,0.25367661887748016,0.5940033885643771,0.22465824752609134,0.3941071123214887,1.985808422236927,0.2624432118019327,0.6650332425853833,0.64089260686197,0.1694314538986963,1.4875976833907187,0.14462918975983108,0.27272727272727276,0.48347458243370056,0.3661877605868151,0.2338707238478921,0.11389601892395189,0.006811474916239467,0.6031796175520867,,0.006811474916239467
12.0,9.15862811585501,581.4021140814447,26.8032,26.8032,0.5412350858791136,0.3148705934100374,0.11379657603222558,0.25317858949923855,0.5851846299146387,0.23104823351867293,0.39418125425888395,2.045827011507777,0.2697013187253915,0.6717362722748456,0.644595924972149,0.1742031672600804,1.5294930315026678,0.0605831124574025,0.27407170975635703,0.4815309941768646,0.3647769560970017,0.2328748403183351,0.11389601892395189,0.0054740454304900935,0.4977418069029227,,0.0054740454304900935
13.0,8.819638797910098,655.0040940422073,28.78464,28.78464,0.5412350858791136,0.3198014922049943,0.11379657603222558,0.24206414232561593,0.5863155751842686,0.23989545901549547,0.3811114456650894,2.1249510112970165,0.2885928869990278,0.678205958594375,0.6378301767028063,0.16677182233453292,1.4642462827948892,0.02871205906480722,0.2711557788944724,0.4773872196674347,0.3652504633747821,0.2334062882844289,0.11389601892395189,0.00584766311567135,0.5462116369744763,,0.00584766311567135
14.0,8.551950414774899,639.5261778695551,30.76608,30.76608,0.5412350858791136,0.32499784767356427,0.11379657603222558,0.23437060039046614,0.5846461852766716,0.24706348783244397,0.3716009885451614,2.189692624130349,0.30065167276655247,0.682480296858632,0.6390209941786106,0.1659386949866092,1.4569314762213603,0.0026431718061674008,0.2724109701187065,0.4748362898826599,0.3625496351396115,0.23143699206281432,0.11389601892395189,0.006181743405589892,0.595987968496047,,0.006181743405589892
15.0,9.585984691063603,928.047055995558,32.4352,32.4352,0.4559241291901578,0.2887803023481102,0.11379657603222558,0.24742957840051297,0.5887738944548074,0.2189379857443204,0.38585565430332586,1.9317704852243418,0.2620568251398661,0.6585721908110412,0.6260456265938745,0.1530875419368867,1.344099147478569,0.0008806693086745927,0.2655486962130287,0.47691455483436584,0.36392488106549,0.23250238110399715,0.11389601892395189,0.009721821086694326,0.5127673326060176,0.009721821086694326,
16.0,9.31374911752297,681.0186334542761,34.41664,34.41664,0.5412350858791136,0.30459371637870464,0.11379657603222558,0.24099363420305697,0.5758144392464065,0.23063205197717146,0.37884731063279736,2.044862327563434,0.2805982703163871,0.6687804410162381,0.6280382410909309,0.15480456673730422,1.3591745190028712,0.0,0.2696335078534031,0.4783899188041687,0.3659772645533789,0.23406662782806073,0.11389601892395189,0.004944343799207102,0.4915501249488443,,0.004944343799207102
17.0,9.02435480816641,801.9191883838191,36.39808,36.39808,0.5412350858791136,0.30967262575764226,0.11379657603222558,0.2360842652269197,0.5462642424802736,0.23045430319930846,0.37291660072790295,2.048608391874853,0.29169248829646033,0.6731457554629853,0.6350948480032994,0.1577007483848055,1.3846028146962883,0.0,0.27334397446129294,0.48003169894218445,0.363824015910087,0.23228062454219559,0.11389601892395189,0.005561342182225022,0.5652556486893445,,0.005561342182225022
18.0,8.597374727483292,671.204152863288,38.37952,38.37952,0.5412350858791136,0.32089681369779216,0.11379657603222558,0.2416767333661335,0.5844308115027972,0.242087697936676,0.3806976311730384,2.1561729924829423,0.29083169779483004,0.6791616281165667,0.6345461734236848,0.15757801988124198,1.3835252660275725,0.0,0.2734192631685781,0.48283788561820984,0.36563606336664084,0.2337058390768893,0.11389601892395189,0.005560506132699673,0.5831443361821584,,0.005560506132699673
19.0,8.413404845932286,652.0643252467696,40.36096,40.36096,0.5412350858791136,0.32000264729455496,0.11379657603222558,0.24207874246954647,0.5932936162705656,0.2452947333277952,0.38168102283357125,2.187349352536788,0.29611578365816477,0.6815222268980389,0.6320887272341024,0.1545707082488553,1.357121255941894,0.0,0.2730598121601582,0.4812309443950653,0.36370494866042363,0.23217201093108228,0.11389601892395189,0.005962856796236362,0.6435732814716175,,0.005962856796236362
20.0,9.399933958209989,1071.3037659719698,44.01152,44.01152,0.9971592150692714,0.29128310058870943,0.11379657603222558,0.2446719880842264,0.5836206342188374,0.21887591164037087,0.38185318068705293,1.9300045584243604,0.26360890307787455,0.6568047394887065,0.6435569809613271,0.16858084275201596,1.4801293701457379,0.0,0.2750424448217317,0.48551636934280396,0.3612851633285923,0.23025728984177274,0.11389601892395189,0.005716606865053594,0.9566508039133623,0.008842004020641602,0.004129124040900509
21.0,9.320344851815005,731.2724738594328,45.99296,45.99296,0.5412350858791136,0.3041265274750962,0.11379657603222558,0.24276779113526564,0.5947653960853003,0.22582034169312887,0.3806978028890379,2.0059323459923815,0.2780925637537419,0.664107522324543,0.6453202793267009,0.1717208588673958,1.5076985173823627,0.004403346543372964,0.2768919829328543,0.48539066314697266,0.36415012944350034,0.23245860055420375,0.11389601892395189,0.0043951903588659285,0.4964722696458921,,0.0043951903588659285
22.0,9.108536148248259,805.1879474258888,47.9744,47.9744,0.5412350858791136,0.30856556030280324,0.11379657603222558,0.24106398629573034,0.5769113341997276,0.23025892328426495,0.3789998368573002,2.0365740839631132,0.2850627046209983,0.669563818565156,0.645116024450147,0.17039922423225243,1.4960946470484415,0.00088261253309797,0.277665517651254,0.4872131943702698,0.36526000688567883,0.2333540820497583,0.11389601892395189,0.005197762240575839,0.5982323653297499,,0.005197762240575839
23.0,8.721356645462857,706.9366671033462,49.95584,49.95584,0.5412350858791136,0.3183488455796443,0.11379657603222558,0.24122696301887997,0.5901589551518511,0.23297720707674846,0.3797573945996204,2.0746127955316362,0.28854480799575366,0.676223647572488,0.6476952505194343,0.1724663671875284,1.5142440343124177,0.0017628911414720142,0.27729179149191135,0.48783743381500244,0.36226605014422075,0.23092868362425678,0.11389601892395189,0.005415731513077318,0.6395943403476849,,0.005415731513077318
24.0,8.496999320398363,742.5843097999852,51.93728,51.93728,0.5412350858791136,0.3227418866470086,0.11379657603222558,0.23409545494994055,0.5895782023131818,0.24922311444605472,0.3712124662606978,2.215185782276542,0.30196247395910447,0.6790783844781386,0.6502986593822286,0.17602936854717843,1.5455269658258455,0.004393673110720563,0.27822726723825625,0.48822999000549316,0.36269140781859,0.23123070148981303,0.11389601892395189,0.005538338748212088,0.6705030300072394,,0.005538338748212088
