round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_f1_best,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
14.0,0.6387578624212328,0.611902461790483,51.25344,51.25344,1.0,0.3302927073079543,0.6910236589928277,0.5646429341434157,0.11563640941709682,2.2942442052105902,0.26107241976278683,0.32969738976252233,0.21013607282967664,0.30031390011104336,0.6620002701645971,0.2269907298524482,1.9929645653726438,0.27834262599759485,0.28395557339756455,0.5381595492362976,0.3339625084256633,0.2147610949926614,0.11389601892395189,0.006676813635044093,1.592272182344459,0.005147954945823028,0.008182454189567034,0.004470569063339289
15.0,0.6393915596261657,0.5742051987253898,54.9144,54.9144,1.0,0.3404167119920607,0.693757538997146,0.5575330526492135,0.11563640941709682,2.323500810913527,0.26449985864983094,0.330590806360331,0.2142830923440811,0.3015335883673145,0.6610042076303779,0.2261139304161725,1.9852663205651486,0.2757496740547588,0.28350159037477524,0.5369291305541992,0.3436577174387134,0.21878632382185126,0.11389601892395189,0.006932298082703668,1.7435204919656826,0.0047259352709914755,0.009140177857982374,0.004349059081896187
16.0,0.6393123216880792,0.5127230968531691,58.57536,58.57536,1.0,0.3406830568574289,0.6944566485348513,0.5607473116860977,0.11563640941709682,2.351798489117301,0.26767862884312427,0.33201292774053254,0.2165781101862807,0.2963762048473573,0.6610766179669296,0.22720559496900572,1.9948510678034355,0.27427510060881233,0.284524449220849,0.5529588460922241,0.34441350185806335,0.22177128637803165,0.11389601892395189,0.006007811975279747,1.593868354316328,0.0040518945465675875,0.007992901471328421,0.004026531709266532
17.0,0.63930921890353,0.6806865931235492,62.23632,62.23632,1.0,0.34025344833258886,0.6968873275336127,0.5597592336201298,0.11563640941709682,2.371295979669462,0.2705185214887483,0.33487794615442057,0.2143314543006963,0.2983839130447682,0.660887096146721,0.22488129511316055,1.974443858861417,0.2732673267326733,0.2827713059472716,0.5275534987449646,0.34360636904669967,0.21918909664513686,0.11389601892395189,0.0063830896708222985,1.7835807856117754,0.00410715279354259,0.008720959442994232,0.003345393843496127
18.0,0.6357857898138793,0.5967838309002903,65.89728,65.89728,1.0,0.3394044209721913,0.6984273458823327,0.5733296696753731,0.11563640941709682,2.388325418551557,0.2720025613222393,0.3351601937929021,0.21571425639103264,0.2968633723433605,0.6592497315295789,0.2237533424023134,1.9645405038407269,0.2710526315789474,0.280803961549665,0.5664522051811218,0.3429995251424725,0.22162204069903713,0.11389601892395189,0.005868436644411523,1.7255691098853276,0.00384650888128838,0.007968952889760546,0.003344411461238846
19.0,0.6373046202984367,0.7930341279902965,69.55824,69.55824,1.0,0.33191005887054953,0.700787813318577,0.5568211613438462,0.11563640941709682,2.4125727301840194,0.27513227432101767,0.3381257691859056,0.20889799984749965,0.3016612336364224,0.6574564776228969,0.2201727660947821,1.933103265372172,0.2741399635623192,0.2807332393282912,0.526451051235199,0.3350661393903531,0.21448164830529362,0.11389601892395189,0.005543787331809795,1.7151077829803398,0.0036881928140383023,0.007490329459551812,0.003049283982849667
20.0,0.6345284225281705,0.6914445574149384,73.2192,73.2192,1.0,0.3323505039346896,0.702152307583625,0.5731656366517648,0.11563640941709682,2.426378993826235,0.276419615474856,0.3366335137925266,0.21080896958833029,0.30248458994983746,0.6580559900315187,0.2256013885060112,1.9807662343022254,0.2741320914479255,0.28102491439367105,0.5211842060089111,0.33589434163648946,0.21711157865027633,0.11389601892395189,0.005302322167467705,1.7216029289056678,0.003410743799274157,0.007297887230117532,0.004506616562725304
21.0,0.641889354958989,0.8969295125721908,76.88016,76.88016,1.0,0.32495609282097476,0.7038380612646463,0.5611830786739147,0.11563640941709682,2.4498262059817266,0.2795430076129437,0.33810385030327156,0.20461152481187,0.30525224337212836,0.6574799952954615,0.22415126443244085,1.9680342346478865,0.2769780158464457,0.2814128546612623,0.540856659412384,0.32782795668646525,0.21053847771103903,0.11389601892395189,0.005259009868610982,1.7903915501065057,0.003246764471432333,0.007390851734665998,0.004655456160447761
22.0,0.6396486097599853,0.8406193847774921,80.54112,80.54112,1.0,0.33699821669575064,0.7048521723615646,0.5680656739458184,0.11563640941709682,2.455211053656305,0.28048183842349417,0.3424462965464852,0.21199776044162685,0.3041153699088501,0.6573955876830443,0.22350776553975618,1.9623843541800334,0.2734267945609782,0.28057457376829104,0.5390313863754272,0.34009369905773496,0.2180467621292293,0.11389601892395189,0.005230041243705,1.8632161755449488,0.002973130675344835,0.007619923883431274,0.006352098868176736
23.0,0.6356902937741873,0.7407681046504611,84.20208,84.20208,1.0,0.33601995135068774,0.7054883239603592,0.568242394766954,0.11563640941709682,2.4722463755046915,0.2823121626496678,0.3429516681142073,0.2115618415415983,0.30549069385432265,0.6569257236603698,0.22284865690394523,1.9565974211332247,0.2761587267448113,0.2833129049203292,0.5872704386711121,0.33937642735602686,0.2181720210485362,0.11389601892395189,0.004800522944309943,1.7858087595031975,0.002743267735033114,0.006981287836606301,0.00622593471859379
