round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best_threshold,fed_f1_best,fed_auprc,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
22.0,0.6396221982563415,0.415673366950304,8.2224,32.85504,0.0,0.6831341825602435,2.210916851786906,0.11467774420946628,0.33960235992203625,0.5414711997186819,0.3160376861132326,0.2513702451483039,0.21523635503376026,0.29521939294687755,0.6670037867719643,0.213448236113496,1.8740623081480565,0.27933477055743766,0.28189446735883944,0.49886244535446167,0.37247976055652365,0.2380891263569462,0.11389601892395189,0.0,0.0,,
23.0,0.624814992999734,0.45533214672447386,8.2224,32.85504,0.0,0.6986116477362933,2.3728118937129064,0.11467774420946628,0.3294787586941914,0.5532724247553198,0.33131654905957575,0.2686469629559134,0.20723342868019867,0.30569747199937697,0.6670037867719643,0.213448236113496,1.8740623081480565,0.27933477055743766,0.28189446735883944,0.49886244535446167,0.37247976055652365,0.2380891263569462,0.11389601892395189,0.0,0.0,,
24.0,0.6063926781610995,0.4818733456711949,8.2224,32.85504,0.0,0.70709316267572,2.538835226881534,0.11467774420946628,0.3117225220802541,0.547853258081073,0.3400021622213207,0.2870915736547705,0.1950094886015279,0.3139921276379236,0.6670037867719643,0.213448236113496,1.8740623081480565,0.27933477055743766,0.28189446735883944,0.49886244535446167,0.37247976055652365,0.2380891263569462,0.11389601892395189,0.0,0.0,,
25.0,0.6440717441899085,0.5329693552890088,9.136,36.5056,0.9971592150692714,0.6723717333673408,2.0803488123956444,0.11467774420946628,0.3348410730222043,0.5466800445778913,0.300612399865829,0.23783450712725146,0.21179741264912968,0.28081147265457923,0.6656051252764079,0.2136300140938358,1.875658307569785,0.27583095202286056,0.2783821478382148,0.49890732765197754,0.37242919683750414,0.2380922159396484,0.11389601892395189,0.006711473159753907,1.2407269972609356,0.005476392832488086,0.007786166815363307
26.0,0.6387903149864674,0.4364136492087233,9.136,36.5056,0.0,0.6873509655777879,2.2757634702863414,0.11467774420946628,0.33941335887821666,0.5593893408910384,0.3189960773839568,0.2588970175891816,0.21378624284280032,0.2966405306724152,0.6656051252764079,0.2136300140938358,1.875658307569785,0.27583095202286056,0.2783821478382148,0.49890732765197754,0.37242919683750414,0.2380922159396484,0.11389601892395189,0.0,0.0,,
27.0,0.6239998648429135,0.5163805753895169,9.136,36.5056,0.0,0.6991872108054108,2.413889437063737,0.11467774420946628,0.3251179439746771,0.5761297388829494,0.33309860897830007,0.27350617927411724,0.20494772632240923,0.30659834077387654,0.6656051252764079,0.2136300140938358,1.875658307569785,0.27583095202286056,0.2783821478382148,0.49890732765197754,0.37242919683750414,0.2380922159396484,0.11389601892395189,0.0,0.0,,
28.0,0.6067594563881386,0.6538058567404218,9.136,36.5056,0.0,0.710298314304758,2.576355715797985,0.11467774420946628,0.3032261396777954,0.5797161486615078,0.34848574748749983,0.2907911150607293,0.1908159662694979,0.3219107462850089,0.6656051252764079,0.2136300140938358,1.875658307569785,0.27583095202286056,0.2783821478382148,0.49890732765197754,0.37242919683750414,0.2380922159396484,0.11389601892395189,0.0,0.0,,
29.0,0.6374483797191326,0.47138908312653144,10.0496,40.15616,0.9971592150692714,0.6748353623353176,2.0973374894679297,0.11467774420946628,0.3351154682537858,0.537280639100816,0.3030480806120692,0.23986447802086186,0.21219019294101166,0.2842265832689673,0.6662982942433808,0.21358202119784248,1.8752369329120335,0.27605940863877915,0.2792617775619233,0.4973261058330536,0.3752272848835396,0.2403284490645624,0.11389601892395189,0.00771004391616328,1.4955435467418283,0.005506929211269536,0.009673119380418864
30.0,0.6373763117366558,0.5137186198747743,10.0496,40.15616,0.0,0.689314062024236,2.309030377269726,0.11467774420946628,0.33417575399429805,0.5720206296515967,0.3202221825556651,0.2618423612989885,0.21151425409497215,0.29199148072013437,0.6662982942433808,0.21358202119784248,1.8752369329120335,0.27605940863877915,0.2792617775619233,0.4973261058330536,0.3752272848835396,0.2403284490645624,0.11389601892395189,0.0,0.0,,
31.0,0.6223743820598593,0.62524943989118,10.0496,40.15616,0.0,0.7015469752731198,2.4775083762921346,0.11467774420946628,0.333096081695556,0.5761460275084441,0.33290579786560753,0.2801160836487575,0.20848998724284723,0.30566713271360924,0.6662982942433808,0.21358202119784248,1.8752369329120335,0.27605940863877915,0.2792617775619233,0.4973261058330536,0.3752272848835396,0.2403284490645624,0.11389601892395189,0.0,0.0,,
32.0,0.604772643258064,0.7128049139126948,10.0496,40.15616,0.0,0.7121175164103265,2.6066399161478433,0.11467774420946628,0.3231410130813637,0.580071601251371,0.34804152379378583,0.2935467027859869,0.20236272730771093,0.3174634670916828,0.6662982942433808,0.21358202119784248,1.8752369329120335,0.27605940863877915,0.2792617775619233,0.4973261058330536,0.3752272848835396,0.2403284490645624,0.11389601892395189,0.0,0.0,,
33.0,0.6407074920649045,0.5384723094718642,10.9632,43.80672,0.9971592150692714,0.6764106493907113,2.1264890978094373,0.11467774420946628,0.33385655446510765,0.5453343906956618,0.30700720975757545,0.2434039402904346,0.21106292570696078,0.2854137608754838,0.6656224811681672,0.20922453184542236,1.8369784459729106,0.27830248079586956,0.2799021107372285,0.5021494030952454,0.37370591506011724,0.23913953745967662,0.11389601892395189,0.007432250462459854,1.5247483078856021,0.005358828534328206,0.009298683254760793
34.0,0.639328638135861,0.5774998798869833,10.9632,43.80672,0.0,0.6936732086809742,2.333698265155747,0.11467774420946628,0.3368957855749015,0.5655061758431903,0.32885857041506067,0.2656592563914369,0.2121565683757734,0.2974405384025155,0.6656224811681672,0.20922453184542236,1.8369784459729106,0.27830248079586956,0.2799021107372285,0.5021494030952454,0.37370591506011724,0.23913953745967662,0.11389601892395189,0.0,0.0,,
35.0,0.6236190522135404,0.580061171616425,10.9632,43.80672,0.0,0.7041958360912091,2.4757250776689324,0.11467774420946628,0.3306874370029851,0.5551855022374687,0.33540163892907066,0.2806452761822855,0.20676186719540973,0.30564354023217805,0.6656224811681672,0.20922453184542236,1.8369784459729106,0.27830248079586956,0.2799021107372285,0.5021494030952454,0.37370591506011724,0.23913953745967662,0.11389601892395189,0.0,0.0,,
36.0,0.6029279935152465,0.6314899355859104,10.9632,43.80672,0.0,0.7184049481102033,2.7015179529866327,0.11467774420946628,0.31631488856225964,0.5814816873869507,0.35590360329538184,0.30457997642845763,0.19775263934407264,0.31538511861831725,0.6656224811681672,0.20922453184542236,1.8369784459729106,0.27830248079586956,0.2799021107372285,0.5021494030952454,0.37370591506011724,0.23913953745967662,0.11389601892395189,0.0,0.0,,
37.0,0.6398262425021605,0.6734928615632789,11.8768,47.45728,0.9971592150692714,0.678647490113043,2.1623188982087322,0.11467774420946628,0.3385762524887664,0.5595233051719711,0.30794021157560564,0.2472903464529799,0.21383825638619977,0.28661737687763944,0.6534672328042267,0.1920563302378824,1.686242697965747,0.25092250922509224,0.27807960971282847,0.4959898293018341,0.37635232553105746,0.2416987073289702,0.11389601892395189,0.006109911485563787,1.3197601647116244,0.004536335498229663,0.007557535640000648
38.0,0.6446957511468134,0.7094387903792956,11.8768,47.45728,0.0,0.69551483574479,2.3460907371803823,0.11467774420946628,0.3215177614590733,0.5296420868512426,0.32431877085567884,0.2667448935267,0.20050737434963214,0.30827194739259833,0.6534672328042267,0.1920563302378824,1.686242697965747,0.25092250922509224,0.27807960971282847,0.4959898293018341,0.37635232553105746,0.2416987073289702,0.11389601892395189,0.0,0.0,,
39.0,0.6199944198442686,0.6078586983171343,11.8768,47.45728,0.0,0.7069399528867827,2.5560163031021874,0.11467774420946628,0.31875561927102897,0.5790195673880469,0.3352573484896107,0.28885332505129907,0.20056824910611548,0.3112516213734748,0.6534672328042267,0.1920563302378824,1.686242697965747,0.25092250922509224,0.27807960971282847,0.4959898293018341,0.37635232553105746,0.2416987073289702,0.11389601892395189,0.0,0.0,,
40.0,0.6010876076060381,0.6561134758847477,11.8768,47.45728,0.0,0.7166571484109141,2.718726439810645,0.11467774420946628,0.3428269843969489,0.6227513242396643,0.35367311917026784,0.3065007349659997,0.21770497587460516,0.3041315731966487,0.6534672328042267,0.1920563302378824,1.686242697965747,0.25092250922509224,0.27807960971282847,0.4959898293018341,0.37635232553105746,0.2416987073289702,0.11389601892395189,0.0,0.0,,
41.0,0.640085934560701,0.6525401478074859,12.7904,51.10784,0.9971592150692714,0.6800786151137261,2.1681248054523454,0.11467774420946628,0.348510441966336,0.5516205963445123,0.3085011359016383,0.24792645843444913,0.2212907235426424,0.2817280831995408,0.660294059255198,0.20459956339729848,1.7963715091210444,0.27855072463768116,0.2807629427792916,0.49592143297195435,0.37604487810456955,0.24133566329603245,0.11389601892395189,0.006145516949080789,1.3950547317508608,0.004233182399188664,0.007933603099700058
42.0,0.6394707416216805,0.649261280634132,12.7904,51.10784,0.0,0.6963981141048285,2.399691602617907,0.11467774420946628,0.32945848606603756,0.5706230735637,0.3287264675119085,0.27268509614263675,0.20651427743644013,0.2997903232531629,0.660294059255198,0.20459956339729848,1.7963715091210444,0.27855072463768116,0.2807629427792916,0.49592143297195435,0.37604487810456955,0.24133566329603245,0.11389601892395189,0.0,0.0,,
43.0,0.615146610397498,0.6579923662858705,12.7904,51.10784,0.0,0.7079691261593836,2.581839295420248,0.11467774420946628,0.31874028259976456,0.5754836392809318,0.34201911925486345,0.2918427940414881,0.19989609539961306,0.31053844299283,0.660294059255198,0.20459956339729848,1.7963715091210444,0.27855072463768116,0.2807629427792916,0.49592143297195435,0.37604487810456955,0.24133566329603245,0.11389601892395189,0.0,0.0,,
44.0,0.5937552721936377,0.7366542780623094,12.7904,51.10784,0.0,0.7210361763702792,2.7000744222616286,0.11467774420946628,0.33237634252600673,0.5861407902151767,0.350634349269721,0.3033401438881272,0.20872838858013446,0.31701564165248863,0.660294059255198,0.20459956339729848,1.7963715091210444,0.27855072463768116,0.2807629427792916,0.49592143297195435,0.37604487810456955,0.24133566329603245,0.11389601892395189,0.0,0.0,,
45.0,0.6373362711761261,0.6605446941913855,13.704,54.7584,0.9971592150692714,0.6827740870111106,2.201566467096669,0.11467774420946628,0.3277822872750416,0.5414826306725466,0.31306693531409824,0.2516970666085531,0.20807944346356766,0.28799235591363315,0.6577162010761507,0.21420262090575673,1.8806857599542555,0.27908144058225626,0.2858000600420294,0.501897931098938,0.3790954106739839,0.24363256895223098,0.11389601892395189,0.005833326820226563,1.3895540405064821,0.004123060237669942,0.007464468581522802
46.0,0.6341593180827985,0.7276517880246549,13.704,54.7584,0.0,0.7013840038642394,2.406902697449187,0.11467774420946628,0.3299746962797838,0.5683303455871879,0.33277296646660176,0.27389917458234114,0.20759531441153,0.2997268759706817,0.6577162010761507,0.21420262090575673,1.8806857599542555,0.27908144058225626,0.2858000600420294,0.501897931098938,0.3790954106739839,0.24363256895223098,0.11389601892395189,0.0,0.0,,
47.0,0.6135516073594833,0.7936217528272447,13.704,54.7584,0.0,0.715983977867987,2.593274635150869,0.11467774420946628,0.3326103017135071,0.5719384065710106,0.34682052828302523,0.29337089010357503,0.2076190399969578,0.31908928780815665,0.6577162010761507,0.21420262090575673,1.8806857599542555,0.27908144058225626,0.2858000600420294,0.501897931098938,0.3790954106739839,0.24363256895223098,0.11389601892395189,0.0,0.0,,
48.0,0.5921844122540747,0.7580221358830215,13.704,54.7584,0.0,0.7238017669895658,2.7336439251756035,0.11467774420946628,0.3417114288279316,0.5953662291596843,0.35899430433909785,0.30815586995672845,0.21363283648228273,0.31468692535332177,0.6577162010761507,0.21420262090575673,1.8806857599542555,0.27908144058225626,0.2858000600420294,0.501897931098938,0.3790954106739839,0.24363256895223098,0.11389601892395189,0.0,0.0,,
