round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
13.0,0.6375924487649204,0.871748840880487,47.59248,47.59248,1.0,0.1123348017621145,0.09748246411608587,0.6753941135241861,0.06912256880525582,0.30276998283660045,0.05762312615664219,0.19087122221125072,0.24503573992089223,2.1725094830701432,0.657852023792355,0.21046469877322074,1.8478670348763246,0.04962779156327544,0.2739393939393939,0.1769445240497589,0.05233646636194399,0.10023533527579086,0.11389601892395189,0.006327781316611607,1.3940849712816998,0.004549855754847146,0.008203198780443541,0.004301996072128782
14.0,0.6446389293680789,1.0243464292624826,51.25344,51.25344,1.0,0.1123348017621145,0.09716269955391296,0.677081466702251,0.0897307239057067,0.3053622953717671,0.05504843048760731,0.18688547171891443,0.24807047276122243,2.2004066485450675,0.6590012900334412,0.21086790512463038,1.8514071616974286,0.0703030303030303,0.2748966804426077,0.17886608839035034,0.049740925335114705,0.1001595937902557,0.11389601892395189,0.0060674477963693196,1.4167986355314497,0.0046199673183510495,0.007635915541660532,0.0037119909573408317
15.0,0.6449887675301295,1.1743340892538519,54.9144,54.9144,1.0,0.1123348017621145,0.09622442363918539,0.6785006331516034,0.051577222966220956,0.30867044734702925,0.04945874276223413,0.1906660308162321,0.2509336522180704,2.2251936787813142,0.6582008358035255,0.21133928788429487,1.8555458731652916,0.04438860971524288,0.27534516765286,0.173479363322258,0.04194637458673314,0.09917083019726662,0.11389601892395189,0.00570007432601905,1.4081163760565687,0.004154479284933702,0.0074096793520950915,0.0038598879290170285
16.0,0.6488425505793904,1.1495210192887175,58.57536,58.57536,1.0,0.1123348017621145,0.09826616964421803,0.6793110984592076,0.06398036981235615,0.3101550349566073,0.06873576226354094,0.21306458558861444,0.25285474966896526,2.2384697977398433,0.6560033264078766,0.20910868282579742,1.835961298747578,0.05693069306930693,0.2708074534161491,0.1802445352077484,0.0627747941081611,0.10148102742627278,0.11389601892395189,0.005303358286412488,1.3799629160785116,0.0037968974881525367,0.0070037336881986125,0.0037246934531629085
17.0,0.6407520461003174,1.1205473260733152,62.23632,62.23632,1.0,0.1123348017621145,0.09724013529112108,0.6812943687632669,0.07689744586479705,0.31233686209739986,0.060018693281383324,0.2262065553426967,0.2553953994677789,2.262483780317009,0.6567443589837936,0.21059280217363052,1.8489917748068336,0.07125506072874493,0.27174037252885386,0.17302216589450836,0.054174967770787154,0.10076998080067631,0.11389601892395189,0.005533102105675331,1.5170873360038968,0.0034601541119888353,0.007911119515443467,0.003742059818742782
18.0,0.6390460055525689,1.2479627766538832,65.89728,65.89728,1.0,0.1123348017621145,0.09698662602866567,0.6823027310467731,0.07960997208155146,0.3109161029089614,0.057849052187308535,0.22027027104788405,0.25640884187617374,2.2699919655832406,0.6561359239149832,0.21002760480786958,1.8440293769012641,0.07365439093484419,0.2732138701419595,0.17200465500354767,0.05239139748112397,0.10070191854104948,0.11389601892395189,0.00558222673852797,1.6115990697289817,0.003415116316617239,0.008104140266332488,0.003142935103393211
19.0,0.6391757782015384,1.2677719331686619,69.55824,69.55824,1.0,0.1123348017621145,0.09579669147502527,0.6825216299183008,0.08460721979705785,0.3107585393853013,0.04544289233939589,0.1920422892935475,0.2560812142538666,2.265100813434132,0.6540410564851324,0.21014363751662535,1.8450481369058016,0.07506053268765134,0.27038626609442057,0.17138856649398804,0.03872695602628466,0.09954394148673991,0.11389601892395189,0.004877887946550326,1.480139303545002,0.003120391593439463,0.006949267545203007,0.003158328421477788
20.0,0.6503453377181623,1.4283681252278453,73.2192,73.2192,1.0,0.1123348017621145,0.09700957823895644,0.6839345879671739,0.09020370923835755,0.31107980325159335,0.06136602786040816,0.20151534262995358,0.2613534377428056,2.309973590691978,0.6536877517702382,0.2098679349639037,1.8426274855491838,0.07806841046277666,0.2711315822233288,0.1779319792985916,0.055399312349617105,0.10094387742184409,0.11389601892395189,0.004615106671689875,1.467063416406745,0.002988930548558893,0.00655895368072501,0.0030373507562868984
21.0,0.6435219888566108,1.309729194564996,76.88016,76.88016,1.0,0.1123348017621145,0.09624161869615831,0.6860932354516673,0.11689421740730205,0.3152751980608699,0.0548296903663,0.232648261744808,0.26639138196893736,2.3572567478113147,0.651924817338965,0.2091419496935165,1.8362533797881038,0.102504816955684,0.2689680864274184,0.17248237133026123,0.04921863061390025,0.10114321418146786,0.11389601892395189,0.004457854250794242,1.4813140773476334,0.0028124534769974315,0.0064461849402979825,0.003293096623704498
22.0,0.6498562190098801,1.7755357268469425,80.54112,80.54112,1.0,0.1123348017621145,0.09649651649930142,0.684762606166549,0.10683986563216027,0.31835181607986857,0.058738469143378755,0.2514506362561462,0.27009450894549214,2.38900931636567,0.6531566464230624,0.20864599625315045,1.831898939263741,0.09126365054602184,0.26916932907348246,0.18928879499435425,0.052173184957281675,0.10134833532970888,0.11389601892395189,0.004806933465383551,1.6744452786806505,0.0027209836717777135,0.007342299235393902,0.003443499735720586
23.0,0.6412732177134421,1.7290633792127863,84.20208,84.20208,1.0,0.1123348017621145,0.09698011951865342,0.6858508805126186,0.10057116989862287,0.3187322982444254,0.06323958859926052,0.2392642163288825,0.26931916701227376,2.3770998515203656,0.6511937239288278,0.2080788879717239,1.826919763636846,0.08579299488390398,0.26797664815605865,0.20382685959339142,0.05738305965470546,0.10168792111927329,0.11389601892395189,0.004444638619511792,1.6136758144421037,0.002530700410290175,0.006796386362106234,0.003110434841684962
