round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1_best,fed_ece,fed_auprc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
17.0,0.6449079068919461,0.42353845495009723,7.3088,29.20448,0.9971592150692714,0.6775178590884284,2.297512811972667,0.5504146358476575,0.21158850209222843,0.11341893252769387,0.313650576256258,0.33652916001456096,0.2539281812942552,0.28840677357733197,0.38740644446473554,0.08628892743387413,0.7576114446237937,0.04176100628930818,0.20451875282422052,0.455268919467926,0.37232109060872565,0.24024070128103311,0.11389601892395189,0.008319838995913983,1.3760482207871974,0.006390112529037944,0.009866827312365158
18.0,0.6405680339215658,0.4480720550663605,7.3088,29.20448,0.0,0.6928492447263717,2.4253724623333617,0.5694342483986781,0.20892014628378025,0.11341893252769387,0.3258946939628665,0.33419851030946185,0.2687939197177619,0.3012645141440268,0.38740644446473554,0.08628892743387413,0.7576114446237937,0.04176100628930818,0.20451875282422052,0.455268919467926,0.37232109060872565,0.24024070128103311,0.11389601892395189,0.0,0.0,,
19.0,0.6187066896646629,0.4274750399012535,7.3088,29.20448,0.0,0.7054064581385054,2.5232148930105898,0.5584445166395,0.19711953717282948,0.11341893252769387,0.33829970054117325,0.3129182155847818,0.28142725127859025,0.3144319499514726,0.38740644446473554,0.08628892743387413,0.7576114446237937,0.04176100628930818,0.20451875282422052,0.455268919467926,0.37232109060872565,0.24024070128103311,0.11389601892395189,0.0,0.0,,
20.0,0.6076997391790291,0.6401047310409781,7.3088,29.20448,0.0,0.7162189670764831,2.6770495795266793,0.5661213906164857,0.2108036342178984,0.11341893252769387,0.34336983202419363,0.33911104092649597,0.29469706039228905,0.31171331628499516,0.38740644446473554,0.08628892743387413,0.7576114446237937,0.04176100628930818,0.20451875282422052,0.455268919467926,0.37232109060872565,0.24024070128103311,0.11389601892395189,0.0,0.0,,
21.0,0.6423314364693704,0.5324981748934259,8.2224,32.85504,0.9971592150692714,0.6796094011218011,2.312924690883341,0.5510038346603648,0.20816370551623872,0.11341893252769387,0.3129890149235029,0.3296310802296082,0.25549707412177364,0.29205719150169884,0.4011061664040234,0.08861061496612825,0.7779957175262935,0.01145912910618793,0.20454853732423023,0.4735616147518158,0.37052598265182257,0.23860311638858667,0.11389601892395189,0.007718027231870772,1.3511009447975084,0.006432204378117094,0.008761686989781355
22.0,0.6373510506548958,0.568217366797546,8.2224,32.85504,0.0,0.6943257537038133,2.4721007800603907,0.5514369463362363,0.19979158519378945,0.11341893252769387,0.3253598760328494,0.31940864090018045,0.27383413625378356,0.2966778002095245,0.4011061664040234,0.08861061496612825,0.7779957175262935,0.01145912910618793,0.20454853732423023,0.4735616147518158,0.37052598265182257,0.23860311638858667,0.11389601892395189,0.0,0.0,,
23.0,0.6178338868298578,0.5023746416442259,8.2224,32.85504,0.0,0.7067799675161264,2.590691349005214,0.5822161520659653,0.20716533130054235,0.11341893252769387,0.3358571650117505,0.3309178695292282,0.2870766463423061,0.30887782503889943,0.4011061664040234,0.08861061496612825,0.7779957175262935,0.01145912910618793,0.20454853732423023,0.4735616147518158,0.37052598265182257,0.23860311638858667,0.11389601892395189,0.0,0.0,,
24.0,0.6017218544254779,0.5916034001354682,8.2224,32.85504,0.0,0.7153569037888261,2.6959821121574845,0.6058381271378811,0.21265538351551094,0.11341893252769387,0.3481384563271521,0.3387409105278178,0.29752541171722874,0.30946920749653123,0.4011061664040234,0.08861061496612825,0.7779957175262935,0.01145912910618793,0.20454853732423023,0.4735616147518158,0.37052598265182257,0.23860311638858667,0.11389601892395189,0.0,0.0,,
25.0,0.6395125196978424,0.7100825936215209,9.136,36.5056,0.9971592150692714,0.6816666586142037,2.314636101660792,0.5696347453157827,0.21552114907044392,0.11341893252769387,0.3159130936060588,0.34153266253666387,0.25634290261943504,0.28762351592142366,0.4063866745102413,0.08939243012177786,0.7848600062260734,0.02696629213483146,0.20454545454545453,0.47671768069267273,0.371880142187411,0.2396629172542115,0.11389601892395189,0.0077955976513158385,1.444791637826711,0.005819150639093371,0.009424880968767868
26.0,0.6373097600387296,0.5923761061871325,9.136,36.5056,0.0,0.697386268404491,2.467050422964176,0.5626068776182658,0.21541394902383057,0.11341893252769387,0.32898408202933044,0.34410195590385156,0.2733624233437017,0.2971779148040135,0.4063866745102413,0.08939243012177786,0.7848600062260734,0.02696629213483146,0.20454545454545453,0.47671768069267273,0.371880142187411,0.2396629172542115,0.11389601892395189,0.0,0.0,,
