round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_f1_best,fed_prevalence,fed_f1,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6412426864709451,0.5097383053890746,40.27056,40.27056,1.0,0.20857301011083054,0.5310007316982892,2.1760568335267463,0.2462330114357941,0.3028704116791885,0.11268492288322315,0.27610699929950977,0.333127197713307,0.6799814577083311,0.6629192916145717,0.2268384351103345,1.9916274269585665,0.2777639751552795,0.2801703738760057,0.49244076013565063,0.331843059159944,0.21039453014645454,0.11389601892395189,0.007466227876052862,1.5152497753297212,0.005991835852139364,0.008791564596901356,0.004714854495553002
12.0,0.6393245224218502,0.5127129328717122,43.93152,43.93152,1.0,0.21586981196247632,0.5459818693519878,2.1878657456854826,0.24730867115502572,0.29977881137361584,0.11268492288322315,0.2728913675239068,0.34356525587817954,0.6796625067570496,0.6626847047131574,0.2265130963049607,1.9887709723743985,0.27966485507246375,0.28180810444636034,0.513974666595459,0.342290457749641,0.2176907462804651,0.11389601892395189,0.007490034203241956,1.6131840335156085,0.005612186157854352,0.009218705154221317,0.00443519515780231
13.0,0.6411237613921161,0.6222498964729454,47.59248,47.59248,1.0,0.21282677708668168,0.5513661974981816,2.2169253380666714,0.25104975482557595,0.3051155485718164,0.11268492288322315,0.27921319545031886,0.3373982740397869,0.6812683224276752,0.663085283212764,0.22764777153796942,1.9987333507237801,0.2779692166322077,0.2800147765053565,0.514568567276001,0.3360433293472473,0.2149806034627604,0.11389601892395189,0.006407471943007689,1.4653981827141251,0.0050373465414143654,0.007687710483403932,0.004318185194488736
14.0,0.6372649392604697,0.5874911282423869,51.25344,51.25344,1.0,0.21838922955490492,0.5664268173715923,2.2480990801924214,0.25477535824208863,0.30779670195503744,0.11268492288322315,0.27802020877310674,0.34588015412136114,0.6843333216371544,0.6611892994941216,0.22679611857359042,1.9912558903838566,0.27314468766684463,0.28130876269274163,0.5318698883056641,0.34477611581731965,0.22123411513406754,0.11389601892395189,0.006712953272216252,1.6208544528435596,0.005057517059511752,0.008287900968038654,0.004050941487015732
15.0,0.6386402026019755,0.8310946550905584,54.9144,54.9144,1.0,0.22101822647592284,0.5715400017242144,2.282462581878492,0.2585214912822091,0.3132990153276081,0.11268492288322315,0.2788193193201579,0.35279347076285067,0.6879539465462429,0.6609672745939009,0.22652550391978193,1.9888799104649346,0.2774680223023942,0.28086344894494303,0.515641987323761,0.3516226979740805,0.22389911994077116,0.11389601892395189,0.006853832694176317,1.7505254581337795,0.004872931365221063,0.008765338298367007,0.003991493815445789
16.0,0.6319622806099743,0.6753894296077452,58.57536,58.57536,1.0,0.21185530391312155,0.5725413803788602,2.3166337575396336,0.2626158666478115,0.31354202416321186,0.11268492288322315,0.28036166986800864,0.33768093323403653,0.6905677601545948,0.6589844863175587,0.22553683390118198,1.9801994488654815,0.27247776923921396,0.2806502872509473,0.5169122219085693,0.3366629953633825,0.21552756119490715,0.11389601892395189,0.006049304645435275,1.6374876534991927,0.0043358987241001274,0.007719552999130778,0.0032455143150773224
17.0,0.6349543639648145,0.8151929165268716,62.23632,62.23632,1.0,0.2214422965629234,0.578785725490905,2.3229453480667446,0.26341945611520307,0.3136730886316659,0.11268492288322315,0.2792509600738467,0.3517758770531872,0.6913532356351145,0.6584945682710003,0.2251190195745209,1.976531064925389,0.27004741290455575,0.2795364950424083,0.5252940654754639,0.3508186749318995,0.22525326413969016,0.11389601892395189,0.0058305085988090595,1.6673731802402472,0.004184437044891096,0.007443982173483168,0.00398985295481251
18.0,0.6338121125232963,0.849438500139469,65.89728,65.89728,1.0,0.21341679318508663,0.5808028490204911,2.3466817539786042,0.26642514547913676,0.3155861281910845,0.11268492288322315,0.2814477290341715,0.34019630343228496,0.6926985797787055,0.6559286948183666,0.22423447114187536,1.9687647844091567,0.273452663359931,0.27882569848248473,0.546567440032959,0.3393209426697048,0.21768116499768211,0.11389601892395189,0.005421654987862884,1.6301525857088563,0.003908138006191955,0.006925485816271884,0.004377343875527183
19.0,0.6339627084140937,0.8875768774940733,69.55824,69.55824,1.0,0.21218581372164302,0.5811108748849774,2.3627345277783665,0.26816248743376336,0.31804988984843185,0.11268492288322315,0.2852688380503227,0.33684638407600814,0.694523083612457,0.6575931411523679,0.22414574691672282,1.967985791201222,0.2735483870967742,0.2802183519625683,0.5341848731040955,0.3359921883566319,0.21667956306226951,0.11389601892395189,0.005307252673134319,1.673071549947963,0.0037191331994750974,0.006906000716364346,0.004209553806972981
20.0,0.6422185077612299,1.2937271034252344,73.2192,73.2192,1.0,0.20865094962666075,0.5808441404730484,2.3997358092437358,0.27205963620559975,0.3239500284502509,0.11268492288322315,0.28788650043325514,0.33196687664547014,0.6987538662240464,0.656664594668521,0.22405615676977853,1.967199195253526,0.27739188886399285,0.2790996784565916,0.5259396433830261,0.33169800629039176,0.2141670061168268,0.11389601892395189,0.005345641788923333,1.7649729246440984,0.0034530098361908097,0.007273386167003456,0.004427613767321532
21.0,0.65080110045861,1.7562615071465637,76.88016,76.88016,1.0,0.21294593760151162,0.5882663511539503,2.4093183308340143,0.27339570648986994,0.32619864380968083,0.11268492288322315,0.28963193417878214,0.338212160278331,0.6985859303103568,0.657684363117081,0.2247563152901702,1.9733465437474111,0.27729521715228145,0.28252427184466017,0.5206233859062195,0.33793719044119536,0.2182993323152989,0.11389601892395189,0.0047280739323993124,1.638179610284169,0.003124134128105917,0.00637554521618764,0.00402392719381007
22.0,0.6399488444363196,1.1705533348621844,80.54112,80.54112,1.0,0.22146487163297002,0.587974345935453,2.4041049865472277,0.2731851231672959,0.32545504062761743,0.11268492288322315,0.2857966483303042,0.35296218220119896,0.6993850105585696,0.6546225980788597,0.22156306583037613,1.9453100110400987,0.27234927234927236,0.2788088044885628,0.5599718689918518,0.35258780611762675,0.22706828056906203,0.11389601892395189,0.004434615897444464,1.6052906045933923,0.002907924325738141,0.0060104007161861294,0.003984818972998097
