round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6406274283556764,0.4797843542603939,40.27056,40.27056,1.0,0.2930945535872745,0.6771647032807587,0.3213719232909292,0.5190755541235339,2.1658825597268874,0.1123348017621145,0.30754881612948454,0.2399394079965716,0.2024715368823413,0.6603185683344502,0.21213505059191606,1.8625326205085198,0.27169811320754716,0.27387691195953273,0.48882046341896057,0.3191475451380319,0.2043296605963911,0.11389601892395189,0.007584207069408866,1.541425657003856,0.006033134370922958,0.009021897248682874,0.004325443205390478
12.0,0.641096590254189,0.5427404700119417,43.93152,43.93152,1.0,0.2898448412644579,0.6806165670032639,0.3367559735751736,0.5438619973375932,2.1908983915723823,0.1123348017621145,0.3106868885729549,0.24300200355820822,0.21147779609833472,0.6593233717124013,0.2121415777340716,1.862589928412845,0.2717532085246674,0.2744043043812452,0.5194371342658997,0.334450922773654,0.2133738661968859,0.11389601892395189,0.0070584511414920345,1.5332295997704932,0.0055750231128794915,0.008465673691824646,0.004413592596820116
13.0,0.6407011512818321,0.5298703953454769,47.59248,47.59248,1.0,0.2899094467284749,0.6814283772555755,0.33658835948957727,0.5465770874779654,2.183743249282226,0.1123348017621145,0.3124627761570988,0.2432526654156342,0.21150256256524516,0.6581009672665623,0.21086149403119692,1.8513508726937036,0.2700804350288886,0.2736784889251257,0.5402719974517822,0.33448702544258907,0.21386652414758406,0.11389601892395189,0.006507041271240357,1.4987150313736493,0.0049155088506238846,0.008052981673997974,0.004312741911439266
14.0,0.6389904202205654,0.5852960982887662,51.25344,51.25344,1.0,0.29247592630810315,0.6844485010394019,0.3372556892551289,0.5389324844896305,2.2374671127172534,0.1123348017621145,0.3187544803120146,0.2483737734759507,0.21093816132210302,0.6586979321364804,0.21092903525491374,1.8519438804595143,0.2695570216776626,0.27360809833694866,0.5408491492271423,0.3352217769081624,0.21345395614689397,0.11389601892395189,0.006262519058450513,1.5290164914586057,0.004850287133552209,0.0076655417681924425,0.0034954474455777627
15.0,0.6374389162667425,0.6035395912210431,54.9144,54.9144,1.0,0.29493519975238613,0.6849979193081264,0.32527991413338664,0.5353521278401152,2.256924063114536,0.1123348017621145,0.3171084234735593,0.2501069876285935,0.20367803005303023,0.657609392692374,0.21079643722844418,1.8507796779902594,0.2713470180978987,0.27381905524419536,0.5197755098342896,0.3230095242489818,0.20625954111812286,0.11389601892395189,0.006038463463294808,1.5607363603803606,0.004288083401349421,0.007814571078836484,0.003575804271254916
16.0,0.643549950345062,0.6915056570784173,58.57536,58.57536,1.0,0.2937210496442609,0.6873466255578146,0.34099469907192625,0.5567210943425802,2.260263221102643,0.1123348017621145,0.31750525254646567,0.2509180698836522,0.2134875151227633,0.6547031781084954,0.2101003304525767,1.8446679035626365,0.2695134756737837,0.2720403022670025,0.5396783947944641,0.33896328099088846,0.21661633946172934,0.11389601892395189,0.005736856701910737,1.569117104916586,0.004031959885295744,0.007481849557956606,0.005946951611256557
17.0,0.6364852826221908,0.605050989655876,62.23632,62.23632,1.0,0.2951025170247259,0.6883671573469188,0.33134604359128844,0.5466597546396049,2.2857306562747297,0.1123348017621145,0.32025727253272435,0.25381730461212804,0.20690518529108332,0.6540892965776289,0.20706993442673927,1.818061213930571,0.27085093542546773,0.27230786542140206,0.48431938886642456,0.32924495603011955,0.21051318087979812,0.11389601892395189,0.005831868615783581,1.6849270479142433,0.0038095820716835442,0.007954715331831898,0.003546258750808417
18.0,0.6449539565982543,0.7361344834759662,65.89728,65.89728,1.0,0.29854756325264825,0.6891978905369867,0.32877248456130764,0.5356298389751405,2.2725933337920488,0.1123348017621145,0.3186511568155166,0.25384000152942454,0.20583279590474773,0.6542532677140908,0.20902178934073973,1.8351983793244178,0.270569425654901,0.27203567681007346,0.5164890289306641,0.32670094267998545,0.2097149685524412,0.11389601892395189,0.00527178164987198,1.6034493570932682,0.0035557169694393266,0.007099299834440941,0.0035442100803711276
19.0,0.6411938875627998,0.6962202257367498,69.55824,69.55824,1.0,0.3020618687245175,0.6914699032277892,0.31134417846287804,0.5251992584231364,2.28518840589824,0.1123348017621145,0.31897105021091265,0.2553799902126001,0.1953798272835985,0.654415808213054,0.2089464738909189,1.8345371143343647,0.2723503498315626,0.27475154107434896,0.49380236864089966,0.309449184978434,0.1996689208055699,0.11389601892395189,0.004981387755135392,1.5931918222413515,0.0032143081736670086,0.006898695131185888,0.0034985649131784318
20.0,0.6410505844633929,0.782455063369315,73.2192,73.2192,1.0,0.2945301580780929,0.6935789232565027,0.34259433176220766,0.558186902208025,2.325338494380675,0.1123348017621145,0.32365857017984684,0.26007301907003194,0.21403163222069857,0.652712609172073,0.2097278826816226,1.8413978351750593,0.2702576658505305,0.27335984095427435,0.5144088864326477,0.3408156559355,0.21832278830803567,0.11389601892395189,0.00496861463254449,1.6697775798638759,0.0031185979768142825,0.006997053885204606,0.00446560510552911
