round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_f1_best,fed_f1,fed_ece,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6425986544840845,0.36842726206657284,40.27056,40.27056,1.0,0.2443394901338659,0.2157234097440919,0.3085725713708772,0.28746343770640415,0.34335427150337533,2.134573028017362,0.11448171691107058,0.5475595410013148,0.6792611450526463,0.6627559228517936,0.22482042923378054,1.9739094602059148,0.273474982864976,0.2856282012654414,0.5415703058242798,0.3435517705268615,0.21734157649671612,0.11389601892395189,0.007051123858049791,1.433816321507038,0.005417818243202876,0.00862654815061124,0.0046748848709745145
12.0,0.6364102757535208,0.4521573149946637,43.93152,43.93152,1.0,0.24663779508745817,0.20893695751241875,0.3112015898626123,0.2923486702726187,0.3299094972594756,2.155432984427877,0.11448171691107058,0.5393940379264124,0.6813628030819431,0.663939875777495,0.22575023188274104,1.9820730699417506,0.2750955192775269,0.28464977645305517,0.5449572801589966,0.3302567818684075,0.21105604409717826,0.11389601892395189,0.007056159171111315,1.5271408737098682,0.005368167614961721,0.008724307912006204,0.004612560639445063
13.0,0.6426055454262536,0.6190454397648117,47.59248,47.59248,1.0,0.24877699262040937,0.21525568010067742,0.30879388336310026,0.2871465453393634,0.34050039439526897,2.1709851363350094,0.11448171691107058,0.5486429283719313,0.681940898247016,0.661835433115965,0.22600139546707426,1.984278270674016,0.2717612480217047,0.28300307005302816,0.5385441780090332,0.3409378033715776,0.2177508377354201,0.11389601892395189,0.006950637613067796,1.5918030427892518,0.005220481267220519,0.008701341372784697,0.005161541623329388
14.0,0.64018650221305,0.725216889590853,51.25344,51.25344,1.0,0.25301937563529275,0.20589623294678205,0.3141110553932246,0.2872363989826425,0.32545539774589133,2.2057853123463813,0.11448171691107058,0.5386470296386806,0.684174339051793,0.6629508660351549,0.22467716559012396,1.972651614277584,0.2722800594897609,0.2833425567238517,0.5327162146568298,0.3257914771027727,0.20848008608529098,0.11389601892395189,0.006439946797879127,1.5621997764810658,0.004705907531292869,0.008239874223958875,0.00435910748531322
15.0,0.6353328422470755,0.7344094281249091,54.9144,54.9144,1.0,0.2555338858068682,0.204642112134747,0.31779145404358755,0.29436429668030784,0.32469004469056956,2.228302144230156,0.11448171691107058,0.5361021913987094,0.6877548903652841,0.6622840509168403,0.22461960562447536,1.972146241340124,0.27482927998083145,0.2826792564178224,0.5381399989128113,0.32516184308070195,0.2078072582674516,0.11389601892395189,0.006293303531752501,1.6162478219794139,0.004461952069643145,0.008235910055427413,0.003366408945969352
16.0,0.6381682500010106,0.7985117356508128,58.57536,58.57536,1.0,0.25871279451542817,0.22296718247979236,0.317896223880343,0.2876970356349794,0.3538113392200665,2.2560940974059283,0.11448171691107058,0.5745726669065018,0.6901475754352459,0.6618949677150295,0.2251840949837974,1.9771024229929608,0.2697185276832663,0.279063435883474,0.5387668609619141,0.3539912547486628,0.2259789579415179,0.11389601892395189,0.006320731873195376,1.7160066618798737,0.004297037343968725,0.00850989563079527,0.0034161452015097713
17.0,0.6351228184247671,0.678786135067533,62.23632,62.23632,1.0,0.2589619302640527,0.21464401749377454,0.32339189703195975,0.28986670498560113,0.33986388135529566,2.2542202040447425,0.11448171691107058,0.5480932822044564,0.6921000491369647,0.6605228859582629,0.22554898240580817,1.9803061119845349,0.2702528932704672,0.2808589525722231,0.5576684474945068,0.34018033247867974,0.21829018088861035,0.11389601892395189,0.0055792375085391465,1.6023952914583788,0.0038283634886201313,0.007498862615122405,0.0032468268082772303
18.0,0.6414222361288284,0.9732807188968167,65.89728,65.89728,1.0,0.2644366712921477,0.2152085618235225,0.32202131845442455,0.291251161082998,0.3409646506673837,2.3059552786992925,0.11448171691107058,0.565201053648495,0.6942576996585618,0.6605724186442888,0.22225416262750297,1.95137779816432,0.27017396772165164,0.27965599051008305,0.5522851347923279,0.34130283241277914,0.21925150665077808,0.11389601892395189,0.005607664919782203,1.6974618123695109,0.003722289830939321,0.00770414229260615,0.003106486171372161
19.0,0.6352727008180761,0.8156812211693912,69.55824,69.55824,1.0,0.2652176134700499,0.19190716854384227,0.32307655670748175,0.29495952667361686,0.3024640876239001,2.310310223298686,0.11448171691107058,0.5366678265918606,0.6964252370956086,0.6599596540146273,0.22131149996789823,1.9431012783306096,0.27615780445969124,0.2772782503037667,0.49853572249412537,0.30241576653131197,0.19621619254537162,0.11389601892395189,0.005143801373160373,1.6344657165136596,0.003376068301948388,0.00712988366361231,0.005974311430022644
20.0,0.6454934472385336,1.1707384561823817,73.2192,73.2192,1.0,0.2675955155335286,0.21013620255633966,0.32750239068822273,0.29518407938058655,0.3349727334503776,2.3320548489721946,0.11448171691107058,0.553961029764509,0.6977876052766039,0.6571297526467923,0.2197397626932594,1.9293015222944634,0.2713367324318333,0.27713427713427713,0.5335923433303833,0.33560575905457385,0.21471933118735234,0.11389601892395189,0.0051430254579348566,1.7150152161575534,0.0031806482181921648,0.0073946389028044825,0.00364474494061294
21.0,0.6391658778154399,0.9655346431750574,76.88016,76.88016,1.0,0.2692976137389635,0.21318930307551956,0.32822562802504385,0.2961150983044051,0.33731717483874796,2.343665222227214,0.11448171691107058,0.5659568085849185,0.6975167583090204,0.6588521021511315,0.22154794001678468,1.9451772073325209,0.2707535121328225,0.2794471915810828,0.527671754360199,0.337230982932108,0.2178292166326197,0.11389601892395189,0.004714132753198506,1.6458509228032199,0.0029712839651948805,0.0067413773377025315,0.0034371745078478305
22.0,0.6407153450969577,1.1507253051320618,80.54112,80.54112,1.0,0.27373399360669254,0.21770886281192178,0.3320328237959321,0.29162791745611055,0.34600214656017814,2.386549919731602,0.11448171691107058,0.5728073069812053,0.7020496504655956,0.656356869562354,0.22023988791328208,1.9336925907861253,0.2664624808575804,0.2785537136144106,0.535852313041687,0.3464214949108758,0.22272615658244987,0.11389601892395189,0.004880378271948423,1.7813145226828055,0.002723213978874777,0.007410442156051595,0.003144498837844387
23.0,0.6407316417885345,1.240775895161507,84.20208,84.20208,1.0,0.2761116511757282,0.21185684317489997,0.32980976800479067,0.2957501769472602,0.33647727518003,2.4063097344594793,0.11448171691107058,0.5781862489793321,0.70292295151761,0.6586581252755546,0.22015047571990254,1.9329075572597187,0.26939124852893975,0.28087030234529525,0.545257568359375,0.33660261678659453,0.2171540762845576,0.11389601892395189,0.004696881695850837,1.795396341203741,0.0026199109924179556,0.007147743663109559,0.00450916108497923
24.0,0.6408781468670809,1.0433265878956681,87.86304,87.86304,1.0,0.27672879298150277,0.20978297426552547,0.33204786266990766,0.2955133224523513,0.33255927353596565,2.4109332402648196,0.11448171691107058,0.5588630565301882,0.7044270630016,0.6564250381842168,0.2187814503470678,1.920887599180685,0.26629422718808193,0.2774097607138029,0.5383375287055969,0.3330720609205932,0.21568997908032228,0.11389601892395189,0.004221027259919016,1.6853233931433351,0.0024270487493376325,0.006350250882095397,0.0033658085337124957
25.0,0.6510330856242531,1.470855857150071,91.524,91.524,1.0,0.27608712274385394,0.20373702070118999,0.33259166969947934,0.2981282305167224,0.32213191683477127,2.402480248542488,0.11448171691107058,0.5632036048523903,0.7059427648885076,0.6549679589908012,0.21800299768734815,1.91405283298715,0.26719435233714833,0.2769495412844037,0.5433349013328552,0.3225964695273629,0.20982114781512157,0.11389601892395189,0.003965042511022528,1.6514606737400754,0.0023075384513696205,0.005956223186912481,0.0033597424219379943
26.0,0.6447174495273467,1.3556632407813123,95.18496,95.18496,1.0,0.27736281375779803,0.20136075294278613,0.3328292096977748,0.29977856787677803,0.3202173871296092,2.416774832700248,0.11448171691107058,0.5570482584421642,0.7081378469176298,0.6545151120246889,0.21741048873500474,1.9088506410410115,0.27288002688473173,0.27944604415192653,0.5311699509620667,0.32019436993449213,0.20756218041408847,0.11389601892395189,0.003955417802042426,1.7144824552997306,0.002269865505449589,0.005995092073264067,0.0032832447234668626
27.0,0.644065056452465,1.3717973079869967,98.84592,98.84592,1.0,0.2777502090393534,0.20548113872001242,0.33957436840349137,0.29957893323436424,0.3266082743811829,2.416696091969238,0.11448171691107058,0.5526292869207267,0.7088646648818527,0.6540740238948589,0.21820674042625587,1.9158416816302597,0.26910983411037626,0.27477124183006535,0.5235901474952698,0.3268649944361612,0.21200644247769782,0.11389601892395189,0.003824989851192986,1.7231808727756288,0.0020523140758677352,0.005982070042777109,0.0031395148315169668
28.0,0.6491242743389385,1.5934249793802722,102.50688,102.50688,1.0,0.2808797002740789,0.20511050524973634,0.33600350249970246,0.30017264245315944,0.3261547818235653,2.440193241976713,0.11448171691107058,0.5755991973430696,0.7098018971330657,0.653724885597943,0.2173829121179461,1.9086085200492582,0.27122015915119363,0.2744125326370757,0.52127605676651,0.32644612147401136,0.21200257137375103,0.11389601892395189,0.003691269309568764,1.7305728869323502,0.001993009154124697,0.005758318600194303,0.0037806463014599593
29.0,0.6446983540318252,1.7145459917915642,106.16784,106.16784,1.0,0.2843789270800717,0.19947136895731124,0.3370995035682221,0.3059077613320664,0.31778796416027066,2.473912985467842,0.11448171691107058,0.5576352977086453,0.7103111359613133,0.6522874337470519,0.21660355919425187,1.9017658495937209,0.2725222551928783,0.2748495081485831,0.5329656004905701,0.3182822672970807,0.2065619027988139,0.11389601892395189,0.003545112536501891,1.7263544348770665,0.001845448759562104,0.005622523797029128,0.003533006564337157
30.0,0.65058676881068,1.7246638989793688,109.8288,109.8288,1.0,0.28414075877698086,0.20485161567755583,0.34258232272481387,0.3031134717057171,0.32635963526959144,2.472270192855704,0.11448171691107058,0.5506510205247553,0.7105760125486228,0.6531206043976592,0.21621539263458833,1.8983577712137143,0.2701021768103065,0.27354870652308455,0.5162334442138672,0.3262939674182749,0.21186843669936134,0.11389601892395189,0.003342294112430603,1.6881217272821232,0.001797313482468651,0.005231690130450096,0.0033020381710635086
31.0,0.6436280264864467,1.659848987528375,113.48976,113.48976,1.0,0.28783271517900244,0.2058992453161675,0.3454374375963715,0.2999578108859224,0.3266467908595214,2.503040659138912,0.11448171691107058,0.5656556750782127,0.7145875615072034,0.6521833234953998,0.21705216162131977,1.905704551150686,0.2675756284618662,0.2736753100338219,0.5379644632339478,0.32686047621846015,0.21318000943389898,0.11389601892395189,0.0033228951725886463,1.7347756757612842,0.0016976361784542373,0.005310669871908269,0.0034754867796200606
32.0,0.6501086056564436,1.9577420635274838,117.15072,117.15072,1.0,0.2875896922153286,0.2061594407301959,0.34350377155581313,0.30305142534378854,0.3274775270643179,2.5004449332369094,0.11448171691107058,0.5629420332637338,0.7158956232031041,0.650988690986266,0.21594853718541174,1.8960147968788978,0.26556192904185255,0.2737084472585984,0.543451726436615,0.3277841983511884,0.21385665910484317,0.11389601892395189,0.0031378853818456497,1.6950970693969794,0.0015895522319527727,0.005022459540937667,0.0035641330277975765
33.0,0.6518880787603782,1.9243088054091537,120.81168,120.81168,1.0,0.2899271870250457,0.2056610760840192,0.34421151495057206,0.306531905263112,0.32521379373515624,2.518460111890545,0.11448171691107058,0.5695553820157518,0.7164370271514148,0.6487649406870242,0.21331537734284647,1.8728958163610325,0.2663825253063399,0.2743933918430563,0.5322026014328003,0.3258423066477314,0.21431852073391466,0.11389601892395189,0.0031610376511738425,1.7639861188454233,0.0015799388644951913,0.005087957585687833,0.00366271773658807
34.0,0.6558014053827103,2.1235612733221756,124.47264,124.47264,1.0,0.2897503928252341,0.20355123753048962,0.34644418291869944,0.3082894255764347,0.32450909237111386,2.5236501949704437,0.11448171691107058,0.5612557822236692,0.716713056812351,0.6496864092800887,0.21004529879126413,1.8441847289808337,0.2664455500276396,0.2710826607291956,0.5368925333023071,0.32489446938586103,0.21165046684437286,0.11389601892395189,0.0030010101781521407,1.729585787285032,0.0015621403534603145,0.004750057022098404,0.003296898114543402
35.0,0.6487952193375259,1.7681342692269482,128.1336,128.1336,1.0,0.2911671781068588,0.20760359935171993,0.34976801926353096,0.2997619519180506,0.32857091792586024,2.5437055148796968,0.11448171691107058,0.5622257030766491,0.7161585117169696,0.6473974394801434,0.2114525942497285,1.8565406960441253,0.2630299185960461,0.2707345212152288,0.5344435572624207,0.32945799750920657,0.21654320786875758,0.11389601892395189,0.002914859296590355,1.734080986921981,0.0014301471702801475,0.004718708924164757,0.002969808518429209
36.0,0.6608040398598061,2.2036715457687497,131.79456,131.79456,1.0,0.2940589072081722,0.20815829255684554,0.3468485463227719,0.3032537482145023,0.32895047743466677,2.5612059898354187,0.11448171691107058,0.5877694621399882,0.7188739845306045,0.646588075139491,0.2112477194031694,1.8547419075658738,0.2646616541353383,0.269811320754717,0.5434319376945496,0.3297288902691595,0.21792799671228033,0.11389601892395189,0.0027725766195175294,1.699603189859772,0.0013642193384713998,0.004481692496853054,0.00395328470743155
37.0,0.660980912768317,3.0241976435645306,135.45552,135.45552,1.0,0.29304413882280883,0.20734221238546682,0.34379381388807684,0.30686334025634215,0.32944244178592424,2.547660810276752,0.11448171691107058,0.5756567423695833,0.717775346126298,0.6458173003629453,0.21031602219677298,1.8465616637329572,0.26551538046411227,0.27175208581644816,0.5563708543777466,0.3296438250774788,0.21643975063544,0.11389601892395189,0.0030172977241939994,1.9034370135104837,0.0014159154423567164,0.004961692792223933,0.004860785513852903
38.0,0.6604265566294418,3.4040097868835404,139.11648,139.11648,1.0,0.29411716229681056,0.2055926353987912,0.3502323792459787,0.30874272399521174,0.3271255865722428,2.5517447806414593,0.11448171691107058,0.5784510378514522,0.7188523630865378,0.6465169322975651,0.20848084804082967,1.8304489481764228,0.26374352759722375,0.269150521609538,0.5510156154632568,0.32780522193519196,0.21469684296251604,0.11389601892395189,0.002959984896812587,1.9207579328176507,0.0013321851510572007,0.004942810373204479,0.0040576771903204955
39.0,0.6553367734821952,2.9029237119393985,142.77744,142.77744,1.0,0.29484445587727764,0.2055551673473385,0.3502861144535339,0.30959432618059873,0.3254773387488164,2.5638661234929954,0.11448171691107058,0.5767852299609849,0.7225247990124899,0.6451834526543572,0.20718026247372445,1.8190298873576805,0.2653673163418291,0.27208580299181484,0.548724353313446,0.32605266013536144,0.21549415318561704,0.11389601892395189,0.00268113540320864,1.7917670745737269,0.001224631388523123,0.004447964410565814,0.004075669755028377
40.0,0.6620820735496296,2.650832796430891,146.4384,146.4384,1.0,0.2973422830945938,0.21654392481649165,0.3514027547334673,0.29917289068936587,0.34299981512393346,2.584238897518527,0.11448171691107058,0.5935267338770603,0.7239500475942898,0.6439843274414997,0.20766346735026125,1.8232723962803097,0.26216348507097403,0.2686047956267859,0.5415894985198975,0.3432625523112201,0.2264622603170816,0.11389601892395189,0.0026876985174850254,1.8442187358814408,0.0012147898391232318,0.004477245667779695,0.003848767728759005
41.0,0.6558716426462387,2.347499969481185,150.09936,150.09936,1.0,0.29717330124099256,0.21828506478051857,0.3492554048432359,0.2997032819628383,0.34343379997916124,2.581776624430387,0.11448171691107058,0.6015225227250951,0.7224207610108675,0.6445581511224054,0.20721725380188616,1.8193546689304798,0.2602608362102033,0.27304488040849234,0.5614323019981384,0.3441772235914703,0.22878820693904878,0.11389601892395189,0.002426137404376263,1.7098503265569889,0.0011574293593688922,0.0039667372578089275,0.004033627415352333
42.0,0.6569447453462621,2.759980558116619,153.76032,153.76032,1.0,0.29911902464103374,0.21393818233523149,0.3484128182455823,0.3017512172197826,0.33739897306130673,2.6000105761354053,0.11448171691107058,0.5902104891001508,0.7244722122089846,0.6435825692934293,0.20797843903520644,1.826037828188474,0.260757229454437,0.2689162881245944,0.5471226572990417,0.3387292395074726,0.22450883155565135,0.11389601892395189,0.002507607483189414,1.8119830565592565,0.001157149911769716,0.004148030929151674,0.0035995984500712466
43.0,0.6625809822762395,2.898865463089871,157.42128,157.42128,1.0,0.3033374734065825,0.20565322297527258,0.3530067725328012,0.30835361091322955,0.32528054852539595,2.647432275349923,0.11448171691107058,0.591212622099672,0.727107248694494,0.6426404192038939,0.20459240942054926,1.7963086976477654,0.2605685513479492,0.26714622349001615,0.532724916934967,0.32644878453305026,0.21654013826429283,0.11389601892395189,0.002515155035615318,1.8628652699026134,0.001138095140123709,0.0041766213144159795,0.004605389992200838
44.0,0.6586143621916655,3.22984570353186,161.08224,161.08224,1.0,0.3010325567493544,0.2057193716214486,0.3534010534734784,0.30862909158804674,0.32651275638886085,2.621188333183956,0.11448171691107058,0.5680345551611546,0.7272898179408814,0.6426528306116668,0.20498651427853148,1.7997689139196384,0.263603641753123,0.268283144309738,0.5356687903404236,0.32779215834366227,0.21667477883111347,0.11389601892395189,0.002340889800865071,1.7783031082653906,0.0010605447433163608,0.003884171007784958,0.0035153640554274695
45.0,0.6597546470888604,2.8218340083596583,164.7432,164.7432,1.0,0.30611953706246503,0.21105694144131606,0.35346538582557985,0.3053759412487505,0.3334771846547236,2.6692451799701327,0.11448171691107058,0.5753923891189228,0.7291465015264802,0.638272344085486,0.2030159810151374,1.7824677537736477,0.2575558475689882,0.2658926801642362,0.5598005652427673,0.3342729345194517,0.2229490111911551,0.11389601892395189,0.002175137037178432,1.6917716966017906,0.0010340172759222927,0.003547747731107059,0.004135102300680701
46.0,0.6699841360175463,3.1283934240607985,168.40416,168.40416,1.0,0.30690862823016113,0.21285312593766698,0.3547539439866446,0.3066606693231437,0.3371579431090728,2.67251261889766,0.11448171691107058,0.5635521611503227,0.7291481294024389,0.6417640658898423,0.20301426990065674,1.7824527302943654,0.2572563397494653,0.26869419642857145,0.555843710899353,0.337733189295269,0.2241722146386774,0.11389601892395189,0.002127378214075062,1.6945330009366444,0.000978244894758536,0.0035106418363200506,0.003668196450010082
47.0,0.6659556781107286,3.2194126012783606,172.06512,172.06512,1.0,0.30942511459085714,0.20120654706384716,0.35640247602858477,0.31374805128446076,0.3195891247473731,2.696173357639921,0.11448171691107058,0.5692569436244604,0.7305869932101777,0.6417768412317156,0.20556293326327807,1.804829836945679,0.26151985043440007,0.26766269941757403,0.5238314270973206,0.32026233011183936,0.21243114629512685,0.11389601892395189,0.002276399407774421,1.8563976018394897,0.0009536935491602494,0.0038655186797677678,0.0031178180922819057
48.0,0.6669966577994902,3.3419546241583253,175.72608,175.72608,1.0,0.31094098538028014,0.19922432764224518,0.35666921364711474,0.3152971123869771,0.3171112053170502,2.7096987332891422,0.11448171691107058,0.5417705757801464,0.7326705201524962,0.6387401123497196,0.20083967797724483,1.7633599477374624,0.2604866233623252,0.26432047922126545,0.521758496761322,0.31797909635840094,0.21095305753143806,0.11389601892395189,0.0021598196304134175,1.8028841369432484,0.0009176479753033385,0.003640508967159374,0.005093852449112507
49.0,0.6736738734403278,3.7597913699379495,179.38704,179.38704,1.0,0.3151041222687647,0.21280381485102381,0.3604931842247898,0.3069683168155804,0.33828062409467924,2.7459259200527972,0.11448171691107058,0.582884045180729,0.7321479452363377,0.6395511583169057,0.20036690821571754,1.7592090584790507,0.25824847250509164,0.2650494159928122,0.5676937699317932,0.33947733147519155,0.2247415779089193,0.11389601892395189,0.002053300753108395,1.7522961732574913,0.0009170680903431421,0.0034063699512771693,0.004073047817010149
50.0,0.6715125872598412,3.6035058223953604,183.048,183.048,1.0,0.3166650634220112,0.2074575584257479,0.3638017092824738,0.31465308659194696,0.3295571262983561,2.7606861483394516,0.11448171691107058,0.569583111162625,0.735314758903758,0.6390093859357491,0.20127619187115042,1.767192512721117,0.25769311283232155,0.26714988351022523,0.5406475067138672,0.3312697976431139,0.2204271519405456,0.11389601892395189,0.0019858668971432345,1.7310843808718346,0.0008657877350202235,0.003319754055901843,0.003918195549886179
51.0,0.6681659864478238,3.6298023338181813,186.70896,186.70896,1.0,0.3147758435076891,0.20883351025751837,0.3601259051079624,0.3068805274445333,0.33150304703704636,2.746904614201836,0.11448171691107058,0.5760976467313234,0.7354655412871836,0.6392474364858443,0.2013102732516163,1.7674917451331702,0.2611173298056375,0.2630045776113192,0.5049835443496704,0.3328772941527043,0.221320976186684,0.11389601892395189,0.0020069500992412376,1.787517180575378,0.0008468315911455782,0.0033862306110788946,0.0033814458995650933
