round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_brier,fed_f1,fed_f1_best,fed_prevalence,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.66284569168477,0.16239220721479894,0.962775,40.27056,1.0,0.4933614908478485,0.6545430799336176,0.2145634457077063,0.23006998983932497,0.26258248922221783,0.28583410668441583,0.11385235068286238,0.36412165067263275,1.8929788292476049,0.6602487055366022,0.21670847581323532,1.9026870110177518,0.27555945590171127,0.2793187347931873,0.5062023997306824,0.36355623936753934,0.22981408421027325,0.11389601892395189,0.0148042234104301,0.5275793759701628,0.00787540873982921,0.0240100102071228,0.0010421805354084125
12.0,0.6623470320398019,0.17065120255045357,1.0503,43.93152,1.0,0.4889731876942711,0.6545087310755968,0.21457249743530468,0.22485429710565838,0.2613979150452742,0.28562013531612906,0.11385235068286238,0.357359912691231,1.8929131296466486,0.6603071859817202,0.21667850838919822,1.9024238988886342,0.2755569118095819,0.2792662003431437,0.48808053135871887,0.3566607041479902,0.2245626891366545,0.11389601892395189,0.011032849573043579,0.4312758643463894,0.006072966136949382,0.01784204506523158,0.000685471422202067
13.0,0.6625398379466182,0.19895207696589462,1.137825,47.59248,1.0,0.48589790870502775,0.6545486222070317,0.21458627352425252,0.22105523083249293,0.2615585082182123,0.28539742711366617,0.11385235068286238,0.35209096515484045,1.8932794321297177,0.6603207895874087,0.2166553298023756,1.9022203923302698,0.2752607815662463,0.2792482795129698,0.4851229190826416,0.3515211166037282,0.220733695158216,0.11389601892395189,0.008663846919137016,0.3703189180614572,0.00423434162668924,0.014938100372868463,0.0007782947133021388
14.0,0.6620892155977047,0.21050146316885363,1.22535,51.25344,1.0,0.4864234564715346,0.6547992224257572,0.2146896034744486,0.21981137745240548,0.2617929133761175,0.28594109063493595,0.11385235068286238,0.35049861324044296,1.8942634149578614,0.6604175835086952,0.2167568560302103,1.9031117863297606,0.27600979192166464,0.2794621671500132,0.48509132862091064,0.34985101202742735,0.2194638607877704,0.11389601892395189,0.007947696685880619,0.36784285961448404,0.004753890685852264,0.012621312739368323,0.0005139013346128705
15.0,0.6573581691199648,0.2067156149879731,1.312875,54.9144,1.0,0.4856219690545584,0.6548937707377187,0.21483391340243155,0.21835892887162603,0.2615080431122656,0.28590103091923125,0.11385235068286238,0.3485869748156925,1.8954582670625848,0.6604265563666908,0.21684405028479556,1.9038773464907657,0.27593582887700535,0.27925497752087347,0.4823545813560486,0.34786123033438404,0.21799022076154884,0.11389601892395189,0.007508503231163907,0.37118599626410287,0.003148039692904287,0.01415725651181219,0.000773705450429336
16.0,0.6594979357218479,0.21321799225992594,1.4004,58.57536,1.0,0.4816550633306958,0.6547904687813121,0.2148732237876299,0.21678317373249387,0.261893156847636,0.28579261801278555,0.11385235068286238,0.3463413351860122,1.8958662194646074,0.6603670594159817,0.2168879997087528,1.9042632197141889,0.2765598650927487,0.27929915639195324,0.4823572039604187,0.34560057987947934,0.2164019654330386,0.11389601892395189,0.0060106615909819566,0.31935760068336094,0.0020512389359291614,0.01232775000691775,0.0005718434561062739
17.0,0.6592740362471496,0.20983897157300485,1.487925,62.23632,1.0,0.4829477778228491,0.6547717290012462,0.21468803464168076,0.21441633242276661,0.26110967460134266,0.28555775526340793,0.11385235068286238,0.342940557769415,1.8940140642129368,0.6603558778544795,0.2168990303937176,1.9043600684457689,0.27597955706984667,0.2795587280986373,0.4804689884185791,0.3421693574461869,0.2140222450422477,0.11389601892395189,0.004859599162102148,0.27722417927452625,0.0014175660639335172,0.010629192108060839,0.0006582085594869925
18.0,0.6593959754234741,0.2358817970256827,1.57545,65.89728,1.0,0.47893102484409916,0.6547626379797565,0.2148143429572076,0.21284835865044816,0.2612093900305646,0.2851083402318602,0.11385235068286238,0.3406400593999155,1.8951749318252145,0.6603845282528066,0.2169434402884174,1.9047499845738245,0.2754472547809994,0.27985122483006286,0.47913846373558044,0.33985616145757225,0.21243534845387568,0.11389601892395189,0.005001603518624526,0.3043967995545245,0.0007798695998938194,0.012411434061702586,0.00045422746019136226
19.0,0.6582000218320477,0.2328630161991025,1.662975,69.55824,1.0,0.47355433847607253,0.6546596630989403,0.21466062070100636,0.21058240415317656,0.2613582256504092,0.28518785816573905,0.11385235068286238,0.3372859152071322,1.8934894293474758,0.6603931371767016,0.2170009740089185,1.9052551270805131,0.2764253180461756,0.2796820018245797,0.47816386818885803,0.33648235207115423,0.21015520062214244,0.11389601892395189,0.0034784162466302854,0.22574978404372814,0.0005123797680588782,0.008866414688707271,0.0008204106537316652
20.0,0.6567404011883538,0.2719103933866783,1.7505,73.2192,1.0,0.47424536566240943,0.6547304185849466,0.2148288731712067,0.21035542275377986,0.2618253193688028,0.2851912740714373,0.11385235068286238,0.3369172338467351,1.8952355107810355,0.6604362068950804,0.21702827494468338,1.9054948276075625,0.27588335133467057,0.27956147220046984,0.4791671931743622,0.33612302925597626,0.20991684803118552,0.11389601892395189,0.003880198556053864,0.2661442420317144,0.0015999410542061419,0.00818763291218885,0.0006730616346489504
