round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_brier,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
16.0,0.6394038359595462,0.5681558673836903,58.57536,58.57536,1.0,0.265047712017873,0.21641901047089923,0.3227654636162114,0.5596802476849803,0.3440081708270152,0.11492950654582075,2.3015159576283972,0.6954537336556069,0.29364159383939387,0.6589882009552743,0.21963745226241788,1.9284032430410873,0.27077865266841644,0.28071848672707045,0.5666669011116028,0.34309419664154983,0.21940262221375315,0.11389601892395189,0.006825242602405409,1.775159355971482,0.004626365105577768,0.009035071728411575,0.0037709004236775143
17.0,0.641772303232816,0.6834900729888701,62.23632,62.23632,1.0,0.26736201184008146,0.21743719972317396,0.32484471971298684,0.544124157001965,0.345601575119207,0.11492950654582075,2.3217569417984874,0.6960527167745967,0.2907955403143008,0.6558190000606892,0.21757953259238902,1.9103348356509842,0.2698293442095095,0.2791215786123488,0.5653834342956543,0.3447365071571083,0.22071092480559404,0.11389601892395189,0.006396869919445855,1.751310499948886,0.004244526575980994,0.008597083026993711,0.004419697455691313
18.0,0.6399361363863043,0.6025939874144641,65.89728,65.89728,1.0,0.2668368476563572,0.20302527427302366,0.3262925795516548,0.5414398601775744,0.31964268038975036,0.11492950654582075,2.3153637209173787,0.6968535932935214,0.29596480820534055,0.6568947641629221,0.21982596195033832,1.9300583464389183,0.2748847926267281,0.28043609933373714,0.5569091439247131,0.318322568034832,0.20693814600100574,0.11389601892395189,0.006101738372298357,1.7649080598712317,0.004170499072319049,0.008085521695532009,0.005064513764163977
19.0,0.6421667779710276,0.911537717631326,69.55824,69.55824,1.0,0.2681906421681647,0.2105660663975079,0.3280008575531257,0.543867801245741,0.3345985981246058,0.11492950654582075,2.327338058703227,0.6987496399951301,0.2993312256877009,0.6555134083613182,0.21820577226887028,1.9158331812683091,0.2720145438018407,0.27890384303551163,0.5648552775382996,0.33372194214161394,0.21434783296844587,0.11389601892395189,0.005846263339741092,1.7801163585245376,0.0039864516143113,0.007766649570864388,0.004612288215348973
20.0,0.6404386375151168,0.8617130944751317,73.2192,73.2192,1.0,0.27433162434014696,0.21551040010868786,0.32615118706159085,0.5500103820955675,0.3421769457829841,0.11492950654582075,2.3826329691473327,0.7007565554344369,0.2978333007654975,0.6557851541893407,0.2183611427870119,1.9171973248056295,0.26993732440025936,0.2792823290453622,0.5820730328559875,0.34143391917425214,0.2196142412353297,0.11389601892395189,0.005514381684463955,1.7606565111291275,0.0036642059712714667,0.007441633979712649,0.0038910229400533464
21.0,0.6401976577332882,0.742049023511861,76.88016,76.88016,1.0,0.2738956341103233,0.21089924531530202,0.3282734829548587,0.5634914652518515,0.3334321822450109,0.11492950654582075,2.3746736504825185,0.7015367942382119,0.3009973938570188,0.6554551036085245,0.21884916103960675,1.9214820948722697,0.2713125845737483,0.2803990293879752,0.5355132818222046,0.33266744524168496,0.21558394957675783,0.11389601892395189,0.005137178481695045,1.7194681070141087,0.0032300782383325216,0.007131872901329214,0.004504449989607565
22.0,0.641886760989162,0.9466366057018524,80.54112,80.54112,1.0,0.28105160202148816,0.21107346837321797,0.32671737696298453,0.5443078109099786,0.3350365017677918,0.11492950654582075,2.4369240501685447,0.7036453283373003,0.2973238770164853,0.6541845971141582,0.21482052620055112,1.8861109302159744,0.26975625751448246,0.2778941488618908,0.5413125157356262,0.33378537564759514,0.21572341410886056,0.11389601892395189,0.005251699410408095,1.8441934640613908,0.0031406767359354612,0.007465787325608211,0.003962518983495613
23.0,0.6406424709647296,1.0316208069989508,84.20208,84.20208,1.0,0.282600706731717,0.20994712322510262,0.3279297410382809,0.5349638616818135,0.3344064281431795,0.11492950654582075,2.451622023871708,0.7052370864367076,0.3007962587945749,0.6530798563278528,0.21554628602271406,1.8924830565555923,0.2700986506406622,0.2799046417052307,0.537690281867981,0.3332340594058045,0.21505270750087171,0.11389601892395189,0.004998795663295842,1.8387682330376265,0.003046632857652907,0.007044892872623504,0.004879728036613213
24.0,0.6381052129867759,0.9255633483381678,87.86304,87.86304,1.0,0.28593080714550045,0.20018341353337357,0.3302699381286445,0.5604396527792512,0.3152686935766661,0.11492950654582075,2.4867000265013015,0.7075398941785427,0.30600530138879356,0.6526244743724886,0.2148852862383459,1.886679519341447,0.2699516680419663,0.2751592356687898,0.5643780827522278,0.31392970060205655,0.20622988513614807,0.11389601892395189,0.004434750708255562,1.7045740922676487,0.0027098794720081167,0.006240384166130063,0.0048949549250117365
25.0,0.6515429191817355,1.3241689220203239,91.524,91.524,1.0,0.28623511720480577,0.21296549784454752,0.33247577114306465,0.5696588673808004,0.3340963409300731,0.11492950654582075,2.4797103545923918,0.709735141917718,0.29829283971067105,0.6521349955567411,0.21484030766253026,1.8862846102283755,0.26652977412731005,0.2778986633509481,0.5801280736923218,0.3324359786376402,0.2188166520402485,0.11389601892395189,0.004677139999226661,1.874552998382569,0.0027386343696077,0.006710457428912162,0.004355158380165632
26.0,0.6410703780143379,1.295235216700781,95.18496,95.18496,1.0,0.28854739187917916,0.21344998794458295,0.331884191730605,0.5546392847906727,0.3377482037961566,0.11492950654582075,2.4950385042250285,0.7095923688950655,0.29750013226033073,0.6529873794179655,0.21430486434423993,1.88158345101887,0.2663750911173592,0.28013507561297896,0.5560069680213928,0.33601741622010334,0.21899670761238302,0.11389601892395189,0.004378317567070598,1.8295490917498682,0.0026310697130069675,0.006213160549584474,0.00399401150922551
27.0,0.6506057933872419,1.7996758454992858,98.84592,98.84592,1.0,0.2926047702792938,0.21044675111489478,0.33424196960711194,0.5414136142712855,0.3349998626996598,0.11492950654582075,2.5337985697544454,0.7102082575041689,0.3014340803839962,0.6500815036692841,0.2109102204617582,1.8517786877395817,0.2687344351369708,0.27849339638023807,0.5622482895851135,0.3332803358920427,0.21626134877483405,0.11389601892395189,0.004099159742052833,1.7814993442934792,0.0023782185127528255,0.005909536482551941,0.004046154222705026
28.0,0.6478101592921183,1.2486272284680033,102.50688,102.50688,1.0,0.2962621272720217,0.20737478219936875,0.3384201079012826,0.5552663568572366,0.3290041033515401,0.11492950654582075,2.5652890204980117,0.7137729035513817,0.3024295865729266,0.6503826152143831,0.21080241406037187,1.8508321542048292,0.2694509936005389,0.2781804163454125,0.5525360703468323,0.3274903051356755,0.21376494581030334,0.11389601892395189,0.004173620905734647,1.8870150556649605,0.002387325863580868,0.006047915849968231,0.004465701921926163
29.0,0.6466382873837144,1.416355055992574,106.16784,106.16784,1.0,0.29664357510379635,0.19578907513464036,0.34144866963894027,0.5552282704758829,0.3089528046868311,0.11492950654582075,2.564450170734853,0.7130108337104353,0.31004260192084504,0.6504466174182675,0.21366934120771508,1.8760035971966817,0.2729349525069136,0.2749104418203529,0.5166543126106262,0.30737385206616996,0.2027491520456878,0.11389601892395189,0.0041031061004527525,1.9267770881051547,0.002308202650360764,0.005976854039756233,0.005248476478835726
30.0,0.6511916587620845,1.8148950922105243,109.8288,109.8288,1.0,0.29925647822749557,0.20093253813567521,0.3423525301976678,0.5503803187003968,0.32043585667407987,0.11492950654582075,2.5894433165855926,0.7148045167999153,0.3114602687790289,0.6501891528663274,0.21360204316756418,1.8754127245675354,0.2700903471231574,0.27818824285255384,0.5491251945495605,0.3185982256586758,0.20737737381274657,0.11389601892395189,0.003926347572679673,1.910121986278682,0.0021565570023436616,0.005776607238419378,0.00487879414791949
31.0,0.6484504000998451,1.55199542348924,113.48976,113.48976,1.0,0.29992886489264525,0.1982990873713341,0.3457404898977966,0.5587151622866755,0.3136267957062996,0.11492950654582075,2.594464881889088,0.7157912673342709,0.31346469677886374,0.6490594888688622,0.21307261824122833,1.8707644064670639,0.26952022577610535,0.27717391304347827,0.544001042842865,0.3124383037557971,0.20552561534021366,0.11389601892395189,0.0035199609762221864,1.774261868220492,0.001923311310173423,0.005185963619908083,0.004744379389107761
32.0,0.6548505311883666,2.4085583268687767,117.15072,117.15072,1.0,0.3019325706797005,0.2022317553686466,0.3415620006882312,0.5557670766114439,0.3200808693650228,0.11492950654582075,2.610533361118718,0.7159152674467955,0.31000802955863044,0.6475655393862283,0.2117503263222046,1.859154765221336,0.27195206268725514,0.2749889592227293,0.5434869527816772,0.3196599624382346,0.21007779139827623,0.11389601892395189,0.003699793629485726,1.9275887381172652,0.0018784150816191984,0.005600193929943497,0.006114251962598058
33.0,0.6508767389977264,1.886305112232785,120.81168,120.81168,1.0,0.30513734391458563,0.20767762722073002,0.3407524383214276,0.5699700962898415,0.3277625329292681,0.11492950654582075,2.6409439055514254,0.7176701869121181,0.3099425076763815,0.6493436084563025,0.2124258245360819,1.8650855977496292,0.26947874549229595,0.2737579193064355,0.5762519240379333,0.3264865747134994,0.21491251825320892,0.11389601892395189,0.003373441027004552,1.8158338688845106,0.0018313976787552682,0.004991137002415278,0.0041299644161775515
34.0,0.6502731478055735,1.7226092665475154,124.47264,124.47264,1.0,0.30541242640557015,0.20467922928590523,0.3426283528526654,0.5609279495137786,0.32434165806331045,0.11492950654582075,2.640441390146783,0.7190078150530215,0.30935491827935774,0.6504006487765365,0.21037381424775617,1.847069074365297,0.27051397655545534,0.2796983923744487,0.5414924025535583,0.32283312948579007,0.21210650182763408,0.11389601892395189,0.0032364807533402282,1.7985267061994819,0.0017617680878384957,0.004783595278631394,0.004504130939859752
35.0,0.6486433777134175,2.0009514764396608,128.1336,128.1336,1.0,0.3051615359140125,0.2009060009736551,0.34598360600587974,0.5591464488179031,0.31738785571578393,0.11492950654582075,2.634722962865101,0.7200201917803138,0.3093886907547787,0.6491478495585781,0.2122379102172085,1.863435721655199,0.26698315813270035,0.2748737990555284,0.5687968730926514,0.3162179691137146,0.20861386896256015,0.11389601892395189,0.003106881465914858,1.7847145796858968,0.0017289424478587826,0.00454315519123544,0.004429211073481509
