round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auprc,fed_ece,fed_auroc,fed_f1_best,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6415512844323346,0.42068130089398836,40.27056,40.27056,1.0,0.21371178506801586,0.24624598952755553,0.34096844880822047,0.6789723877716124,0.30888007063379874,0.11410409717414567,0.28442045528987664,0.5421658580775409,2.15851058354184,0.663114912468327,0.2239308398853929,1.9660989207613218,0.2774415569004391,0.28499860840523245,0.5239023566246033,0.34058421866928806,0.21528578089990758,0.11389601892395189,0.006950732837032638,1.4214592591306427,0.005359730416632059,0.008471493452349267,0.00568155178318707
12.0,0.6385464374452108,0.4696781219604233,43.93152,43.93152,1.0,0.2090929563529891,0.24747690900687397,0.33042992930935533,0.681482983878845,0.313737794208116,0.11410409717414567,0.29001358872708677,0.5615804843481241,2.1653295591420862,0.6644864545986687,0.22517059366972297,1.9769838822906431,0.2762237762237762,0.28511295075066645,0.5361151099205017,0.33009066604232684,0.21114150333070433,0.11389601892395189,0.007074640779161332,1.5371098569521564,0.005245818381193345,0.00887733243204095,0.005219103036040343
13.0,0.6467697184274844,0.712569090707564,47.59248,47.59248,1.0,0.21608247369668424,0.2500627697563229,0.34163232581439434,0.6836675549029941,0.31259981952740024,0.11410409717414567,0.2869847984502738,0.5586483210233334,2.1835297949436185,0.6636641894216254,0.22645005444188399,1.988217468716656,0.275963054742059,0.28446276732800824,0.5260671973228455,0.3412061715867458,0.21822567954744254,0.11389601892395189,0.006981890190181047,1.606904121412299,0.005159163185310173,0.00881923674630141,0.005496521582884425
14.0,0.6435351435331904,0.7525881538952521,51.25344,51.25344,1.0,0.21091592897786846,0.25531100436323423,0.33440432263226066,0.6859600226288375,0.31714892198128186,0.11410409717414567,0.289826433261546,0.5666225538660278,2.229960416802721,0.6635244889248328,0.22514772596516608,1.9767831052593392,0.2764428475185268,0.2857142857142857,0.5507451295852661,0.33413770586114216,0.21343695717258288,0.11389601892395189,0.0065957889283588395,1.6102258879382134,0.004736606725231401,0.00851654091437301,0.005012657942542336
15.0,0.6345931284022509,0.6239600484543782,54.9144,54.9144,1.0,0.2058605739677291,0.25893407350769243,0.3268741074131482,0.6891985382945283,0.3178110372840852,0.11410409717414567,0.29493525081501093,0.5463674796281073,2.262556174069156,0.6633842362521636,0.22569474277888885,1.9815858790427496,0.2766085387853277,0.2832399388690779,0.5680976510047913,0.32677956168717515,0.20889385595986998,0.11389601892395189,0.006804546441546121,1.758910142007153,0.004674583451944466,0.009045958233432948,0.004782707433692493
16.0,0.6372998438200356,0.7326420827734409,58.57536,58.57536,1.0,0.21910863954933282,0.26266886091914515,0.34916974887963664,0.6906640763378483,0.3225845517154112,0.11410409717414567,0.29254498822717767,0.5640052518540599,2.2952506286076417,0.6617796382535199,0.2251095135723376,1.9764476028143065,0.2726875136671769,0.28285077951002224,0.5591898560523987,0.3492480906673295,0.22213664106265293,0.11389601892395189,0.006541853492144021,1.7907738308313128,0.004292908555342772,0.00895315534327611,0.003962803758542436
17.0,0.636035245092178,0.5920661128602627,62.23632,62.23632,1.0,0.21424920315623114,0.26499527286447594,0.34120860230441413,0.6945131922800057,0.3253236085050183,0.11410409717414567,0.2979798650164883,0.5442828266276567,2.3145852785587926,0.6608721873980513,0.2245033411080117,1.9711254460782521,0.2737145390070922,0.2808136004857316,0.5496075749397278,0.34100648686886015,0.21801094866534357,0.11389601892395189,0.0056590421065876445,1.640670278975449,0.003697363436187515,0.007776621900875266,0.0056403444509788144
18.0,0.6418670797243412,0.9004430283494754,65.89728,65.89728,1.0,0.21508294758969762,0.2665553123493543,0.34061779967835165,0.6960450235999482,0.32728722395385645,0.11410409717414567,0.29545917567582786,0.5564333086077118,2.329063563174511,0.6604843716908665,0.22193912817718073,1.9486118151800282,0.2738772928526249,0.2788855890255975,0.5450631380081177,0.3406054299320813,0.21935689015896154,0.11389601892395189,0.0061160684772924925,1.867620406090282,0.0038539739989784626,0.008607129761694348,0.0035529847289312052
19.0,0.6354248618177221,0.917387397562733,69.55824,69.55824,1.0,0.19400359589655036,0.27026320803374976,0.30879248247083724,0.6990468103018641,0.3300069444418327,0.11410409717414567,0.30570237859383215,0.5348408729545091,2.362681842823059,0.6602086225877382,0.22310547654357163,1.9588522816810536,0.2766122766122766,0.2812213740458015,0.5273101925849915,0.30834105522388466,0.19837449942686425,0.11389601892395189,0.0055294192822439815,1.7750890509305464,0.0035713772494330477,0.007713688566058117,0.003945651600405508
20.0,0.6338753905015905,1.0726174408774614,73.2192,73.2192,1.0,0.20612450981281485,0.2736010578478517,0.3293676589084538,0.701396753493431,0.3296344219279783,0.11410409717414567,0.3035810852823423,0.5514864464922246,2.392402898075562,0.6567409329834679,0.2213793699331889,1.9436971724271013,0.2728538283062645,0.280744959211944,0.5380886197090149,0.32919172722709594,0.2108640087911189,0.11389601892395189,0.005086201167186605,1.717398806986239,0.00316655928944362,0.007260351134546836,0.003601072665400916
