round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
17.0,0.6262102687894225,0.536791209186694,36.39808,36.39808,0.5412350858791136,0.2750897494364026,2.4688291671247065,0.34140324796252675,0.21366122054077175,0.7037929611426056,0.11398539778449146,0.333402611466124,0.30240705299125553,0.5483024618480531,0.3260831720435964,0.07889207140359941,0.692667506282862,0.11539311767740033,0.2045002711006687,0.2906833291053772,0.38736068624645925,0.2548039290458428,0.11389601892395189,0.0062766928580293355,0.749189070542343,,0.0062766928580293355
18.0,0.6097712199032312,0.7175173898085936,38.37952,38.37952,0.5412350858791136,0.2876886475708522,2.5930044514558284,0.34517544716519694,0.2155223487694242,0.71463248851426,0.11398539778449146,0.3480018651625117,0.30746858831911733,0.5915596621788191,0.32660878073090915,0.07899364245354552,0.6935592938177181,0.11734290843806104,0.2045002711006687,0.27449968457221985,0.38721864347015345,0.2544898363059909,0.11389601892395189,0.006600858960760883,0.81857905886136,,0.006600858960760883
19.0,0.5873856549612747,0.7514643683011328,40.36096,40.36096,0.5412350858791136,0.3023967937981591,2.750835804887278,0.3205480295733323,0.19906678765457475,0.723015299933634,0.11398539778449146,0.3565576828798296,0.31890002989660243,0.5477950142326972,0.32757907924070195,0.07914364479064807,0.6948763050576167,0.12003706607741108,0.2045002711006687,0.2852838933467865,0.38753878046422435,0.2548892163507378,0.11389601892395189,0.008403440943085615,1.0883316665422171,,0.008403440943085615
20.0,0.6460307201236711,0.9526515261014452,44.01152,44.01152,0.9971592150692714,0.24685428387078034,2.1922392197991276,0.33079263766756717,0.2082588224718312,0.6794598876579322,0.11398539778449146,0.3097238714484836,0.28617810435861585,0.5522252675070832,0.32610458140826837,0.07890284338180617,0.6927620835851113,0.11972865235331143,0.2045002711006687,0.3106175661087036,0.3888638088769033,0.2553678199944231,0.11389601892395189,0.006499267462841483,1.2555134296417236,0.010090115424374576,0.0049625609220667714
21.0,0.645149010223778,0.6787616866852086,45.99296,45.99296,0.5412350858791136,0.26438295317939786,2.3597543107324657,0.34251635710869177,0.21443107357179725,0.695777154807684,0.11398539778449146,0.32428329354642815,0.29024063508473713,0.5720509113002971,0.3256267610331893,0.07881394091924712,0.6919815254637742,0.11812799548914575,0.2045002711006687,0.29825836420059204,0.3900241482896218,0.2564591011922438,0.11389601892395189,0.0045313860980646945,0.6264306083321571,,0.0045313860980646945
22.0,0.6202296369704224,0.6817935520313356,47.9744,47.9744,0.5412350858791136,0.27973374405939166,2.5094968489884018,0.3382040659525626,0.21101268959903632,0.7062315317880434,0.11398539778449146,0.335597122450753,0.299494587173899,0.579861936334817,0.3257484530667321,0.07882387633896328,0.6920687578342295,0.1194656221584948,0.2045002711006687,0.32047873735427856,0.3896900657900951,0.25609903607050916,0.11389601892395189,0.00458794752351342,0.6517648140434176,,0.00458794752351342
23.0,0.6038334374449106,0.8362679787576844,49.95584,49.95584,0.5412350858791136,0.2893493179424027,2.6067301307209116,0.3463592231899692,0.21750919794604245,0.7169049192861245,0.11398539778449146,0.3484941675150272,0.3053238586391653,0.5933886776544146,0.3259992538597972,0.07885361036862117,0.6923298207751365,0.12160872528970688,0.2045002711006687,0.3363684117794037,0.3915676065747382,0.257649700144278,0.11389601892395189,0.005513526524816019,0.8058596741175279,,0.005513526524816019
24.0,0.5911223128799469,1.031371201709005,51.93728,51.93728,0.5412350858791136,0.30780263614634484,2.8010194306988185,0.3285982492831789,0.20513069432497552,0.7275560993950303,0.11398539778449146,0.36351348922960913,0.31688415494507965,0.5948532899393356,0.3259945603648457,0.07886035623796792,0.6923890490906692,0.12171772428884026,0.2045002711006687,0.3075837194919586,0.3910078623600338,0.2572761695042502,0.11389601892395189,0.006728988440314249,1.0249253332149237,,0.006728988440314249
25.0,0.6442749809339606,1.0776116535440419,53.6064,53.6064,0.4559241291901578,0.2518924912375811,2.2346265940226613,0.3268298829053618,0.20588362518819883,0.6818445250363847,0.11398539778449146,0.3107850530601712,0.28815129087549485,0.5503514274272013,0.3255641267195447,0.07881471624025385,0.6919883327342482,0.12168400744160408,0.2045002711006687,0.31426912546157837,0.3904197681135557,0.25671902968961446,0.11389601892395189,0.008751308580335446,0.5497832733672112,0.008751308580335446,
26.0,0.6408043103161711,0.8592932740736652,55.58784,55.58784,0.5412350858791136,0.26985689753959374,2.406508069120063,0.328181704260317,0.20548013129584045,0.6960517074371884,0.11398539778449146,0.32940119314014593,0.2975638099012258,0.559097483746655,0.32548137563475754,0.07881274994534253,0.6919710687865712,0.12140045576962917,0.2045002711006687,0.3324439227581024,0.39112008496465733,0.25721315135099454,0.11389601892395189,0.00427630006615497,0.6710125405807048,,0.00427630006615497
