round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6386528957780868,0.4675391327464736,40.27056,40.27056,1.0,0.6837034415799803,0.25309573201297036,2.2136306090313815,0.11442598187311179,0.3552528410148315,0.3180228888614433,0.2247422970738019,0.2792377416958269,0.5715727745166118,0.6737176932561606,0.2280617970679524,2.002368469263432,0.2766920386751697,0.2905792488860598,0.5752750039100647,0.3541460041476277,0.22492410643031593,0.11389601892395189,0.007423406237891866,1.4821167740037708,0.006348609473511193,0.008427218120204931,0.0046544156401712704
12.0,0.6419450849513344,0.45753437079021164,43.93152,43.93152,1.0,0.6860709541230084,0.2559038239257332,2.2371675344428934,0.11442598187311179,0.3449702987903194,0.322367163038783,0.2183911828908312,0.28577479640407377,0.568113639468678,0.6735272302270712,0.22971990134397746,2.0169265222286734,0.278110303548525,0.29067091520623123,0.5910470485687256,0.3438878500384782,0.2188618537781867,0.11389601892395189,0.006668351528832151,1.4223886756590218,0.0054363917269744134,0.007852645070563295,0.004069651619937083
13.0,0.6452310734191502,0.4919234104418993,47.59248,47.59248,1.0,0.6866467522839782,0.258483912953445,2.258632042913149,0.11442598187311179,0.31749451772918535,0.3205794670084897,0.2006542506538468,0.29296273384433086,0.5397844502359088,0.6751838206042822,0.22967319342522002,2.0165164295915585,0.28463137302848757,0.2925863906226214,0.5440558195114136,0.31627956082963504,0.20132484793744232,0.11389601892395189,0.006515728251788798,1.4728552842025238,0.004887522597528359,0.008117017814856959,0.004816298861880101
14.0,0.6436057910421569,0.6155111944008012,51.25344,51.25344,1.0,0.6895853840168302,0.26195249990843733,2.2856707126107496,0.11442598187311179,0.33670692834609217,0.32448012941146337,0.2109541485482809,0.2953671690953446,0.5469028286932247,0.6739829384681808,0.22966284953316748,2.0164256108592595,0.28124247531904645,0.2889589905362776,0.5502060651779175,0.3357195469654707,0.21184574659072533,0.11389601892395189,0.006383049316694356,1.5231481677401462,0.004713867077570992,0.008054850282546053,0.005179599572627386
15.0,0.6460025370844187,0.5540579574701779,54.9144,54.9144,1.0,0.690937304935468,0.2642297927018038,2.302808218497009,0.11442598187311179,0.3422249124937831,0.32183371842701025,0.21630512231743038,0.2920529606945196,0.5659168405085052,0.6734691764633124,0.229526728806156,2.015230479297178,0.28053204353083433,0.2913372582001682,0.5880427956581116,0.34118575732177225,0.21762886954145388,0.11389601892395189,0.0057319605299942,1.4448423441317573,0.004201310160610104,0.007300777948161657,0.0044894037064128105
16.0,0.6383623635785498,0.6242805308685483,58.57536,58.57536,1.0,0.6922824815021786,0.26494215614103195,2.310124403977499,0.11442598187311179,0.3135511751271679,0.32680121033823883,0.19615765405041008,0.29962652625411595,0.5408166356831189,0.6725535182664046,0.22955419645219163,2.015471643530091,0.2814853284861075,0.28956117021276595,0.5466703772544861,0.31240583312504544,0.19762116525326479,0.11389601892395189,0.006220766348009373,1.6525950695977372,0.004282695296715133,0.008243520206529334,0.00477336481596675
17.0,0.6451464143795677,0.6550832354301888,62.23632,62.23632,1.0,0.6952526637543075,0.26984282876405113,2.3522254039279478,0.11442598187311179,0.3310052124016205,0.3286228903167374,0.2081111714664127,0.2982171101102197,0.5580482039795691,0.671575476744887,0.22860075938068908,2.007100525026474,0.2802724229481704,0.28811938014157257,0.5860886573791504,0.3299783364709301,0.21004890435408421,0.11389601892395189,0.0059134124020316205,1.6592054425855167,0.003841172276273881,0.008101435824891614,0.006456975377455502
18.0,0.6430152256862514,0.6942786999840591,65.89728,65.89728,1.0,0.6943983467211632,0.2712654814940737,2.365221727185612,0.11442598187311179,0.34017679959766317,0.33161574503189134,0.21514788222891798,0.2920639390578606,0.577288423639545,0.6715538414900838,0.2284061263621498,2.0053916591646286,0.27830802603036875,0.2892991575551174,0.6003167629241943,0.33880288834934885,0.21705201848397299,0.11389601892395189,0.005891121564892362,1.7386659956773656,0.003823453944358171,0.008114466788193496,0.005297549678359637
19.0,0.6430118565855026,0.8235196949993038,69.55824,69.55824,1.0,0.697688480299372,0.2741587585895256,2.3886277888905996,0.11442598187311179,0.3253284331363291,0.33452649124571326,0.20385881748294063,0.3013554695783727,0.5561164031077218,0.6702017886582974,0.2279308179480472,2.001218480693659,0.2777573303889093,0.28936010508538185,0.5851593017578125,0.3238975123561702,0.20610928330588052,0.11389601892395189,0.005648835529654279,1.7540490242881788,0.0034986337981284866,0.008010985855618352,0.005004709477892052
20.0,0.6475180573832003,0.8662354579827027,73.2192,73.2192,1.0,0.6976381838923648,0.2771643963218001,2.4115510113688305,0.11442598187311179,0.3180354587716863,0.33396636107125777,0.199505475943894,0.299666422577316,0.5643371738200822,0.6703291530440275,0.2276257054214074,1.998539611585481,0.2797288971041282,0.2906178489702518,0.5878457427024841,0.316336883503393,0.20186063805023227,0.11389601892395189,0.00533826376047403,1.7409413919558574,0.003156735522907203,0.007761524965525547,0.005187425609686598
21.0,0.6518295112402039,0.9653655877479539,76.88016,76.88016,1.0,0.7002083009945818,0.28017804890669956,2.43777614222312,0.11442598187311179,0.33606307598160085,0.33928308408558794,0.2103580970418324,0.29801124159095355,0.567758304534962,0.6701770160405587,0.22666859208543552,1.990136215707255,0.27802071346375146,0.28755998523440385,0.5899631977081299,0.3346088052349438,0.21303546338659807,0.11389601892395189,0.005044651435796329,1.7243605620424205,0.003091751824579657,0.007232078606491434,0.005164271220921422
22.0,0.646443175034867,0.8704770152070754,80.54112,80.54112,1.0,0.7015719432731607,0.28450478525195555,2.4738217951366015,0.11442598187311179,0.335342161462329,0.3384638186654751,0.21082473938504243,0.29599523206708267,0.5701665613286324,0.6693095351888887,0.22681308636484174,1.9914048665413346,0.27564655172413793,0.28802351212343863,0.5933153629302979,0.33397677272008486,0.21375113175344454,0.11389601892395189,0.004932518252672315,1.7618047212963575,0.002870834388878345,0.007269009292236954,0.0044710316364027025
23.0,0.6424008293492226,0.9826213932592971,84.20208,84.20208,1.0,0.702985306720898,0.2855431801317098,2.4862569597095865,0.11442598187311179,0.3435912982692938,0.33987230163132154,0.21584872804129898,0.29370952848961956,0.5797882439851881,0.668764550148086,0.22736450226700824,1.9962462640491325,0.2753484413235451,0.2867448151487827,0.5953795313835144,0.34262868879630404,0.21935763848570733,0.11389601892395189,0.004822881231644985,1.8037926327815512,0.0027014785156614816,0.007247594521962863,0.004287681371153001
24.0,0.6442835583178148,1.0091652322098992,87.86304,87.86304,1.0,0.7043986502109619,0.2898945787164662,2.5207649361185736,0.11442598187311179,0.3254100557490301,0.3447815059051805,0.2042449702360574,0.30100045476265025,0.5667223384601983,0.6679357090583299,0.22574984134521278,1.982069641046413,0.2777588362313899,0.2857142857142857,0.5846864581108093,0.32452507614166953,0.20838971757490454,0.11389601892395189,0.0044690439999669354,1.741759359453681,0.002556367782544292,0.006675901137357561,0.004537013704432328
25.0,0.6484110326202162,1.254794702461155,91.524,91.524,1.0,0.7067342973126743,0.2932211928156772,2.5479590167883956,0.11442598187311179,0.3139906800477479,0.34571598341665866,0.1979616712188789,0.3018450600952547,0.5617800376941671,0.6667587963750558,0.22726031686169057,1.9953315226358506,0.27879352509607547,0.28413793103448276,0.5716759562492371,0.31288937172997816,0.2024802031641003,0.11389601892395189,0.004122020566064373,1.6716062398918439,0.00234958001212096,0.006186250325782111,0.004624225872009693
26.0,0.6456081703753981,1.3481435710103065,95.18496,95.18496,1.0,0.7061754552428,0.2944588335728967,2.559766134638059,0.11442598187311179,0.31898001723930763,0.3418826255146214,0.19909380234978985,0.30460187705814046,0.5690281541355907,0.6661293786229325,0.2270110047403028,1.993142577633706,0.27806213546006425,0.28440965427266796,0.5553873181343079,0.3181207333211203,0.20357651890016593,0.11389601892395189,0.003970257365450059,1.6733406256898888,0.0023905857931920075,0.005829452902408826,0.0037208254485316867
27.0,0.6513097759943651,1.4542722843713791,98.84592,98.84592,1.0,0.7077984905144765,0.2987468285854311,2.5933190890016315,0.11442598187311179,0.3200563389879688,0.3453247237626444,0.1994937145586328,0.30689437863609115,0.546832894476849,0.6638840432666946,0.2251383793508231,1.976701042563634,0.27568392626511684,0.282893672115229,0.5504193902015686,0.31866989774161025,0.20402751844874656,0.11389601892395189,0.003660450879029483,1.6016395904698584,0.00208125715738914,0.005530547508683663,0.0035779198257924276
28.0,0.6496517501605357,1.5765375749146302,102.50688,102.50688,1.0,0.7102334204422808,0.30011879267776487,2.6045454631926876,0.11442598187311179,0.33425575567821836,0.3496448682345323,0.21161687357640252,0.30123638362361305,0.5856170286851198,0.6653814814969127,0.22523138984133048,1.9775176689162153,0.27478298145965063,0.28545716342692584,0.6082114577293396,0.3330512392368905,0.21726743097651974,0.11389601892395189,0.0035973304437211724,1.6360392734077323,0.002015004792557004,0.005468904765335708,0.003856270310662996
29.0,0.644214991320092,1.9002921781688005,106.16784,106.16784,1.0,0.7127276194656121,0.30329609794164286,2.6320395567829458,0.11442598187311179,0.3240279680487434,0.3520278187568327,0.20222680659260375,0.30820191358004445,0.5637537704692537,0.663123232754832,0.2246236631088987,1.9721818658023456,0.2741610340329657,0.28582173749529893,0.5833848118782043,0.32300044415644547,0.2077854818659798,0.11389601892395189,0.0037042678810995685,1.7478753858722484,0.002055008299691414,0.005659651895069779,0.0038393896064371855
30.0,0.6525482089998955,1.503174645960669,109.8288,109.8288,1.0,0.7131775651065084,0.30614214775582776,2.6571533607371967,0.11442598187311179,0.32790073540563724,0.3549867237522752,0.2054504513397516,0.31073904041725886,0.5715679155075538,0.6633060155194552,0.22429926458946728,1.9693336668705812,0.2762222222222222,0.2837882275567248,0.5688201785087585,0.3260696737841559,0.21081469584788828,0.11389601892395189,0.003468116913855986,1.6936588946155098,0.0018409157178237991,0.005401945870050554,0.004021318309710183
