round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_prevalence,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6412636008936771,0.43723480473668774,80.54112,40.27056,1.0,0.2902490516394268,0.31887691126474854,0.32677041621051534,0.559924857426446,0.6831800953414927,2.310052900543049,0.11411127895266868,0.2589872807605381,0.20666599601941701,0.6678962786809562,0.22450992857330604,1.9711832836160041,0.28286761337608796,0.2862046204620462,0.5230029225349426,0.32823520697601916,0.20979338231075179,0.11389601892395189,0.00778675509020401,1.5696275817872447,0.006227565756517473,0.009171245520909288,0.0043880873791468135
12.0,0.641445772420599,0.589116919451748,87.86304,43.93152,1.0,0.2894027051111532,0.32215341141883436,0.33563780190361236,0.5583233819694856,0.6854022712927996,2.3192364894164808,0.11411127895266868,0.2613289537734901,0.21211875281260514,0.6668810405844752,0.22328230810870925,1.960404851883316,0.2771204246378414,0.28507462686567164,0.5501131415367126,0.3370159668177164,0.2156653535095536,0.11389601892395189,0.00732015780253026,1.5720589202146584,0.005683698595270483,0.00879881993415397,0.00366218646971675
13.0,0.6377039399585455,0.6775982099771896,95.18496,47.59248,1.0,0.2944326569885263,0.32408397848811943,0.34401305000816373,0.5745913795882992,0.6868774956197622,2.3364597715259476,0.11411127895266868,0.2631418780571953,0.2164762018327923,0.6661512774162226,0.22432983539823248,1.9696020766802833,0.2763603522239783,0.28558421851289834,0.5522385835647583,0.3453691059817149,0.22021616804948524,0.11389601892395189,0.007105367807847633,1.6174913331451535,0.005317489176007844,0.008735458888732412,0.004370836207984971
14.0,0.641510034294215,0.5983629231499704,102.50688,51.25344,1.0,0.2909130175374946,0.3265941656222371,0.3393759242407151,0.5712919776915963,0.6896789404364461,2.3876834876799116,0.11411127895266868,0.2683043817204501,0.21415960049307026,0.6656184402447063,0.22600938047409147,1.9843483785416365,0.2793530770846461,0.28680688336520077,0.5643749237060547,0.3407459594292456,0.2180081802201883,0.11389601892395189,0.00701972177207698,1.6898557693930343,0.00516078448380504,0.00874344564371146,0.004165085384397491
15.0,0.6398997686719928,0.7244785726916064,109.8288,54.9144,1.0,0.2917568671844056,0.3292020976445683,0.33580724517946114,0.5588317224840293,0.6917075124535583,2.354087616830136,0.11411127895266868,0.2670651367214673,0.21157430391452003,0.6639256321497677,0.22223470321542776,1.951206945730152,0.2781857451403888,0.2838291746641075,0.5146411061286926,0.33716463428456606,0.21574346144608111,0.11389601892395189,0.006689008727941624,1.7052216309166397,0.004935594480099027,0.008328338530828564,0.004538255371337561
16.0,0.6424582684615752,0.692207691650859,117.15072,58.57536,1.0,0.2875343602668696,0.3275650816387632,0.3557390813863004,0.573158603866865,0.6925597952830986,2.3832561831185277,0.11411127895266868,0.2702982424696197,0.22450394563476947,0.6640411122046982,0.22367214177090017,1.963827567320378,0.27309877404564936,0.28432168968318433,0.5774646401405334,0.35737423356338405,0.2288616573316169,0.11389601892395189,0.006892798724060979,1.8548246559566905,0.004703017031085614,0.008955809488838049,0.005891763575798004
17.0,0.637661495979011,0.7445887578962946,124.47264,62.23632,1.0,0.2945881210949041,0.33297831962304436,0.3349646232757964,0.578963139414232,0.6955108777107204,2.403543035305697,0.11411127895266868,0.27320514933691314,0.2112561069934676,0.6639467403275978,0.2248736257743394,1.9743765225410292,0.27394866193336975,0.285267926886424,0.5581738948822021,0.3365397680202265,0.21622210421628685,0.11389601892395189,0.0063585088937681685,1.8090916835826647,0.004136518110243522,0.008467738284812187,0.004494657902281272
18.0,0.6345615632356891,0.8305163531871195,131.79456,65.89728,1.0,0.29767146977639003,0.3315746990387215,0.3337626012887671,0.5808286630949016,0.6964327066534941,2.4176996728429194,0.11411127895266868,0.27457491988111477,0.20981559614097905,0.6626574096556185,0.22328064627757918,1.9603902611088027,0.27483443708609273,0.28295819935691313,0.5450484752655029,0.334902936012221,0.21460647584329806,0.11389601892395189,0.006444383114498447,1.9358005773210607,0.004394882463524404,0.008397146777547335,0.003994546231718005
19.0,0.6385307657304644,0.8046010136082913,139.11648,69.55824,1.0,0.3001642558036811,0.33706924049932635,0.31263913659668224,0.5704049455003827,0.6986176078676333,2.4497658942429665,0.11411127895266868,0.2779682469272099,0.19794592473684325,0.661360197927945,0.2220054330713343,1.9491939680487587,0.277790945721735,0.28088662790697677,0.5765136480331421,0.3138731928137554,0.20334981089249704,0.11389601892395189,0.005839973456684733,1.8507277907119715,0.003810056623852276,0.007784045865697326,0.004459485837064016
20.0,0.6406023321250156,1.148219308486818,146.4384,73.2192,1.0,0.294842110838213,0.3378670979874505,0.34161230947771687,0.5670610913183364,0.6998208905289037,2.4586486333204105,0.11411127895266868,0.279132110420308,0.21474442301298838,0.6604430086979247,0.22467500697983783,1.9726326618128138,0.27058823529411763,0.28149991114270484,0.5761355757713318,0.3424873836327739,0.2197856884866246,0.11389601892395189,0.006204728493055239,2.0616344399350055,0.0038394255464737842,0.008490963477966351,0.004303223477345331
