round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_brier,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.1617222811670291,0.052742194845168865,24.82176,24.82176,0.5412350858791136,0.67914126293142,0.376138248622211,0.23758994432398658,0.30551050358299636,0.11337740006295247,0.5127403855473882,0.28373469179220895,2.249503502036302,0.2500950531232972,0.5625663458139973,0.13397706192155573,1.176310315209629,0.21342401424985832,0.21985233798195242,0.49545153975486755,0.38299747795576033,0.24730595348555504,0.11389601892395189,0.007928119525198082,0.742345504113473,,0.007928119525198082
12.0,0.1609085219961605,0.10565742128629178,26.8032,26.8032,0.5412350858791136,0.6891065706806605,0.3747438936825252,0.2355010059410784,0.3135224896283821,0.11337740006295247,0.5255177111868817,0.2832865026491079,2.3892933413375377,0.26472972446131027,0.5458155635188241,0.12831137374238372,1.1265659235030587,0.20688491393857578,0.2131745260087506,0.49081727862358093,0.38259315193284404,0.24717291730947585,0.11389601892395189,0.0072100938632574585,0.6971635658992454,,0.0072100938632574585
13.0,0.15737872201400335,0.2011075783362501,28.78464,28.78464,0.5412350858791136,0.6982635129625181,0.37552496086305365,0.2354044129551707,0.32576216747348746,0.11337740006295247,0.539509259997804,0.2919447180676331,2.5171368758063477,0.2777870783343906,0.5700111072687479,0.13508248423243338,1.1860158547124253,0.21540491505855186,0.22293290692251314,0.49343952536582947,0.3822710819066551,0.24660355073356421,0.11389601892395189,0.008162276276137286,0.8178134805057198,,0.008162276276137286
14.0,0.14793006711684203,0.06070858784492815,30.76608,30.76608,0.5412350858791136,0.7066316733813974,0.3816280047764822,0.2394972341183893,0.334774825855389,0.11337740006295247,0.5414625641944689,0.2909164779155063,2.626114773744328,0.28938076165730287,0.571911295053724,0.13406386358248334,1.1770724284226077,0.2187624116292001,0.22371967654986524,0.49498534202575684,0.38292533884777313,0.24707360828463165,0.11389601892395189,0.009813602780784313,1.0270080617628992,,0.009813602780784313
15.0,0.1611390776922007,0.07711687341425914,32.4352,32.4352,0.4559241291901578,0.6701172092480745,0.3799287780561199,0.24038412144695234,0.29676188329113257,0.11337740006295247,0.5199675266064299,0.2757262693974702,2.1559524117435145,0.24169279730628218,0.5647658129241182,0.13090489740618877,1.149336900823493,0.21895110585102448,0.22204153114836125,0.4946492612361908,0.3846957444547677,0.24852702952418018,0.11389601892395189,0.011967359988082746,0.622204500483349,0.011967359988082746,
16.0,0.16180248272827485,0.11530821130345995,34.41664,34.41664,0.5412350858791136,0.6834774819229361,0.37855315636005044,0.23876178621814068,0.311155998538599,0.11337740006295247,0.521852993259724,0.2813390048994634,2.298712718933545,0.2569186078726592,0.5804217559504103,0.13857598444826502,1.2166885704828005,0.22410991283793766,0.2271099744245524,0.4952962100505829,0.38442466819860527,0.24815868662403642,0.11389601892395189,0.006500642157181204,0.7081935150781646,,0.006500642157181204
17.0,0.15452751511525248,0.053876914903768905,36.39808,36.39808,0.5412350858791136,0.6940715090431757,0.38134079760994066,0.2402356033464371,0.32279478022883595,0.11337740006295247,0.5373212774669671,0.2874103916245363,2.3908708098688995,0.26675196958742997,0.5894214572232611,0.14284151925106478,1.254139702165005,0.22539990305380514,0.23143023594523743,0.4970341920852661,0.38148205061702595,0.2457305364210252,0.11389601892395189,0.006243381586901407,0.700916385743767,,0.006243381586901407
18.0,0.15389810710309687,0.1364467408505149,38.37952,38.37952,0.5412350858791136,0.7032678027248535,0.38050249856074425,0.23890022425185814,0.3314591356937128,0.11337740006295247,0.5294624503187162,0.2894900642980533,2.5626091251761927,0.2834214471860425,0.5552525504376271,0.1274863704473926,1.1193224456116853,0.20970394736842105,0.21814141942229776,0.49309054017066956,0.3814706788523711,0.24609686557992433,0.11389601892395189,0.007055372381713058,0.8212751833489165,,0.007055372381713058
19.0,0.14824179351721184,0.0807908390268234,40.36096,40.36096,0.5412350858791136,0.7172474524416531,0.369677917518573,0.2298110132996572,0.34113234588703767,0.11337740006295247,0.5414517509550804,0.3104600984269511,2.6982495730110903,0.29825800842684136,0.5750218147119632,0.13333436323190373,1.1706674604748983,0.21950168117941202,0.22689236665602042,0.48914650082588196,0.3793078065458496,0.2441568851971968,0.11389601892395189,0.007948565198707715,0.960572486394085,,0.007948565198707715
20.0,0.16205665711466558,0.11440764742766489,44.01152,44.01152,0.9971592150692714,0.6681981770336317,0.37806823848833776,0.23920380285716594,0.29827542706563515,0.11337740006295247,0.5208586834270248,0.266879675876376,2.1320197588574854,0.23961590022538493,0.564836416139619,0.12683905403137768,1.1136390475251627,0.2187549753224009,0.22773940638417026,0.4902501106262207,0.38118789426435296,0.24566456698626388,0.11389601892395189,0.007964472981262018,1.4497301849769428,0.010267653797937858,0.006942022211856833
