round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_ece,fed_prevalence,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
30.0,0.5843188600544432,1.0557024950452158,65.18272,65.18272,0.9971592150692714,0.11003355968105288,0.6809895865223412,0.25422498715097935,0.0807501394713527,2.2483543249265288,0.08428485646294308,0.11430010070493456,0.3173308125707138,0.2564819880477608,0.6373187739948654,0.1681441888396236,1.4762955758084317,0.0,0.26237406920718354,0.46878761053085327,0.34438595767169733,0.21840869497124132,0.11389601892395189,0.005650978684917825,1.3394591298419982,0.008033412143776193,0.004720776076740979
31.0,0.5794996657862448,0.7555311130161257,67.16416,67.16416,0.5412350858791136,0.10793596544297702,0.6954205771631761,0.24792256057149875,0.09427945683250397,2.4441870215392134,0.08051717187107275,0.11430010070493456,0.32597247830932286,0.2768801741398048,0.6275601446279135,0.15957563009978487,1.40106416016466,0.0,0.25825015735994966,0.46582019329071045,0.3462644835994134,0.2198227274124347,0.11389601892395189,0.0042937169908808725,0.7421667638700455,,0.0042937169908808725
32.0,0.5581364786762261,0.708251260631942,69.1456,69.1456,0.5412350858791136,0.1074652788746318,0.7070566892336996,0.2651315566662545,0.1013931364378251,2.590391652343734,0.08411395766484868,0.11430010070493456,0.3372573275912989,0.29246244075304917,0.6259547811127137,0.15944347291557617,1.3999038282631828,0.0,0.256717469826447,0.46232596039772034,0.3416132510407377,0.21664163138553463,0.11389601892395189,0.004797143854948222,0.8505546215455979,,0.004797143854948222
33.0,0.5385411820449064,0.8841950642329026,71.12704,71.12704,0.5412350858791136,0.10321938724088567,0.7185448002008592,0.2605377693931607,0.1382037010028793,2.735994595628719,0.07163457551510106,0.11430010070493456,0.3521531046623364,0.3082294222258077,0.6127845958391338,0.149227978121801,1.3102124159531878,0.0,0.2517400419287212,0.46131882071495056,0.342150298809272,0.21711867474568974,0.11389601892395189,0.005735659182353487,1.0500813641119748,,0.005735659182353487
34.0,0.5278410405411915,1.1288815140440371,73.10848,73.10848,0.5412350858791136,0.10237315810840014,0.7315416616127463,0.28882433393874474,0.15785702309302824,2.911241955584272,0.07337959078514539,0.11430010070493456,0.36203917228022436,0.3276795938325143,0.6178173275701566,0.15331049559220306,1.3460566667792675,0.0,0.2538683897296378,0.45908838510513306,0.33901165821536794,0.21487452242553393,0.11389601892395189,0.005788808194043911,1.103807924548164,,0.005788808194043911
35.0,0.583908255381292,1.1258754219011697,74.7776,74.7776,0.4559241291901578,0.10846317321906217,0.6851411861605493,0.24447271051795072,0.09575831397604091,2.31553516475267,0.07305514943861699,0.11430010070493456,0.31794643717425064,0.2644109684319009,0.6180730979461115,0.1530159250095133,1.3434703552867961,0.0,0.25257903494176376,0.45884209871292114,0.33972315122235364,0.21536908069284275,0.11389601892395189,0.007655731688301779,0.5488875918090343,0.007655731688301779,
36.0,0.574598048436849,0.989112449612966,76.75904,76.75904,0.5412350858791136,0.1075187912855321,0.7002201233839744,0.26103418647365084,0.10438027204282356,2.5191378015514667,0.07827574144496675,0.11430010070493456,0.33442387504996335,0.2860312033798791,0.6409180822490063,0.17498476787424028,1.5363554365414405,0.0,0.2628604272439889,0.4624972939491272,0.33977016693356954,0.2151669853165232,0.11389601892395189,0.0043549701170189515,0.8536620617378503,,0.0043549701170189515
37.0,0.552905337488149,0.8480220816319818,78.74048,78.74048,0.5412350858791136,0.10651890372163354,0.7123190239481932,0.2686827794113173,0.1235250128958624,2.658191094987955,0.07914196909194267,0.11430010070493456,0.34610582216367214,0.3010903412021975,0.640729087505771,0.17733413875458204,1.5569827675275256,0.0,0.26285949902071953,0.46431684494018555,0.3404699775756735,0.2156730715648847,0.11389601892395189,0.004385726698587807,0.8808162860805169,,0.004385726698587807
38.0,0.5325151419170626,1.0220717420127212,80.72192,80.72192,0.5412350858791136,0.10367296754435566,0.7219641089672897,0.287980556129764,0.14951323122967303,2.771307606710777,0.0743844492605328,0.11430010070493456,0.3557473920311423,0.31214168196403025,0.6133820250387665,0.1542580769473293,1.3543763724553626,0.0,0.24874287629902783,0.4663683772087097,0.3491324043260726,0.2221108497022615,0.11389601892395189,0.00477297891250054,0.987105916487053,,0.00477297891250054
39.0,0.5201843030658972,1.2585770944669288,82.70336,82.70336,0.5412350858791136,0.10227296169704392,0.7360538048278845,0.268051116389653,0.16452077337821094,3.0119451691925225,0.07490308920794572,0.11430010070493456,0.37287410514268654,0.3375443588801814,0.6294380069382406,0.16756425388291163,1.47120378276605,0.0,0.2570196454240537,0.4666052460670471,0.34523540545952225,0.21911809663276371,0.11389601892395189,0.0053153783001083695,1.13857611711137,,0.0053153783001083695
