round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_auroc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
13.0,3.4589752420922237,206.34260505276615,164.828664,164.828664,1.0,,,,,,,,,,0.3222256083266914,0.9488867037752714,0.981185065017751,0.9832657200811359,0.9832657200811359,0.5070577263832092,0.4568973307300387,0.24061397518024605,0.9670822942643391,0.0008547272172954655,0.5270273384937809,0.00021419573518564614,0.000959465342770424,0.0005373443469899194
14.0,3.2531145647194006,204.3062719118755,177.507792,177.507792,1.0,,,,,,,,,,0.32880897682341725,0.9503031801911439,0.9826497556901721,0.9832657200811359,0.9832657200811359,0.5083646178245544,0.45565840353692255,0.23948499014045108,0.9670822942643391,0.0005646399899701016,0.34883829137663724,0.00020260777153792146,0.0006233246557989234,0.000706700889320249
15.0,3.5290948777718,202.19106731044664,190.18692,190.18692,1.0,,,,,,,,,,0.31972900745463917,0.9483165326431078,0.9805954863070816,0.9832657200811359,0.9832657200811359,0.5071986317634583,0.4577324862492055,0.24137086842579922,0.9670822942643391,0.0008788569663119894,0.5439025366640635,0.000394948026432313,0.0009578451278540501,0.0005413016893001109
16.0,2.828372856110556,181.464477362123,202.866048,202.866048,1.0,,,,,,,,,,0.3588502352040258,0.9512301252240026,0.9836082522300801,0.9832657200811359,0.9832657200811359,0.5092138051986694,0.4560063786042896,0.23978755025307677,0.9670822942643391,0.0007422068765211242,0.4601151191170061,0.00031431953948517514,0.0008118336194127923,0.000553348856569868
17.0,3.867364937481437,214.14325395698242,215.545176,215.545176,1.0,,,,,,,,,,0.301084595308422,0.9452280102902725,0.9774018363238764,0.9832657200811359,0.9832657200811359,0.5076671838760376,0.45761045847747683,0.24125613121516,0.9670822942643391,0.0005061280268466635,0.3144800502388989,0.00018138700436995796,0.0005587094296049758,0.0004952518211046558
18.0,3.3996351559432103,204.57914864590066,228.224304,228.224304,1.0,,,,,,,,,,0.39181786925469236,0.9536724037408505,0.9861336614236231,0.9832657200811359,0.9832657200811359,0.5084227919578552,0.45667258444569647,0.24039408644205973,0.9670822942643391,0.0006334790841390721,0.3940724576161756,0.0001786862557099765,0.0007072129992284657,0.00048762842598635805
19.0,3.3417910844533427,201.7849320542582,240.903432,240.903432,1.0,,,,,,,,,,0.3116257989904199,0.9483884579235344,0.9806698597919993,0.9832657200811359,0.9832657200811359,0.5107601881027222,0.45500305011088116,0.23887408001646254,0.9670822942643391,0.0008070312880094851,0.5028402967934653,0.00028258127146429734,0.0008920867765964796,0.0005136152518700558
20.0,3.377381990951996,233.6886820780346,253.58256,253.58256,1.0,,,,,,,,,,0.3573616515854783,0.9499178092312468,0.9822512674103403,0.9832657200811359,0.9832657200811359,0.5106585025787354,0.4546719304046726,0.23857094397494846,0.9670822942643391,0.0006935480835473183,0.43286174256707,0.00019404937527931694,0.0007742574225480746,0.0005460026173801349
21.0,3.775489208556176,240.69619552690463,266.261688,266.261688,1.0,,,,,,,,,,0.3181271195711629,0.9489135278236691,0.9812128021075073,0.9832657200811359,0.9832657200811359,0.5122405290603638,0.45316186082036114,0.23720067100126677,0.9670822942643391,0.0011890579655774224,0.7435582178450204,0.0006306714153768028,0.0012798293379409872,0.0004905347023219831
22.0,3.1970210303005047,224.0139311021867,278.940816,278.940816,1.0,,,,,,,,,,0.44020660446653226,0.9617972014411981,0.9945350123205787,0.9832657200811359,0.9832657200811359,0.5137274861335754,0.45222676885395574,0.23634658176087642,0.9670822942643391,0.0005779588503270314,0.3623344218759712,0.00021969406589593933,0.000635625915528069,0.0004973805274677725
23.0,3.9760513792760914,231.32262132406004,291.619944,291.619944,1.0,,,,,,,,,,0.3613194867707503,0.953374126747765,0.985825231629329,0.9832657200811359,0.9832657200811359,0.5129392743110657,0.4528424620925636,0.2369088189791412,0.9670822942643391,0.0011744328020729723,0.7378582279309285,0.0005186552384853165,0.0012805067452682092,0.00049006705858846
24.0,3.1169762744710154,220.0695540413178,304.299072,304.299072,1.0,,,,,,,,,,0.3590455873849375,0.9519994364505443,0.9844037493983194,0.9832657200811359,0.9832657200811359,0.5163772702217102,0.4490985455061135,0.23353625088729957,0.9670822942643391,0.000516059360154644,0.32487929186201825,0.00020348758492812056,0.0005661885899416115,0.0004497600533311444
25.0,4.069664681658404,239.88800298523222,316.9782,316.9782,1.0,,,,,,,,,,0.3300006251269789,0.9491540600943873,0.9814615216551039,0.9832657200811359,0.9832657200811359,0.5158442854881287,0.44974437434774384,0.2341176274855728,0.9670822942643391,0.00028115228809610183,0.17731921984716337,6.278248721724872e-05,0.0003159810364402555,0.0003339289525129295
26.0,3.9389836089507395,238.22787690537933,329.657328,329.657328,1.0,,,,,,,,,,0.3920874552643505,0.9573458333852929,0.9899321278687532,0.9832657200811359,0.9832657200811359,0.5139240026473999,0.4520944945235502,0.23622963705639483,0.9670822942643391,0.0011268455077203473,0.7114065418126074,0.00037676894539037843,0.001247340413767867,0.0005956445368135507
