round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_auprc,fed_auprc_lift,fed_brier,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
35.0,0.06763716900128373,4.996979604533894,685.21152,685.21152,0.9991046702896288,0.9647394529650023,0.9069767441860465,0.289033595281978,0.3077064794163371,0.9894812360021956,1.0989947714688377,0.16650983434747613,0.8133646859642109,0.9734984914641229,0.5912568177911138,0.979404690769764,1.012741828258575,0.0,0.9832657200811359,0.487845242023468,0.4791219055503978,0.2613911882676937,0.9670822942643391,0.00012985044852816663,0.07943982022516138,4.83431259122794e-05,0.00014317797964783158
36.0,0.062397709427358304,4.322868709811439,704.788992,704.788992,0.9991046702896288,0.9662217721749419,0.9069767441860465,0.3520928081731463,0.26093280921841777,0.9896183528522171,1.099144762571031,0.13643010170771003,0.8712341780840723,0.9711000690930603,0.599426445996843,0.9799639766356261,1.0133201511884633,0.0,0.9832657200811359,0.48788872361183167,0.47908093137039504,0.2613518480889654,0.9670822942643391,0.000104673148403742,0.06407245162446884,3.6997701652187054e-05,0.00011573240217920568
37.0,0.06537303695222663,7.347300362899213,724.366464,724.366464,0.9991046702896288,0.9683492012924951,0.9069767441860465,0.3465223610401153,0.2951187608027181,0.989820324538959,1.0993672242806527,0.16910058261957547,0.7952969067509595,0.9734984914641229,0.6047087689686967,0.9803222395815918,1.0136906087473396,0.0,0.9832657200811359,0.4879263639450073,0.4790392722126254,0.2613118486547957,0.9670822942643391,0.0001107484725433026,0.06782891256409584,3.9886401979435284e-05,0.0001223217917638074
38.0,0.06919381146995747,4.937816675833241,743.943936,743.943936,0.9991046702896288,0.9674322577709006,0.9069767441860465,0.4017935025830601,0.2586874974674957,0.9903331925849831,1.1003726778080563,0.14409839017691167,0.8331055055171014,0.9734984914641229,0.6143552596621189,0.9808412447265373,1.0142272798745269,0.0,0.9832657200811359,0.4879372715950012,0.47902753546350907,0.2613004952048161,0.9670822942643391,0.00011952313805085172,0.07324446980643984,3.8455891867088235e-05,0.00013275529846735334
39.0,0.06587790033674414,5.67717136709243,763.521408,763.521408,0.9991046702896288,0.9702483502480316,0.9069767441860465,0.3377736341814662,0.2570028466540713,0.9910695823627927,1.1015856701052982,0.1340978251769433,0.8636373690312091,0.9762891891385416,0.6241814743619798,0.9815043848740181,1.0149129920951039,0.0,0.9832657200811359,0.4879378378391266,0.4790237681080873,0.2612967466180083,0.9670822942643391,0.00012609954710048025,0.07731834268463444,3.949427758449355e-05,0.00014022740614188863
40.0,0.07037280766441327,10.349374281752594,783.09888,783.09888,0.9991046702896288,0.9710855595503572,0.9069767441860465,0.36066845724749,0.2636842617461847,0.9911291064379557,1.1016499561064739,0.13483964892418884,0.8580535150154149,0.9762891891385416,0.6344530920343195,0.9822147939589283,1.0156475822009547,0.0,0.9832657200811359,0.4880048930644989,0.4789528243410914,0.2612286615848408,0.9670822942643391,0.0001296624145260957,0.07954627561557004,4.5480893790431056e-05,0.0001433872432173501
41.0,0.06675115712812812,7.924928253816675,802.676352,802.676352,0.9991046702896288,0.9669792472579984,0.9069767441860465,0.3246417784413626,0.22779975595862362,0.990258746268019,1.100288220100318,0.10825043394836106,0.8994380517405547,0.9711000690930603,0.6448067576226422,0.9828966158060005,1.0163526120118778,0.0,0.9832657200811359,0.4880475103855133,0.47890777714234634,0.261185384546493,0.9670822942643391,0.00012889553545011173,0.07912199816536258,4.497986149952717e-05,0.00014256901660427573
42.0,0.06353141067856442,7.799354493935505,822.253824,822.253824,0.9991046702896288,0.9717306694579709,0.9069767441860465,0.31396376123262004,0.2600337993093701,0.991199262279666,1.1017275804759947,0.1365511615389644,0.862630739424616,0.9762891891385416,0.6417084720333819,0.9826774284916739,1.016125963963799,0.0,0.9832657200811359,0.4881278872489929,0.47882238360414475,0.26110364036157374,0.9670822942643391,0.00010467749281475029,0.0642920005369092,3.7513356576804675e-05,0.0001156150671884687
43.0,0.06488130994869981,5.984076052420294,841.831296,841.831296,0.9991046702896288,0.9677367223410548,0.9069767441860465,0.3517246997633645,0.21519285282769865,0.9908571647514555,1.101356259085054,0.10504169762243679,0.8960854336552808,0.9762891891385416,0.6432830106115304,0.9827310256191892,1.0161813854391308,0.0,0.9832657200811359,0.4881453216075897,0.4788022483673476,0.26108431686328903,0.9670822942643391,0.00010514214588017376,0.06461525365165244,3.782194609705907e-05,0.00011609836641153552
44.0,0.06815174305304418,5.887596758097097,861.408768,861.408768,0.9991046702896288,0.969411140945706,0.9069767441860465,0.40150428941083505,0.18283395800133082,0.9909697253954373,1.1014772532572574,0.07961726535582472,0.9259251389818668,0.9762891891385416,0.6473307078000219,0.9828998134026151,1.0163559184488105,0.0,0.9832657200811359,0.4881681203842163,0.47877985686435365,0.26106284944781255,0.9670822942643391,0.00012015421284045944,0.0738826931345784,3.954615945339876e-05,0.00013326520402155722
