round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_prevalence,fed_f1,fed_ece,fed_brier,fed_auroc,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.6362909529013111,0.5704601245146173,34.41664,34.41664,0.5412350858791136,0.31890521192295496,0.11449612891042989,0.2856122280616776,0.3361009502173869,0.21291944878275504,0.6781772882714175,0.25031899430105736,2.2301905397165225,0.5502771278992769,0.6532354067821956,0.2119797651786813,1.8611692241870166,0.22757160369998886,0.26936026936026936,0.5332083702087402,0.4036716682239906,0.2621594893939847,0.11389601892395189,0.006204734862267838,0.726634296355769,,0.006204734862267838
17.0,0.6207489680174312,0.6195142743116007,36.39808,36.39808,0.5412350858791136,0.32580373793729717,0.11449612891042989,0.2951355916099349,0.3375311489078342,0.21335311866012902,0.6921761079411957,0.26376083398311906,2.3599965983870894,0.5568789399003353,0.6528034546532339,0.20837690390142416,1.8295363250629237,0.23242300987797793,0.26413768879522304,0.5282024145126343,0.39892447307669127,0.25847606946068685,0.11389601892395189,0.006773837422667866,0.8185768038965762,,0.006773837422667866
18.0,0.5974915034323662,0.6551996580230648,38.37952,38.37952,0.5412350858791136,0.33623595096240916,0.11449612891042989,0.3044310698678277,0.33910715820748716,0.21293861996650162,0.69972515381145,0.27780225572248574,2.4888487545044087,0.5550785044287542,0.6540282811432591,0.20917185440511982,1.8365159413059327,0.23256633012444236,0.26766917293233083,0.5294429659843445,0.3980189071063265,0.2576867814451094,0.11389601892395189,0.007807356126795711,0.9897324945777655,,0.007807356126795711
19.0,0.5866480595085122,1.0334589564062788,40.36096,40.36096,0.5412350858791136,0.3479475631468535,0.11449612891042989,0.30465470320496957,0.326377410781247,0.205835118939447,0.7115940786029337,0.2962016163005292,2.6694723161205465,0.5822171589599169,0.6572224805457143,0.21111187114364838,1.8535491682515022,0.23698029282757768,0.2709295441089402,0.5274772047996521,0.3951738779231283,0.255204481588393,0.11389601892395189,0.008174813199740292,1.0859112434554845,,0.008174813199740292
20.0,0.6419156784245053,0.8704884882193582,44.01152,44.01152,0.9971592150692714,0.3095531017789324,0.11449612891042989,0.27932026928943776,0.3292916478359261,0.21149599633450003,0.6670344930246758,0.24046141619793485,2.1313635560247333,0.5549020154310561,0.6565819314298961,0.21126011907187273,1.8548507758899864,0.2366725967732041,0.2737836802451794,0.526866614818573,0.39370079062936464,0.25406962217430845,0.11389601892395189,0.007414055321236504,1.4536118457326666,0.009881701432573536,0.00638162186630815
21.0,0.6424977448640272,0.7883391228314072,45.99296,45.99296,0.5412350858791136,0.3192932911248718,0.11449612891042989,0.29141308199839855,0.3192104330330818,0.20124348627784192,0.681866959025768,0.25449726773344167,2.2672421072675744,0.5416546467192905,0.6551728036915869,0.20617859422848275,1.8102353021324453,0.24052170577328816,0.2717357432221876,0.5266762971878052,0.3895988437521529,0.25092142078261054,0.11389601892395189,0.005810064539156549,0.8194261300377548,,0.005810064539156549
22.0,0.6171439999549763,0.6462318952708705,47.9744,47.9744,0.5412350858791136,0.332801444408703,0.11449612891042989,0.2982924281778568,0.3378957181710772,0.21225898306664115,0.6962096618274791,0.27573316221732175,2.475090968572818,0.5584524438013068,0.657275928660684,0.209873796508415,1.8426789495473697,0.23948627549735582,0.2740935114503817,0.5240668654441833,0.3915221112844442,0.25232991483202,0.11389601892395189,0.005638773795843692,0.8221313862595707,,0.005638773795843692
23.0,0.6012872567652342,0.7137328569991765,49.95584,49.95584,0.5412350858791136,0.3418176643591839,0.11449612891042989,0.30614553545364814,0.3271719579222731,0.20486204017642332,0.7062036602985273,0.2903037400845902,2.616794351435137,0.5559981294708373,0.6553349677069978,0.20169899824122545,1.770904726493552,0.24067621628597238,0.27130129250847035,0.5236760973930359,0.38780626458582684,0.24954060795530378,0.11389601892395189,0.006666160548256381,1.0123786872718483,,0.006666160548256381
24.0,0.5806898879754825,0.9389489104075863,51.93728,51.93728,0.5412350858791136,0.3480284433948464,0.11449612891042989,0.30798168380253405,0.31944487045367714,0.20271811859141992,0.7155998961546532,0.3048511661219548,2.751629474103306,0.5622263490973629,0.6530144109370178,0.19243640432929937,1.6895797249751874,0.2417017913593256,0.27166625279364287,0.5206331014633179,0.38488685070037415,0.24734714693478307,0.11389601892395189,0.006700317025031986,1.0652499746065587,,0.006700317025031986
25.0,0.6431036490707686,1.0813484225834697,53.6064,53.6064,0.4559241291901578,0.31509338996842023,0.11449612891042989,0.29068224610153914,0.3317000298234583,0.21013343538138457,0.6758545378446822,0.2501339314549435,2.2131600001410465,0.530987784085448,0.6532711225218535,0.19050516469498543,1.6726235604616286,0.24272166589296373,0.27292054212064837,0.5206927061080933,0.3859409765650267,0.2481657385974334,0.11389601892395189,0.009221277764098682,0.5721807866357267,0.009221277764098682,
26.0,0.6377420757281201,0.9131860448066795,55.58784,55.58784,0.5412350858791136,0.3198652433070998,0.11449612891042989,0.2925105617196034,0.325830463209339,0.20552168938613377,0.6849039420221801,0.2593267183397246,2.3074928373091046,0.5226684092271017,0.6543153498518587,0.19644335366794424,1.724760492279445,0.23926614855395592,0.27354773102834623,0.5208671689033508,0.3897327404778427,0.25118787202121806,0.11389601892395189,0.004225086113502374,0.6948330493178219,,0.004225086113502374
27.0,0.6147735396090799,0.7167821262332491,57.56928,57.56928,0.5412350858791136,0.3308307622617134,0.11449612891042989,0.29568223474408545,0.3348733239063044,0.20975572402864623,0.6993347319054939,0.2806490203920232,2.5032162848083206,0.5647225239777073,0.6490589743413409,0.18254852845567093,1.6027647865160077,0.23873079828758498,0.27080565285662517,0.5217040777206421,0.3906921011745567,0.25201143733550974,0.11389601892395189,0.0046588106189258665,0.7831268325680867,,0.0046588106189258665
28.0,0.5928891183597929,0.7992338934855336,59.55072,59.55072,0.5412350858791136,0.34297896202757405,0.11449612891042989,0.31196320863584814,0.32130462420223915,0.20118707632416621,0.7128976310649929,0.29960243550389565,2.686906090378541,0.5570918221643123,0.6529365917867653,0.19407076681611235,1.7039293264999276,0.23273201993828627,0.2710455764075067,0.5236183404922485,0.394440462106403,0.25501024457156407,0.11389601892395189,0.006098859018051878,1.06060189998243,,0.006098859018051878
