round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc,fed_auroc,fed_f1,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6265402004333845,0.34101723356511543,5.4816,21.90336,0.0,0.3172619116175095,0.32408585639375076,0.19941922257559966,0.26286676382680474,0.6972153005872287,0.3038311293760322,0.11423716012084592,2.340776786226917,0.5614225731567976,0.47183983345572394,0.11177804036935293,0.9814042793189012,0.1605552645364065,0.2045002711006687,0.40328454971313477,0.37826591956158867,0.24464108629217676,0.11389601892395189,0.0,0.0,,
12.0,0.6131837197867784,0.4291097630151315,5.4816,21.90336,0.0,0.32742858940875197,0.3320586699514414,0.20749988637432815,0.2740805191878797,0.7086182495323041,0.30402690114422276,0.11423716012084592,2.461123331635492,0.5217551938994354,0.47183983345572394,0.11177804036935293,0.9814042793189012,0.1605552645364065,0.2045002711006687,0.40328454971313477,0.37826591956158867,0.24464108629217676,0.11389601892395189,0.0,0.0,,
13.0,0.6434985476365664,0.314379533080132,6.3952,25.55392,0.9971592150692714,0.3256600126375568,0.30443344661699456,0.20489108919472906,0.23897314245900436,0.6767898355800069,0.28746562285960864,0.11423716012084592,2.1047131928330742,0.49771981289439576,0.481803382820172,0.11658199511436595,1.023582704784506,0.16323839662447256,0.2045002711006687,0.39643746614456177,0.3775106153632633,0.2439131855942635,0.11389601892395189,0.009111132131020038,1.4398593058576807,0.0067444844138191485,0.011008721629823616
14.0,0.6424372128597324,0.3283731752234856,6.3952,25.55392,0.0,0.3357877616227998,0.31543455088292,0.21064974623564112,0.25541319089424264,0.6894235060132994,0.2991014070450605,0.11423716012084592,2.261072413155073,0.5160372420650233,0.481803382820172,0.11658199511436595,1.023582704784506,0.16323839662447256,0.2045002711006687,0.39643746614456177,0.3775106153632633,0.2439131855942635,0.11389601892395189,0.0,0.0,,
15.0,0.6289146936833488,0.41054978233332057,6.3952,25.55392,0.0,0.34552475113938924,0.32664925976268655,0.21875615258713435,0.26800399368238986,0.7011355240726543,0.29715395708487097,0.11423716012084592,2.3819742595601565,0.5748824388621617,0.481803382820172,0.11658199511436595,1.023582704784506,0.16323839662447256,0.2045002711006687,0.39643746614456177,0.3775106153632633,0.2439131855942635,0.11389601892395189,0.0,0.0,,
16.0,0.6138767911949755,0.4540083046614926,6.3952,25.55392,0.0,0.3327712725733302,0.34162584803813273,0.2077673938806793,0.2848301859561093,0.7158238215463554,0.318339353827101,0.11423716012084592,2.5412122875691816,0.5340238506497753,0.481803382820172,0.11658199511436595,1.023582704784506,0.16323839662447256,0.2045002711006687,0.39643746614456177,0.3775106153632633,0.2439131855942635,0.11389601892395189,0.0,0.0,,
17.0,0.6432374909558368,0.4056301803312009,7.3088,29.20448,0.9971592150692714,0.34417634415144827,0.30540317946647194,0.2167049389654458,0.2396372074547413,0.6782068198924581,0.28735119125082365,0.11423716012084592,2.106909844165767,0.5211918383183978,0.472131796450503,0.11221425552048123,0.9852342213594527,0.17254819340566732,0.2045002711006687,0.40115973353385925,0.38070150363864663,0.24651249162820876,0.11389601892395189,0.008168654695118365,1.3718862747773528,0.006211662858102215,0.009758073001352518
18.0,0.6420726645946881,0.38599976059237956,7.3088,29.20448,0.0,0.3123553216795944,0.3168227825299951,0.199084311966261,0.2576869269715828,0.6917867791775106,0.2939799472620116,0.11423716012084592,2.285705660336334,0.5233552005209502,0.472131796450503,0.11221425552048123,0.9852342213594527,0.17254819340566732,0.2045002711006687,0.40115973353385925,0.38070150363864663,0.24651249162820876,0.11389601892395189,0.0,0.0,,
19.0,0.6250262477139854,0.39408658185445883,7.3088,29.20448,0.0,0.33002243114014934,0.3277803441290945,0.20587420109313426,0.2765043083008242,0.7043224021435103,0.30882834825610483,0.11423716012084592,2.4618837622576732,0.531495790035733,0.472131796450503,0.11221425552048123,0.9852342213594527,0.17254819340566732,0.2045002711006687,0.40115973353385925,0.38070150363864663,0.24651249162820876,0.11389601892395189,0.0,0.0,,
20.0,0.6097238331099729,0.4579227783470724,7.3088,29.20448,0.0,0.34539554498490416,0.34373253942696147,0.21648205426982145,0.2915248603316465,0.7169061110542405,0.3103771164120099,0.11423716012084592,2.6061779649994525,0.5817918523260714,0.472131796450503,0.11221425552048123,0.9852342213594527,0.17254819340566732,0.2045002711006687,0.40115973353385925,0.38070150363864663,0.24651249162820876,0.11389601892395189,0.0,0.0,,
