round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_brier,fed_f1_best,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6289620028399608,0.455163617069792,21.90336,21.90336,0.0,2.2405161557517785,0.3040243234639277,0.6954351296988482,0.5503020636651537,0.1142929070426081,0.21132789351639092,0.32410652026043524,0.3354827792295985,0.25478258206928317,0.38209377211370266,0.08566533181898467,0.7521363137036705,0.2045002711006687,0.20455572629485672,0.5110363960266113,0.43789218879200814,0.29534959828914126,0.11389601892395189,0.0,0.0,,
12.0,0.610135526544924,0.4901057188354064,21.90336,21.90336,0.0,2.340257279842239,0.30835178703124555,0.7047069321212801,0.558896764275396,0.1142929070426081,0.20175514694634447,0.329108547881244,0.3175668167263932,0.2648260134322253,0.38209377211370266,0.08566533181898467,0.7521363137036705,0.2045002711006687,0.20455572629485672,0.5110363960266113,0.43789218879200814,0.29534959828914126,0.11389601892395189,0.0,0.0,,
13.0,0.6409412600032383,0.3650142003632683,25.55392,25.55392,0.9971592150692714,2.0251707404118706,0.2861236109410493,0.67264229901641,0.5268288540944436,0.1142929070426081,0.21744940953084646,0.3044950013193239,0.3433562631041996,0.2314749415838117,0.4110639179217666,0.08994490899938057,0.7897107365924403,0.2045002711006687,0.20454648167397296,0.5126718878746033,0.43918047289860557,0.29601315597089073,0.11389601892395189,0.008283181899192207,1.3023255506996065,0.007068093242031741,0.009248113370776181
14.0,0.6386815930825495,0.4582661041212681,25.55392,25.55392,0.0,2.1715607219728628,0.2985530969015917,0.6882064760428294,0.5533269330023581,0.1142929070426081,0.20884529077126873,0.3198691476988346,0.33069275142115623,0.24776290812240867,0.4110639179217666,0.08994490899938057,0.7897107365924403,0.2045002711006687,0.20454648167397296,0.5126718878746033,0.43918047289860557,0.29601315597089073,0.11389601892395189,0.0,0.0,,
15.0,0.6223169296351496,0.48067895746083894,25.55392,25.55392,0.0,2.2677895797203016,0.3053626974308272,0.6978199874140406,0.54059571637532,0.1142929070426081,0.19957273456990868,0.3239531291822343,0.3154021437127542,0.25820177184226384,0.4110639179217666,0.08994490899938057,0.7897107365924403,0.2045002711006687,0.20454648167397296,0.5126718878746033,0.43918047289860557,0.29601315597089073,0.11389601892395189,0.0,0.0,,
16.0,0.6074355018430555,0.6096620583552416,25.55392,25.55392,0.0,2.383215290777246,0.30640566464108215,0.7086533975051302,0.5699811583592718,0.1142929070426081,0.21666386811348212,0.33680718355169253,0.3443281165462423,0.270791768826281,0.4110639179217666,0.08994490899938057,0.7897107365924403,0.2045002711006687,0.20454648167397296,0.5126718878746033,0.43918047289860557,0.29601315597089073,0.11389601892395189,0.0,0.0,,
17.0,0.6351110865333902,0.39820279430062683,29.20448,29.20448,0.9971592150692714,2.0552357219644026,0.28792275366702863,0.6758689206831434,0.5500254581731445,0.1142929070426081,0.21732946275236373,0.3064326954349471,0.34311991499497646,0.23513035842975136,0.4295565892176416,0.09333210656416621,0.8194501216630218,0.2045002711006687,0.2047701097306611,0.5265203714370728,0.4399930262542813,0.2963840002696334,0.11389601892395189,0.007937268116600319,1.3273972267052159,0.006194623154045061,0.009357338205563509
18.0,0.6362103260503056,0.47827279145195983,29.20448,29.20448,0.0,2.1897747897095186,0.2929652029180861,0.6891952835394669,0.5806566254443943,0.1142929070426081,0.22129139609154638,0.31828059946673415,0.347543592602099,0.24978882817172698,0.4295565892176416,0.09333210656416621,0.8194501216630218,0.2045002711006687,0.2047701097306611,0.5265203714370728,0.4399930262542813,0.2963840002696334,0.11389601892395189,0.0,0.0,,
19.0,0.6177519860583177,0.4910661082928727,29.20448,29.20448,0.0,2.296012290050164,0.30386773219828245,0.6992002806622141,0.5319833999366158,0.1142929070426081,0.19403667408015132,0.3259449983480849,0.3054239593199606,0.26147891505541615,0.4295565892176416,0.09333210656416621,0.8194501216630218,0.2045002711006687,0.2047701097306611,0.5265203714370728,0.4399930262542813,0.2963840002696334,0.11389601892395189,0.0,0.0,,
20.0,0.59948821304583,0.7623860807329114,29.20448,29.20448,0.0,2.446403521246115,0.30987462301078594,0.7120287649550829,0.5751345532154587,0.1142929070426081,0.20979263949914137,0.34086594935524456,0.33402021139305904,0.2778941603280263,0.4295565892176416,0.09333210656416621,0.8194501216630218,0.2045002711006687,0.2047701097306611,0.5265203714370728,0.4399930262542813,0.2963840002696334,0.11389601892395189,0.0,0.0,,
