round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_auprc,fed_f1_best,fed_auroc,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6439834893018455,0.2558755944555352,3.16197,21.90336,0.0,2.275454642914325,0.28271559573724253,0.25056910550609096,0.3194936488798857,0.6856375149694881,0.2275097727995684,0.5547995251609991,0.11442598187311177,0.3575041166306,0.45726348211444606,0.11267136892757476,0.989247648794513,0.17984752457058878,0.20450951154489178,0.44399431347846985,0.38519649152619184,0.2496431450231789,0.11389601892395189,0.0,0.0,,
12.0,0.6308077549877924,0.3883755784937963,3.16197,21.90336,0.0,2.4110747937548185,0.2913716531043876,0.25964863998992294,0.3323665163622695,0.6938817300322805,0.22048544951442373,0.5832740386998635,0.11442598187311177,0.34611523252830273,0.45726348211444606,0.11267136892757476,0.989247648794513,0.17984752457058878,0.20450951154489178,0.44399431347846985,0.38519649152619184,0.2496431450231789,0.11389601892395189,0.0,0.0,,
13.0,0.6601468639200648,0.16899689281017308,3.688965,25.55392,0.9971592150692714,2.0304497411381353,0.2790247633217765,0.2281740814767116,0.29906734641899435,0.6666963437107735,0.21284130516624883,0.5134964964304717,0.11442598187311177,0.3399372817207528,0.46146306829376504,0.11301117467026346,0.9922311221933118,0.17547104380996417,0.20450951154489178,0.43272390961647034,0.3840479042240991,0.24871254371191148,0.11389601892395189,0.014823015690270908,0.5811356565918686,0.01187308659655105,0.01796487083140331
14.0,0.6542875295089527,0.21253286079292927,3.688965,25.55392,0.0,2.125055770992579,0.28676700448746373,0.23846075174789047,0.30622981569635477,0.6767822034209986,0.21452869418132242,0.5323370594741385,0.11442598187311177,0.3406409379198007,0.46146306829376504,0.11301117467026346,0.9922311221933118,0.17547104380996417,0.20450951154489178,0.43272390961647034,0.3840479042240991,0.24871254371191148,0.11389601892395189,0.0,0.0,,
15.0,0.6392914391803198,0.3284146360762364,3.688965,25.55392,0.0,2.220458796209131,0.2848891327888165,0.2475528432602302,0.3169972900009422,0.6854073888183669,0.22437281619626653,0.5708386297736312,0.11442598187311177,0.3516221795313638,0.46146306829376504,0.11301117467026346,0.9922311221933118,0.17547104380996417,0.20450951154489178,0.43272390961647034,0.3840479042240991,0.24871254371191148,0.11389601892395189,0.0,0.0,,
16.0,0.6309649161701215,0.42465909565213167,3.688965,25.55392,0.0,2.305277299888032,0.30721058891288366,0.2563705837935432,0.32892668563384575,0.6926296008043504,0.19245179144925934,0.5392390266023313,0.11442598187311177,0.3051856022988411,0.46146306829376504,0.11301117467026346,0.9922311221933118,0.17547104380996417,0.20450951154489178,0.43272390961647034,0.3840479042240991,0.24871254371191148,0.11389601892395189,0.0,0.0,,
17.0,0.6538066510312854,0.20800659009014294,4.21596,29.20448,0.9971592150692714,2.0372383596131862,0.27873572338442343,0.22911994985401515,0.29739392818878463,0.6672143478837503,0.21418810048110962,0.5145745800033377,0.11442598187311177,0.3417901617961618,0.40226520866801674,0.09760527029130253,0.8569682348289395,0.15089163237311384,0.2045002711006687,0.4400049149990082,0.3863354426195508,0.2507281691469628,0.11389601892395189,0.014971154325979131,0.6450003554618888,0.010986331859268304,0.019395275898136107
18.0,0.6540218783935117,0.22209877633234285,4.21596,29.20448,0.0,2.1394889196766362,0.28005673934269576,0.2397858484697199,0.3069886002556256,0.6770709849507142,0.22819469201981574,0.5779271262199859,0.11442598187311177,0.35813361223719536,0.40226520866801674,0.09760527029130253,0.8569682348289395,0.15089163237311384,0.2045002711006687,0.4400049149990082,0.3863354426195508,0.2507281691469628,0.11389601892395189,0.0,0.0,,
19.0,0.6383547069488761,0.29976982015979015,4.21596,29.20448,0.0,2.2285137608966767,0.294163670706566,0.24908452726044059,0.3162402718648113,0.6861820039000035,0.2083190610686127,0.5355859556388248,0.11442598187311177,0.3304791196970663,0.40226520866801674,0.09760527029130253,0.8569682348289395,0.15089163237311384,0.2045002711006687,0.4400049149990082,0.3863354426195508,0.2507281691469628,0.11389601892395189,0.0,0.0,,
20.0,0.6244199553934585,0.4086186593103568,4.21596,29.20448,0.0,2.317378584281635,0.2943962742573403,0.2588117265948855,0.32657008358292255,0.6944257139672594,0.21061831712508333,0.5683964662467695,0.11442598187311177,0.33433221441750804,0.40226520866801674,0.09760527029130253,0.8569682348289395,0.15089163237311384,0.2045002711006687,0.4400049149990082,0.3863354426195508,0.2507281691469628,0.11389601892395189,0.0,0.0,,
