round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_brier,fed_auprc_lift,fed_auprc,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6442871940415343,0.4738795313876792,24.82176,24.82176,0.5412350858791136,0.11432168712621969,0.5127308061091376,0.303073861773056,0.3399514416637832,0.21372984140917523,2.181073993019801,0.24979588476931977,0.6757398946325407,0.28700810155739104,0.5882174879220312,0.13892355308722162,1.2197402016305816,0.16267024745827738,0.23606289565039823,0.47733041644096375,0.3658199636059863,0.23374304301519688,0.11389601892395189,0.0071937144281865265,0.7308405406074598,,0.0071937144281865265
12.0,0.6298775973311163,0.5281048979760901,26.8032,26.8032,0.5412350858791136,0.11432168712621969,0.5595712314452771,0.3095602853101911,0.3434403926762612,0.21687675410803112,2.2760682198684736,0.26045827188096254,0.6860201715383597,0.28611831289383394,0.5786039678655727,0.13508758476615523,1.1860606370829598,0.15615264797507789,0.23131982072379426,0.47524234652519226,0.3648895831276447,0.23319851624493626,0.11389601892395189,0.007584013694489545,0.7968493326334283,,0.007584013694489545
13.0,0.6120992621945265,0.8922378516509377,28.78464,28.78464,0.5412350858791136,0.11432168712621969,0.5622047700932989,0.3207501482768567,0.33658053720681264,0.2123191461038043,2.38854214741255,0.27292679389256397,0.6954467999854529,0.2955486628153578,0.6012415473795264,0.142525390153443,1.2513641082451432,0.1987740805604203,0.2414728129013843,0.4797283411026001,0.36489576620582587,0.23283601447286334,0.11389601892395189,0.007693211089445193,0.8458173245890066,,0.007693211089445193
14.0,0.5938308373898642,0.7061975063733847,30.76608,30.76608,0.5412350858791136,0.11432168712621969,0.5645415162342242,0.3269442162680339,0.34624870640826944,0.2181599207119759,2.482340529737222,0.28357388457570504,0.7064751486377542,0.29853647440292325,0.5967643547782212,0.13938977113429413,1.2238335672414007,0.21989290190270025,0.2391653290529695,0.4837319850921631,0.366778334712303,0.2342424368226802,0.11389601892395189,0.00903047919113118,1.039332129061222,,0.00903047919113118
15.0,0.6433579679442936,0.8465090858778227,32.4352,32.4352,0.4559241291901578,0.11432168712621969,0.5100198289171344,0.2958621662472505,0.3470583602577344,0.22024611949663706,2.0811883456748275,0.23904212389324606,0.6661035703575777,0.2797266386893316,0.5968984456700853,0.14091214690690534,1.237199932343483,0.2261476392977865,0.23743211251914775,0.48451459407806396,0.37010733661824885,0.2368112849199029,0.11389601892395189,0.010709090900629322,0.5771155003458261,0.010709090900629322,
16.0,0.6349371137660877,0.5630133318151451,34.41664,34.41664,0.5412350858791136,0.11432168712621969,0.5290524734785095,0.30370649277481027,0.34197757486130864,0.21557940068985823,2.2231693444988707,0.25474157964699146,0.6805343215266938,0.2872481875401937,0.5837925386883284,0.13530968370537516,1.1880106520292086,0.21202854230377166,0.23382401046777887,0.4826241135597229,0.3716788078069603,0.23811295016068962,0.11389601892395189,0.0068816851252346605,0.8246176355751231,,0.0068816851252346605
17.0,0.6209915164127279,0.660467422225983,36.39808,36.39808,0.5412350858791136,0.11432168712621969,0.5545598549965909,0.31905617389235474,0.35691682169454864,0.22550638754110144,2.32951291091231,0.26656313405321724,0.6924113904398382,0.28315080137881127,0.6013607169732691,0.14177388391363527,1.2447659299514005,0.23012718600953896,0.23960042811273635,0.48750582337379456,0.3693160653006323,0.2360880174697322,0.11389601892395189,0.00692204577001369,0.861399834509939,,0.00692204577001369
18.0,0.6034124401508392,0.8236899285697442,38.37952,38.37952,0.5412350858791136,0.11432168712621969,0.5455400425981792,0.3266469677350084,0.3422398415022127,0.2145206593805787,2.4482155298301347,0.27965229229118266,0.7039644295045997,0.29944090092424397,0.5870261182703502,0.1360154703293462,1.1942074149243391,0.21270462267064758,0.2351718403547672,0.48315882682800293,0.36793525676655536,0.23522326338190014,0.11389601892395189,0.007974554256500094,1.0347502857912332,,0.007974554256500094
19.0,0.5848851196251493,0.8756298706504788,40.36096,40.36096,0.5412350858791136,0.11432168712621969,0.541952419817579,0.33562801631959016,0.33046194504445775,0.2073467406756185,2.5464470014465084,0.29024259813285047,0.7141897800487289,0.314041694823422,0.5989584507229965,0.1415446652766829,1.2427534044995194,0.2216646667393913,0.2385282596530498,0.4833732545375824,0.36782117138703774,0.2350103203820107,0.11389601892395189,0.008469642620967253,1.1506510402541608,,0.008469642620967253
20.0,0.6420598646181139,1.2068209251370106,44.01152,44.01152,0.9971592150692714,0.11432168712621969,0.5077370509247304,0.29214598101137723,0.3328364997030449,0.212228103560426,2.0652206521387506,0.23763040608648775,0.6638461439722669,0.27185485501970647,0.6015145858010784,0.14274810401973953,1.253319522213082,0.23335198656966985,0.2401008453210737,0.48961150646209717,0.3707165684974921,0.23711413259458158,0.11389601892395189,0.007157696706431603,1.4279389147413895,0.009976589945587411,0.006004457855572537
