round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
17.0,0.6150544427500633,0.6195084268957497,36.39808,36.39808,0.5412350858791136,0.34349132030118923,0.3416254382733207,0.21596998327099795,0.30362363929286845,0.5668084055886946,0.11538461538461539,2.3733713213640253,0.2694595789951912,0.7061110031316883,0.6627461970266936,0.22516398139873844,1.9769258269604657,0.2700280112044818,0.2823689584751532,0.5127872228622437,0.38407037670811883,0.24538525608749728,0.11389601892395189,0.006145515760875008,0.7319218935444951,,0.006145515760875008
18.0,0.5997398697904269,0.687873810641855,38.37952,38.37952,0.5412350858791136,0.33807692103496867,0.3530204950537434,0.21272718571516447,0.3099619679432539,0.5931621603644286,0.11538461538461539,2.5271881367371667,0.2864037483824695,0.7158601901980899,0.6624722424951642,0.22486956810948833,1.9743408964946634,0.271793878341728,0.28192869826526434,0.5133180618286133,0.38462175050357295,0.24567501068034367,0.11389601892395189,0.0074354018613106655,0.9192566247656941,,0.0074354018613106655
19.0,0.5820238677986674,0.9123364576083105,40.36096,40.36096,0.5412350858791136,0.3343556426858536,0.36049216802930845,0.2088295936091154,0.3237442186685484,0.5723688523898897,0.11538461538461539,2.6429490502352757,0.29936584479606,0.7267233362317198,0.6625906340228989,0.22449984583444413,1.971094757792563,0.27013516015552674,0.2815136177392143,0.5087075233459473,0.38768694427066314,0.248242206738287,0.11389601892395189,0.0072780963444034836,0.9485835887026042,,0.0072780963444034836
20.0,0.6376860930366404,0.9056636311861966,44.01152,44.01152,0.9971592150692714,0.3357317503323622,0.3109158437727527,0.21676097802278127,0.28533926598862547,0.5664091740306793,0.11538461538461539,2.0959924172341435,0.2396163133202721,0.6786086759881556,0.6612016607040875,0.22555555818323325,1.980363846903518,0.2643974241030359,0.28025271342945085,0.5210809707641602,0.38761779708695265,0.2481484229039689,0.11389601892395189,0.006463849107304588,1.2517875062767416,0.009863792426631508,0.004991556708541902
21.0,0.637968986342004,0.9119569350538423,45.99296,45.99296,0.5412350858791136,0.3309749837155274,0.33134099365717906,0.20861524359852998,0.30326141736391415,0.5496672963193333,0.11538461538461539,2.2667491684558896,0.25821827336690295,0.6961544653061463,0.6613230390013367,0.2258054257395991,1.9825576685904085,0.26723470178156467,0.28014812429560454,0.5167785286903381,0.3841369707992125,0.24561984343260096,0.11389601892395189,0.005657030417048881,0.7811890129232779,,0.005657030417048881
22.0,0.6159734698650156,0.7403601396345828,47.9744,47.9744,0.5412350858791136,0.3472537412570212,0.34015141016089073,0.21919773896419092,0.3012076680738215,0.5850513057862272,0.11538461538461539,2.38962302922444,0.271243779379768,0.7061093257935042,0.6612287424209469,0.22575198953392953,1.9820885020104488,0.26496350364963506,0.28088593009857893,0.5113422870635986,0.3860742476294388,0.24710669798293142,0.11389601892395189,0.0056834258512691105,0.8105323737254366,,0.0056834258512691105
23.0,0.5951217324685703,0.7630472893927239,49.95584,49.95584,0.5412350858791136,0.3441443203607356,0.3555387371872012,0.21563582046601143,0.31336403884033814,0.5826845257052334,0.11538461538461539,2.5701822442158444,0.29057230373989756,0.719952251518279,0.6612753134363616,0.2263274333099235,1.9871408627639726,0.2605968124788064,0.2821276045036884,0.5141573548316956,0.39193658911472085,0.2518624816322558,0.11389601892395189,0.007110632914798684,1.0537756703561172,,0.007110632914798684
24.0,0.58192985187163,1.0458557061166052,51.93728,51.93728,0.5412350858791136,0.3444846616827521,0.36484457526171377,0.21689983600242088,0.32072948828060205,0.5952709993565846,0.11538461538461539,2.6992791629709445,0.3046079373295576,0.7317365548532941,0.661637954943352,0.22588642633410883,1.9832688487991197,0.2597034815925371,0.2812740816850758,0.5168317556381226,0.39366671966314853,0.25309139094686506,0.11389601892395189,0.006803987037866824,1.0580998471705243,,0.006803987037866824
25.0,0.6496254877862471,1.2076592073869283,53.6064,53.6064,0.4559241291901578,0.34297797557266235,0.3170479092288696,0.2173420103706721,0.29542193355526253,0.5272998998972717,0.11538461538461539,2.134183708492674,0.24412966896724178,0.6819765116979534,0.6626627808209641,0.2249650322373084,1.9751790656310564,0.250280331912985,0.2837587006960557,0.5122854113578796,0.3943703048116062,0.25386910413923897,0.11389601892395189,0.008711785404929544,0.5519144586287439,0.008711785404929544,
26.0,0.6374549415178635,0.9067261517342509,55.58784,55.58784,0.5412350858791136,0.32947611475362676,0.33338035154080126,0.2072550431607376,0.3092909814577721,0.5640311035013732,0.11538461538461539,2.3246038935663744,0.26487820309853627,0.6991180457002731,0.6627098287155451,0.22621513379572664,1.986154879976709,0.257472005155885,0.2849791717716246,0.5130648016929626,0.39353283317605425,0.2529830070132385,0.11389601892395189,0.005029704828078062,0.8056631952058524,,0.005029704828078062
