round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_prevalence,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
24.0,0.6408547168378218,0.6249845203669545,50.3616,50.3616,1.0,0.6788431734656647,0.279652936944062,0.113188542650299,2.187276998233105,0.351306740474337,0.5801056226357222,0.24875269074794729,0.22132357540080033,0.3086492387236654,0.6617595716801844,0.22494711475308302,1.9750217512280186,0.27627302275189597,0.2789196940726577,0.5182902812957764,0.3502332302675381,0.22316626514505727,0.11389601892395189,0.006562536480855922,1.4033200450321601,0.005601009809290324,0.007297717370274165,0.004404736420477978
25.0,0.6390052325272955,0.5967491510135899,50.38208,50.38208,0.005594161094357764,0.6929556074119381,0.2939072975023993,0.113188542650299,2.327259999225835,0.309800387723597,0.5505989592256206,0.2634885714185549,0.1962566217928718,0.3141237772721566,0.6618233981917444,0.22490334005478324,1.9746374120850587,0.2762142779528415,0.27857665123080677,0.5218321681022644,0.34952051597881034,0.22271520758659658,0.11389601892395189,0.007210949098114821,0.008606194984167814,0.006918530178440164,0.007553173858092934,
26.0,0.6241563667346836,0.7987298537416053,52.36864,52.36864,0.5426336261527032,0.70761479721538,0.29319498842428793,0.113188542650299,2.4986475937176396,0.35253372727947524,0.5812977236286063,0.28205809472965576,0.22090179169136326,0.33288341921929604,0.6611001732878494,0.22499176512605065,1.975413778740389,0.27448177269478197,0.27834572490706316,0.5233700275421143,0.3560863691604523,0.22739990682101469,0.11389601892395189,0.008303393355357493,1.0630781415384263,0.005001630037307958,0.008320546763634477,
27.0,0.6063444367559858,0.7048882074361391,52.38912,52.38912,0.005594161094357764,0.7199216811126709,0.30357551457456966,0.113188542650299,2.6507232445730953,0.31996975170332925,0.606803471628585,0.29811595083205467,0.20068467893897474,0.34490766239051684,0.6610668670429259,0.22502592688017842,1.9757137168282213,0.2752943628217151,0.27803946530872053,0.5373833179473877,0.35390461683633306,0.22596304573193293,0.11389601892395189,0.006283027728402965,0.008069920353591442,0.005232962011192027,0.0075600725972887525,
28.0,0.6401746960710296,0.9297756739905718,56.03968,56.03968,0.9971592150692714,0.6826353859211132,0.28431872308474404,0.113188542650299,2.2245670415093324,0.333920463382363,0.5487416291015496,0.2528706165604418,0.210431073790998,0.30684953209950466,0.6612500513900048,0.22390120322556692,1.9658387127215153,0.2775800711743772,0.28138090423226925,0.5423375964164734,0.34219826716472007,0.21782745270421763,0.11389601892395189,0.006000036125665227,1.3940797232789919,0.005251264841966505,0.006546278145088415,
29.0,0.6383745748278269,0.800100516180813,56.06016,56.06016,0.005594161094357764,0.6996053867780352,0.2942424797872041,0.113188542650299,2.4168921846494995,0.33282925650983963,0.5802292460272587,0.2733416690160911,0.20929110407033813,0.3226294484270985,0.6613511874215942,0.22414520089252804,1.9679809971425717,0.27850701974660425,0.2816779587718034,0.5430464148521423,0.3427068158988685,0.21811536228736847,0.11389601892395189,0.005581704600449862,0.007542899111285806,0.005309427297417402,0.005928284249193863,
30.0,0.621166953703019,0.9370098511138762,58.04672,58.04672,0.5426336261527032,0.7169309779488836,0.3065680983538576,0.113188542650299,2.609880264513414,0.3391659133906658,0.562341428125734,0.2941350787191675,0.21043633181081003,0.33822124806418097,0.6608737435300673,0.22389894040975605,1.9658188453386845,0.2773249972088869,0.28122769450392576,0.5409034490585327,0.34419269417608284,0.21926033878390463,0.11389601892395189,0.007821373127336452,1.099564443109557,0.004334485637502676,0.007840893441557566,
31.0,0.6045195138936714,1.138404230530417,60.0128,60.0128,0.5370394650583453,0.726488417970191,0.3095665481721958,0.113188542650299,2.718423969857832,0.3318846169562508,0.5804320480825768,0.30593874292409867,0.20674465284530788,0.34971254282432024,0.6603067342014575,0.22365055834297182,1.963638066158421,0.2772888330094868,0.28187716915648103,0.5480945706367493,0.33977429396049375,0.21663849470811375,0.11389601892395189,0.00699179369486857,1.0243732035160065,,0.00699179369486857,
32.0,0.6383264031782306,0.8239354438790965,63.67376,63.67376,1.0,0.6848349504387883,0.28336609977123856,0.113188542650299,2.2493724475071373,0.32267366864202274,0.563862295896706,0.25599788512252075,0.2050342058176853,0.3089751004974909,0.6598690971708566,0.22355030433876882,1.9627578422037109,0.27712088164389853,0.2801894238358327,0.5298864245414734,0.3213920272096285,0.20802391742421306,0.11389601892395189,0.005342287156894165,1.3796418364872807,0.004990875596114199,0.00558405887138929,0.005121615964045657
33.0,0.6381031907759127,1.0033748244043879,65.63984,65.63984,0.5370394650583453,0.7054274135710374,0.30150693733163203,0.113188542650299,2.4732118665363587,0.33669562493613636,0.5706822104937332,0.27986357443920656,0.2101155217524153,0.32643951123171866,0.6594719195726721,0.2236809488118486,1.9639048925950595,0.27770083102493076,0.2793311403508772,0.534031867980957,0.32863345360415736,0.21114729486283307,0.11389601892395189,0.0056900513589072735,0.888980358839035,,0.0056900513589072735,
