round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_brier,fed_f1,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,8.96676380962575,485.4010605908591,21.90336,21.90336,0.0,0.24940099090779197,0.37544962490076195,0.23776992407527087,0.3012798350923825,0.11525871836837467,0.6882387498597426,2.2075849778518672,0.32771531062552767,0.5900826101491151,0.662246603352842,0.2227445065022709,1.955682987049766,0.2703535986125831,0.2836121988845378,0.519321084022522,0.3893441739362045,0.2501532583099429,0.11389601892395189,0.0,0.0,,
12.0,8.622692631517197,526.803360793392,21.90336,21.90336,0.0,0.2575173905525167,0.383447332827117,0.24348303132536717,0.30246434789574034,0.11525871836837467,0.6980628560342103,2.286151454439883,0.33742610473247925,0.6033267191824979,0.662246603352842,0.2227445065022709,1.955682987049766,0.2703535986125831,0.2836121988845378,0.519321084022522,0.3893441739362045,0.2501532583099429,0.11389601892395189,0.0,0.0,,
13.0,9.517733820061679,501.21314730309814,25.55392,25.55392,0.9971592150692714,0.2313003126379476,0.38888421754505065,0.24997327272997474,0.27443756110452083,0.11525871836837467,0.6686557863463678,2.0358318953711043,0.30662083429679116,0.5919176358225423,0.6636023833717957,0.225929178694394,1.9836442118775581,0.27043371444769915,0.2824427480916031,0.5298465490341187,0.39006655556943576,0.2506664433073776,0.11389601892395189,0.007867427023940877,1.1217929475242272,0.00635070374386977,0.009016330549037097
14.0,9.482511604693913,547.285056218887,25.55392,25.55392,0.0,0.24464154097954574,0.37616015088606214,0.23897026236275584,0.2988058908469738,0.11525871836837467,0.681666709238706,2.161089623574449,0.3182402620119661,0.5556810747371969,0.6636023833717957,0.225929178694394,1.9836442118775581,0.27043371444769915,0.2824427480916031,0.5298465490341187,0.39006655556943576,0.2506664433073776,0.11389601892395189,0.0,0.0,,
15.0,8.867702944828014,584.1399538372459,25.55392,25.55392,0.0,0.2446713317652569,0.37786676041593364,0.23948983558597187,0.3039256676969208,0.11525871836837467,0.6928048121114962,2.170242829507354,0.33065575249356044,0.5757437873255107,0.6636023833717957,0.225929178694394,1.9836442118775581,0.27043371444769915,0.2824427480916031,0.5298465490341187,0.39006655556943576,0.2506664433073776,0.11389601892395189,0.0,0.0,,
16.0,8.436602645095599,555.3304813288505,25.55392,25.55392,0.0,0.25841685244850227,0.37586453782511076,0.23755018181993395,0.3127438613845617,0.11525871836837467,0.7030756570655147,2.2959472065089908,0.3428143368967094,0.5943119457510035,0.6636023833717957,0.225929178694394,1.9836442118775581,0.27043371444769915,0.2824427480916031,0.5298465490341187,0.39006655556943576,0.2506664433073776,0.11389601892395189,0.0,0.0,,
17.0,9.321331549067562,622.9393990077499,29.20448,29.20448,0.9971592150692714,0.23074079615145324,0.38197953912933574,0.24449597101448567,0.2796406558898564,0.11525871836837467,0.6733084956664616,2.0289859318724663,0.3079705344751817,0.5929817475409469,0.6607432166824982,0.22523922205211772,1.977586435242389,0.27133138969873666,0.28378959438153933,0.5281347632408142,0.38875842602601307,0.24999356864789868,0.11389601892395189,0.007962805091925625,1.192692778306082,0.0064852358138979185,0.009094445954154979
18.0,9.355814692503497,628.4333127176149,29.20448,29.20448,0.0,0.2398723483822709,0.38188072167835024,0.24325409206120652,0.2948647523900391,0.11525871836837467,0.6852767305160137,2.1236803089692584,0.3229386693878456,0.5843004457118844,0.6607432166824982,0.22523922205211772,1.977586435242389,0.27133138969873666,0.28378959438153933,0.5281347632408142,0.38875842602601307,0.24999356864789868,0.11389601892395189,0.0,0.0,,
19.0,8.714112427691669,647.795286660624,29.20448,29.20448,0.0,0.24959382744262373,0.3722946427675274,0.23518947827455214,0.30741927337063985,0.11525871836837467,0.6940867688960579,2.2153346048585436,0.33283155960590427,0.5905940385980207,0.6607432166824982,0.22523922205211772,1.977586435242389,0.27133138969873666,0.28378959438153933,0.5281347632408142,0.38875842602601307,0.24999356864789868,0.11389601892395189,0.0,0.0,,
20.0,8.225666581238281,579.5667853184735,29.20448,29.20448,0.0,0.2661426947412207,0.3767709104998742,0.23782883563108353,0.3181701596146691,0.11525871836837467,0.7044290850583732,2.3659190328531654,0.3489043799115672,0.5919276402535553,0.6607432166824982,0.22523922205211772,1.977586435242389,0.27133138969873666,0.28378959438153933,0.5281347632408142,0.38875842602601307,0.24999356864789868,0.11389601892395189,0.0,0.0,,
21.0,9.338639268193162,693.735940339752,32.85504,32.85504,0.9971592150692714,0.23294597592358615,0.370802912576424,0.23595653390483529,0.2839061340495328,0.11525871836837467,0.6721667990247693,2.0517120955048296,0.3110693487283401,0.5881443221619638,0.6597445187634131,0.2137103159634257,1.8763633530169268,0.27598139937276955,0.28284648050443956,0.5170260667800903,0.3842787795007676,0.2466656135634978,0.11389601892395189,0.007202397870068199,1.1318540527136065,0.005943450411338482,0.008182717962217584
22.0,9.195547028473916,642.1900874565555,32.85504,32.85504,0.0,0.24164936846035487,0.3774467151793547,0.2396988422260168,0.2992704295375077,0.11525871836837467,0.6856735824182497,2.139139816476989,0.32299992037641095,0.5585438447973823,0.6597445187634131,0.2137103159634257,1.8763633530169268,0.27598139937276955,0.28284648050443956,0.5170260667800903,0.3842787795007676,0.2466656135634978,0.11389601892395189,0.0,0.0,,
23.0,8.696441896253623,610.3937809303953,32.85504,32.85504,0.0,0.25272226293434713,0.3788428788489484,0.2404280086790314,0.30113213163526825,0.11525871836837467,0.6918209567178839,2.2411529028288424,0.3351477659887012,0.6024766932817905,0.6597445187634131,0.2137103159634257,1.8763633530169268,0.27598139937276955,0.28284648050443956,0.5170260667800903,0.3842787795007676,0.2466656135634978,0.11389601892395189,0.0,0.0,,
24.0,8.345527556095764,640.9145724035819,32.85504,32.85504,0.0,0.2675620234817826,0.3776684561454724,0.2389368384267915,0.3104794334187852,0.11525871836837467,0.7052196496044676,2.3809424004282485,0.34713364686929815,0.6046990963421555,0.6597445187634131,0.2137103159634257,1.8763633530169268,0.27598139937276955,0.28284648050443956,0.5170260667800903,0.3842787795007676,0.2466656135634978,0.11389601892395189,0.0,0.0,,
