round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_brier,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6491971124287973,0.40336521815892584,40.27056,40.27056,1.0,0.2798284198378413,0.675998664351239,0.2215987321442711,0.1141742195367573,0.23932963839846427,0.35014745265748143,0.5516585492081602,2.097098868534049,0.3072064043963437,0.6678007020564887,0.22324693390046665,1.9600942685233635,0.2773081567680316,0.2841357537490134,0.5330541133880615,0.34853221276360924,0.2214189542038797,0.11389601892395189,0.0072416239612823115,1.441526333859656,0.005487938627097674,0.008870389401780381,0.002552517984690546
12.0,0.643493118489239,0.4292993283773641,43.93152,43.93152,1.0,0.2763291166232713,0.6778349100518317,0.22081200857287303,0.1141742195367573,0.24071626295014237,0.34961138678806536,0.5608275679464396,2.1003931650918393,0.30837768425339235,0.6663444385774362,0.22058470847612133,1.936720093995605,0.2752898627805553,0.2811234817813765,0.5309886932373047,0.3479929009252876,0.22093735174358947,0.11389601892395189,0.006912340798150534,1.4594758638195344,0.0052312328846363595,0.008499573734518033,0.003097547544334198
13.0,0.641424177016917,0.44829990503865674,47.59248,47.59248,1.0,0.27992185335708214,0.6773837254708104,0.21194174593017362,0.1141742195367573,0.24241324235835698,0.33404489000884047,0.5533076637468609,2.1169046276672585,0.3096295026752118,0.6657820850954228,0.21943116330318235,1.9265920387410207,0.2742202138212278,0.2794078773460216,0.5310242176055908,0.33204085623541824,0.21209960935837144,0.11389601892395189,0.0070028324428389925,1.5624679015600123,0.005198343314530355,0.008740525053582707,0.0027592771814198905
14.0,0.6453259453902429,0.5466252128242562,51.25344,51.25344,1.0,0.2857458792367401,0.6780028557838813,0.19917031860571663,0.1141742195367573,0.24656235351425995,0.313392577059792,0.5351304586260219,2.1519672011740383,0.3117561772515288,0.6667752989040965,0.22023121486227398,1.9336164419348305,0.2809085328422345,0.28184810435206636,0.4986422657966614,0.3113493864069743,0.19959964514801032,0.11389601892395189,0.006294099148664744,1.4893481259332475,0.004734275423615313,0.007816537944824552,0.0030364182847450695
15.0,0.6448130084369963,0.6407587773067784,54.9144,54.9144,1.0,0.2856365796855018,0.6823492234790346,0.21703098853934777,0.1141742195367573,0.24912260983168485,0.3429256961774737,0.5613325248657155,2.1739612163444404,0.3118288679919117,0.6649445095872539,0.22040960091652342,1.9351826604553264,0.2767828069032888,0.2796002050230651,0.5308499336242676,0.3412491500278658,0.2177648966895509,0.11389601892395189,0.006086115370388445,1.514429528004257,0.0044196202550165434,0.0077392309144049916,0.0028871432988322233
16.0,0.6411656842135571,0.6116531262352105,58.57536,58.57536,1.0,0.28852994573615187,0.6840630502480524,0.21308493586007216,0.1141742195367573,0.25320890500790894,0.33801583051522077,0.5618394774094989,2.210037532827331,0.31722200162145414,0.6629875104342416,0.22031160421653007,1.9343222554919293,0.27511907462009527,0.27781949241627873,0.5526072382926941,0.33646145436028374,0.21457079168144014,0.11389601892395189,0.0068070812772618354,1.7823836737170495,0.004327487579391283,0.009292879964489315,0.003840927504321798
17.0,0.6438212499781513,0.674606937871217,62.23632,62.23632,1.0,0.28794826296204895,0.6848902533986103,0.21317045527482217,0.1141742195367573,0.25263437112533216,0.33581398029587517,0.5699151270166565,2.205335156083236,0.3196886284350529,0.6652363847358709,0.2222032908191569,1.950931146834215,0.2763114301490889,0.2804495556717198,0.533706545829773,0.3337217037663456,0.21422160263367102,0.11389601892395189,0.0059705155372320115,1.6531392450924614,0.003976808847604577,0.007980250459270644,0.004242585340254442
18.0,0.6421605420344761,1.0617005538235693,65.89728,65.89728,1.0,0.29080539134547406,0.6883102872260866,0.21279242043763483,0.1141742195367573,0.25653550724536534,0.33687181399304195,0.5674373482289272,2.2397289694150486,0.3191571620572251,0.6635889303595284,0.22054898654758992,1.9364064576730287,0.27515777395295465,0.27942583732057413,0.533319890499115,0.33478771401089735,0.21431463959969835,0.11389601892395189,0.005580462855552381,1.6244789395541375,0.003823883210129891,0.007374229529099479,0.003665506532669448
19.0,0.6486611119093724,0.8886538290901317,69.55824,69.55824,1.0,0.28958893498820343,0.6897229460626518,0.21857206041205296,0.1141742195367573,0.25932302997226636,0.3465810573757377,0.5714610516424746,2.264689386036775,0.31818148556900716,0.6625919391658801,0.22034988256002852,1.9346583369797643,0.27219064276344557,0.2756433711428223,0.5197139978408813,0.3447382771619805,0.2204673235912562,0.11389601892395189,0.005490812539727094,1.6762216582774272,0.003497241303518379,0.007559514124163548,0.00318975995071594
20.0,0.6488458697573781,0.7166232518511665,73.2192,73.2192,1.0,0.2871392918548353,0.6904761082727926,0.21116462458996263,0.1141742195367573,0.26267936398930336,0.33366307739190915,0.558395168122208,2.2955417759539922,0.32199497942955385,0.6617989769586544,0.21950812781352375,1.9272677823804256,0.2736865738661877,0.27737226277372257,0.5231124758720398,0.3315983295669039,0.21336741766770212,0.11389601892395189,0.005334677868724065,1.71022968732359,0.00332809913916961,0.007430866144503152,0.003543552946892789
