round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_brier,fed_ece,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6472890473537977,0.33617021058134094,40.27056,40.27056,1.0,0.2799716582334337,0.30204099572350196,0.11085930122757318,2.0481447459701725,0.532395793260701,0.21484247118787825,0.34228539300351385,0.22318335260630098,0.6787231747777772,0.6686078074958277,0.22177150575248883,1.947140100661158,0.2745269605162419,0.2791093461920295,0.5441893935203552,0.33983210605385017,0.21617372981983501,0.11389601892395189,0.0032594434912765194,0.3886009694815584,0.0036943859331456373,0.0029562309324795725,0.003409613680173559
12.0,0.6496914191696317,0.37445321678933174,43.93152,43.93152,1.0,0.2780913074372008,0.30359994998786366,0.11085930122757318,2.0541675426596964,0.5540554419849367,0.2178922202726394,0.34640994117456597,0.2237688380071981,0.6791209045746693,0.6688783862248382,0.22288186635180968,1.9568889980309794,0.27415170696274777,0.2798293364719729,0.5606610178947449,0.3442471288161463,0.21943016341821459,0.11389601892395189,0.003059303311821573,0.36812049655964074,0.0034904037955362744,0.0027608593584469965,0.0028372130897116083
13.0,0.6449345118402698,0.39550543199983595,47.59248,47.59248,1.0,0.2781791261845565,0.30211971129792503,0.11085930122757318,2.068849168902658,0.5538049308297618,0.22138728598224072,0.35155407383564247,0.22527366619542502,0.6816381512123982,0.6693796238768679,0.22317514451220194,1.9594639621356342,0.2746816948445001,0.2824289405684754,0.5425573587417603,0.3494997257356934,0.22300921998084008,0.11389601892395189,0.0032050064631036672,0.3888648041174747,0.00359680945140278,0.0029345625235479306,0.002714870927267534
14.0,0.64708974376583,0.3866385633992852,51.25344,51.25344,1.0,0.2809502959503167,0.3011113090266246,0.11085930122757318,2.0735154358514993,0.558476998937704,0.20410051132264026,0.32467391213362873,0.22593599067803785,0.6814622464935735,0.6689231752181057,0.2222810138215542,1.9516135499869467,0.2762910798122066,0.28168646390810603,0.5212753415107727,0.32263995491868563,0.20592925022759204,0.11389601892395189,0.0032892824727230392,0.40248519485248835,0.003752960481646199,0.002962040532120043,0.003091075830023088
15.0,0.6468792251153733,0.4240817603143182,54.9144,54.9144,1.0,0.2826332604613133,0.3040761492925111,0.11085930122757318,2.07105581368719,0.5284968497301371,0.21405604388069466,0.34220942563424517,0.22578938266030513,0.6818124741219762,0.6688813729943529,0.22290438435306698,1.9570867046889473,0.2768817204301075,0.281390134529148,0.5373664498329163,0.33995009946894517,0.21565682096240968,0.11389601892395189,0.003279689452766161,0.4050677532577538,0.00364828815232733,0.0030207628896959378,0.002807058467865425
16.0,0.6422945907264135,0.3727378203187083,58.57536,58.57536,1.0,0.28203944200111264,0.3037802706067187,0.11085930122757318,2.08028764511868,0.5376106467474396,0.2175838330612345,0.3458215104968885,0.22658789169571739,0.6816675360711513,0.6688585831899894,0.2225612405169762,1.9540739230365887,0.2733211952447253,0.27998416677661964,0.5393809080123901,0.3438110284777639,0.21928052078259225,0.11389601892395189,0.003350815759977928,0.4171973083575722,0.0036788480611262366,0.0031207810796028404,0.0027310352214043165
17.0,0.6451671268563125,0.4155854255325918,62.23632,62.23632,1.0,0.28337450037687434,0.3038957121377179,0.11085930122757318,2.088372977836447,0.5365990128725776,0.20974963879904587,0.33541377338460304,0.22762963167357347,0.6833524368278314,0.6713171964785836,0.22362114610399092,1.9633798285197506,0.27730589783466925,0.28423141505113725,0.5450559258460999,0.3332958638531566,0.21136203675652654,0.11389601892395189,0.0032628734574757776,0.410350637666852,0.003601759995519807,0.0030191650833051834,0.003014372961246987
18.0,0.6424749333354292,0.482527965208112,65.89728,65.89728,1.0,0.2848876666002547,0.30553775624749807,0.11085930122757318,2.0923923535792848,0.5246301546894533,0.2151052410769621,0.3430343391912554,0.22808519813306272,0.6839423823633208,0.6710567577065807,0.22258041060543715,1.9542422352273223,0.27974568574023617,0.2827377027561651,0.5289619565010071,0.3409796639601186,0.21685908233606552,0.11389601892395189,0.00316695505487994,0.401670350054701,0.003587738192895346,0.0028611947925596378,0.0028245436182303234
19.0,0.643407051656477,0.39400345368015965,69.55824,69.55824,1.0,0.28593387502525375,0.30794694828946817,0.11085930122757318,2.096945273082262,0.5377067944764866,0.20583166829143798,0.32933266368965175,0.22845930301308082,0.6833424602276201,0.6697006137535265,0.22190937489031654,1.9483505831620411,0.27654028436018957,0.2817225983004465,0.5350234508514404,0.32719928473706655,0.20764504740248477,0.11389601892395189,0.003126591942228895,0.4001498884172179,0.0034598801322830615,0.002886853270868024,0.00240351968341709
20.0,0.6456540089318995,0.4672484249480303,73.2192,73.2192,1.0,0.27729692218058044,0.3061611341967249,0.11085930122757318,2.0788616294893845,0.5665381713261723,0.22268386993382547,0.3537658613434294,0.22702301211125736,0.6846688783053516,0.6692885525055757,0.2213329839323326,1.9432899062092428,0.2740311260299054,0.28123639529821504,0.5675593614578247,0.3519633037870943,0.2247739637262372,0.11389601892395189,0.003268031393274134,0.4217399717144872,0.003616514665217036,0.003013640021380937,0.0026187919692597147
