round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,fed_brier,fed_f1,fed_prevalence,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6548827779045631,0.18241842803741845,0.52344,21.90336,0.0,0.6891490324192052,0.5579357254449627,0.24784079168168202,2.2352973709570745,0.21891608909834476,0.29654204297968595,0.11469218179529146,0.34742961427726604,0.3223063134993917,0.659084743887526,0.21970754748314825,1.9290186747426745,0.27283889980353637,0.2815995097288188,0.500796914100647,0.38475222789387475,0.24843416238029747,0.11389601892395189,0.0,0.0,,
12.0,0.6306994819983133,0.342947035551668,0.52344,21.90336,0.0,0.6950618870043892,0.5613365488378494,0.25712535137041304,2.3205167867959324,0.21853601158392247,0.3002588052475259,0.11469218179529146,0.34532932914492387,0.3331352481785893,0.659084743887526,0.21970754748314825,1.9290186747426745,0.27283889980353637,0.2815995097288188,0.500796914100647,0.38475222789387475,0.24843416238029747,0.11389601892395189,0.0,0.0,,
13.0,0.6739065802613144,0.11759958437301384,0.61068,25.55392,0.9971592150692714,0.6631956694601867,0.4973813168808628,0.22348805705762806,2.0120746567313805,0.23964647642279843,0.24128280495099289,0.11469218179529146,0.3742110120489242,0.2941185342521262,0.6600484288362506,0.22128436207735774,1.942863009330544,0.2620689655172414,0.28162145687290463,0.5020492076873779,0.38612078200667427,0.24951833155151537,0.11389601892395189,0.0659381684786684,1.050627031860131,0.03000236259208184,0.1241690923304025
14.0,0.67025018983889,0.12056719572616995,0.61068,25.55392,0.0,0.6762735662280404,0.5628786775119716,0.23698202192700527,2.134976861985114,0.2204375331096742,0.28640778482634555,0.11469218179529146,0.3436907814600134,0.31043115437939867,0.6600484288362506,0.22128436207735774,1.942863009330544,0.2620689655172414,0.28162145687290463,0.5020492076873779,0.38612078200667427,0.24951833155151537,0.11389601892395189,0.0,0.0,,
15.0,0.649146097857262,0.23956094926957708,0.61068,25.55392,0.0,0.6864501881183624,0.5440650269732463,0.2468776331311084,2.2270787078766543,0.2148467744168648,0.29557647955578115,0.11469218179529146,0.3389197225798163,0.32203763356116255,0.6600484288362506,0.22128436207735774,1.942863009330544,0.2620689655172414,0.28162145687290463,0.5020492076873779,0.38612078200667427,0.24951833155151537,0.11389601892395189,0.0,0.0,,
16.0,0.6296498394480483,0.43376526147751815,0.61068,25.55392,0.0,0.6956100146599739,0.5791302336398411,0.25898276731704756,2.343384055361079,0.21269898404883367,0.30378772048026526,0.11469218179529146,0.33264156590256533,0.3375065830463154,0.6600484288362506,0.22128436207735774,1.942863009330544,0.2620689655172414,0.28162145687290463,0.5020492076873779,0.38612078200667427,0.24951833155151537,0.11389601892395189,0.0,0.0,,
17.0,0.6705087900903677,0.12215730102222347,0.69792,29.20448,0.9971592150692714,0.6636832967927142,0.49778245748905364,0.224317913558142,2.0132642936832124,0.2378653303260176,0.24408262068673767,0.11469218179529146,0.371951544313336,0.29461506055665404,0.660193111465385,0.22190025054172086,1.9482704719458468,0.2666540678446565,0.28328611898017,0.5026884078979492,0.3851261418564965,0.24870124294115506,0.11389601892395189,0.04656042472983031,0.8443440647242824,0.02016635817514831,0.09203235135218318
18.0,0.6679043577037628,0.13962016916650594,0.69792,29.20448,0.0,0.6753783476680522,0.541731245968649,0.23679443928063648,2.1309892051867814,0.2240064624153514,0.2797666798717824,0.11469218179529146,0.3504511869446721,0.3090311822896682,0.660193111465385,0.22190025054172086,1.9482704719458468,0.2666540678446565,0.28328611898017,0.5026884078979492,0.3851261418564965,0.24870124294115506,0.11389601892395189,0.0,0.0,,
19.0,0.6475870711708354,0.2761812644648659,0.69792,29.20448,0.0,0.6862295771163982,0.5236091976346318,0.2458996719817799,2.2159248615328377,0.21038946408886264,0.30085407169784223,0.11469218179529146,0.3342261737184164,0.32003740378697687,0.660193111465385,0.22190025054172086,1.9482704719458468,0.2666540678446565,0.28328611898017,0.5026884078979492,0.3851261418564965,0.24870124294115506,0.11389601892395189,0.0,0.0,,
20.0,0.6234269755559387,0.4289543417648238,0.69792,29.20448,0.0,0.697717755193968,0.5892308735583331,0.2590539480981399,2.3387373399162734,0.21550425243337312,0.29734164871105084,0.11469218179529146,0.3361521966862791,0.337644383464669,0.660193111465385,0.22190025054172086,1.9482704719458468,0.2666540678446565,0.28328611898017,0.5026884078979492,0.3851261418564965,0.24870124294115506,0.11389601892395189,0.0,0.0,,
21.0,0.6680708658193898,0.13953946276191917,0.78516,32.85504,0.9971592150692714,0.6634665100632732,0.500483086121393,0.2242992707787473,2.0130318579844126,0.23710680162855718,0.25402560353816483,0.11469218179529146,0.37141280024249473,0.2946473900153212,0.6600549671006083,0.22227936965478465,1.951599114304426,0.2760677966101695,0.2826362484157161,0.5009028315544128,0.3825262758093947,0.24664697780448566,0.11389601892395189,0.04080091146972843,0.8166189920425495,0.017108837613476625,0.08367141658097763
22.0,0.6657927663739789,0.1563977938906463,0.78516,32.85504,0.0,0.6757672452508819,0.5466179682328091,0.23634600815938583,2.13202703231901,0.23073292579747354,0.2786878188273911,0.11469218179529146,0.3618374295991388,0.30942950746344566,0.6600549671006083,0.22227936965478465,1.951599114304426,0.2760677966101695,0.2826362484157161,0.5009028315544128,0.3825262758093947,0.24664697780448566,0.11389601892395189,0.0,0.0,,
23.0,0.6463007216214423,0.27949973628472946,0.78516,32.85504,0.0,0.6876661654150155,0.5481925050415082,0.24963413797003747,2.2536156819772715,0.21212496110702136,0.3002972925313979,0.11469218179529146,0.33705942086049046,0.3221606298939222,0.6600549671006083,0.22227936965478465,1.951599114304426,0.2760677966101695,0.2826362484157161,0.5009028315544128,0.3825262758093947,0.24664697780448566,0.11389601892395189,0.0,0.0,,
24.0,0.6283958263533554,0.458476218288513,0.78516,32.85504,0.0,0.6970323587149195,0.5671704126859393,0.26011177883771164,2.3504865040104908,0.21877392773304466,0.3021778455666263,0.11469218179529146,0.3452765700550021,0.33512686107044626,0.6600549671006083,0.22227936965478465,1.951599114304426,0.2760677966101695,0.2826362484157161,0.5009028315544128,0.3825262758093947,0.24664697780448566,0.11389601892395189,0.0,0.0,,
25.0,0.6664633304741306,0.1462181480320574,0.8724,36.5056,0.9971592150692714,0.6637134691051713,0.4975944884298701,0.22457037719039305,2.015288923621771,0.23442374112338193,0.25564723162496344,0.11469218179529146,0.36799033809920845,0.29534442954206236,0.6598864530626158,0.22276250498147687,1.9558410125837224,0.27474115097519863,0.28336755646817247,0.501972496509552,0.3836216044234572,0.2472009157350153,0.11389601892395189,0.033629557063131865,0.7404589511231734,0.012645202554320327,0.07378535131423328
26.0,0.663730919491741,0.15938155870864015,0.8724,36.5056,0.0,0.6749629654764931,0.5477100028925512,0.23822181124158714,2.142501078946447,0.2146568823752668,0.28990074899295154,0.11469218179529146,0.3396747250845777,0.3131066612792199,0.6598864530626158,0.22276250498147687,1.9558410125837224,0.27474115097519863,0.28336755646817247,0.501972496509552,0.3836216044234572,0.2472009157350153,0.11389601892395189,0.0,0.0,,
27.0,0.6432134914104772,0.3237235101194856,0.8724,36.5056,0.0,0.6876981781667287,0.538994552425259,0.2500602446819084,2.254378619658768,0.19130352014603125,0.30155582072750464,0.11469218179529146,0.30139208224735825,0.32505708398862093,0.6598864530626158,0.22276250498147687,1.9558410125837224,0.27474115097519863,0.28336755646817247,0.501972496509552,0.3836216044234572,0.2472009157350153,0.11389601892395189,0.0,0.0,,
28.0,0.6284100908759925,0.4902073636523935,0.8724,36.5056,0.0,0.6970640738994092,0.5555269940083594,0.2595344364531327,2.3449786160389494,0.20920179186897328,0.3009294521107394,0.11469218179529146,0.331695481181336,0.33327785118224224,0.6598864530626158,0.22276250498147687,1.9558410125837224,0.27474115097519863,0.28336755646817247,0.501972496509552,0.3836216044234572,0.2472009157350153,0.11389601892395189,0.0,0.0,,
29.0,0.6657688797452983,0.15316738312034792,0.95964,40.15616,0.9971592150692714,0.6640463129212155,0.4996493057637795,0.22520913968820552,2.0217306295325885,0.2309611895145456,0.26476280944849034,0.11469218179529146,0.3638224605347548,0.29494582486484056,0.6601203622936361,0.2227286302581921,1.9555435946089343,0.27603797647725664,0.28115313081215126,0.5007651448249817,0.38148064532855464,0.24574707063389012,0.11389601892395189,0.03393399976497514,0.8148617702288448,0.013135938454124047,0.07635272131350677
30.0,0.6601098194203081,0.1728539427785103,0.95964,40.15616,0.0,0.6753296462840679,0.5644009075941614,0.23871420229677476,2.15053005808423,0.21263952100075573,0.2867971581217368,0.11469218179529146,0.3328264647187018,0.31065484046809205,0.6601203622936361,0.2227286302581921,1.9555435946089343,0.27603797647725664,0.28115313081215126,0.5007651448249817,0.38148064532855464,0.24574707063389012,0.11389601892395189,0.0,0.0,,
31.0,0.640310319793766,0.3021173319475127,0.95964,40.15616,0.0,0.68622053677319,0.5700637712262371,0.24760113927939056,2.2346287778399883,0.20765484726862724,0.2977621885480167,0.11469218179529146,0.3285455019227915,0.3234012658757718,0.6601203622936361,0.2227286302581921,1.9555435946089343,0.27603797647725664,0.28115313081215126,0.5007651448249817,0.38148064532855464,0.24574707063389012,0.11389601892395189,0.0,0.0,,
32.0,0.6248579799610658,0.49143761145509257,0.95964,40.15616,0.0,0.6929702852485716,0.5508589050987572,0.25654619333024486,2.3184419387036477,0.1954916155174578,0.3080639356746852,0.11469218179529146,0.30863665531648654,0.3318581873086114,0.6601203622936361,0.2227286302581921,1.9555435946089343,0.27603797647725664,0.28115313081215126,0.5007651448249817,0.38148064532855464,0.24574707063389012,0.11389601892395189,0.0,0.0,,
33.0,0.6623703947360942,0.19327545373243285,1.04688,43.80672,0.9971592150692714,0.6644601751741929,0.503023524164223,0.22551625168704315,2.0244635679886844,0.23004987396047796,0.2679853159422165,0.11469218179529146,0.36310868680919883,0.2950398321540861,0.6604186125637381,0.22328146940691537,1.9603974881334518,0.2794164287979702,0.2816549570647931,0.49991151690483093,0.37948347686689293,0.2441403001416908,0.11389601892395189,0.028032792438736152,0.7458157859068706,0.010562561694426917,0.06488786031075418
34.0,0.6565806029644174,0.1962885267702033,1.04688,43.80672,0.0,0.6754307284214834,0.561195955988023,0.23849273199123933,2.1485546315173383,0.2246284973468041,0.27728395980769416,0.11469218179529146,0.3507768260311543,0.3082439623541427,0.6604186125637381,0.22328146940691537,1.9603974881334518,0.2794164287979702,0.2816549570647931,0.49991151690483093,0.37948347686689293,0.2441403001416908,0.11389601892395189,0.0,0.0,,
35.0,0.6397739184252916,0.33821960228166675,1.04688,43.80672,0.0,0.686008520828518,0.5553920538313936,0.2500686315576899,2.2554457387269027,0.21175594003845538,0.2978235909494634,0.11469218179529146,0.33612854906100925,0.32438308060323484,0.6604186125637381,0.22328146940691537,1.9603974881334518,0.2794164287979702,0.2816549570647931,0.49991151690483093,0.37948347686689293,0.2441403001416908,0.11389601892395189,0.0,0.0,,
