round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_ece,fed_f1_best,fed_prevalence,fed_brier,fed_auprc_lift,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6660453774497418,0.17090148943724537,0.78516,32.85504,0.9971592150692714,0.27333708390226363,0.6604062158507685,0.3599238842894573,0.29936611835721866,0.11392245720040282,0.22711509706931238,2.099380163302805,0.23551893963430046,0.49635064773906806,0.3350248697504953,0.0801413840528778,0.7036363940550724,0.0,0.20451875282422052,0.44899722933769226,0.36488355949466317,0.23455354970210418,0.11389601892395189,0.03600757857898033,0.7373038034716046,0.017617531160160193,0.06649126468275793
22.0,0.6629865638332537,0.18554696606201307,0.78516,32.85504,0.0,0.2897766659078531,0.6755242299559461,0.3234632429821568,0.310335049827359,0.11392245720040282,0.20335793387962817,2.243729876682304,0.2513734558897595,0.5392272158545579,0.3350248697504953,0.0801413840528778,0.7036363940550724,0.0,0.20451875282422052,0.44899722933769226,0.36488355949466317,0.23455354970210418,0.11389601892395189,0.0,0.0,,
23.0,0.6439203012901922,0.31853910726811374,0.78516,32.85504,0.0,0.2952330577121239,0.6846649833521615,0.3352324535642551,0.3208434438598067,0.11392245720040282,0.21061579402950487,2.316308820450948,0.2597557602654889,0.5687232481734029,0.3350248697504953,0.0801413840528778,0.7036363940550724,0.0,0.20451875282422052,0.44899722933769226,0.36488355949466317,0.23455354970210418,0.11389601892395189,0.0,0.0,,
24.0,0.6341765181652673,0.5358991836476507,0.78516,32.85504,0.0,0.28637937046690976,0.6935884286387952,0.34465830632033395,0.326977250582186,0.11392245720040282,0.2180149465960925,2.3835095906737416,0.2677900008589673,0.5664068645678558,0.3350248697504953,0.0801413840528778,0.7036363940550724,0.0,0.20451875282422052,0.44899722933769226,0.36488355949466317,0.23455354970210418,0.11389601892395189,0.0,0.0,,
25.0,0.6653219359602658,0.18749173332783678,0.8724,36.5056,0.9971592150692714,0.27922691562576507,0.6602299334014927,0.3630127603655225,0.29960509834934307,0.11392245720040282,0.22918333178495084,2.1005151579529926,0.23561705647218367,0.5062357864050947,0.33613838260356854,0.08035165163668019,0.7054825304326994,0.0,0.20451875282422052,0.44740617275238037,0.36445647491753097,0.23428483795900995,0.11389601892395189,0.036153849749170026,0.8129604308578564,0.01369775645104451,0.07643936000520708
26.0,0.6625222555593456,0.2038509955999872,0.8724,36.5056,0.0,0.28142636050686165,0.6710380085635953,0.34674154890866254,0.3028399268051718,0.11392245720040282,0.21828729816040185,2.2098128623889624,0.24817022996008595,0.5615301959587998,0.33613838260356854,0.08035165163668019,0.7054825304326994,0.0,0.20451875282422052,0.44740617275238037,0.36445647491753097,0.23428483795900995,0.11389601892395189,0.0,0.0,,
27.0,0.6415568443840497,0.34421355920334357,0.8724,36.5056,0.0,0.2883231757760749,0.6816478331028659,0.3297377467811509,0.31149648530565066,0.11392245720040282,0.20731034788336228,2.308415482765584,0.2589392146458283,0.5366998008768424,0.33613838260356854,0.08035165163668019,0.7054825304326994,0.0,0.20451875282422052,0.44740617275238037,0.36445647491753097,0.23428483795900995,0.11389601892395189,0.0,0.0,,
28.0,0.6268446811075654,0.46726374195354275,0.8724,36.5056,0.0,0.2972157849183119,0.6926214055494698,0.3407812553785239,0.3249555047447285,0.11392245720040282,0.21564850950973743,2.380202547144731,0.2671996003591403,0.58237659423598,0.33613838260356854,0.08035165163668019,0.7054825304326994,0.0,0.20451875282422052,0.44740617275238037,0.36445647491753097,0.23428483795900995,0.11389601892395189,0.0,0.0,,
29.0,0.6595126729698222,0.19331721076833086,0.95964,40.15616,0.9971592150692714,0.28232226139074496,0.6603135364690544,0.36064278500572905,0.30017401209079575,0.11392245720040282,0.22708705585793953,2.104523871653631,0.23605046289138798,0.5069879767243926,0.33513604534347824,0.08015700946945886,0.7037735842459912,0.0,0.20451875282422052,0.44144207239151,0.36160459570750547,0.23217384617975062,0.11389601892395189,0.026779335859793554,0.6689129255828448,0.010948952739023939,0.05560345406103062
30.0,0.6575843723022949,0.21506915344951602,0.95964,40.15616,0.0,0.27882714019173993,0.6742828989077316,0.3577719221232986,0.3101506256294378,0.11392245720040282,0.2266495149060629,2.2260806902019157,0.2492819535002436,0.5806123300287629,0.33513604534347824,0.08015700946945886,0.7037735842459912,0.0,0.20451875282422052,0.44144207239151,0.36160459570750547,0.23217384617975062,0.11389601892395189,0.0,0.0,,
31.0,0.6403407967294096,0.38578422598089646,0.95964,40.15616,0.0,0.2884535796961107,0.6825432299910775,0.3364921011940895,0.31676466021337435,0.11392245720040282,0.21450372622321906,2.303660416578361,0.25773130895931856,0.5725800066451052,0.33513604534347824,0.08015700946945886,0.7037735842459912,0.0,0.20451875282422052,0.44144207239151,0.36160459570750547,0.23217384617975062,0.11389601892395189,0.0,0.0,,
32.0,0.631223766624665,0.5237241827619211,0.95964,40.15616,0.0,0.29723969947446904,0.6918590664995593,0.334057199342921,0.32634784918061205,0.11392245720040282,0.21184288002524182,2.3661225627826594,0.26451725499879974,0.5528262186277759,0.33513604534347824,0.08015700946945886,0.7037735842459912,0.0,0.20451875282422052,0.44144207239151,0.36160459570750547,0.23217384617975062,0.11389601892395189,0.0,0.0,,
33.0,0.6586815179313618,0.206975957137176,1.04688,43.80672,0.9971592150692714,0.27747192079773286,0.6602828967795907,0.35709177207648146,0.29915694819824007,0.11392245720040282,0.22452516824904928,2.106014293514978,0.23624714295905014,0.5013566054328751,0.3355603799552326,0.08019724724704885,0.70412686944393,0.0,0.20451875282422052,0.4389815032482147,0.3627481250894575,0.23308791712015703,0.11389601892395189,0.02452888121367306,0.6700095955484358,0.01036817175373225,0.051507766918108655
34.0,0.6562235783862165,0.24373287721057596,1.04688,43.80672,0.0,0.28685458178158896,0.6724509216752241,0.33187600406832163,0.3096749340060302,0.11392245720040282,0.20816458641017668,2.221466526473322,0.24882143663375156,0.5310562226080974,0.3355603799552326,0.08019724724704885,0.70412686944393,0.0,0.20451875282422052,0.4389815032482147,0.3627481250894575,0.23308791712015703,0.11389601892395189,0.0,0.0,,
35.0,0.6361816463300114,0.33731198980456417,1.04688,43.80672,0.0,0.28769401149505974,0.6840461812433298,0.3474076132370724,0.320503295982472,0.11392245720040282,0.21872580185382137,2.319899369849606,0.2595592385455869,0.5537938458014051,0.3355603799552326,0.08019724724704885,0.70412686944393,0.0,0.20451875282422052,0.4389815032482147,0.3627481250894575,0.23308791712015703,0.11389601892395189,0.0,0.0,,
36.0,0.62561635648532,0.49603538296835803,1.04688,43.80672,0.0,0.2956804492388298,0.6940646599482551,0.3375219943776561,0.32886999267591716,0.11392245720040282,0.21248476598631527,2.400537348737421,0.2694208173475359,0.5538972660276404,0.3355603799552326,0.08019724724704885,0.70412686944393,0.0,0.20451875282422052,0.4389815032482147,0.3627481250894575,0.23308791712015703,0.11389601892395189,0.0,0.0,,
37.0,0.6547236330491274,0.2352603255229202,1.13412,47.45728,0.9971592150692714,0.27115175559285454,0.6602987592392515,0.35173792117589486,0.2991654465600648,0.11392245720040282,0.22069833673775022,2.104883022368,0.23614948363055438,0.5010239537617741,0.33563420837983116,0.08018532472388837,0.7040221904281653,0.0,0.20451875282422052,0.4379872977733612,0.3627281240637802,0.23314964224868912,0.11389601892395189,0.024938566074321527,0.7294713295195834,0.01249195945752078,0.04927328396043095
38.0,0.6511891471216427,0.2447228156160035,1.13412,47.45728,0.0,0.27355293001892883,0.6741520719870286,0.3523918207353103,0.30978852626884607,0.11392245720040282,0.22323416361194814,2.217509527385027,0.24813789319801569,0.5611312326328962,0.33563420837983116,0.08018532472388837,0.7040221904281653,0.0,0.20451875282422052,0.4379872977733612,0.3627281240637802,0.23314964224868912,0.11389601892395189,0.0,0.0,,
39.0,0.6402971112744235,0.37774309961218583,1.13412,47.45728,0.0,0.29216153850573195,0.683796445726267,0.3417087343471238,0.31662971026872966,0.11392245720040282,0.21423393335982532,2.3233154016789053,0.2605751393404852,0.5567489700393763,0.33563420837983116,0.08018532472388837,0.7040221904281653,0.0,0.20451875282422052,0.4379872977733612,0.3627281240637802,0.23314964224868912,0.11389601892395189,0.0,0.0,,
