round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_ece,fed_auroc,fed_brier,fed_auprc_lift,fed_f1,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
16.0,0.5601885452882479,0.45872057243330955,25.55392,25.55392,0.0,0.22792439901880537,0.28782580896487414,0.06789024065335629,0.7143787803836334,0.10452757372596184,2.577821644852044,0.1139126511213753,0.11411127895266868,0.3333747059977077,0.6621055851636164,0.21447177087932623,1.8830488800712915,0.13512557481429077,0.2787426438926367,0.4734809398651123,0.3452727504333688,0.21816088852612533,0.11389601892395189,0.0,0.0,,
17.0,0.5849375021675028,0.4630613134562136,29.20448,29.20448,0.9971592150692714,0.22590536195390892,0.24161306702781213,0.08432063386045877,0.6789338531465392,0.10989121383720904,2.135725283378773,0.060981713851342025,0.11411127895266868,0.3039008747297251,0.661192926285675,0.21418300376449495,1.8805135226675873,0.15592305096186299,0.28076517547823465,0.47595977783203125,0.3488825366873705,0.22075698508607614,0.11389601892395189,0.008218656476486725,1.302441966952756,0.0062925141196640165,0.009842884514873617
18.0,0.587276979664344,0.4415468912889378,29.20448,29.20448,0.0,0.22501905879975564,0.25693803109949725,0.06924008062645821,0.6934192933140069,0.10811500664082181,2.280708462532863,0.0805004301856426,0.11411127895266868,0.31638998146528746,0.661192926285675,0.21418300376449495,1.8805135226675873,0.15592305096186299,0.28076517547823465,0.47595977783203125,0.3488825366873705,0.22075698508607614,0.11389601892395189,0.0,0.0,,
19.0,0.5729126755766378,0.4127180434347588,29.20448,29.20448,0.0,0.23220816451478435,0.278471824912127,0.07448260153970054,0.7054646789481782,0.1067815310378191,2.4906359044548934,0.09748623483027258,0.11411127895266868,0.3300908164665045,0.661192926285675,0.21418300376449495,1.8805135226675873,0.15592305096186299,0.28076517547823465,0.47595977783203125,0.3488825366873705,0.22075698508607614,0.11389601892395189,0.0,0.0,,
20.0,0.5486716351799884,0.4545639011025148,29.20448,29.20448,0.0,0.24546900597163676,0.29249591134789066,0.07069826802308125,0.7181674196987851,0.10425378666772282,2.6197743828546693,0.12897395201347145,0.11411127895266868,0.33967966783461406,0.661192926285675,0.21418300376449495,1.8805135226675873,0.15592305096186299,0.28076517547823465,0.47595977783203125,0.3488825366873705,0.22075698508607614,0.11389601892395189,0.0,0.0,,
21.0,0.5905061196231844,0.4917478532803809,32.85504,32.85504,0.9971592150692714,0.2335116356275488,0.2423967251891058,0.08095435350748811,0.6787686259601249,0.10888113523570087,2.1399977723818298,0.07906089078564668,0.11411127895266868,0.3057349400035881,0.6626347202468688,0.21517217791579774,1.8891984105209831,0.13839128907622059,0.28124191461837,0.4737824499607086,0.3468135224506307,0.21922431283027033,0.11389601892395189,0.0081486333182323,1.3702102489769459,0.0063233797497027075,0.009717300678891915
22.0,0.5773690146710788,0.4188360597722295,32.85504,32.85504,0.0,0.23196631764349682,0.2638629493278468,0.07111806131527486,0.6938892402665678,0.10762092094348608,2.3503318063452263,0.11715220805683484,0.11411127895266868,0.3168254343254876,0.6626347202468688,0.21517217791579774,1.8891984105209831,0.13839128907622059,0.28124191461837,0.4737824499607086,0.3468135224506307,0.21922431283027033,0.11389601892395189,0.0,0.0,,
23.0,0.5626567057498093,0.4309211562849494,32.85504,32.85504,0.0,0.23248172415681148,0.27906948525709024,0.07613478014527875,0.7054411342512167,0.10658222538328568,2.4992884577638304,0.10219791828973707,0.11411127895266868,0.3269340680476457,0.6626347202468688,0.21517217791579774,1.8891984105209831,0.13839128907622059,0.28124191461837,0.4737824499607086,0.3468135224506307,0.21922431283027033,0.11389601892395189,0.0,0.0,,
24.0,0.5506812354205609,0.5409465260569051,32.85504,32.85504,0.0,0.22959527010538905,0.2976375649923856,0.07016140520204248,0.7170412468420333,0.10455678015758432,2.6719180361069705,0.14751861124185645,0.11411127895266868,0.341205673236544,0.6626347202468688,0.21517217791579774,1.8891984105209831,0.13839128907622059,0.28124191461837,0.4737824499607086,0.3468135224506307,0.21922431283027033,0.11389601892395189,0.0,0.0,,
25.0,0.5797370246999962,0.48144471420005475,36.5056,36.5056,0.9971592150692714,0.23107100803637642,0.2462777848706564,0.08327097707010209,0.6791620490333011,0.11048466745254476,2.1781619163619803,0.08944110018903884,0.11411127895266868,0.3091242282684507,0.6632510740197284,0.2130447296977015,1.870519546780217,0.15663865546218486,0.2816301703163017,0.482211709022522,0.3539243339922271,0.22440865773416185,0.11389601892395189,0.007003488144393085,1.2529745389474556,0.005352489555726107,0.008443900944159482
26.0,0.574724380363652,0.4901152359593725,36.5056,36.5056,0.0,0.2473855750355776,0.26841575554904273,0.07708245948189635,0.6967312801216143,0.10776825262786205,2.3868245455980768,0.12278226315101338,0.11411127895266868,0.32411022987563903,0.6632510740197284,0.2130447296977015,1.870519546780217,0.15663865546218486,0.2816301703163017,0.482211709022522,0.3539243339922271,0.22440865773416185,0.11389601892395189,0.0,0.0,,
27.0,0.562100079629916,0.5669840458438673,36.5056,36.5056,0.0,0.23296191155055135,0.2874949897615912,0.0795371278172871,0.7096543985251884,0.10604088516037449,2.5722547869173957,0.11691078944048308,0.11411127895266868,0.33168004325482975,0.6632510740197284,0.2130447296977015,1.870519546780217,0.15663865546218486,0.2816301703163017,0.482211709022522,0.3539243339922271,0.22440865773416185,0.11389601892395189,0.0,0.0,,
