round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_f1,fed_ece,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_brier,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
23.0,0.15164610923238275,0.06702374475289397,49.95584,49.95584,0.5412350858791136,0.2852334431001878,2.590174991924849,0.29101851482702706,0.3795153361369484,0.11334172435494018,0.708323078977153,0.5432781790921791,0.23800749699601603,0.3338096497407855,0.34690544826415737,0.08133790288581164,0.7141417553858557,0.016238159675236806,0.2045002711006687,0.44404223561286926,0.3629732731784306,0.2337587413158219,0.11389601892395189,0.006384654512066374,0.8802964922506362,,0.006384654512066374
24.0,0.14689587683049726,0.07789246928872905,51.93728,51.93728,0.5412350858791136,0.2955086156354855,2.7016212564666273,0.31201138592172745,0.36808126359765364,0.11334172435494018,0.7145619533478602,0.5361726305820868,0.22887232701962476,0.3429393953812928,0.3468635958425975,0.08132391271479725,0.7140189225498482,0.028708133971291867,0.2045002711006687,0.45264673233032227,0.3645215223852381,0.23501459414767373,0.11389601892395189,0.007723537783600896,1.1000419659540057,,0.007723537783600896
25.0,0.16297492696341082,0.11137318877273054,53.6064,53.6064,0.4559241291901578,0.23981099726361294,2.1154209361657483,0.285591170950334,0.37204152875872354,0.11334172435494018,0.6757666213352083,0.5305255286719079,0.23426734868166554,0.30355461239055714,0.3482650056680854,0.08153026547356738,0.7158306870058817,0.03275109170305677,0.2045002711006687,0.4532138705253601,0.3652630000714058,0.23558413164039863,0.11389601892395189,0.008916564331653377,0.5494507970288396,0.008916564331653377,
26.0,0.16100356735231755,0.07877386620658652,55.58784,55.58784,0.5412350858791136,0.2558523297198608,2.2825943367593995,0.28316567275306664,0.3803980757767783,0.11334172435494018,0.6897853181254087,0.5242664386147293,0.24001039757368467,0.31279969868256,0.35249078255319,0.0819573950403425,0.71958085817789,0.020195439739413682,0.2045002711006687,0.45485231280326843,0.3639693659522092,0.23438422799123135,0.11389601892395189,0.00433993156160549,0.6428401281591505,,0.00433993156160549
27.0,0.15416117138286084,0.06908062008263245,57.56928,57.56928,0.5412350858791136,0.2718515350095881,2.447495169579368,0.2938577230961319,0.3760465329748567,0.11334172435494018,0.7013668060085011,0.5267962285262972,0.23625239645273644,0.3281542239131343,0.34961200107081963,0.08168220514064828,0.7171647078831377,0.027445255474452555,0.2045002711006687,0.44282209873199463,0.3634895178939791,0.234269940566935,0.11389601892395189,0.00523319558738353,0.796439373283647,,0.00523319558738353
28.0,0.15289904007786367,0.11807058209871557,59.55072,59.55072,0.5412350858791136,0.28694154668843896,2.618459628104135,0.30341876603936613,0.37253661758311507,0.11334172435494018,0.7122719749666667,0.5382661412878558,0.23240665456733456,0.3354168673121796,0.34929330774382994,0.08165519491324973,0.7169275597575602,0.04217159476490548,0.2045002711006687,0.43405604362487793,0.36513449094382977,0.2356961397266987,0.11389601892395189,0.006100443719467649,0.9598098386777565,,0.006100443719467649
29.0,0.14582147032651738,0.08763414604871261,61.53216,61.53216,0.5412350858791136,0.30079374135158005,2.7533530173230902,0.31410355610641266,0.3678219924789317,0.11334172435494018,0.7214742746144512,0.5279345748333002,0.22778805161125582,0.34738153988671194,0.3526152731144713,0.08193518952794182,0.7193858951527512,0.04309545875810936,0.2045002711006687,0.4395536482334137,0.36587649841656333,0.23625125478748824,0.11389601892395189,0.006468823202499041,1.058810171089135,,0.006468823202499041
30.0,0.162070162530368,0.10666181854149785,65.18272,65.18272,0.9971592150692714,0.24313022926254196,2.137481300542693,0.2823029699087421,0.3745224704451347,0.11334172435494018,0.678148550347779,0.523834225192169,0.23631405117830742,0.30867756860763995,0.36498010987195595,0.08327948287523029,0.7311887075775301,0.03981770208683137,0.2045002711006687,0.45495086908340454,0.36639588949028634,0.2363671232326876,0.11389601892395189,0.005768084387292656,1.3566706547280774,0.007836282614879446,0.004947831405149441
31.0,0.16089016217932856,0.06624554809786541,67.16416,67.16416,0.5412350858791136,0.25834521942221095,2.2935706087571153,0.2949631177689346,0.37351127302706644,0.11334172435494018,0.6920724014115045,0.5161015935593838,0.23479034197672963,0.3174536019557752,0.38277529518945885,0.08528838262391647,0.7488267230908512,0.04402659940380647,0.20457531143827856,0.4634886085987091,0.3666540942660539,0.23656604540825604,0.11389601892395189,0.004692190006409483,0.8036910488735884,,0.004692190006409483
32.0,0.1543412042882119,0.06920144583647055,69.1456,69.1456,0.5412350858791136,0.27338855783629257,2.4460733217466046,0.2896880700557021,0.3776688151469463,0.11334172435494018,0.7030815192365852,0.5352300367954017,0.23680403721707177,0.32881254535829463,0.37225008256284303,0.08411674711631875,0.7385398358171177,0.05132317562149158,0.20450951154489178,0.4466818571090698,0.36763475201523377,0.23757390983468793,0.11389601892395189,0.004693720841951892,0.8271708044339903,,0.004693720841951892
