round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_brier,fed_auprc_lift,fed_f1,fed_auroc,fed_auprc,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
11.0,0.6422610400785914,0.36021534619567885,24.82176,24.82176,0.5412350858791136,0.3273405523638711,0.3149082741687357,0.20557459916559523,2.2916896428709714,0.2974108945637917,0.6828527761551095,0.258011249578863,0.11455186304128905,0.523464104457039,0.6557038964893109,0.21370409336395024,1.876308718978492,0.02594033722438392,0.27158724471515583,0.4794144928455353,0.3635371706840214,0.23248157607084768,0.11389601892395189,0.006728987417407303,0.677099110558629,,0.006728987417407303
12.0,0.6244810868853816,0.5041351447242621,26.8032,26.8032,0.5412350858791136,0.3443019210772678,0.3239442127373524,0.21629268107024036,2.3765091809936916,0.29748354174254044,0.6961217027100411,0.26869209173179015,0.11455186304128905,0.560241523670541,0.6449513505443877,0.2132943633228855,1.872711314565803,0.06211687780956273,0.27333148712268074,0.48161500692367554,0.36660839096397924,0.23473732280881163,0.11389601892395189,0.007774087595264903,0.8120060971705243,,0.007774087595264903
13.0,0.6063488956688375,0.5051392786819531,28.78464,28.78464,0.5412350858791136,0.34271801943226726,0.3304616799697989,0.21466125210677678,2.51051653506949,0.30548109019905456,0.7068791548190076,0.28242730405964095,0.11455186304128905,0.5576684295808502,0.5413610477768169,0.17218746567395443,1.5117952962774195,0.014808362369337979,0.21097445600756862,0.48422107100486755,0.3672773021280487,0.23561276010848664,0.11389601892395189,0.007807049830137908,0.8526447366457433,,0.007807049830137908
14.0,0.5974492781842449,0.7399731156626979,30.76608,30.76608,0.5412350858791136,0.33712763774390675,0.34066405448397113,0.2117027475654291,2.605347445088778,0.3087822126288588,0.7172792901392151,0.29349804254080686,0.11455186304128905,0.5944210271513295,0.5801816096418743,0.18833273645695872,1.6535497749285517,0.09278752436647174,0.2364508393285372,0.4886205494403839,0.37051421393385303,0.23779135356120049,0.11389601892395189,0.00926061394856558,1.0643551079556346,,0.00926061394856558
15.0,0.6432653089277869,0.8474956799761175,32.4352,32.4352,0.4559241291901578,0.34927434474417385,0.3081516704885044,0.22203653886212152,2.1515604858792194,0.27414414709031126,0.6703796806547194,0.2455786922913008,0.11455186304128905,0.5660608533173349,0.5987216676675273,0.19403170937863168,1.7035864046151272,0.08757396449704143,0.24309133489461357,0.4884342849254608,0.37046874723992906,0.23774258853766878,0.11389601892395189,0.011776505348311353,0.637068553827703,0.011776505348311353,
16.0,0.6453944521923299,0.5921823332727241,34.41664,34.41664,0.5412350858791136,0.36452352817752753,0.3178012824731335,0.23069275142298498,2.2895632081883037,0.2804155861766083,0.6872357760304137,0.25974391474371694,0.11455186304128905,0.5702250965299744,0.5670304618865872,0.17796191900215924,1.5624946392637657,0.027515047291487533,0.21544980443285527,0.48428788781166077,0.3688539198264003,0.23672088340157885,0.11389601892395189,0.005560514619538097,0.6660935127874836,,0.005560514619538097
17.0,0.6252103808113982,0.6127803945799293,36.39808,36.39808,0.5412350858791136,0.33847221025347346,0.3270756624196262,0.21260338579661742,2.434707013426943,0.2989870039721927,0.7002357366591749,0.27481752105391083,0.11455186304128905,0.5637490759113164,0.5285140861823057,0.1493383007934242,1.3111810421849515,0.07472178060413355,0.20633607474816296,0.4813000559806824,0.3715105878835212,0.23876171032281912,0.11389601892395189,0.006581124877758744,0.8128798231482506,,0.006581124877758744
18.0,0.6030983482028326,0.742472158295217,38.37952,38.37952,0.5412350858791136,0.3351162707556555,0.336119194365417,0.20942768789806201,2.5857086612186073,0.3074217934966502,0.7121667027046179,0.29027990469134507,0.11455186304128905,0.5855806261856269,0.5396621155494282,0.15826377099473066,1.3895461183801605,0.10919750824477831,0.20644897542030766,0.48306986689567566,0.3730914488137054,0.23985799842943276,0.11389601892395189,0.007741195683566052,1.000681726494804,,0.007741195683566052
19.0,0.5858557021481048,0.85828377890462,40.36096,40.36096,0.5412350858791136,0.3175795425285079,0.34738335791243174,0.19977276374123887,2.6984262369417786,0.3141575581039505,0.7241251488358423,0.30127445435134403,0.11455186304128905,0.5917553592225665,0.540209522634417,0.15529175185401164,1.3634519741879616,0.1537598204264871,0.20810933025172082,0.4834119379520416,0.3749864604610029,0.24117193617377888,0.11389601892395189,0.008084042928946615,1.0977378654060885,,0.008084042928946615
20.0,0.6410046572027183,0.9538879286619351,44.01152,44.01152,0.9971592150692714,0.35297700029226675,0.3119642331918559,0.22311598816223782,2.1979495130497035,0.27665501853135616,0.6749108320983468,0.2505553593513465,0.11455186304128905,0.5504692761754583,0.565481746596551,0.1758714309984301,1.5441402839186071,0.13221939702143118,0.2132596685082873,0.483630508184433,0.37242967915394576,0.23918954148722787,0.11389601892395189,0.007043878113436035,1.4114768120925874,0.009937124282234207,0.005854520107370845
